cyc,state,freq,microfreq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,47.3227,2.25,46.05,0.2,-0.19,-0.01,0,4975.78,0.0837748,7.84989,10.9848,96.0885,-0.307965,147.089,477.821,-2.28188,-0.411776,0.207985,-1.85167,-0.725384,-137.263,409.521,23.5225,3687.11,4281.67,-1.41757,0.452531,1.9366,-0.987363,0.138922,-14.7295,602.045,37.7835,3879.64,0.157515,0.901041,0.017624,3822.15,0.00131235,0.0496015,10.3879,8.17492,96.6886,71.4964,0.418171,10.0206,9.79985,96.17,122.061,0.518668,-50.5642 
1,97,43.248,43.248,4,48.55,-0.2,0.19,0.01,1,8833.91,0.0284474,17.145,9.95676,96.6332,0.0483775,-58.7649,0.173054,3.68358,0.098055,3.47832,0.688087,2.57391,-196.221,3035.49,43.4932,4849.52,5649.67,4.91913,1.3336,5.94942,1.92364,3.80946,0.668283,3310.71,63.8798,5124.74,0.437679,0.967337,0.0224464,7564.24,0.00135629,0.534223,9.201,7.39372,96.9468,71.9248,0.637511,9.81211,8.90281,95.9681,122.417,0.978738,-50.4921 
2,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,2,9259.91,0.0265918,18.1222,9.7966,96.9109,-0.0888701,-24.8978,0.00778653,1.34753,-0.013906,-1.41585,0.612231,-0.625648,-205.352,3361.93,36.1525,4911.38,5851.42,2.64057,1.27914,1.17024,1.90528,0.667398,0.84728,3649.96,57.4877,5199.4,0.458223,0.973176,0.0199609,7965.46,0.00144338,0.60075,9.22239,7.26838,97.0508,71.165,0.666384,9.43325,8.89925,96.3758,121.323,0.674967,-50.1578 
3,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,3,4925.5,0.0775561,8.4599,10.2638,96.3253,0.111533,-341.239,500,1.23038,1.11153,5.54054,1.61488,1.46304,-104.369,79.5457,15.9495,4001.14,4065.6,1.88756,1.76871,6.8549,2.27206,2.12022,0.540046,225.933,26.793,4147.53,0.0615892,0.828137,0.01176,3668.38,0.00311284,-0.00408,-188.536,66.4771,135,40.0001,0.489288,9.72872,9.44374,96.1499,122.584,38.8501,-82.584 
4,97,43.218,43.218,4,48.55,-0.2,0.19,0.01,4,9293.99,0.00860383,17.7665,9.75828,96.9001,-0.0961883,0.657989,500,1.23741,3.86915,3.5334,-0.98358,2.59497,-212.134,3064.35,48.2653,5028.41,5645.83,2.57316,5.2049,6.2049,0.352171,3.93072,0.660301,3361.89,70.3052,5325.95,0.431985,0.964695,0.0237395,7782.43,0.00174714,0.526242,9.27654,7.43827,97.1207,71.7279,0.687015,9.29723,8.87436,96.3847,122.101,0.735992,-50.3729 
5,97,43.23,43.23,4,48.55,-0.2,0.19,0.01,5,9099.7,-0.00817394,17.6969,9.92203,96.9691,-0.0108181,3.99788,2.87286e-13,2.43226,1.3778,5.49311,0.818714,1.71344,-206.561,3020.32,40.463,5102.32,5717.42,3.73292,2.67847,8.09443,2.11937,3.0141,0.587845,3310.04,61.924,5392.04,0.425158,0.968299,0.0207171,7785.43,0.00140435,0.547105,9.07872,7.35307,97.0497,71.2843,0.661961,9.72626,9.03833,96.5424,121.394,0.507295,-50.1097 
6,75,47.3227,47.3227,2.25,46.05,0.2,-0.19,-0.01,6,4978.43,0.26163,7.87903,9.9593,96.2712,-0.400661,546.981,0.311579,-2.39465,2.23934,-0.665445,-2.88792,-2.48057,-139.933,334.511,28.9759,3604.74,9688.62,-1.51353,3.12046,1.0968,-2.00679,-1.59945,2.21528,530.781,43.5145,3801.01,0.144014,0.874532,0.0206531,3685.62,0.0014967,0.0517071,8.87781,7.55323,96.6521,71.5428,0.446218,9.76181,9.09954,96.0459,122.63,0.606159,-51.0869 
7,97,43.248,43.248,4,48.55,-0.2,0.19,0.01,7,9236.97,0.0728036,17.7596,9.73296,96.7638,-0.0313929,4.21933,500,1.84186,-1.36675,2.87204,0.947812,-2.0185,-203.266,3069.14,45.8286,5081.51,5631.27,3.12178,-0.0868391,5.43187,2.22772,-0.738582,0.45441,3354.25,66.9472,5366.61,0.429562,0.966251,0.0224636,7808.53,0.001651,0.515948,9.12195,7.67031,97.0772,72.8132,0.664273,9.37801,9.20555,96.2935,123.424,0.783707,-50.611 
8,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,8,10345.8,0.265504,19.9471,9.75664,96.8578,-0.706819,195.38,492.817,0.258103,2.64434,2.99809,1.92511,1.79709,-232.319,3617.17,49.8229,5663.98,10831,1.72095,4.10719,5.92379,3.38797,3.25994,0.678052,3943.02,73.9599,5989.83,0.442311,0.968218,0.0222397,8914.59,0.00158222,0.615484,9.40573,7.44628,97.1348,71.7528,0.747225,9.70108,8.93249,96.2439,122.148,0.89095,-50.3949 
9,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,9,4829.71,0.109068,7.69759,10.3413,96.5515,-0.0163009,-105.429,499.99,1.6187,1.95538,3.07561,2.72305,-2.61398,-101.646,35.631,32.9972,3759.9,2647.28,2.25874,2.59542,4.35568,3.36308,-1.97394,0.589047,178.2,43.5578,3902.47,0.0521471,0.700399,0.0201466,3417.25,0.00144934,0.0121615,0.0342104,-1.47636,96.6837,68.4045,0.497136,9.50438,8.85676,96.2208,122.275,0.462859,-53.8705 
