cyc,state,freq,microfreq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,0,15773.7,0.202292,23.26,13.7441,96.5832,-0.331556,268.912,274.37,1.70536,0.821446,2.24738,0.958541,2.33485,-149.683,1143.65,58.7498,13350.8,13309.3,2.64788,1.76396,4.13241,1.90106,3.27737,0.698863,1353.59,74.3014,13560.8,0.107351,0.912358,0.0099923,12609,0.00173299,0.115916,11.1279,9.64674,96.8126,71.8973,0.946994,13.4503,12.5717,96.3344,123.414,0.478203,-51.5165 
1,97,43.248,43.248,4.4,48.55,-0.2,0.19,0.01,1,24400.3,0.254456,39.8209,12.5852,96.8657,-0.607814,-75.9269,0.607811,-0.608103,-0.848366,-0.722913,0.845847,0.871272,-252.824,10365.4,95.128,12919.7,17816.6,0.98386,0.743597,2.46101,2.43781,2.46323,0.729247,10720,121.395,13274.3,0.493154,0.980568,0.0165673,21737.7,0.00199497,1.05391,11.9485,9.71579,97.1314,72.6606,1.03513,12.579,11.7357,96.1189,123.806,1.01242,-51.1451 
2,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,2,27464.8,0.243578,44.6412,12.6828,96.9937,0.0664368,-121.992,500,-0.517654,1.3748,4.93397,1.93023,4.62122,-279.851,12671.1,86.3723,13471.1,18694.7,1.2445,3.13695,8.45827,3.69238,6.38337,0.630893,13063.6,115.448,13863.7,0.53168,0.98477,0.0151081,24570.5,0.00225786,1.30289,12.1098,9.50765,97.1233,72.2937,1.11549,12.5668,11.3824,96.4152,122.959,0.708061,-50.6651 
3,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,3,15301.8,0.082423,22.8936,13.5134,97.1329,0.525964,-703.619,79.7554,2.45363,-0.4292,6.28859,3.48668,0.453465,-86.9725,32.1939,38.6269,13982.3,22118.3,3.00127,0.118443,7.38388,4.03432,1.00111,0.524817,154.181,47.663,14104.3,0.0129993,0.648934,0.00618658,11860.7,0.00162546,0.0137154,10.7343,9.91464,118.362,56.3647,1.07531,12.8605,12.0482,96.7917,123.509,21.5701,-67.1439 
4,97,43.218,43.218,4.4,48.55,-0.2,0.19,0.01,4,26092,0.255442,42.2379,12.7324,97.131,0.255808,26.8713,400.089,0.201282,4.95158,3.38605,2.37465,2.97815,-250.099,11827.5,83.62,13027.9,17730.6,1.77609,6.52639,6.53566,3.94945,4.55295,0.719987,12178.3,109.604,13378.7,0.523065,0.984494,0.014867,23282.7,0.00183681,1.16541,12.2656,9.92313,97.3179,72.254,1.02599,12.8258,11.85,96.5324,123.131,0.78548,-50.8772 
5,97,43.278,43.278,4.4,48.55,-0.2,0.19,0.01,5,26313.6,0.232519,42.4657,12.8297,97.0363,-0.159721,-154.843,499.832,0.707752,4.83902,7.36044,-0.102626,0.935601,-255.687,11744.4,87.3738,13421.4,18540.9,2.31775,6.44901,10.5804,1.50737,2.54559,0.547848,12103,113.939,13780,0.514138,0.983792,0.0150027,23540.5,0.0019331,1.18748,12.1994,9.63866,97.21,72.9676,1.08774,12.7298,11.5346,96.451,123.861,0.758977,-50.893 
6,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,6,14731.3,0.2329,21.7336,13.5078,96.4319,-0.0852057,-168.957,383.923,2.94622,1.52391,5.98828,3.09863,1.3828,-178.828,1092.22,46.0521,12353.9,10025.4,4.07226,2.64995,8.24035,4.22467,2.50884,0.620191,1343.05,64.6316,12604.7,0.113769,0.922326,0.00935714,11805,0.00170507,0.112049,11.5618,9.38715,96.6231,70.7759,0.925902,13.2111,12.0969,96.092,121.779,0.53112,-51.0033 
7,97,43.248,43.248,4.4,48.55,-0.2,0.19,0.01,7,25169.9,0.277607,40.8051,12.6269,96.9683,-0.274819,452.485,40.8925,0.571093,3.36316,3.40986,0.770073,2.31366,-303.694,11296.2,82.6654,12686.3,20820.9,2.48338,5.27544,7.23443,2.68235,4.22594,0.669684,11722.2,114.218,13112.3,0.518557,0.983234,0.0157927,22605.4,0.00192388,1.14587,12.1912,9.64142,97.1877,72.4679,1.0264,12.5792,11.6762,96.3695,123.241,0.81819,-50.7726 
8,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,8,27299.6,0.258503,44.6264,12.6309,97.0275,-0.502272,-651.296,356.269,2.65921,1.17545,5.33287,3.32822,3.99711,-250.806,12117,96.1189,13896.2,28998.5,4.23847,2.75471,8.49139,4.90748,5.57637,0.673011,12468.8,122.177,14248,0.513233,0.983142,0.0155505,24294.6,0.00206915,1.23721,12.028,9.70094,97.1946,72.6394,1.11973,12.6209,11.7068,96.4153,123.461,0.779303,-50.8212 
9,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,9,15632.4,0.0349917,23.8827,13.4177,96.9903,-0.068504,-48.6503,497.303,1.37264,3.01118,5.8452,1.58956,3.90777,-157.292,-96.6255,11.6569,14498,10540.3,2.36307,4.00161,7.82606,2.57998,4.8982,0.638835,123.992,27.9989,14718.6,0.0100476,0.716758,0.00349196,12340.4,0.00147438,0.00259985,7.70116,0.349419,111.339,58.3977,1.10055,12.9512,12.1969,96.7362,122.773,14.6029,-64.3755 
