cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,0,3487.86,0.209478,5.41888,9.59725,96.741,-0.0946436,105.166,24.252,1.26315,2.18764,1.91551,-0.689573,2.1283,-119.274,235.404,19.8457,2531.24,2016.99,2.01418,2.93868,3.41758,0.0614607,2.87934,0.69786,402.697,32.2378,2698.54,0.152393,0.877119,0.0215327,2642.48,0.00104362,0.0260423,10.5263,7.07319,94.1054,72.2038,0.334583,9.34788,9.05432,96.6264,122.443,-2.52103,-50.2393 
1,97,43.248,3.6,48.55,-0.2,0.19,0.01,1,7003.07,0.216922,13.6016,9.37519,96.8126,0.00698356,-123.463,369.198,1.00934,0.312987,1.8948,-0.916619,0.189825,-115.722,2378.89,30.3142,3750.75,4179.19,1.73802,1.04166,3.35215,-0.187946,0.918498,0.511518,2541.2,42.3373,3913.06,0.438967,0.97167,0.0195411,5789.04,0.00121403,0.423022,8.96993,7.44773,97.2813,72.1562,0.530176,9.2159,8.80828,96.3579,122.357,0.923349,-50.2005 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,7027.11,0.199072,14.1448,9.19518,96.9358,-0.0439234,-121.512,60.9322,0.503243,0.180896,5.20974,2.7377,1.44103,-107.051,2477.2,38.0862,3854.15,4407.77,1.17731,0.854967,6.55788,3.41177,2.1151,0.535463,2627.35,49.2084,4004.3,0.441503,0.968264,0.0221363,5950.92,0.00111518,0.454089,8.74669,7.3278,97.1619,73.1008,0.559569,8.97508,8.69559,96.4141,123.454,0.747755,-50.3535 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,3428.56,0.208819,5.07371,10.011,97.072,-0.418144,-171.096,345.102,-1.41345,-1.4602,9.07821,1.48748,0.738816,-88.2385,155.28,21.9607,2486.78,3982.44,-0.857833,-0.904586,10.1894,2.04309,1.29443,0.133885,279.043,31.1283,2610.54,0.114091,0.836667,0.0214933,2445.79,0.00116236,0.00796759,4.43302,14.5822,88.2202,83.0877,0.347043,9.15605,8.68442,97.1379,122.05,-8.91773,-38.9625 
4,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,4,4052.63,0.215286,6.01298,10.5797,96.1042,0.0730708,-30.4565,282.298,1.57176,0.250297,-1.37397,0.592231,3.03135,-69.4876,278.488,29.1794,2878.51,2143.33,2.00931,0.687842,-0.498885,1.02978,3.4689,1.07449,375.951,36.3989,2975.97,0.132098,0.855116,0.0220342,2846.01,0.00127802,0.0247795,9.97944,9.78861,97.4462,71.7366,0.356237,9.81014,9.14343,96.0207,122.811,1.42543,-51.0747 
5,97,43.248,3.6,48.55,-0.2,0.19,0.01,5,6996.31,0.204926,13.7371,9.37108,96.3586,-0.0474773,-106.181,370.242,2.73988,-0.157469,10.7356,1.66228,-2.92125,-158.575,2353.61,38.1276,3835.12,4354.75,3.73838,0.841033,12.7326,2.66078,-1.92275,0.294595,2576.02,54.6029,4057.54,0.433398,0.964233,0.0241898,5943.78,0.00120632,0.420346,8.72433,7.49148,96.7359,71.3251,0.529703,9.24274,8.95326,95.8717,121.653,0.864192,-50.3281 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,7216.36,0.216105,14.1824,9.32449,96.6724,0.109794,-166.692,5.20293,2.59858,1.06198,4.46456,2.6801,2.01722,-121.638,2554.08,40.7588,3759.22,4900.75,3.3645,1.8279,5.9964,3.44602,2.78314,0.655735,2724.69,53.3964,3929.83,0.455143,0.966842,0.0244184,5986.45,0.0012132,0.470175,8.93836,7.22442,96.8183,71.0729,0.555655,9.07325,8.64019,96.2291,121.226,0.589266,-50.1531 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,3736.17,0.239856,5.53049,9.75594,97.1325,-0.489558,-52.0811,237.547,-1.65414,-0.576353,1.97215,-0.893673,0.88705,-98.2121,136.411,31.0801,2659,2586.42,-1.03573,0.0420629,3.20898,-0.275258,1.50547,0.0686524,274.163,41.284,2796.76,0.105631,0.791441,0.0264722,2595.47,0.00137106,0.00936835,0.0150935,26.2938,106,66.0585,0.366889,8.90319,8.95281,97.1656,121.064,8.83441,-55.0059 
8,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,8,3703.85,0.213064,5.55741,10.1291,96.9072,-0.68925,236.623,450.511,-1.89771,-0.477776,4.34145,2.71891,1.23197,-109.515,347.608,46.0374,2504.84,7141.67,-1.20812,0.211813,5.72063,3.4085,1.92155,0.43103,501.214,57.4157,2658.44,0.185105,0.833008,0.0382625,2707.72,0.0012493,0.0235598,11.1133,11.1401,96.8283,72.9655,0.339502,9.20847,8.80501,96.6161,122.34,0.212264,-49.374 
9,97,43.248,3.6,48.55,-0.2,0.19,0.01,9,6678.28,0.199788,13.4291,9.115,96.6425,0.252124,-210.084,55.9317,1.22901,-1.68171,4.83919,0.322054,0.517601,-107.631,2237.94,51.7027,3595.66,5708.98,1.90673,-1.00399,6.19465,0.99978,1.19533,0.333371,2388.9,62.8852,3746.63,0.434456,0.955962,0.0299915,5498.6,0.00128135,0.424717,8.64499,7.19669,96.8662,72.0233,0.540673,8.74673,8.4769,96.1376,122.257,0.728558,-50.234 
10,97,43.248,0,48.55,-0.2,0.19,0.01,10,6978.9,0.0496132,13.7863,9.36435,96.9414,-0.024529,6.46065,500,-1.07872,1.19781,0.309648,0.818472,1.10145,-150.847,2392.83,43.157,3665.88,4207.8,-0.128871,2.14766,2.20934,1.76832,2.0513,0.725471,2604.41,58.8295,3877.46,0.447285,0.961973,0.0271889,5822.69,0.00123428,0.438446,8.61269,7.58871,97.2543,73.033,0.523751,9.07459,8.8585,96.4766,123.624,0.777708,-50.5911 
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,3727.14,0.219136,5.87313,9.55378,96.0253,-0.234575,-119.578,491.841,-0.599722,-1.91085,2.89906,0.0153212,0.293954,-80.8949,90.5872,19.9738,2802.8,2739.7,-0.0903482,-1.40148,3.9178,0.524695,0.803327,-0.0436346,204.05,28.3784,2916.26,0.0777467,0.804258,0.01761,2624.55,0.0064379,-0.00689893,242.884,155.246,135,40,0.392845,8.96074,8.76021,95.8968,122.557,39.1032,-82.5567 
12,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,12,3543.68,0.223757,5.26022,9.80939,95.8671,-0.490238,246.263,345.739,0.738568,-0.500892,2.62263,1.92886,-0.329972,-123.699,263.602,18.2869,2427.61,5609.81,1.51747,0.278006,4.18043,2.70776,0.448926,0.542251,437.102,31.1387,2601.11,0.168374,0.889151,0.0215766,2596.02,0.00119109,0.0313721,8.50809,9.99327,95.4528,73.0039,0.326994,9.0952,8.91369,96.0493,122.62,-0.596519,-49.6164 
13,97,43.248,3.6,48.55,-0.2,0.19,0.01,13,6721.25,0.118885,13.3515,9.24353,96.8607,0.0744793,-109.425,500,-1.57405,0.74954,2.04141,-3.20457,2.22457,-132.967,2354.23,48.0419,3545.07,4282.87,-0.736795,1.58679,3.71592,-2.36731,3.06183,0.29361,2540.73,61.8566,3731.57,0.450649,0.959136,0.029631,5637.93,0.00125077,0.422508,8.95352,7.26597,97.272,71.6857,0.523908,8.81677,8.6418,96.4235,121.865,0.848491,-50.1792 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,7566.08,0.00352507,15.0185,9.47325,96.5931,-0.0053688,8.75791,8.96528e-11,2.62033,1.25723,1.25243,1.29953,-1.31194,-131.981,2659.91,49.705,3912.44,4633.01,3.45138,2.08828,2.91454,2.13058,-0.480885,0.711543,2845.03,63.4174,4097.55,0.455496,0.962456,0.0277198,6246,0.00139539,0.490628,8.75035,7.30692,96.8582,72.8668,0.584558,8.95812,8.52813,96.1337,123.573,0.72459,-50.7066 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,3408.34,0.0354068,5.68595,9.73944,96.8386,0.110102,-25.4844,0.277044,-2.87219,2.45224,-2.28319,0.317365,2.12993,-79.1763,96.3908,22.6128,2505.04,1894.08,-2.37364,2.9508,-1.28609,0.815917,2.62848,1.47015,207.443,30.8389,2616.09,0.087205,0.793551,0.0212535,2378.8,0.00118879,-0.00426308,-0.00100402,-3.08236,98.2181,67.3921,0.362681,8.94777,8.48836,96.7508,121.75,1.46722,-54.3581 
16,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,16,3477.89,0.184842,5.40228,10.1038,96.3977,-0.294937,244.616,23.4048,-2.01195,1.38267,-2.78217,-1.92545,-0.693997,-113.478,204.03,30.8514,2507.23,4125.48,-1.29741,2.0972,-1.35309,-1.21092,0.020542,0.223998,363.194,42.6413,2666.4,0.140975,0.829558,0.0286161,2576.3,0.0010416,0.0236434,10.223,8.63414,97.137,71.2684,0.330489,9.49437,8.94667,96.2767,122.196,0.860274,-50.9279 
17,97,43.248,3.6,48.55,-0.2,0.19,0.01,17,7068.28,0.0520109,13.8508,9.33467,96.5519,-0.055298,63.9666,0.0248409,0.984189,0.932799,1.98188,-0.53458,-1.42421,-147.94,2226.54,63.7763,3839.33,4324.04,1.91573,1.86434,3.84495,0.396958,-0.492673,0.489335,2434.04,79.1467,4046.83,0.420176,0.94616,0.0347745,5792.92,0.00138512,0.414815,8.86006,7.23995,96.8544,72.3394,0.567256,8.85351,8.64984,96.0842,122.751,0.770206,-50.4113 
18,97,43.248,0,48.55,-0.2,0.19,0.01,18,7099.12,0.227375,13.8908,9.21767,96.8313,2.81856,-1292.58,500,-0.156256,0.995807,-0.896819,0.797598,-2.5299,-175.742,2545.48,55.2533,3705.12,122767,0.950347,2.10241,1.31639,1.9042,-1.4233,0.728583,2791.97,73.5123,3951.62,0.459825,0.955952,0.0331334,6071.81,0.00127809,0.47081,8.73802,7.16342,97.0449,71.2882,0.554713,9.04131,8.42191,96.4847,121.278,0.560166,-49.9898 
