cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,0,10299.1,0.0799885,16.006,12.2844,95.9379,0.201925,-125.501,500,-1.23644,-0.4359,2.31173,-0.777986,-2.16362,-120.432,721.85,61.8707,8256.16,7225.7,-0.478116,0.322428,3.82839,-0.0196573,-1.40529,-0.703204,890.768,74.3832,8425.08,0.107259,0.872499,0.0160033,8304.84,0.00209824,0.0748151,10.4742,-8.38831,96.8194,75.0937,0.767316,11.2873,10.9155,95.6708,127.836,1.14857,-52.742 
1,97,43.248,4.2,48.55,-0.2,0.19,0.01,1,15903.4,0.283937,28.7442,10.8978,95.9618,-0.00534487,-320.78,108.12,0.273706,-2.0319,-6.61929,-2.6371,-0.108662,-221.009,6727.51,39.8803,8097.93,10253,1.66534,-0.640267,-3.83602,-1.24547,1.28297,-0.383121,7037.49,62.8422,8407.92,0.48748,0.984614,0.0135812,14436.5,0.00184711,0.911078,10.2556,8.44216,96.2029,75.2824,0.833504,10.9922,10.2506,95.2205,126.664,0.982368,-51.3818 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,19225.4,0.277525,33.9728,11.3659,95.9135,0.0465611,-602.965,38.9044,0.577169,2.87204,2.94987,0.586097,-1.09934,-173.779,8616.05,55.9249,9332.76,13483.8,1.67141,3.96628,5.13836,1.68034,-0.00509307,0.587323,8859.79,73.9799,9576.5,0.512508,0.985598,0.0140309,17287.1,0.00207172,1.07269,10.8464,8.79179,96.1968,75.1803,0.92004,11.2467,10.4886,95.181,126.75,1.01584,-51.5695 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,9737.94,0.235367,15.5109,11.8655,95.6583,6.2699,-505.258,46.6859,1.12386,-1.99869,-0.552195,-1.74,-0.740809,-158.233,12.2731,38.0618,8523.3,109118,2.12021,-1.00234,1.4405,-0.743657,0.25554,0.304189,234.21,54.5015,8745.23,0.0295346,0.710615,0.01135,7930.02,0.00157436,0.0149662,8.6961,-7.12765,121.063,59.813,0.811147,11.5127,10.6628,95.3329,127.249,25.7298,-67.4361 
4,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,4,9536.9,0.0481177,14.6294,12.4922,95.7504,0.073099,32.3334,499.431,0.895027,-1.1088,-5.47508,-0.397925,-4.00279,-146.789,727.953,50.3089,7538.77,6026.15,1.81932,-0.184509,-3.62651,0.526363,-3.0785,0.201885,933.838,65.5597,7744.65,0.120509,0.890585,0.0153543,7749.13,0.00199925,0.0715359,10.2466,8.84908,96.4748,74.9199,0.694575,11.5349,10.7926,95.3571,127.284,1.11764,-52.3644 
5,97,43.248,4.2,48.55,-0.2,0.19,0.01,5,16551.3,-0.0105194,29.5425,11.2924,96.0042,-0.0202797,3.11243,3.12588,2.45774,1.67455,0.729319,0.810386,-0.175592,-222.559,6844.03,55.8917,8474.27,10862,3.85914,3.07595,3.5321,2.21178,1.2258,0.745979,7156.19,79.0147,8786.43,0.48066,0.981044,0.0162958,14888.2,0.00211564,0.915998,10.3733,8.39748,96.3117,76.0744,0.867598,11.0795,10.1672,95.2803,127.881,1.03136,-51.8061 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,17665,0.319233,31.3535,11.0642,95.7803,-1.5422,2868.39,499.97,-0.215028,0.868377,-0.307953,3.5518,1.37215,-250.265,7506.02,41.4283,8828.64,155296,1.36082,2.44423,2.84375,5.12766,2.948,0.806869,7857.04,67.4298,9179.66,0.493064,0.985204,0.0133507,15935.1,0.00219483,1.00571,10.4216,8.37023,95.9964,75.2918,0.896946,11.1126,10.2831,95.1478,126.84,0.848662,-51.5478 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,9931.09,0.0282574,15.7719,12.1322,95.4766,-0.0167801,-16.5855,4.94275,0.417494,-3.66729,-0.876528,2.34931,-5.44805,-168.824,96.9137,41.1691,8552.52,6238.11,1.48053,-2.60425,1.24955,3.41235,-4.38501,2.47555,333.705,58.7092,8789.31,0.04136,0.764596,0.012155,8068.3,0.00181001,0.0129603,-9.92197,6.29374,120.449,62.4605,0.819745,11.248,10.763,95.2396,126.789,25.209,-64.3289 
8,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,8,10302,0.29385,15.7452,12.0959,95.5201,0.856887,-179.756,499.966,-1.46636,3.13499,1.83854,2.61129,-1.88924,-187.457,703.669,38.5678,8159.95,11214,-0.285998,4.31536,4.19927,3.79165,-0.708873,0.628758,966.595,58.0438,8422.87,0.115363,0.904906,0.0125352,8378.72,0.0019839,0.0798158,10.128,8.72689,96.485,73.9112,0.739084,11.7394,11.0023,95.2129,125.549,1.27212,-51.6374 
9,97,43.248,4.2,48.55,-0.2,0.19,0.01,9,15685,0.00885829,28.0923,11.0956,96.0309,0.0036584,-18.7376,500,0.106859,2.29204,0.370085,0.691288,-2.25006,-201.041,6476.08,18.347,7997.99,10149.1,1.37276,3.55794,2.90189,1.95719,-0.984154,0.670451,6758.06,39.2344,8279.97,0.481191,0.989942,0.00865323,14044.4,0.00207145,0.856208,10.2797,8.54764,96.3599,75.1325,0.809551,10.9556,10.3961,95.3739,126.54,0.985967,-51.4071 
10,97,43.248,0,48.55,-0.2,0.19,0.01,10,18268.3,0.261383,32.1753,11.21,96.0576,3.01758,313.766,500,-0.661882,4.34822,-2.66533,-0.604871,-0.0838544,-244.325,8173.76,36.3575,8721.17,42563.4,0.876565,5.88667,0.411561,0.933577,1.45459,0.956963,8516.45,61.7419,9063.86,0.516379,0.987472,0.0123927,16492.7,0.00230653,1.05171,10.5408,8.65724,96.3162,75.661,0.869344,11.1489,10.3494,95.3153,127.148,1.00087,-51.4874 
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,10345.8,0.0055862,16.3663,12.0353,95.6747,0.0039549,-2.15121,0.0232102,-3.49754,0.228768,1.76032,2.07562,1.57875,-158.99,60.9813,40.4855,8834.1,6412.41,-2.49642,1.22989,3.76256,3.07673,2.57987,0.538485,283.98,57.0039,9057.1,0.0344042,0.740038,0.011461,8254.23,0.00212222,0.0183531,-10.2112,-1.92227,92.7525,73.6382,0.863578,11.1903,10.4553,95.3615,126.127,-2.60899,-52.4883 
