cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,0,6809.32,0.229427,10.9077,11.1747,95.962,0.00302978,-166.603,472.542,0.765981,2.97657,-1.99349,1.06696,0.520409,-119.656,481.478,2.87814,5317.63,3984.39,1.51942,3.73001,-0.486605,1.82041,1.27385,1.06193,649.307,15.3099,5485.46,0.118562,0.960372,0.00511502,5476.51,0.00143071,0.0579385,10.9967,7.84814,96.777,73.6091,0.561018,10.5879,10.325,95.6219,124.545,1.15509,-50.9355 
1,97,43.248,4.2,48.55,-0.2,0.19,0.01,1,11413.2,0.0469281,21.2533,10.5999,96.1324,-0.0225355,291.349,500,-0.702964,0.100922,3.83225,-0.656258,2.40546,-155.939,4680.25,33.4477,5875.38,7547.47,0.278943,1.08283,5.79607,0.325649,3.38737,0.466825,4898.97,49.6491,6094.1,0.4774,0.982574,0.0147859,10261.8,0.0016897,0.697472,9.71011,7.93574,96.3766,73.7534,0.677236,10.2144,9.52766,95.3386,124.259,1.03809,-50.5059 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,13269,0.0803486,25.1961,10.6663,96.4561,-0.299449,144.984,499.78,2.66866,1.82275,0.163758,1.6796,-2.59481,-129.114,5866.43,12.7387,6559.82,10162,3.48165,2.63575,1.78975,2.49259,-1.78181,0.792323,6047.53,26.1531,6740.91,0.504822,0.992489,0.00709621,11979.5,0.00140219,0.81181,10.0109,8.55129,96.748,74.3021,0.701796,10.5228,10.3374,95.8595,125.221,0.888449,-50.9185 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,6618.67,0.016759,11.1956,11.1048,95.8428,0.0271022,-12.0742,500,1.44396,0.0681432,4.56994,-0.902999,2.23698,-91.128,59.1005,27.6994,5615.93,4057.84,2.01777,0.641952,5.71756,-0.32919,2.81079,0.473467,186.916,37.1672,5743.75,0.0356614,0.741852,0.0117797,5241.41,0.00152169,0.0476761,-4.34167,0.24227,111.78,61.6219,0.623249,10.0202,10.0721,95.5368,125.2,16.2436,-63.5778 
4,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,4,6822.9,0.241409,10.7993,11.1882,96.4398,-0.193193,-465.987,322.847,1.6721,2.19448,-0.604784,2.10231,-1.42187,-113.726,501.85,25.0211,5377.33,6863.89,2.3882,2.91058,0.827418,2.81842,-0.705765,0.899571,661.362,36.8367,5536.84,0.119514,0.911185,0.0121072,5533.78,0.00155303,0.0486775,10.752,8.15975,96.9625,73.8184,0.574261,10.5464,10.0329,96.2017,124.692,0.760797,-50.8733 
5,97,43.248,4.2,48.55,-0.2,0.19,0.01,5,12040.3,0.0109534,22.8873,10.3352,96.0972,-0.0341108,15.8667,500,1.95622,2.62991,5.65257,4.01135,-0.171678,-166.311,4874.29,13.8165,6230.27,7717.92,3.00344,3.67713,7.74701,5.05857,0.875539,0.61953,5107.56,31.0956,6463.53,0.473121,0.989458,0.00878439,10795.5,0.00164655,0.723422,9.73061,8.15516,96.3367,74.5812,0.714956,10.0434,9.81086,95.3152,125.731,1.02147,-51.1494 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,13710.6,0.269187,26.1296,10.2294,96.3989,-0.792236,454.022,7.08743,0.964766,0.303728,1.53505,2.66678,0.669055,-177.966,5850.05,33.6588,6907.17,20410.3,2.08537,1.42433,3.77626,3.78739,1.78966,0.706425,6099.66,52.1487,7156.79,0.492002,0.985259,0.0132449,12397.6,0.00186166,0.879844,9.58217,8.01251,96.6356,74.8964,0.799165,10.1195,9.66953,95.7542,125.662,0.881476,-50.7653 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,7134.22,0.285435,11.3806,10.7725,96.1591,-0.0529404,318.756,379.242,-0.0234535,1.08236,-1.70504,-0.270089,1.37449,-145.147,130.474,21.1246,5860.98,4540.28,0.890498,1.99631,0.122864,0.643862,2.28845,0.979323,334.057,36.2048,6064.56,0.0589075,0.840574,0.0108776,5670.87,0.00170301,0.00963143,9.85677,7.48524,118.067,60.7177,0.655891,10.3314,9.78746,95.8405,123.637,22.2264,-62.9194 
8,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,8,7276.24,0.174196,11.6742,11.2463,95.9523,0.0305969,-205.015,500,-0.541441,2.90664,4.37549,-1.77714,-2.24551,-103.296,484.362,33.7066,5850.03,4478.18,0.108989,3.55707,5.67635,-1.12671,-1.59508,0.142625,629.245,44.4387,5994.91,0.106566,0.890005,0.0134711,5904.77,0.00162235,0.0506954,10.8625,7.70885,97.0936,73.5917,0.595619,10.703,10.2771,95.5428,125.034,1.55086,-51.4427 
9,97,43.248,4.2,48.55,-0.2,0.19,0.01,9,11338.5,0.264718,21.3237,10.1427,96.2702,0.0143281,-168.371,499.79,0.0536388,0.00588332,0.184247,-0.787796,4.52011,-179.568,4424.32,64.6447,5903.88,7119.13,1.18433,1.13658,2.44563,0.342898,5.6508,0.772716,4676.18,83.3011,6155.74,0.463299,0.969768,0.0243216,10093.2,0.00169579,0.690832,9.48081,7.98832,96.5709,74.9636,0.704417,9.87126,9.54113,95.5703,125.926,1.00058,-50.9621 
