cyc,sweep,VVA,ODT1,ODT2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
144,46.05,3,0.05,1,144,6486.82,0.00781369,10.4433,11.8491,96.0053,-0.0178368,2.41457,500,2.19058,2.55163,3.84915,-1.28398,-2.73032,-126.199,1025.26,38.4647,4632.55,4029.68,2.98522,3.34627,5.43843,-0.489334,-1.93568,0.418033,1202.27,51.5763,4809.56,0.221222,0.930169,0.0193715,5434.68,1317.11,2303.47,26205.2,0.00125183,0.120293,11.032,9.04199,96.4932,69.3516,0.447006,11.2013,10.4892,95.5346,119.049,0.958636,-49.6975 
145,46.05,0,0.05,1,145,6386.52,0.0897565,10.7748,10.8426,95.7844,0.00936551,-70.947,500,-1.62768,0.0526209,2.23115,2.09298,-1.47097,-133.474,9.13288,24.5486,5329.21,3824.74,-0.787226,0.893072,3.91206,2.93343,-0.630517,0.381083,196.343,38.4161,5516.42,0.0388738,0.744934,0.0126658,5050.8,1805.06,701.693,40348.4,0.0014205,0.00494378,8.23393,5.89046,93.3477,67.6628,0.599131,10.2825,9.90689,95.463,120.536,-2.11527,-52.8736 
146,45.9,3,0.05,1,146,8011.8,0.143673,12.8899,12.0391,95.9205,-0.816022,493.663,14.9821,1.9053,-0.905029,3.74098,-0.181776,1.10965,-121.35,935.831,37.3542,6175.66,18165.5,2.66941,-0.140918,5.26921,0.582335,1.87376,0.486121,1106.04,49.962,6345.86,0.165317,0.92674,0.0142959,6690.4,2023.72,1894.03,44909.5,0.00128129,0.103153,11.3321,8.9851,96.1621,71.4948,0.565904,11.6614,10.9637,95.3593,122.314,0.802841,-50.8194 
147,45.9,0,0.05,1,147,7276.06,0.206977,11.9773,11.2359,95.9827,0.0808362,-136.793,7.20351,-0.936783,2.35101,5.15191,-1.27061,-0.642988,-146.576,13.5447,8.2284,6308.87,4740.84,-0.0138303,3.27396,6.99782,-0.347661,0.279964,0.313283,219.132,23.4571,6514.46,0.0368175,0.842226,0.0065893,5951.86,2342.35,692.548,54291.1,0.00136514,-0.00401167,153.075,-1.23097,71.5977,58.9038,0.67463,10.9394,9.93215,95.6217,120.182,-24.024,-61.2783 
148,46.05,3,0.05,1,148,6919.29,0.174784,10.8543,11.9662,96.2819,0.311872,-705.66,224.938,0.885908,2.33346,0.563755,1.84411,1.16415,-119.729,1129.66,20.8831,4866.88,11392.4,1.63981,3.08736,2.07156,2.59801,1.91805,0.816916,1297.59,33.3224,5034.81,0.226526,0.956992,0.0120449,5728.23,1426.06,2462.67,28794.3,0.00129217,0.121945,11.4172,9.35345,97.0837,70.3091,0.460007,11.3508,10.7851,95.7478,120.215,1.33594,-49.9058 
149,46.05,0,0.05,1,149,6110.47,0.210663,10.2528,10.6155,95.6026,0.25355,-105.878,20.6308,-0.611575,-0.722065,-2.39946,1.20042,-2.45057,-104.514,-36.9825,23.9581,5196.02,4416.97,0.0465205,-0.0639693,-1.08327,1.85851,-1.79248,-0.0469592,109.608,34.8166,5342.61,0.0227823,0.642723,0.0118622,4811.11,1793.55,687.534,39795.2,0.00121081,0.02002,-1.74433,2.52919,97.677,68.4391,0.599301,10.3552,9.71807,95.2306,120.512,2.44641,-52.0725 
150,45.9,3,0.05,1,150,9401.39,0.243348,14.1911,12.4045,95.7749,-0.0224657,-115.418,8.51373,-0.39284,-0.325871,4.43053,-1.25513,1.86301,-136.229,1068.26,48.8147,7027,5814.87,0.464958,0.531927,6.14613,-0.397332,2.72081,0.350749,1259.33,62.9684,7218.07,0.165457,0.919538,0.0158158,7611.23,2508.9,2434.38,56380.8,0.00176795,0.121294,11.317,8.8801,95.6676,69.3633,0.626553,11.9622,10.9237,95.4426,119.97,0.225026,-50.6068 
151,45.9,0,0.05,1,151,6631.09,0.203867,10.9293,11.0637,95.7875,-0.357347,667.079,16.5309,0.88648,2.39262,2.9734,1.23822,2.89502,-139.951,34.1737,24.8461,5550.36,11696.3,1.76771,3.27385,4.73586,2.11946,3.77625,0.697836,230.468,39.3864,5746.65,0.0435872,0.769781,0.012468,5287.52,2034.69,736.155,45926.3,0.00622839,-0.00711939,10013.5,105.568,72.4369,40.0017,0.644385,10.5125,9.52064,95.4162,119.923,-22.9793,-79.9209 
152,46.05,3,0.05,1,152,6792.86,0.183588,10.7555,11.783,95.903,-0.0217563,29.1729,356.079,1.95407,2.29319,-2.85709,3.06141,-1.86469,-138.986,1126.06,40.2227,4811.35,4146.2,2.82923,3.16834,-1.10677,3.93657,-0.989531,1.14121,1321,54.6628,5006.29,0.230681,0.932475,0.019717,5726.54,1415.59,2481.91,28484.5,0.00126189,0.124872,11.0121,9.23949,96.4629,70.3292,0.462152,11.3225,10.5956,95.5529,120.334,0.910025,-50.0052 
153,46.05,0,0.05,1,153,6178.84,0.221826,10.1039,10.7937,95.6927,0.185515,-204.649,426.278,1.83449,3.97702,3.52235,-0.436041,1.5762,-145.655,53.3575,26.855,5080.32,4786.1,2.75165,4.89418,5.35666,0.481113,2.49335,0.664726,257.654,41.9881,5284.61,0.0524955,0.778098,0.014425,4908.11,1733.71,682.548,38555.9,0.0014269,-0.0215306,0.479044,3.46952,110.628,70.1673,0.595575,10.1505,9.70649,95.4193,120.248,15.209,-50.081 
154,45.9,3,0.05,1,154,8240.53,0.0878646,12.6511,12.4906,95.7914,0.0390194,-105.522,500,1.84839,3.88823,1.18316,-1.56421,-1.35477,-137.354,1038.27,17.2761,6105.17,5278.12,2.71326,4.75311,2.91291,-0.69933,-0.489895,0.683037,1230.92,31.5466,6297.82,0.181739,0.957075,0.00914299,6773,1987.17,2338.02,43328.9,0.00153417,0.121201,11.0754,8.69065,96.1217,70.4719,0.552963,11.8114,10.8657,95.2917,120.73,0.829993,-50.2584 
155,45.9,0,0.05,1,155,7094.98,0.190954,11.9582,11.0769,96.0045,0.47195,-436.099,10.4273,1.56698,-0.160211,2.47138,-3.89327,-1.41868,-139.528,-44.5282,26.2715,6130.13,11012,2.44555,0.718359,4.22852,-3.0147,-0.540109,-0.101859,151.173,40.7679,6325.83,0.0264386,0.679378,0.0117325,5717.91,2347.51,747.302,54105.5,0.00123455,0.0063557,-24.3422,-0.135654,100.061,71.5026,0.683001,10.753,9.82791,95.6296,120.317,4.43126,-48.8139 
