cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.05,3,0,3263.78,-0.0193273,6.33107,11.544,96.1221,0.0186387,3.47706,499.915,0.473409,1.07456,0.165745,0.309164,-0.108504,-45.6307,678.788,31.4687,2692.85,2381.3,0.760733,1.36188,0.740393,0.596489,0.178821,0.796501,742.79,36.2096,2756.85,0.234406,0.921396,0.0236234,3168.82,6.24327e-05,0.0692652,11.4865,9.40515,95.9749,70.3656,0.289249,10.7278,10.2378,95.596,119.894,0.378888,-49.5286 
1,46.05,0,1,3379.47,0.0137733,6.7276,10.5782,96.1398,-0.0206764,-21.5427,500,2.06903,-0.557929,-0.919411,-0.991771,0.378534,-43.7103,24.6805,31.7949,3284.96,2331.18,2.34427,-0.282697,-0.368947,-0.716539,0.653766,1.22637,85.9884,36.3363,3346.27,0.0283724,0.574878,0.0196107,3030.71,7.70986e-05,0.00296801,-7.09167,-2865.58,106.017,80.7966,0.401038,10.0705,9.47669,95.5509,119.458,10.4658,-38.6615 
2,45.9,3,2,4761.28,0.00652122,8.58176,11.9352,95.9146,-0.00812173,-14.3901,500,0.579072,1.52085,-0.83742,-2.10543,-0.0763952,-71.411,622.624,40.4372,4048.4,3338.08,1.02873,1.97051,0.0618914,-1.65578,0.373261,0.965202,722.785,47.8565,4148.56,0.165264,0.896162,0.0208078,4373.52,0.000341095,0.068645,11.0716,9.11461,95.8104,69.0508,0.390418,11.4036,10.6334,95.2706,119.104,0.539766,-50.0532 
3,45.9,0,3,4287.52,0.026437,8.13213,11.0836,96.0958,-0.00581887,19.7553,24.3873,1.69338,-1.5813,2.00052,-0.945835,0.0942944,-40.3615,34.6502,28.7274,4095.1,2937.88,1.94753,-1.32715,2.50881,-0.69169,0.34844,0.0994735,91.2612,32.9208,4151.71,0.0243704,0.613016,0.0143966,3744.76,0.00029113,0.00988272,-5.61244,-11.7846,110.783,52.5107,0.487117,10.5084,9.4566,95.5587,120.357,15.2247,-67.8467 
4,46.05,3,4,3229.98,-0.00121857,6.28467,11.4109,96.0588,-0.0012077,9.03857,9.4527e-12,-0.836873,1.16408,0.597691,-0.516193,3.45386,-51.716,641.999,40.6898,2691.42,2334.87,-0.511232,1.48973,1.24897,-0.190551,3.7795,0.785268,714.536,46.0629,2763.96,0.227066,0.898622,0.0297853,3146.82,3.76904e-05,0.0679162,11.2402,9.42047,96.0494,70.1657,0.27811,11.0815,10.3642,95.6011,120.069,0.448276,-49.9029 
5,46.05,0,5,3068.68,0.0148408,-6.13326,10.5935,95.8443,0.028256,2.62856,126.959,-3.13303,-1.65391,-2.09075,0.108413,-1.54575,-29.7329,46.9872,27.3726,2985.43,2117.5,-2.94581,-1.46669,-1.71631,0.295634,-1.35853,0.761348,88.6905,30.4617,3027.13,0.032221,0.624587,0.0181996,2752.57,0.000129935,0.00443352,3.60412,-4030.66,106.145,60.627,0.374009,9.88501,9.29516,95.4822,119.561,10.6632,-58.9345 
6,45.9,3,6,3968.11,-0.0163016,7.51022,11.723,95.8859,-0.115633,82.5957,451.526,-1.45013,-0.166378,-2.75919,-0.0806294,0.217672,-48.2361,601.728,24.7377,3453.26,3176.97,-1.1464,0.137352,-2.15173,0.223101,0.521402,0.109485,669.384,29.7493,3520.92,0.177659,0.927838,0.0153259,3767.79,9.61971e-05,0.0619509,11.262,9.32726,96.1769,70.4341,0.33897,11.3845,10.617,95.1725,120.145,1.00437,-49.7106 
7,45.9,0,7,3852.93,0.00785687,8.02502,10.3178,95.7136,-0.011192,-13.1478,301.719,2.99888,1.54871,0.0716048,-1.07121,2.01711,-46.8845,39.4444,22.3449,3789.12,2700.22,3.2941,1.84393,0.662043,-0.775989,2.31233,0.909759,105.204,27.2161,3854.88,0.0300799,0.688364,0.0128386,3497.5,0.000122772,0.00502626,16.7938,9.64343,117.008,55.4696,0.463132,10.2578,9.45857,95.3347,120.662,21.6738,-65.1929 
8,46.05,3,8,3318.87,0.000782444,6.4552,11.1746,95.9345,0.00264514,8.0975,2.98897e-10,-2.04136,-1.40464,-3.46398,-1.14088,-0.399711,-32.0468,602.223,27.3373,2724.19,2348.91,-1.83957,-1.20285,-3.0604,-0.939089,-0.197921,0.577283,647.172,30.6668,2769.14,0.209848,0.923425,0.0199925,3084.01,0.000123502,0.0654432,11.1855,9.61408,96.2516,70.321,0.288947,10.8851,10.2243,95.3415,120.619,0.910117,-50.2984 
9,46.05,0,9,3235.8,-0.00576916,6.71122,10.3004,95.7105,0.000529455,11.1306,7.99619e-11,-0.754722,-0.265809,-0.0752976,-0.642654,-1.69651,-27.1308,56.0875,24.8589,3148.59,2250.55,-0.583887,-0.0949737,0.266373,-0.471819,-1.52567,1.11053,94.1411,27.6776,3186.64,0.0324805,0.660282,0.0157477,2898.39,-0.134284,0.135384,1382.82,847.402,94.9793,81.2821,0.408219,9.73933,9.11707,95.301,121.583,-0.321731,-40.3012 
