cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.05,3,0,3668.84,-0.0053805,8.9961,11.906,97.8101,0.0107811,-1.05848,1.52199e-12,-0.413666,-1.90072,-4.58368,-2.78183,-1.20218,-134.433,713.436,12.464,4164.16,3487.09,0.432823,-1.05423,-2.8907,-1.93534,-0.355693,0.501873,901.992,26.431,4352.72,0.1906,0.951221,0.0110621,4732.39,-0.00134944,0.0900715,11.1746,10.2353,97.8131,65.4626,0.375042,12.1005,11.1949,97.5119,114.531,0.30125,-49.0685 
1,46.05,0,1,4131.7,-0.0918966,8.74483,11.4545,98.0901,0.0476011,-23.7704,18.0479,0.0672721,-2.83758,-0.703935,-3.84001,-0.465683,-57.6972,-38.2459,4.59556,4448.18,3297.63,0.430576,-2.47427,0.0226722,-3.47671,-0.10238,1.00405,42.68,10.5901,4529.11,0.0105951,0.697242,0.00428878,4028.3,7.07941e-06,-0.0147868,7.62914,22.6368,116.407,92.9997,0.471141,11.1617,10.0981,97.7381,114.599,18.6685,-21.5994 
2,45.9,3,2,-2167.36,0.000192539,3.76628e-15,137.75,52.4871,0.000382405,5.77862,167.47,-5.96728,-7.35837,-4.65146,-5.1139,-7.97493,-702.128,3.26858,-41.3274,4816.05,0.0719354,-1.54616,-2.93726,4.19076,-0.69279,-3.55381,1.92323,988.071,31.621,5800.86,0.16217,0.946965,0.00994165,6092.83,-0.00862174,0.089325,11.6504,9.34462,97.2466,65.4682,0.459292,13.0626,11.1454,97.2512,115.419,-0.00466679,-49.9512 
3,45.9,0,3,1636.24,-0.658383,-9.27907,11.8766,97.883,1.23122,-571.727,123.759,-2.01467,-0.122723,-0.796364,-4.55843,2.35299,-250.449,-382.028,1.63587,4604.05,26502.5,-0.437663,1.45429,2.35765,-2.98142,3.93,0.454607,-30.7494,27.6565,4955.33,-0.00710158,-1.74222,0.0101765,4329.94,-0.00315337,-0.0146092,14.0355,6.93721,70.1394,61.139,0.510325,11.4876,10.0987,97.4225,115.517,-27.2831,-54.3779 
4,46.05,3,4,-2576.52,0.000117002,-1.49299e-15,126.878,59.1544,0.000359769,5.73419,166.156,-5.32713,-8.74107,5.37912,-8.64348,-12.6626,-573.571,65.0864,-30.3367,3437.98,0.067157,-1.71551,-5.12945,12.6024,-5.03185,-9.051,2.51372,869.576,29.2552,4242.47,0.188917,0.944398,0.0125434,4602.95,-0.00755296,0.0959944,10.8715,9.27838,96.8785,65.5678,0.370676,12.0639,10.9816,97.3651,114.668,-0.486562,-49.1006 
5,46.05,0,5,7677.26,0.57201,8.74964,11.6456,97.5429,-8.22999,11934.3,278.479,0.673625,0.0708937,-3.35681,-0.436077,0.975868,207.195,253.866,41.8042,4860.73,3.20067e+06,-0.631026,-1.23376,-5.96611,-1.74073,-0.328783,0.397387,-36.7452,20.2775,4570.12,-0.00922099,29.1699,0.0081071,3984.96,0.00341335,-0.0152385,10.1179,7.51194,70,61.3025,0.474486,11.3124,10.1359,97.2431,115.252,-27.2431,-53.9491 
6,45.9,3,6,1156.72,-0.0303827,-10.4186,11.2508,98.118,0.0168878,99.0987,499.593,-2.56738,-4.16818,-4.25883,-1.83684,-3.29048,-413.621,300.783,-30.9377,5127.19,3870.3,0.0370805,-1.56372,0.950091,0.767626,-0.686016,2.91963,880.927,12.0359,5707.34,0.149224,0.976648,0.00386969,5903.38,-0.00524599,0.0889111,11.3595,9.96087,97.8339,66.2627,0.467818,12.6255,11.3233,97.5765,116.319,0.257394,-50.0561 
7,45.9,0,7,236.179,-0.0012594,-8.85031,10.6898,97.7937,0.0026247,14.5897,5.51154e-12,-3.36622,-0.704136,-1.56446,-3.09517,-4.21873,-394.234,-570.305,-27.7857,4838.86,3081.05,-0.883828,1.77825,3.40032,-0.612779,-1.73634,-0.747679,-17.3531,13.1737,5391.81,-0.00367073,-3.04397,0.00448061,4727.44,-0.00486091,-0.00339642,105.56,8.96371,118.774,63.8378,0.537027,11.725,10.1086,97.3443,115.166,21.4301,-51.3284 
8,46.05,3,8,-2223.7,0.000117002,1.29126e-14,126.878,59.1544,0.000359769,5.73419,166.156,-4.55885,-9.02129,-5.79256,-8.21119,-7.80691,-569.204,188.026,-29.1423,3625.59,0.067157,-0.974718,-5.43716,1.3757,-4.62706,-4.22278,1.09907,986.391,29.9958,4423.95,0.202151,0.949472,0.012336,4879.47,-0.00754423,0.101104,11.2984,9.94661,97.1583,66.6236,0.365902,12.3596,11.4204,97.0748,115.772,0.0835571,-49.1482 
9,46.05,0,9,-4713.57,0.000108228,-1.16074e-14,127.28,59.1246,0.000373856,5.7347,166.196,-1.04904,3.74599,-17.7018,-2.40459,7.47276,-706.412,-963.773,-54.7526,3977.03,0.0697926,3.39905,8.19407,-8.80561,2.04349,11.9208,1.52565,27.0381,18.6408,4967.84,0.00614678,0.453207,0.00686466,4398.74,-0.00956005,-0.0174731,-7.7606,10.0896,74.08,63.4253,0.490889,11.1473,10.5961,97.2304,115.788,-23.1503,-52.3627 
10,45.9,3,10,6715.5,0.155343,10.0449,12.7681,97.5603,-0.236774,123.217,263.494,0.398354,4.12512,-0.788469,-3.21525,3.9933,32.3167,799.495,34.1045,5195.54,5124.84,0.194864,3.92163,-1.19545,-3.41874,3.78981,1.36312,754.168,30.747,5150.21,0.142663,0.933405,0.0108778,5286.35,0.00114874,0.0843748,11.0528,9.07131,96.8785,66.1951,0.433313,12.4551,11.135,97.1794,115.101,-0.300893,-48.9059 
11,45.9,0,11,-2496.67,0.000117002,1.90548e-15,126.878,59.1544,0.000359769,5.73419,166.156,-4.16162,-5.70977,-2.35402,-3.81209,-3.39074,-559.345,-766.059,-33.4353,4228.12,0.067157,-0.639578,-2.18772,4.69007,-0.290046,0.131302,-1.75235,18.4769,24.6784,5012.65,0.00417122,0.299637,0.0089876,4429.61,-0.00725151,-0.00401412,83.1418,7.68368,83.1173,62.7358,0.505967,11.4027,10.1339,97.1737,114.777,-14.0564,-52.0412 
12,46.05,3,12,-808.77,-0.00649595,7.36452,-10.7504,97.5392,0.00784184,-10.4713,500,4.33185,-6.39215,-6.76701,5.26636,-9.50598,-357.267,367.102,-12.65,3327.43,2579.97,6.58146,-4.14253,-2.26778,7.51597,-7.25636,6.26457,868.203,24.4686,3828.53,0.204895,0.952998,0.0116361,4237.31,-0.00546931,0.10189,11.3681,9.01945,97.1,65.8666,0.334392,12.4571,10.8216,96.9751,114.887,0.124904,-49.0204 
