cyc,time,initial time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
1,1,9,8,1,7977.34,0.0956042,15.4029,10.546,94.4761,0.396281,-269.803,12.8255,3.60921,2.24672,0.945744,-0.381491,0.0812296,-117.96,3946.01,31.1374,3784.07,8768.42,4.35197,2.98948,2.43127,0.361274,0.823994,0.778128,4111.46,43.393,3949.52,0.541906,0.981865,0.0198376,7587.04,0.000750581,0.563222,10.087,7.98496,94.6029,71.1129,0.438667,10.2758,9.63206,93.7247,121.43,0.878174,-50.3176 
2,0.5,9.5,8,2,8037.08,0.0930961,15.8398,10.355,94.3928,0.0526444,-25.0238,20.2118,1.81257,0.774082,3.65436,0.532345,2.09328,-144.628,3888.61,30.0739,3900.42,5382.28,2.72326,1.68476,5.47573,1.44303,3.00396,0.617903,4091.46,45.1002,4103.28,0.531197,0.981075,0.0198452,7702.34,0.000693076,0.5536,10.1004,8.10556,94.5985,71.1175,0.473578,10.1197,9.36464,93.6934,121.26,0.905058,-50.1422 
3,3,7,8,3,7744.7,0.112893,14.8713,10.4513,94.4825,-0.239748,26.5491,93.0125,2.06929,2.78038,3.4875,1.14677,1.22461,-113.587,3772.78,33.1488,3692.99,5266.78,2.78451,3.49561,4.91794,1.862,1.93983,0.672135,3932.1,44.95,3852.31,0.537015,0.980387,0.021042,7322.13,0.000797786,0.533623,10.0325,8.10917,94.4882,70.9273,0.431509,10.2509,9.48457,93.7943,120.87,0.693861,-49.9425 
4,9,1,8,4,8188.4,0.0518899,16.2782,10.4468,94.5148,-0.0166923,71.6965,499.977,1.65321,1.3939,2.91726,1.02334,0.317527,-138.821,4210.48,24.799,3772.9,5574.81,2.52733,2.26802,4.6655,1.89745,1.19164,0.628245,4405.19,39.2219,3967.61,0.557853,0.984658,0.0178845,7896.68,0.0005937,0.612359,10.1223,7.99766,94.6163,71.2447,0.455204,10.3077,9.30772,93.8116,121.411,0.804735,-50.1658 
5,0.2,9.8,8,5,7835.07,0.0917178,15.6557,10.2064,94.2535,-0.424614,99.2081,277.235,2.3508,2.75163,4.06486,2.15388,-1.77205,-126.755,3643.74,23.0871,3952.88,6572.96,3.14894,3.54978,5.66114,2.95202,-0.973905,0.605165,3821.52,36.2565,4130.66,0.512508,0.983668,0.0159116,7456.51,0.000628867,0.54059,9.79655,8.04949,94.3831,70.7728,0.483865,10.1455,9.3431,93.631,121.088,0.752093,-50.3152 
6,2,8,8,6,7840.09,0.0933659,15.5615,10.2632,94.4853,-0.110305,-34.9223,11.7865,2.14025,2.86199,3.06473,1.68746,2.28435,-133.75,3919.15,26.2771,3693.19,5324.51,2.98244,3.70418,4.74911,2.52965,3.12654,0.722143,4106.75,40.1732,3880.79,0.545976,0.983169,0.0187123,7521.84,0.000746969,0.556013,9.87446,8.22001,94.5766,70.7887,0.446777,9.96397,9.43762,93.8661,120.822,0.710469,-50.0331 
7,7,3,8,7,8260.97,0.000921423,16.3573,10.4258,94.4881,-0.000849571,2.26442,2.5111e-11,0.863841,2.13754,2.94683,1.81796,1.94052,-138.86,4196.21,28.1032,3794.56,5551.65,1.73821,3.01191,4.69557,2.69232,2.81489,0.685976,4390.98,42.5302,3989.33,0.555708,0.983332,0.0192604,7901.59,0.000706645,0.602984,9.92395,8.17855,94.6096,70.5078,0.445274,10.2142,9.64004,93.7384,120.67,0.871186,-50.1626 
8,0.25,9.75,8,8,8179.41,0.00385876,16.0472,10.4692,94.5798,0.0248631,-22.7419,500,1.36956,2.24754,5.56254,1.25114,1.97724,-125.145,3793.47,27.0342,4107.64,5487.41,2.15756,3.03554,7.13854,2.03914,2.76524,0.583419,3969,40.0362,4283.17,0.512911,0.982654,0.0169273,7738.19,0.000806249,0.558578,9.90753,7.90387,94.8351,71.3764,0.491653,10.0817,9.45227,93.7745,121.835,1.06052,-50.4588 
9,5,5,8,9,7813.37,0.0974005,15.3029,10.3688,94.3378,-0.0517343,1.72159,195.501,1.19935,1.80199,2.73859,-0.0274174,1.49164,-125.583,3777,25.4539,3751.74,5168.22,1.99011,2.59275,4.32012,0.763348,2.2824,0.638445,3953.15,38.5016,3927.89,0.533511,0.983242,0.0177363,7409.69,0.000769076,0.542083,9.90605,8.17033,94.3766,71.1129,0.439714,10.2132,9.5032,93.7731,121.427,0.603422,-50.3138 
10,1,9,0,10,9390.99,0.0982012,18.6149,10.36,94.3366,-0.204966,28.8408,405.178,1.19131,-0.221612,5.17113,1.11408,1.60772,-163.248,4478.7,29.877,4626.05,6470.35,2.21923,0.806316,7.22698,2.14201,2.63565,0.519169,4707.67,46.8379,4855.02,0.524234,0.982887,0.017461,8980.09,0.000768871,0.649141,9.88838,8.16172,94.445,70.4901,0.541728,10.2872,9.59976,93.5338,120.487,0.911241,-49.9965 
11,4,6,8,11,8153.18,0.0796498,16.0585,10.4659,94.5288,-0.211227,63.1548,97.3943,0.255505,0.678878,4.37661,1.42114,1.74037,-132.261,4097.46,23.959,3809.14,5905.38,1.08832,1.51169,6.04223,2.25396,2.57318,0.55141,4282.97,37.7005,3994.65,0.549221,0.984829,0.0170882,7798.26,0.00066135,0.583878,9.98881,8.16513,94.6143,71.346,0.445491,10.2759,9.69544,93.7802,121.848,0.834148,-50.5021 
12,1,9,8,12,8257.02,0.0989067,16.1525,10.4095,94.5216,0.150617,-4.31594,26.9184,1.69711,3.19016,3.00942,3.71041,3.70012,-140.334,4010.62,27.4906,3935.85,5494.63,2.58075,4.0738,4.77671,4.59405,4.58377,0.768223,4207.45,42.0707,4132.68,0.536377,0.982803,0.0184075,7844.21,0.000759062,0.573751,9.98331,8.15898,94.61,70.7345,0.468421,10.1441,9.54909,93.975,120.942,0.634955,-50.2073 
13,0.5,9.5,8,13,7627.63,0.0143739,15.205,10.3417,94.5306,-0.0066536,0.246935,0.0334146,1.78275,1.92705,3.4834,0.859582,-1.47001,-132.993,3586.57,24.1807,3799.02,5118.95,2.62017,2.76447,5.15824,1.697,-0.632594,0.555603,3773.1,37.9982,3985.56,0.518255,0.982681,0.0172594,7280.4,0.00071671,0.514558,9.8549,8.1683,94.7227,70.5822,0.460835,9.94098,9.49132,93.7855,120.782,0.937244,-50.1997 
14,3,7,8,14,8135.75,0.0706704,16.1577,10.4413,94.2809,-0.169076,-9.74616,3.65507,0.817921,-0.0524716,1.72005,0.0431437,2.01561,-112.043,4029.35,23.7471,3892.58,5545.6,1.52342,0.653031,3.13105,0.748646,2.72111,0.643277,4186.5,35.3879,4049.73,0.540175,0.985423,0.0158419,7750.27,0.000595987,0.567841,10.0637,8.22202,94.4012,71.1846,0.468041,10.2219,9.52872,93.6345,121.398,0.766718,-50.2136 
15,9,1,8,15,8400.86,0.00350233,16.7937,10.4064,94.3433,-0.05886,18.0633,500,0.605782,1.89419,4.77992,2.35289,-0.672187,-115.935,4140.69,30.6501,3976.5,5723.69,1.33579,2.6242,6.23994,3.0829,0.057826,0.532261,4303.3,42.6953,4139.11,0.541587,0.982934,0.0186472,7945.72,0.000670837,0.597093,9.94185,8.19097,94.4841,71.6553,0.475202,10.1646,9.58621,93.6468,122.067,0.837354,-50.4115 
16,0.2,9.8,8,16,8025.73,0.0837408,15.9317,10.3463,94.817,0.00367408,63.7805,45.9372,0.529238,0.230209,3.7598,0.189987,1.22943,-128.638,3737.34,32.8926,4062.54,5373.53,1.33924,1.04021,5.3798,0.999988,2.03943,0.501809,3917.77,46.2576,4242.97,0.512021,0.979756,0.0196876,7651.58,0.000681933,0.544393,9.92342,8.01603,94.9013,70.602,0.489036,10.1017,9.49218,94.1546,120.697,0.746668,-50.0953 
17,2,8,8,17,8063.07,-0.00199074,15.7371,10.6837,94.2041,0.014632,-7.29484,4.13332e-12,1.93294,1.09131,1.11373,0.795323,1.71463,-111.848,3917.15,32.6464,3913.42,5476.68,2.63721,1.79558,2.52228,1.4996,2.4189,0.768036,4074.03,44.2669,4070.3,0.532143,0.98134,0.0196405,7655.89,0.00060343,0.554828,10.1769,8.13273,94.4214,71.7508,0.4459,10.4816,9.77224,93.4136,122.373,1.00772,-50.6226 
18,7,3,8,18,8072.44,0.0809886,16.0724,10.3383,94.5441,-0.169158,-204.004,24.9888,0.291667,1.56445,5.00268,1.34984,1.18058,-130.764,4074.81,21.9828,3765.75,6532.48,1.11505,2.38784,6.64945,2.17323,2.00397,0.535962,4258.22,35.5687,3949.16,0.550621,0.985593,0.0163204,7733.49,0.000613662,0.593871,9.87417,8.10819,94.5553,70.7237,0.449239,10.1659,9.64319,93.944,120.939,0.611286,-50.2152 
19,0.25,9.75,8,19,7893.14,0.00918976,15.618,10.4322,94.5006,0.00464241,1.51837,3.2991e-05,1.42352,0.7261,6.38044,0.900735,-0.245087,-115.429,3672.24,23.1155,3964.53,5304.12,2.15034,1.45292,7.83408,1.62756,0.481737,0.421696,3834.14,35.1081,4126.43,0.513588,0.984228,0.015431,7465.4,0.000683991,0.532899,9.90156,8.13243,94.6972,70.5266,0.473317,10.1032,9.5433,93.7648,120.895,0.93244,-50.3679 
20,5,5,8,20,8008.38,0.0879263,15.8604,10.3392,94.5144,-0.00397086,-53.6367,498.174,0.987068,2.22427,3.66322,2.7613,2.05184,-131.417,4059.96,19.5909,3689.77,5345.12,1.81457,3.05177,5.31822,3.5888,2.87934,0.680639,4244.29,33.2446,3874.1,0.554556,0.986478,0.0155616,7653.49,0.000676576,0.56961,10.0106,8.29007,94.7082,70.9516,0.436498,10.0765,9.72571,93.6745,121.227,1.03379,-50.2749 
21,1,9,0,21,10390.8,0.00405844,20.3915,10.6865,94.343,-0.0052322,-0.707697,3.52094e-11,0.643075,4.16365,1.14069,-0.198293,0.823148,-152.892,5162.85,36.8169,4950.99,7093.91,1.6058,5.12637,3.06614,0.764428,1.78587,0.751702,5377.29,52.7018,5165.44,0.541909,0.983138,0.0184479,9922.88,0.00070658,0.727607,10.2739,8.17774,94.5494,71.5355,0.586351,10.454,9.42209,93.635,122.024,0.914455,-50.489 
22,4,6,8,22,7849.19,0.0831038,15.4362,10.4347,94.7595,-0.0864821,8.62578,0.0415336,0.461925,1.24317,2.0829,0.894533,1.84741,-129.947,3849.04,33.1713,3795.75,5267.71,1.28016,2.06141,3.71938,1.71277,2.66565,0.674862,4031.3,46.6722,3978.02,0.535226,0.980142,0.0211553,7531.96,0.000618098,0.549051,9.9031,8.22094,94.8804,70.4002,0.431417,10.3595,9.8668,94.0768,120.3,0.803583,-49.8995 
23,1,9,8,23,7773.87,0.0629523,15.629,10.2317,94.5545,-0.0378676,-20.2085,0.00101758,-1.31194,-0.223655,2.30299,1.37492,-0.0366977,-116.695,3832.2,24.9979,3711.1,5230.54,-0.577141,0.511145,3.77259,2.10972,0.698103,0.420886,3995.87,37.1221,3874.77,0.539569,0.984002,0.0173422,7405.67,0.00066676,0.575124,9.77901,7.91896,94.6945,71.0819,0.458009,9.91706,9.4129,93.978,121.173,0.716533,-50.0912 
24,0.5,9.5,8,24,7400.46,0.0101475,14.7217,10.4034,94.2053,-0.0049006,4.24841,3.24755e-11,-0.461892,2.1311,4.71194,0.247162,1.46626,-122.86,3510.68,31.5086,3638.42,4986.39,0.311728,2.90471,6.25918,1.02078,2.23988,0.508555,3683,44.2733,3810.75,0.523417,0.979397,0.0209532,7036.46,0.000646866,0.519573,9.90006,7.97454,94.2719,70.7426,0.433538,10.1371,9.54173,93.4832,120.819,0.788662,-50.076 
25,3,7,8,25,7156.88,0.0796411,14.1811,10.3255,94.2661,0.0117857,3.87784,408.92,1.50533,1.54094,2.08198,0.615445,0.604741,-92.7024,3373.99,23.7091,3566.86,4768.16,2.08905,2.12467,3.24942,1.19917,1.18846,0.670135,3504.02,33.3405,3696.88,0.518555,0.983622,0.0163416,6757.27,0.000676087,0.497854,9.79154,7.95882,94.3172,71.0041,0.423689,10.1522,9.49031,93.6716,121.107,0.645519,-50.1031 
26,9,1,8,26,7533.54,0.0757416,14.9399,-10.3783,94.5998,0.115605,-75.2665,169.539,-0.233503,-0.0552458,3.76791,1.30927,1.2368,-135.172,3791.46,34.3728,3549.97,5330.66,0.617636,0.795894,5.47019,2.16041,2.08794,0.50861,3981.05,48.4166,3739.56,0.547459,0.97916,0.0232944,7271.86,0.000608919,0.554988,10.0261,7.97513,94.7282,71.216,0.429536,10.1221,9.35234,93.8419,121.414,0.886309,-50.1981 
27,0.2,9.8,8,27,8107.62,0.0820262,16.1364,10.3373,94.442,-0.0675011,-0.705923,261.655,0.445775,2.10684,3.97474,1.3346,-2.12432,-103.852,3894.83,29.746,3923.4,5431.69,1.09971,2.76077,5.28261,1.98853,-1.47039,0.453216,4040.5,40.5358,4069.06,0.530161,0.982746,0.0180203,7621.27,0.000699224,0.567687,9.91676,8.06828,94.5792,71.4236,0.470613,10.1469,9.54334,93.6238,121.741,0.955382,-50.3175 
28,2,8,8,28,8033.26,0.0116326,15.8691,10.461,94.2225,0.0241698,-6.14307,1.08023,0.154111,1.01892,0.82597,2.25356,3.30848,-128.601,4005.83,33.183,3753.78,5408.88,0.963875,1.82868,2.4455,3.06333,4.11824,0.803094,4186.2,46.5441,3934.16,0.547341,0.980914,0.0213287,7648.26,0.000676551,0.574087,9.9191,8.19364,94.5139,70.8093,0.446277,10.244,9.55788,93.4182,120.905,1.09577,-50.0959 
29,7,3,8,29,7564.56,0.0547449,14.9964,10.3718,94.4493,0.0272216,-32.8037,2.20317e-08,0.741033,0.157876,6.21636,2.24515,0.676392,-118.419,3716.54,28.5097,3635.78,5092.41,1.48669,0.903531,7.70767,2.9908,1.42205,0.46883,3882.64,40.8131,3801.87,0.537145,0.981937,0.0193915,7228.29,0.000672347,0.541534,9.97801,7.9693,94.6551,71.1848,0.445177,9.99512,9.34879,93.6795,121.241,0.975614,-50.0566 
