cyc,freq,VVA,pulsetime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
1,43.578,5,0.01,0.78,1,13478.5,-0.0664239,24.2588,12.3792,90.4945,0.161652,-172.124,11.3666,-1.42144,1.58125,1.17513,-1.95781,-0.257279,77.8493,6912.98,24.5523,7062.33,10681.7,-1.91164,1.09105,0.194739,-2.448,-0.747476,1.05096,6809.86,22.5302,6959.21,0.52651,0.994244,0.00592841,12934,4514.2,55993,57065.6,8.00687e-05,0.643934,11.9323,10.4512,91.4476,68.9117,0.631865,11.6535,11.3966,89.7801,119.534,1.66747,-50.6227 
3,43.218,5,0.01,0.78,3,13434.1,-0.0471528,24.4896,12.1339,90.3997,0.0881616,35.8986,0.363022,-0.474068,-0.678274,-2.45186,0.03117,1.8239,75.2367,6739.95,16.6621,7091.41,9776.41,-0.947814,-1.15202,-3.39935,-0.442576,1.35015,0.25966,6640.28,14.7079,6991.75,0.519055,0.996139,0.0038601,12793,4619.19,55714.9,60106.8,8.18873e-05,0.653575,11.8122,10.2001,91.2599,68.882,0.658029,11.5086,11.212,89.7142,119.386,1.54571,-50.5036 
6,43.638,5,0.01,0.78,6,15551.5,-0.0712037,28.2418,12.247,90.5598,-0.00588028,74.2934,117.637,-2.43499,-0.0766406,-1.93031,-3.22963,-1.98083,97.3393,8063.79,13.3449,7864.97,11273.7,-3.04791,-0.68956,-3.15615,-3.84255,-2.59375,0.763228,7934.85,10.8166,7736.03,0.538227,0.99762,0.00256903,14742.6,5986.02,79881.8,71302.1,1.5433e-05,0.773957,11.9217,10.391,91.3422,68.8968,0.703642,11.7559,11.427,89.9485,119.709,1.39367,-50.8123 
7,43.038,5,0.01,0.78,7,14051.5,-0.0255837,25.5678,12.151,90.7995,0.00331682,-27.1973,500,-4.6549,0.517739,-3.10613,-1.46988,-0.784119,97.6227,7221.13,16.4858,7124.43,10116.4,-5.2696,-0.0969656,-4.33554,-2.08458,-1.39882,0.671189,7091.81,13.9501,6995.11,0.535331,0.996569,0.00366021,13247.5,5053.96,65333.6,61860.2,6.67876e-05,0.708949,11.8677,10.1444,91.582,68.9362,0.668736,11.5585,11.1328,90.2703,119.65,1.31168,-50.7133 
10,43.338,5,0.01,0.78,10,14621.5,-0.054274,26.4021,12.2625,90.4124,0.101882,34.9823,132.801,-1.56292,-0.782978,-0.956598,-0.261445,-0.520471,111.336,7327.15,22.1856,7604.87,10655.3,-2.26398,-1.48403,-2.3587,-0.962498,-1.22152,0.715501,7179.66,19.2938,7457.39,0.522455,0.995319,0.0047433,13742.2,5259.83,65364.3,67283.3,0.00016873,0.700189,11.9764,10.2963,91.1017,69.1316,0.688435,11.6409,11.3334,89.9612,119.755,1.14051,-50.623 
11,43.308,5,0.01,0.78,11,13567.9,-0.0428791,24.2887,12.334,90.4656,0.111109,-97.4578,110.597,-1.14114,-1.08366,2.9473,0.727405,1.96121,71.7437,6834.38,22.2103,7033.56,10104.7,-1.59289,-1.53541,2.0438,0.275654,1.50946,-1.91712,6739.35,20.3468,6938.52,0.524657,0.994744,0.00537284,12845.2,4489.28,55703.2,56924.6,0.000179396,0.642092,11.9335,10.4546,91.1896,69.1438,0.628984,11.67,11.4466,89.8125,119.81,1.37712,-50.6657 
16,42.978,5,0.01,0.78,16,13266.9,-0.0436934,24.2055,12.1103,90.8356,0.0254673,-83.0476,10.2454,-3.15579,-2.1551,-2.20674,0.58639,-0.488573,57.3634,6700.5,21.664,6824.86,9611.45,-3.51699,-2.5163,-2.92915,0.225188,-0.849775,0.694467,6624.51,20.1741,6748.87,0.527281,0.994699,0.00547636,12563.5,4464.15,55925.8,56296.7,0.000199441,0.656497,11.6449,10.2983,91.5797,69.0679,0.641622,11.5598,10.9844,90.2532,119.583,1.32649,-50.5146 
19,43.458,5,0.01,0.78,19,12666.4,-0.0274512,22.2743,12.4918,90.6099,-0.00836842,-16.8051,44.977,-3.54492,0.0307889,1.89936,0.192336,-0.951331,100.645,6249.72,22.2236,6513.4,9062.39,-4.17866,-0.602949,0.631889,-0.441402,-1.58507,1.10231,6116.4,19.6094,6380.07,0.521394,0.994421,0.00562991,11730.9,3950.32,48993.8,49846.8,0.000389084,0.616526,11.9007,9.97664,91.1934,68.7332,0.595667,11.7555,11.0494,90.0247,119.373,1.16869,-50.6395 
20,42,0,0.01,0.78,20,14295,-0.0370528,25.545,12.3198,90.8771,-0.006829,17.1569,3.59602,-3.91937,0.683251,-2.90314,-1.66558,-0.707798,74.3741,7212.72,15.9161,7282.12,10248.7,-4.38768,0.214937,-3.83977,-2.1339,-1.17611,0.660873,7114.2,13.9843,7183.6,0.529497,0.996572,0.00357322,13435.8,4993.75,63908.1,61875.5,0.000306711,0.696634,11.8687,10.2629,91.5804,68.9772,0.663345,11.6746,11.1903,90.2723,119.626,1.30809,-50.6486 
22,43.398,5,0.01,0.78,22,13978.9,-0.0542657,25.2562,12.2662,90.6166,-0.18878,107.593,451.772,-1.95129,0.640015,-2.65647,1.9556,2.72655,40.3069,6973.8,19.8496,7297.76,10746.1,-2.2051,0.386213,-3.16407,1.70179,2.47275,-2.91393,6920.4,18.8027,7244.37,0.520509,0.995268,0.00475842,13295.4,4873.34,60585.4,62141.2,0.00017046,0.685797,11.7531,10.1528,91.3996,69.1495,0.660956,11.7507,11.2583,89.9845,119.849,1.41509,-50.6993 
