cyc,freq,pulsetime,waittime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
116,43.2355,0.64,0.01,1.62,116,12465.8,-0.111123,23.0978,13.1006,90.1861,0.120844,-90.1115,7.89153,0.726274,2.12361,5.08311,0.290087,0.923639,-12.3251,6239.54,17.1023,7629.14,10204.9,0.803882,2.20122,5.23832,0.367695,1.00125,0.455043,6255.87,17.4224,7645.47,0.481818,0.99515,0.00418023,12983.9,3898.74,40741.7,57049,-0.00141305,0.504338,13.1359,11.4363,90.8776,68.7478,0.572526,12.9619,12.6547,89.589,119.6,1.28855,-50.852 
117,43.2455,0.64,0.01,1.62,117,13890.5,-0.325549,24.9271,13.5853,90.0218,-0.611392,-1.08623,0.000709437,1.70749,-0.00667764,0.504364,2.97175,-2.19992,-49.5822,6596.33,20.4272,8629.74,11045.5,2.0197,0.305528,1.12878,3.28396,-1.88771,0.767275,6662.01,21.715,8695.42,0.46542,0.994328,0.00457921,14314,4504.7,42291.9,71299,-0.00126617,0.500561,13.4424,11.7468,91.0181,69.4827,0.632422,13.0705,12.8641,89.5222,120.841,1.49591,-51.3585 
118,43,0.64,0.01,0,118,15136.9,-0.135192,26.8327,13.7148,89.9769,-0.116812,230.082,0.000123062,1.83564,4.01939,1.81064,1.22708,0.919702,24.7018,7906.72,22.2686,8689.79,12854.7,1.6801,3.86385,1.49956,1.07154,0.764161,0.831116,7874,21.627,8657.07,0.508255,0.995216,0.00458084,15492.2,4888.41,56948.6,66548.9,-0.00160563,0.559322,13.8245,12.3833,90.8812,69.6227,0.577768,13.6763,13.7896,89.3943,120.806,1.48685,-51.1831 
119,43.238,0.64,0.01,1.62,119,12787.7,-0.342192,23.4021,13.5276,90.2157,0.144232,633.24,482.73,0.844111,0.803134,3.07016,4.20324,1.66713,-0.854686,6133.88,21.5366,8008.79,13278.7,0.849493,0.808516,3.08093,4.20863,1.67251,0.709896,6135.01,21.5588,8009.92,0.465347,0.993888,0.00493358,13183.7,4005.97,38031.8,62663.3,-0.00145616,0.475337,13.6034,11.6185,91.0837,68.8419,0.597238,13.1792,12.5786,89.6987,119.905,1.38501,-51.0633 
120,43.253,0.64,0.01,1.62,120,12832,-0.180466,23.2746,13.3504,90.0818,-0.131234,758.282,500,-0.198164,2.40882,6.79276,0.916995,2.59759,30.1079,6386.75,14.1434,7785.15,13354.6,-0.387745,2.21924,6.4136,0.727413,2.40801,0.43644,6346.87,13.3613,7745.27,0.482186,0.996329,0.00316774,13162.7,4068.03,42297,60105.9,-0.00121777,0.514815,13.2451,11.2431,90.8705,68.266,0.594368,12.773,12.5348,89.6388,119.138,1.2317,-50.8724 
121,43.263,0.64,0.01,1.62,121,16235.5,-0.0787376,28.8291,13.287,90.1759,0.315737,-99.252,0.00271591,2.02026,1.42887,5.71437,2.8754,2.48619,-26.3897,8261.88,27.1705,9321.45,13489.8,2.18643,1.59504,6.04671,3.04157,2.65236,0.610445,8296.84,27.8559,9356.41,0.501912,0.994159,0.00545441,16530.5,6040.5,68445.8,84809.5,-0.00136607,0.640193,13.4132,11.6777,91.1323,69.0735,0.695304,13.055,12.673,89.6042,120.171,1.5281,-51.097 
122,43.248,0.64,0.01,1.62,122,15369.7,0.00961053,27.7726,13.1921,89.9929,-0.00955516,30.5576,0.162977,0.300088,3.16523,1.80934,1.63761,2.16131,4.02981,8011.32,27.7192,8975.24,11936.4,0.274713,3.13985,1.7586,1.61223,2.13594,0.802878,8005.98,27.6145,8969.9,0.503537,0.994,0.00563908,15899.5,5478.54,62058.7,76942.6,-0.0016714,0.600788,13.5301,11.9539,90.9328,68.9728,0.654623,13.0699,12.9951,89.4111,120.142,1.52164,-51.1688 
123,43.233,0.64,0.01,1.62,123,13233.2,-0.345795,24.7259,13.2112,90.1149,-0.113414,-35.2905,440.386,-0.701203,1.19007,1.25952,0.889512,1.86289,-25.8181,6483.83,19.8039,8227.11,10764.1,-0.538633,1.35264,1.58466,1.05208,2.02546,0.710628,6518.03,20.4745,8261.31,0.472733,0.994533,0.00454464,13788,4285.2,42639.7,65559,-0.00151428,0.508964,13.2876,11.6336,91.0233,69.0291,0.609126,12.9277,12.9041,89.5715,120.045,1.45178,-51.0158 
124,43.208,0.64,0.01,1.62,124,15869.7,-0.149317,29.0232,13.0789,90.1496,0.199363,137.745,500,0.335665,0.336824,3.16537,1.12356,1.61543,-36.2337,8345.34,16.8448,9056.58,13250.9,0.563819,0.564978,3.62168,1.35171,1.84358,0.5442,8393.34,17.7859,9104.58,0.511622,0.996305,0.00358568,16405.4,5925.03,69446.7,81253.8,-0.00159247,0.6446,13.3488,11.7653,91.1422,69.3906,0.683317,12.8399,12.7998,89.5702,120.373,1.57194,-50.9821 
125,43.178,0.64,0.01,1.62,125,15451.7,-0.179063,27.8757,13.3275,90.2153,0.275053,269.963,500,1.9536,0.984751,4.09472,0.357187,1.48098,0.474296,8103.95,14.9623,8864.93,14511.2,1.95062,0.981765,4.08874,0.354201,1.47799,0.538168,8103.32,14.95,8864.3,0.509518,0.996782,0.00309717,15903.9,5590.72,65907.1,75953.2,-0.00153724,0.62879,13.2366,11.8321,91.1615,69.181,0.655681,13.1833,12.6416,89.5718,120.213,1.58975,-51.0324 
126,43.288,0.64,0.01,1.62,126,14981.5,-0.35968,27.2626,13.4327,89.8866,0.163276,65.2988,395.173,-0.481417,1.97313,-0.535055,1.70898,3.37246,-28.8936,7747.93,22.5333,8732.68,12268.4,-0.299481,2.15506,-0.171184,1.89092,3.5544,1.02401,7786.21,23.2838,8770.96,0.502185,0.994794,0.00486634,15504.7,5350.94,60639.9,74712.6,-0.00144694,0.606175,13.2875,11.6504,90.745,69.0917,0.657479,13.0286,12.4996,89.2663,120.03,1.47875,-50.9379 
