cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
1,90,0,1,15011.2,-0.367684,28.4095,12.945,88.5654,-0.137351,593.573,277.139,-1.46341,1.95036,-2.43638,-0.593202,1.3803,-59.08,9.53329,2129.15,5982.56,14625.8,-1.0914,2.32237,-1.69236,-0.221191,1.75231,2.58204,15.1135,2143.66,5988.14,0.00285986,0.00401258,0.397389,5284.68,9895.04,23.4802,152847,-0.000945697,-0.016348,9.29111,8.57565,100,62,1.21099,12.8213,12.6609,88.6692,128.464,11.3308,-66.4637 
2,45,0,2,14624.8,0.0249476,27.4554,12.6388,88.5173,-0.0404791,-2.229,500,-1.88722,-1.24605,-1.73037,1.50242,1.87129,-85.66,23.8515,2256.39,5906.1,11299,-1.34785,-0.706674,-0.651615,2.0418,2.41067,1.37313,31.9422,2277.43,5914.19,0.00609999,0.00795087,0.414984,5236.43,9503.57,24.1809,148576,-0.000927406,-0.0113153,-7.88019,7.57635,100,62,1.19623,12.7291,12.5435,88.5663,126.814,11.4337,-64.8139 
3,15,0,3,15066.6,-0.361846,28.4147,12.9617,88.5457,0.356616,359.736,287.272,-0.811805,-0.780295,-3.98401,0.0427522,-0.981464,-80.612,11.8292,2407.94,5998.33,16165.7,-0.304213,-0.272703,-2.96883,0.550344,-0.473872,0.14425,19.4431,2427.73,6005.94,0.00366528,0.00455558,0.426809,5304.67,9992.57,22.3871,153306,-0.00102676,-0.014685,-7.72492,7.33106,100,62,1.21718,12.8226,12.6708,88.5802,127.615,11.4198,-65.6153 
7,150,0,7,15795,-0.348461,29.5687,12.9396,88.582,0.151276,-895.662,389.373,-1.78799,-2.54112,-1.53513,-1.62953,1.31483,-159.247,1.46646,2346.8,6200.51,16865.9,-0.785254,-1.53839,0.470338,-0.626795,2.31756,3.89382,16.5075,2385.91,6215.56,0.00300891,0.003938,0.414216,5486.2,10673.7,24.4292,163565,-0.000943342,-0.0125588,9.39429,8.24151,100,62,1.24957,12.8369,12.8317,88.5725,128.169,11.4275,-66.169 
8,75,0,8,14888.7,-0.297282,27.3211,13.0711,88.5619,-0.144941,58.7293,45.7974,0.188149,-1.35152,1.99394,-0.646703,1.2179,-140.659,3.29998,2084.71,5863.39,11902.5,1.07384,-0.465823,3.76533,0.238991,2.10359,0.439344,16.5854,2119.25,5876.68,0.00319684,0.00445213,0.399147,5188.06,9389.13,24.9871,146309,-0.000622189,-0.00876161,-8.74353,7.57826,100,62,1.18394,12.8362,12.5343,88.4804,126.283,11.5196,-64.2829 
9,30,0,9,15156.2,0.000492841,28.7703,12.5635,88.6405,-0.0166132,42.9431,2.013e-11,-2.58551,-0.437834,-1.03154,-0.366348,1.4933,-91.2723,10.5045,2432.15,6168.76,11789.8,-2.0108,0.136883,0.11789,0.20837,2.06802,0.773447,19.1253,2454.57,6177.38,0.00350587,0.00443268,0.422618,5455.22,10403.6,26.6042,162336,-0.00107054,-0.0138088,9.42692,9.00443,99.9998,62,1.25436,12.7413,12.4967,88.6454,126.533,11.3544,-64.5326 
10,1,0,10,16108.3,-0.0186369,30.1486,12.5969,88.9035,-0.000372858,5.23092,5.8889e-13,-1.15881,0.576245,-2.20492,0.17752,1.02896,-108.458,5.57504,2282.37,6464.29,12363.1,-0.475882,1.25918,-0.839053,0.86045,1.71189,1.33341,15.819,2309.01,6474.53,0.00276875,0.00389959,0.396481,5713.41,11370.5,22.3038,178363,-0.000949277,-0.0144227,10.317,9.38587,100,62,1.30339,12.756,12.6407,88.9468,126.456,11.0532,-64.4563 
15,60,0,15,16590.8,-0.153873,31.0035,12.6303,88.6812,-0.0481555,294.689,0.230812,-1.63383,-2.28167,0.208758,-1.22689,-2.05247,-125.193,26.5868,2495.43,6465.13,13209.3,-0.845521,-1.49336,1.78537,-0.438587,-1.26416,1.79129,38.4113,2526.17,6476.96,0.00669405,0.00861394,0.418085,5738.13,11600.8,23.9092,177812,-0.000916579,-0.0134549,8.01752,8.61715,100,62,1.29848,12.9348,12.8139,88.6363,127.022,11.3637,-65.0219 
18,105,0,18,15616.6,-0.038277,29.1019,12.772,88.3626,-0.18861,169.273,0.525547,-0.892909,0.401702,-4.8876,-0.146164,-1.05125,-134.637,2.26825,2241.58,6219.56,13139,-0.0451327,1.24948,-3.19204,0.701613,-0.203475,-1.14294,14.9849,2274.65,6232.28,0.00272483,0.00375033,0.402032,5499.39,10682.3,22.585,164781,-0.000973159,-0.0157977,8.09227,8.99521,99.1939,62,1.26027,12.8675,12.5905,88.4112,127.24,10.7827,-65.2396 
19,120,0,19,14442.1,-0.317838,27.3993,12.7648,88.4886,0.208678,174.907,482.213,-0.499648,-1.06776,0.688129,-0.51139,0.0531446,-125.249,5.12488,2083.77,5859.74,12573.6,0.289009,-0.279107,2.26544,0.277267,0.841802,0.332597,16.9547,2114.53,5871.57,0.00327063,0.00456094,0.39882,5183.94,9274.66,22.4984,146614,-0.000752276,-0.0113477,-10.9222,8.72422,100,62,1.19156,12.5845,12.4756,88.5189,127.22,11.4811,-65.2198 
