cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
1,90,0,1,7558.01,-0.287983,18.7527,10.4961,89.1519,0.267926,134.59,89.2532,-1.30235,-0.780344,0.700917,0.45734,0.474582,-67.9424,-18.0668,971.968,4460.73,7581.32,-0.874537,-0.352528,1.55655,0.885155,0.902397,0.264751,-11.6496,988.653,4467.15,-0.00297225,-0.00677895,0.289615,3919.44,4646,24.2716,86312.1,-0.00137013,-0.00868383,9.3361,9.61456,100,62,1.00227,10.6421,10.294,89.0134,125.289,10.9866,-63.289 
2,45,0,2,7260.1,-0.242131,17.3752,10.6565,89.142,-0.378843,571.374,474.319,-1.91181,-0.926182,-1.81353,0.212766,-0.732895,-83.4604,2.02673,1007.92,4200.48,13074,-1.38628,-0.400654,-0.762471,0.738294,-0.207367,0.622255,9.90965,1028.42,4208.36,0.00266871,0.00547602,0.310423,3713.27,4060.76,24.4312,77041.6,-0.000887596,-0.00289633,-44.0726,0.144236,98.2561,62.7859,0.958365,10.3465,10.0447,88.9912,124.568,9.26491,-61.7819 
3,15,0,3,7184.9,-0.0422527,17.4994,10.6485,89.0815,0.00915564,17.6116,7.67064,-1.88442,0.410518,-0.626201,-0.98321,-2.02545,-59.8274,-4.68683,822.28,4298.61,6071.3,-1.5077,0.787235,0.127233,-0.606493,-1.64873,1.04467,0.963929,836.972,4304.26,0.000254421,0.000657673,0.263732,3788.71,4294.33,24.3256,80591.5,-0.415888,0.416595,-1466.91,1020.14,89.4231,71.341,0.969089,10.7518,9.99222,89.0094,125.377,0.4137,-54.0363 
7,150,0,7,7384.83,-0.00233051,17.3484,10.4541,88.8026,-0.00580568,-14.364,500,-1.47453,0.631263,3.28839,-0.414831,-0.789228,-127.166,-2.93103,999.169,4307.64,5906.67,-0.673803,1.43199,4.88985,0.385899,0.011502,0.191151,9.07992,1030.4,4319.65,0.00238295,0.00501023,0.305271,3810.37,4284.96,23.1013,80801.9,-0.000972298,-0.0117552,6.59656,8.84269,96.7943,62,0.980439,10.5103,9.97796,88.6111,124.768,8.1832,-62.7678 
8,75,0,8,7511.59,-0.255451,18.3382,10.477,88.8068,0.0818126,214.394,366.756,0.284381,-0.0760009,-0.333585,0.505424,1.80968,-97.7036,-3.41944,870.776,4479.34,6825.44,0.899594,0.539213,0.896843,1.12064,2.42489,0.847506,5.80877,894.77,4488.57,0.00146844,0.00369595,0.268585,3955.75,4581.47,23.4456,87291.8,-0.00109548,-0.0130649,9.19295,8.02373,100,62,1.02,10.4124,9.99234,88.671,125.438,11.329,-63.4376 
9,30,0,9,7702.55,-0.277324,19.0327,10.4431,89.1135,0.355794,306.725,394.154,-1.14779,-0.107035,-1.30999,-0.345779,1.4985,-69.6321,1.54592,1106.08,4558.21,10022.9,-0.709337,0.33142,-0.433083,0.0926765,1.93696,1.35538,8.12275,1123.18,4564.78,0.00201801,0.00411553,0.31189,4025.13,4808.31,21.5693,90944,-0.00119478,-0.00616131,8.40577,8.26845,99.9998,62,1.04405,10.4175,10.0326,88.9484,125.539,11.0514,-63.5385 
10,1,0,10,7608.08,-0.00416942,17.8389,10.6299,89.0221,-0.00111345,-0.29186,500,-2.62049,-0.546211,-2.50428,-0.553336,-0.313516,-47.8546,0.790008,933.853,4321.14,6172.98,-2.31916,-0.244884,-1.90163,-0.252009,-0.0121887,0.597953,5.30992,945.605,4325.66,0.00139299,0.00319852,0.287085,3811.89,4367.81,20.9576,81210.2,-0.00104452,-0.0126301,-0.0948222,9.61317,94.0836,62.0596,0.974662,10.6456,10.1934,88.8784,125.348,5.20522,-63.2887 
15,60,0,15,7822.88,-0.0315835,19.0446,10.3615,89.2033,-0.126534,19.1598,500,-0.514445,-0.581393,-0.373606,0.977712,-3.37942,-53.3263,-0.685595,995.192,4552.79,6502.7,-0.178664,-0.245612,0.297956,1.31349,-3.04364,1.1605,4.35113,1008.29,4557.83,0.00108365,0.00245985,0.289527,4015.24,4803.5,22.0557,90043.1,-0.00119331,-0.00990575,9.18952,7.9521,100,62,1.02704,10.5293,10.2525,89.1071,126.408,10.8929,-64.408 
18,105,0,18,7326.18,-0.19789,17.8221,10.3783,89.1035,-0.221671,111.373,2.83199e-11,-1.10411,1.82978,-0.411614,-1.6733,-1.99244,-95.1468,-14.1117,916.578,4326.33,6824.84,-0.504997,2.4289,0.786614,-1.07418,-1.39333,-2.237,-5.12501,939.944,4335.31,-0.00134516,-0.00312543,0.285402,3809.95,4290.54,20.6828,81380,-0.00104935,-0.00930453,10.4671,-9.71327,97.7293,62,0.981459,10.3857,10.1329,89.0191,125.221,8.71021,-63.2206 
19,120,0,19,7378.8,-0.0199419,17.3455,10.4943,89.047,-0.0084083,-14.1225,500,-0.697533,1.28562,-1.66922,0.660387,-1.59437,-123.094,-4.96939,926.102,4231.37,5929.48,0.0775544,2.06071,-0.119044,1.43547,-0.819287,1.04517,6.65692,956.331,4242.99,0.00177969,0.0039619,0.293383,3740.49,4123.18,20.5931,77817.7,-0.000911626,-0.00989772,8.89516,7.45871,99.1821,62,0.95378,10.4547,10.2282,88.9423,125.159,10.2398,-63.1592 
