cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,45.6559,0,23801.6,-1.05247,38.6238,16.4758,122.257,-1.59437,-215.359,2.52218,-8.99649,-2.82406,-9.48272,-2.41185,-0.0408875,376.792,10170.7,156.298,14837.1,31893.1,-11.3691,-5.19662,-14.2278,-4.78441,-2.41344,0.625498,9642.24,136.724,14308.6,0.497738,0.975786,0.0172975,19372.1,-0.00161031,0.497324,16.612,15.2867,122.977,85.981,0.753149,15.8819,15.6967,120.212,136.477,2.76545,-50.4962 
1,42.7959,1,21736.8,-0.0163497,33.9611,-16.1294,122.234,0.0493144,-37.8765,7.55301e-12,-9.85318,-5.55598,-15.6094,-5.02286,-2.82624,243.664,9770.63,160.77,13612.2,17892.6,-11.3875,-7.09027,-18.678,-6.55715,-4.36053,0.611469,9428.87,148.112,13270.4,0.510973,0.973246,0.0201456,18452.8,-0.00206456,0.486336,16.8325,15.0468,122.923,85.6012,0.693599,16.003,15.4845,120.292,135.675,2.63105,-50.0742 
2,44.0559,2,23522.6,-0.0464477,36.3391,16.4225,122.706,0.0561983,-1.76067,95.6067,-5.95051,-1.30663,-6.19065,-1.41117,-0.354623,282.506,9852.67,159.423,15227.4,19430.3,-7.72938,-3.0855,-9.74839,-3.19003,-2.13349,0.623422,9456.43,144.747,14831.1,0.483913,0.973912,0.0176609,19541.6,-0.00198283,0.480861,16.7262,15.2708,123.503,85.1524,0.750497,16.4163,15.6632,120.724,135.387,2.77922,-50.2349 
3,42.3159,3,23052.6,-1.09658,37.2088,16.7995,122.457,0.944846,361.409,151.972,-5.53095,-5.22044,-9.65113,-3.18191,-0.967463,394.617,10065.2,141.611,14549.5,31465,-8.01575,-7.70524,-14.6207,-5.66671,-3.45226,0.629486,9511.67,121.111,13996.1,0.499852,0.978203,0.01569,19029,-0.00199951,0.491594,16.8021,15.2478,123.193,85.6936,0.725703,16.2765,15.6053,120.214,136.107,2.97905,-50.4135 
4,44.4359,4,23228.8,-1.08626,36.7088,17.1008,122.078,1.07073,-10.7886,218.734,-7.89771,-7.7123,-8.58143,2.38974,-5.07017,319.714,10253.1,156.044,14662.9,20811.4,-9.91086,-9.72545,-12.6077,0.376588,-7.08332,0.676316,9804.7,139.435,14214.5,0.503566,0.975717,0.0177492,19470.5,-0.00203314,0.504895,16.836,15.0171,122.883,85.1949,0.735872,16.2916,15.452,119.83,135.248,3.05231,-50.0535 
5,43.7159,5,22849.9,-1.00551,35.8965,17.0033,122.187,0.713608,228.233,84.9252,-6.58341,-7.34503,-9.94231,-3.181,-4.57978,296.038,9880.17,151.115,14518,25171.2,-8.44749,-9.2091,-13.6705,-5.04507,-6.44385,0.680716,9464.95,135.737,14102.8,0.496722,0.975518,0.0174211,19054.8,-0.00193088,0.480802,16.9775,15.1369,123.027,85.122,0.730579,16.3785,15.3165,120.103,135.586,2.92447,-50.4639 
6,46.2159,6,23176.3,-0.0216394,36.7343,16.034,122.136,7.65611e-05,4.2358,500,-3.96974,-4.30843,-9.39572,-4.28323,-0.391845,329.519,10416.7,164.011,14326.6,19173.8,-6.04464,-6.38333,-13.5455,-6.35812,-2.46674,0.610743,9954.54,146.894,13864.5,0.513587,0.974826,0.0191434,19382.4,-0.00195565,0.503933,16.7494,15.573,122.68,85.4383,0.739985,16.0057,15.175,119.806,135.303,2.87378,-49.8646 
7,44.7359,7,24131.9,-0.00219488,37.0848,16.4055,122.267,-0.0154448,5.12333,500,-11.5163,-9.51663,-7.3669,-4.07546,-3.69213,263.048,10126,157.634,15768.3,19807.9,-13.1726,-11.173,-10.6796,-5.73181,-5.34848,0.768366,9757.02,143.97,15399.3,0.482339,0.974828,0.0169304,20228.6,-0.00223614,0.482917,17.0657,15.4059,123.074,85.3375,0.780622,16.3737,15.6332,120.431,135.869,2.64349,-50.5317 
8,44.5959,8,24031.5,-1.09029,38.5999,16.7265,122.207,10.4981,2871.47,195.524,-9.24004,-5.40707,-11.0096,-4.68736,-6.44322,363.726,10336,153.508,15139,1.00233e+06,-11.5303,-7.69735,-15.5902,-6.97764,-8.7335,0.69146,9825.81,134.613,14628.9,0.49692,0.976586,0.0166683,19773.4,-0.00189664,0.497437,16.9384,15.28,122.802,85.5614,0.760673,16.129,15.657,120.204,136.05,2.59795,-50.4889 
9,45.4759,9,24260.1,-0.0765767,37.9046,16.1541,122.748,-0.0475974,58.8907,499.904,-1.09595,-6.95618,-15.5616,-1.47741,-1.76318,377.929,10734.9,171.611,15132.4,20024.1,-3.47567,-9.3359,-20.321,-3.85713,-4.1429,0.505963,10204.8,151.978,14602.3,0.506836,0.9746,0.0188116,20134.4,-0.00201532,0.523036,16.755,15.363,123.411,85.1931,0.748415,16.2469,15.6796,120.401,135.59,3.00959,-50.3969 
