cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.3518,0,28742.8,0.0218691,61.6432,11.1563,120.633,-0.062523,-26.7894,2.09049e-11,-5.70394,-8.41785,-3.80186,-0.932807,3.29691,107.247,13865.9,61.0108,17318.3,22441.8,-6.37924,-9.09315,-5.15247,-1.60811,2.6216,0.737271,13715.5,55.4396,17167.9,0.5402,0.992976,0.00591346,25389.7,-0.00287842,1.47803,11.3447,10.1843,120.878,88.237,1.67559,11.4779,11.514,119.774,138.254,1.10405,-50.0166 
1,43.1318,1,28432.2,0.0812713,60.9442,11.1095,120.991,-0.0302722,-33.1622,2.09082e-12,-3.78264,-7.34226,-8.06788,-3.8579,-2.10408,113.873,13867.8,57.1295,16828.5,22073.2,-4.49967,-8.05928,-9.50193,-4.57493,-2.82111,0.67743,13708,51.214,16668.8,0.547384,0.993504,0.00562792,25042.8,-0.00270219,1.49385,11.3225,10.1525,121.262,88.1935,1.60794,11.4365,11.6499,120.144,138.072,1.11808,-49.8785 
2,43.4118,2,29233.6,-0.189761,61.1532,11.4162,120.567,0.240415,-7.40106,1.7739e-07,-5.92297,-5.9606,-8.08397,-2.03324,1.65705,47.4178,13449.8,66.2947,17872,22784.7,-6.22155,-6.25918,-8.68113,-2.33181,1.35847,0.607814,13383.3,63.8315,17805.5,0.52502,0.991722,0.0065605,25491,-0.0025211,1.42008,11.5784,10.0842,120.99,88.4451,1.71732,11.6455,11.3732,119.615,138.413,1.37448,-49.9674 
3,43.2318,3,29015.5,0.0150059,61.5133,11.2133,120.8,-0.0683164,8.95904,1.8827e-11,-5.33275,-5.86297,-7.87217,-3.11167,-1.36959,50.9879,13396.5,43.7878,17669,22474.2,-5.6538,-6.18403,-8.51428,-3.43273,-1.69065,0.665785,13324.9,41.1391,17597.5,0.52686,0.994626,0.00428798,25291.2,-0.00246806,1.43707,11.2687,10.1447,121.129,88.9656,1.69896,11.4925,11.5526,119.932,139.209,1.19633,-50.2431 
4,43.3718,4,27535,-0.593827,57.704,11.532,120.723,0.31676,876.751,488.413,-4.78621,-4.10204,-12.2732,-4.08839,-1.27058,63.57,13022.5,38.3977,16421.5,30703,-5.18649,-4.50232,-13.0738,-4.48867,-1.67086,0.547966,12933.4,35.0953,16332.4,0.538007,0.995274,0.00394275,24039.4,-0.00240341,1.35288,11.6141,10.2406,121.167,88.9951,1.56302,11.7044,11.4738,119.758,139.273,1.40912,-50.2782 
5,43.1718,5,30141.4,-0.660987,63.1567,11.5534,120.748,1.50389,-1017.16,168.46,-4.17049,-2.64829,-4.87629,-3.86645,0.148372,39.6306,14320,62.2119,17916,73550.2,-4.42004,-2.89783,-5.37537,-4.11599,-0.101172,0.682126,14264.4,60.1532,17860.4,0.540125,0.992674,0.00616589,26409.5,-0.00257163,1.50625,11.4969,10.2038,121.149,88.424,1.71269,11.6495,11.4467,119.839,138.549,1.3095,-50.1247 
6,43.5118,6,30283.9,-0.181013,63.6072,11.3067,120.793,-0.214584,377.367,500,-5.94457,-7.01685,-12.7533,-1.88474,-1.39075,56.9831,14329.2,67.1382,17981.9,26047.9,-6.30338,-7.37566,-13.471,-2.24355,-1.74955,0.56745,14249.3,64.1781,17902,0.539284,0.99218,0.00656057,26422.7,-0.00253483,1.51638,11.4671,10.1802,121.069,88.7343,1.721,11.5507,11.5353,119.829,138.91,1.2406,-50.1756 
7,43.4518,7,27542.2,-0.152782,60.5758,10.9972,120.927,-0.197653,20.9059,499.77,-10.4457,-5.98041,-9.3957,-3.2832,-2.46532,87.4823,13184.7,60.7966,16821.7,21820.3,-10.9965,-6.53126,-10.4974,-3.83406,-3.01617,0.699003,13062,56.2521,16699,0.53495,0.99252,0.00616704,24417.3,-0.00293891,1.46761,11.1045,9.98811,121.131,88.8318,1.66828,11.3691,11.365,120.118,138.96,1.01344,-50.1284 
8,43.1118,8,30287.9,-0.312901,62.6819,11.4825,120.693,2.90812,-2236.4,497.037,-4.85061,-3.15309,-5.86614,-0.632662,2.88013,88.6485,14540.8,70.4059,17882.5,235147,-5.4088,-3.71128,-6.98253,-1.19086,2.32194,0.533613,14416.4,65.8008,17758.1,0.544182,0.992076,0.00677945,26492,-0.00266838,1.53112,11.507,10.231,120.981,88.0982,1.65987,11.8201,11.6195,119.803,137.913,1.17778,-49.8148 
9,43.3118,9,23413.4,-0.739772,49.8735,-11.8794,121.001,0.182279,105.803,308.265,-9.10881,-1.99224,-0.977781,-5.33407,-3.13909,45.1275,10725.2,52.046,15187.3,19914.5,-9.39296,-2.2764,-1.54609,-5.61823,-3.42325,0.930534,10661.9,49.7017,15124,0.509014,0.991908,0.00601726,20946.2,-0.00314821,1.05978,11.9437,10.629,121.135,87.3938,1.3405,12.1332,12.057,120.129,137.381,1.00617,-49.9873 
