cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.201,0,26881.6,-0.729211,52.7392,12.6396,121.027,1.08634,-48.9057,155.78,-3.32693,-4.19689,-6.57466,-1.83756,-3.10694,18.1571,13115,91.1783,15694.5,23429.6,-3.44126,-4.31122,-6.80333,-1.95189,-3.22127,0.655161,13089.5,90.2351,15669,0.551266,0.98808,0.010497,23744.4,-0.00223682,1.12211,12.6937,11.3677,121.446,87.6114,1.24362,12.7028,12.57,119.738,137.475,1.70821,-49.8636 
1,43.221,1,26717.9,-0.645784,52.0129,12.5658,120.812,0.280059,713.472,42.4744,-7.17809,-7.52887,-9.51716,-3.93196,-1.33503,-7.44217,12515.4,93.8393,15989,27781,-7.13122,-7.48201,-9.42344,-3.8851,-1.28817,0.677389,12525.9,94.2259,15999.5,0.535167,0.987007,0.0107323,23405.5,-0.00189391,1.07051,12.6766,11.3172,121.448,87.9548,1.27864,12.4054,12.6177,119.492,137.881,1.95629,-49.9262 
2,43.281,2,26309.9,-0.695816,52.4349,12.4039,120.654,-0.226457,376.258,498.801,-9.24209,-4.08009,-12.4501,-3.53701,-1.35509,40.8816,12375.5,74.9571,15881.7,23946.3,-9.49951,-4.33751,-12.9649,-3.79443,-1.61251,0.597474,12318.2,72.8333,15824.3,0.533746,0.989759,0.00840723,23078.7,-0.00204443,1.11327,12.2995,11.0086,121.007,87.8327,1.28984,12.5569,12.3532,119.506,137.786,1.50139,-49.9532 
3,43.241,3,27777.2,-0.704955,54.1901,12.6093,121,0.654207,294.521,0.01164,-6.63784,-3.14521,-6.86244,0.819953,-2.49981,25.4292,13277.9,82.2854,16468.9,28516,-6.79796,-3.30533,-7.18268,0.659832,-2.65993,0.627572,13242.2,80.9644,16433.3,0.54234,0.989414,0.00899417,24416.9,-0.00220497,1.16388,12.6542,11.0482,121.541,87.2329,1.30889,12.6213,12.6094,119.787,137.289,1.75415,-50.0556 
4,43.041,4,29781.7,-0.0164895,57.3173,12.4758,120.921,-0.0656813,15.8885,2.18668e-12,-6.88341,-6.13325,-5.64237,-2.58152,-2.33181,47.936,14266.7,81.0686,17386,23312.1,-7.18525,-6.43509,-6.24605,-2.88336,-2.63365,0.753932,14199.5,78.5785,17318.8,0.546633,0.990409,0.00828869,25976.2,-0.00213078,1.24632,12.6609,11.0616,121.203,87.8598,1.35085,12.7998,12.7244,119.752,138.146,1.45126,-50.2862 
5,43.161,5,22667.3,-0.0288167,44.8707,12.249,120.898,0.0138147,-6.13757,2.67585e-11,-11.8892,-0.26638,-9.44963,-1.06445,-0.0160775,-20.8061,10859.3,52.195,13851.9,17894.8,-11.7582,-0.135369,-9.18761,-0.933443,0.114933,0.580468,10888.5,53.2758,13881.1,0.53565,0.99151,0.00702039,20327.6,-0.00232591,0.951943,12.6994,11.1,121.329,87.9334,1.13434,12.4491,12.4556,119.784,138.042,1.54535,-50.1084 
6,43.261,6,28592.3,-0.684224,55.7447,12.5332,120.888,0.325295,362.141,436.089,-3.53647,-2.81599,-0.608075,0.340798,-1.91187,19.8973,13711,82.2885,16787.4,26578.6,-3.66176,-2.94128,-0.858651,0.21551,-2.03715,0.907506,13683.1,81.2548,16759.5,0.545587,0.989715,0.00885199,25079.6,-0.00194856,1.18766,12.6029,11.1366,121.299,88.4827,1.34658,12.5058,12.5155,119.624,138.991,1.67565,-50.5086 
7,43.061,7,24505.9,-0.119897,48.5137,12.203,120.982,0.133856,4.27553,500,-8.16916,-6.34379,-2.81366,-2.26346,-2.45633,75.6788,11920.9,77.9939,14498.6,19290.5,-8.64569,-6.82032,-3.76672,-2.73999,-2.93286,0.84876,11814.7,74.0625,14392.5,0.546937,0.989149,0.00939031,21601.6,-0.00204596,1.0477,12.4224,11.2064,121.437,88.0323,1.18292,12.4209,12.4466,119.66,138.167,1.77679,-50.1347 
8,43.181,8,25866.3,-0.690415,51.1005,12.5273,120.97,0.642156,-12.3879,168.11,-9.40431,-6.95841,-17.2514,-3.74014,-1.99505,38.8915,12268.9,71.0562,15792.3,21098,-9.6492,-7.2033,-17.7412,-3.98503,-2.23994,0.565366,12214.4,69.0358,15737.7,0.533006,0.990206,0.00801589,22916,-0.00247965,1.08203,12.5422,11.1319,121.44,88.1648,1.2738,12.5677,12.515,119.801,138.442,1.63928,-50.2768 
9,43.101,9,24600.5,-0.732193,49.1757,12.5542,120.991,-0.864378,-914.24,156.256,-8.99503,-6.92145,-13.8222,0.487327,-1.97825,47.913,12025.6,81.4549,14868.6,45822.3,-9.29672,-7.22315,-14.4256,0.185631,-2.27994,0.563387,11958.4,78.9659,14801.4,0.542986,0.988576,0.00973202,22023.3,-0.00251526,1.05313,12.5881,11.1726,121.419,87.6071,1.19859,12.5694,12.4978,119.798,137.63,1.62133,-50.0231 
10,43.001,10,26933.1,-0.678969,53.2991,12.4209,120.738,0.865583,-193.073,472.506,-6.35756,-4.20741,-12.1564,-1.07061,-2.94857,57.3886,12644.7,77.2679,16290,26991.4,-6.71892,-4.56877,-12.8792,-1.43197,-3.30993,0.554489,12564.2,74.2867,16209.5,0.532683,0.989759,0.00837154,23586.6,-0.00219083,1.1077,12.6121,11.0636,121.242,87.591,1.34996,12.3348,12.3664,119.548,137.499,1.69407,-49.9077 
11,43.081,11,23521,-0.0393665,46.5803,-12.2558,120.862,-0.0370713,-0.68761,2.1715,-9.54021,-6.15107,-8.89608,-2.31601,-3.69637,-19.5946,11096.9,77.7457,14424,18584.8,-9.41683,-6.02769,-8.64931,-2.19263,-3.57299,0.710333,11124.4,78.7636,14451.5,0.530962,0.987761,0.00994005,20951.4,-0.00218384,1.0023,12.4369,10.9336,121.308,87.8645,1.15533,12.5301,12.5913,119.731,137.955,1.5771,-50.0904 
12,43.121,12,21802.7,-0.096,43.6964,12.2998,121.293,0.0643166,-95.8137,499.998,-6.49536,-6.02162,-6.64218,-2.68665,-2.2847,11.5176,10417.6,79.6835,13656.6,17696.6,-6.56788,-6.09415,-6.78723,-2.75917,-2.35722,0.723711,10401.4,79.0852,13640.5,0.528609,0.986869,0.0105674,19676.9,-0.00252,0.909606,12.4686,11.3396,121.74,87.1587,1.06334,12.7093,12.8436,120.018,137.281,1.72205,-50.1224 
13,43.141,13,17419.7,-0.407356,35.6387,12.5304,120.625,0.957062,-398.619,4.94785e-08,-5.52914,-4.9385,-9.5113,-2.63118,-2.03776,18.5026,7848.67,44.1424,11736.3,26956.5,-5.64565,-5.05501,-9.74431,-2.74768,-2.15427,0.615562,7822.71,43.1812,11710.3,0.495556,0.990432,0.00674686,15785.7,-0.00242083,0.665357,12.7767,11.4081,120.988,87.2812,0.917632,12.7041,12.8763,119.427,137.49,1.5601,-50.2084 
14,43.021,14,22514.6,-0.420299,46.1894,12.1287,121.004,7.42696,-2649.94,493.395,-4.05541,-6.21643,-9.80971,-2.56498,0.616446,22.0496,11111.1,61.2792,13682.6,658920,-4.19425,-6.35527,-10.0874,-2.70382,0.477606,0.558792,11080.1,60.1338,13651.7,0.544123,0.990592,0.00804892,20363.3,-0.00251591,1.01028,12.3285,10.9982,121.528,88.0393,1.14958,12.2141,12.3824,119.732,138.157,1.79591,-50.1179 
15,43.201,15,26305.5,-0.148716,50.9497,12.4503,120.964,0.0389406,23.875,499.99,-5.6348,-4.41374,-11.1805,-4.65852,-3.34843,53.668,12332.9,90.8137,15920.1,20680.1,-5.97273,-4.75167,-11.8563,-4.99645,-3.68636,0.620762,12257.6,88.0258,15844.8,0.532197,0.987589,0.0101301,23032.1,-0.00225738,1.06506,12.728,11.2137,121.39,87.5424,1.25608,12.6673,12.6768,119.842,137.896,1.54808,-50.3534 
16,43.221,16,24596.1,-0.6316,48.8142,12.5068,121.008,1.84387,-923.733,2.5379e-09,-3.78184,-5.08364,-11.5349,-2.35602,-4.28698,41.7176,11919.5,69.8517,14797.3,75320.4,-4.04453,-5.34633,-12.0602,-2.61871,-4.54966,0.5786,11861,67.6845,14738.8,0.54201,0.990112,0.0083885,21883.3,-0.00245572,1.06928,12.4874,10.9751,121.511,88.0705,1.20756,12.6751,12.3464,119.82,138.399,1.69091,-50.3287 
17,43.281,17,29458,-0.0472271,56.2013,12.4938,121.116,-0.279968,153.349,0.0188403,-7.10295,-3.70192,-9.51305,-4.04464,-0.053227,53.8825,14290,92.2154,17042.5,24255.6,-7.44223,-4.0412,-10.1916,-4.38393,-0.39251,0.614705,14214.4,89.4163,16966.9,0.551975,0.989111,0.00961464,25751.9,-0.00212049,1.24446,12.6395,11.156,121.547,87.4002,1.34147,12.7327,12.586,119.773,137.347,1.77416,-49.9464 
18,43.241,18,27152.4,0.00967995,52.0908,12.4716,121.221,-0.0101532,-23.9062,5.42952e-12,-3.72993,-2.51241,-6.37627,-6.40945,-1.08241,66.1024,13157.4,98.7486,15986,21156.4,-4.14616,-2.92864,-7.20873,-6.82568,-1.49864,0.68114,13064.7,95.3147,15893.3,0.547278,0.987394,0.0109267,23872.1,-0.00225633,1.1358,12.6805,11.2403,121.627,87.6604,1.25024,12.7938,12.6407,120.016,137.653,1.61121,-49.993 
19,43.041,19,28853.3,-0.0374827,55.2538,12.4006,120.968,-0.234697,102.617,499.998,-6.03613,-6.5179,-12.2395,-8.65131,-3.06197,71.7965,13790.3,88.8391,16901.9,23089,-6.48821,-6.96998,-13.1437,-9.10339,-3.51405,0.664867,13689.6,85.1094,16801.2,0.545089,0.989237,0.00924524,25114.4,-0.00204286,1.22471,12.4528,11.0849,121.456,87.6004,1.32371,12.6673,12.6972,119.804,137.606,1.65178,-50.0055 
20,43.137,20,16856.2,-0.0524146,34.4515,12.4519,121.008,0.0979205,104.333,500,-10.5931,-5.00764,-2.37565,-2.61322,-4.3803,-21.5472,7907.4,48.0964,11427.5,14297.5,-10.4574,-4.87196,-2.1043,-2.47754,-4.24462,0.912887,7937.62,49.2157,11457.7,0.504653,0.989266,0.0078505,15728.9,-0.00283939,0.642434,13.0097,11.8068,121.442,87.2301,0.882355,12.879,12.9635,119.854,137.483,1.58738,-50.2531 
21,43.138,21,18171.6,-0.0772937,37.0784,12.4293,121.31,0.0277577,-3.92904,6.33556e-09,-6.86742,-7.09963,-8.48082,-3.00786,-3.68927,5.66189,8502.82,27.9941,12076.1,15006.1,-6.90307,-7.13528,-8.55212,-3.04351,-3.72493,0.708704,8494.88,27.7,12068.2,0.508638,0.994326,0.00421037,16701.2,-0.0028677,0.710865,12.9653,11.6159,121.933,88.0621,0.942937,12.7472,12.9327,120.065,138.273,1.86751,-50.2108 
22,43.139,22,16764.5,0.0193354,34.2376,-12.36,120.902,-0.0787581,15.5032,1.25736e-11,-4.74962,-6.94168,-5.04696,-1.6222,-0.219963,-21.042,7593.23,51.3954,11503.9,13815.6,-4.61712,-6.80918,-4.78197,-1.4897,-0.0874672,0.73113,7622.74,52.4885,11533.4,0.492888,0.988093,0.00831371,15465.5,-0.00261954,0.639695,12.8515,11.4568,121.434,87.4767,0.91965,12.7455,12.595,119.588,137.396,1.84647,-49.9195 
23,43.144,23,17036.4,-0.663638,34.5709,12.881,121.144,0.339791,-388.991,457.344,-5.55992,-6.96614,-8.62236,-0.570976,-2.34485,19.9281,7856.61,51.3746,11265.7,18798.9,-5.68541,-7.09162,-8.87333,-0.696457,-2.47033,0.642452,7828.65,50.3393,11237.8,0.506043,0.988872,0.00818415,15470.3,-0.00244649,0.657197,12.8558,11.5504,121.62,87.7505,0.882228,12.9179,12.7373,119.827,137.983,1.79357,-50.2327 
24,43.143,24,18208.9,-0.670217,37.0511,12.7264,120.593,0.291478,-155.086,149.732,-7.27296,-6.99227,-9.14487,-3.98268,-3.99796,-10.0955,8402.05,58.5848,11972.3,16821.3,-7.20939,-6.9287,-9.01773,-3.91912,-3.9344,0.709193,8416.21,59.1093,11986.4,0.508012,0.987859,0.0090023,16567,-0.00249778,0.701098,12.8167,11.6177,121.168,87.6915,0.927564,12.787,12.9364,119.311,137.456,1.85668,-49.765 
25,43.142,25,17350.2,-0.677773,35.4923,12.784,121.006,0.4337,335.498,390.228,-5.77229,-9.08379,-8.22061,-5.20597,-2.79694,-3.12751,8356.38,56.3431,11250.2,19507.2,-5.7526,-9.0641,-8.18122,-5.18628,-2.77725,0.735761,8360.77,56.5056,11254.6,0.522095,0.988311,0.00916385,16013.9,-0.00250528,0.697366,12.972,11.467,121.538,87.639,0.892637,12.7237,12.6502,119.553,137.734,1.98445,-50.0954 
26,43.14,26,17259.7,-0.00688866,34.8914,12.3462,121.051,-0.0274939,17.6194,2.87718e-11,-9.16216,-4.62265,-14.2351,-7.28192,-2.37074,-34.1441,7950.16,55.2819,11563.3,14038.9,-8.94716,-4.40766,-13.8051,-7.06692,-2.15574,0.620558,7998.05,57.0556,11611.2,0.503223,0.98767,0.00897064,15893.6,-0.00258149,0.655303,12.7874,11.8169,121.657,87.445,0.913974,12.7128,12.7666,119.885,137.628,1.77165,-50.1826 
27,43.121,27,21411.2,-0.482726,42.5664,12.6186,121.105,6.42133,-149.383,500,-8.36696,-4.82393,-14.5202,-4.78291,-4.16977,21.4696,9730.55,50.2897,13846.3,48711.7,-8.50215,-4.95912,-14.7906,-4.9181,-4.30496,0.605321,9700.44,49.1744,13816.1,0.507998,0.991207,0.00651371,19095.4,-0.00246868,0.840114,12.6532,11.3573,121.582,88.3148,1.0827,12.8332,12.6625,119.829,138.391,1.75229,-50.0765 
