cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,42.6485,0,29662.8,-0.0509527,58.5513,12.053,121.038,0.0216926,-26.2913,500,-8.5483,-8.94615,-9.75996,-6.04462,-1.8672,5.05854,14177.2,58.4259,17461.1,22992.1,-8.58015,-8.978,-9.82367,-6.07647,-1.89905,0.72216,14170.1,58.1632,17454,0.544191,0.992868,0.00610112,26038.8,-0.00251056,1.33995,12.3233,10.6511,121.663,86.7479,1.49918,12.3066,12.0596,119.838,136.546,1.82546,-49.7979 
1,42.9885,1,25792.3,-0.138801,51.4534,12.1746,120.95,-0.0188719,126.027,500,-9.93231,-6.81489,-7.61719,-5.66168,-3.57167,-48.1854,12162.2,69.6888,15658.3,20469.6,-9.6289,-6.51147,-7.01037,-5.35827,-3.26826,0.77939,12229.8,72.1919,15725.9,0.533507,0.989775,0.00838553,22923.4,-0.00257396,1.12523,12.3935,10.8549,121.643,86.8407,1.33882,12.3412,12.1315,119.683,136.659,1.9602,-49.8179 
2,42.8685,2,23581.2,0.00977546,47.7752,12.0285,120.766,-0.0154258,-21.4646,500,-7.80565,-4.71649,-6.43972,-2.98883,-2.20026,34.0178,11138.3,62.8843,14600.4,18718,-8.01985,-4.93069,-6.86812,-3.20303,-2.41446,0.729986,11090.6,61.1172,14552.7,0.528465,0.990448,0.00767692,20986.4,-0.0024162,1.02442,12.3424,10.8171,121.48,86.9587,1.24254,12.2912,12.1634,119.403,136.906,2.07745,-49.947 
3,42.6685,3,31031.2,0.00562278,60.5516,12.2556,120.777,-0.0175807,-20.9489,500,-3.99135,-1.58587,-6.00571,-6.30632,-1.04807,76.6707,14449.8,71.6757,18851.3,24169.6,-4.47413,-2.06865,-6.97126,-6.7891,-1.53084,0.680715,14342.3,67.6928,18743.7,0.52947,0.991808,0.00660878,27088,-0.00263941,1.32283,12.426,10.7906,121.494,87.2272,1.60662,12.4897,11.9386,119.441,137.088,2.05259,-49.861 
4,42.8485,4,26664.2,-0.262143,54.0769,12.093,121.217,-0.179959,-7.42437,496.163,-2.51367,-5.15398,-2.4301,-3.92239,-3.67765,-5.88483,12896.7,62.9893,15855.9,21331.7,-2.47661,-5.11692,-2.35599,-3.88533,-3.64059,0.865183,12905,63.2951,15864.1,0.544684,0.99149,0.00729605,23692.6,-0.00262611,1.24257,12.1727,10.5666,121.739,86.8459,1.4014,12.2131,11.8845,119.939,136.462,1.79993,-49.6163 
5,42.8285,5,30352.2,-0.0316387,60.5321,11.9899,121.01,0.0371452,-46.3478,25.3073,-6.68873,-6.6501,-8.05241,-3.90906,-5.25189,33.5673,14653.2,69.7635,17988.9,23682.5,-6.90009,-6.86146,-8.47514,-4.12042,-5.46326,0.733657,14606.2,68.0197,17941.9,0.544871,0.991916,0.00693521,26806.6,-0.00274568,1.39836,12.2668,10.5662,121.728,86.8108,1.58487,12.1216,11.9119,119.824,136.487,1.90461,-49.6765 
6,42.7085,6,29102.3,-0.276518,58.2792,12.03,121.088,0.595228,-117.143,0.00787361,-5.7586,-4.00379,-5.71306,-5.61577,-1.1933,35.2692,14128.7,66.9193,17021,25092.9,-5.98068,-4.22587,-6.15722,-5.83785,-1.41538,0.739289,14079.3,65.0871,16971.6,0.549544,0.991975,0.00701504,25619.9,-0.00257316,1.37712,12.1481,10.4762,121.671,86.8622,1.49185,12.1816,11.947,119.82,136.562,1.85129,-49.7001 
7,43.0485,7,25943.1,-0.54345,54.0048,12.0238,120.994,0.348314,50.5698,5.02107,-5.02397,-2.46906,-6.52815,-6.33909,-4.60261,75.1742,12657.1,69.2845,15732.5,21711.7,-5.49732,-2.94242,-7.47485,-6.81245,-5.07596,0.731149,12551.6,65.3794,15627.1,0.541531,0.990967,0.00764793,23178,-0.00289645,1.21761,12.0163,10.6927,121.653,86.7997,1.39133,12.1721,11.9101,119.537,136.477,2.11582,-49.6777 
8,43.1485,8,28068.1,-0.710334,56.668,12.1782,121.056,0.568348,127.976,429.404,-6.39011,-3.47327,-6.00571,-2.77327,-2.72627,37.7715,13370.6,62.6099,16658.2,24833.2,-6.62795,-3.71111,-6.48138,-3.01111,-2.96411,0.715675,13317.6,60.6477,16605.3,0.541164,0.992094,0.00668299,24609.2,-0.00231866,1.30273,12.0391,10.4794,121.655,86.6876,1.45767,12.2364,11.8752,119.691,136.243,1.96398,-49.5555 
9,43.0285,9,27273.5,-0.0573661,55.147,11.9528,121.277,0.0871602,-47.5772,500,-6.28434,-5.20188,-5.44112,-4.98215,0.306388,41.7912,13079.7,71.588,16382,21592.9,-6.54749,-5.46503,-5.96742,-5.2453,0.0432402,0.742584,13021.1,69.4171,16323.4,0.539824,0.990757,0.00777286,24121,-0.00272958,1.25483,12.0203,10.7587,121.83,86.7487,1.41084,12.3964,11.9991,120.018,136.488,1.81158,-49.7397 
