cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,42.5578,0,28947.4,0.0234482,56.2124,12.0626,119.142,-0.103666,-8.94806,500,-5.25124,3.53767,-3.0327,-1.66484,-0.731759,49.8941,12877.3,81.2018,17469.3,22103.5,-5.56541,3.2235,-3.66104,-1.97901,-1.04593,0.594474,12807.3,78.6099,17399.3,0.46118,0.989373,0.00825391,27770.7,-0.00165559,1.14441,12.3856,11.0967,119.824,90.3886,1.47082,12.0776,12.4099,117.946,140.998,1.87817,-50.6096 
1,42.9878,1,26012.4,-0.295553,51.1031,12.2978,119.263,1.11611,-1117.52,6.93774e-08,-4.16849,-1.33409,-4.66077,0.424815,2.60823,24.2928,11603,69.9704,16295.6,61061.4,-4.32146,-1.48705,-4.9667,0.271849,2.45527,0.382872,11568.9,68.7085,16261.6,0.452727,0.989714,0.00772317,25553.8,-0.00226772,1.01128,12.538,11.3414,120.074,90.1846,1.33423,12.3211,12.5594,118.092,140.873,1.98178,-50.6887 
2,42.9478,2,23183.5,-0.0689418,46.28,12.0926,119.01,-0.173121,72.9073,1.84722e-09,-5.22751,-7.153,-7.16046,1.35967,1.66304,63.2641,10292.9,50.8285,14737.7,18629.2,-5.62587,-7.55135,-7.95718,0.96131,1.26468,0.579173,10204.2,47.5421,14649,0.447508,0.991913,0.00594289,22802.3,-0.00209118,0.899287,12.4158,11.3033,119.74,89.8165,1.23355,12.2267,12.3949,117.812,140.311,1.92753,-50.4944 
3,42.8278,3,25865,-0.00966932,51.4797,11.9541,119.611,-0.0938573,-5.43057,499.966,-6.76072,-6.43092,2.33647,-2.17291,-2.46056,37.137,11843.7,62.6644,15790.7,20049.7,-6.99456,-6.66477,1.86878,-2.40675,-2.6944,1.11063,11791.7,60.7352,15738.6,0.46558,0.991067,0.00705852,25326.8,-0.00204917,1.10199,12.1186,10.9038,120.303,89.9466,1.34996,12.0554,12.2778,118.491,140.57,1.81118,-50.6239 
4,42.8678,4,24342,-0.0929481,48.9057,11.9363,119.244,-0.0503662,83.7498,500,-3.56838,-3.1642,-0.132595,1.23113,2.79752,35.6604,10820.1,51.6867,15289.8,19140.5,-3.79293,-3.38875,-0.581683,1.00658,2.57298,0.860968,10770.1,49.8342,15239.8,0.45108,0.991968,0.00598763,23876.3,-0.0018729,0.993823,12.0859,10.9223,120.094,89.8918,1.31282,11.996,12.2629,117.941,140.386,2.15365,-50.4947 
5,42.9678,5,24690.8,-0.546643,48.5586,12.5269,119.653,3.01917,-1215.41,65.9051,-6.23709,-5.87048,3.80682,-1.67396,-2.97792,40.1372,11181.8,58.5905,15319.1,139257,-6.48983,-6.12321,3.30135,-1.9267,-3.23065,1.22817,11125.5,56.5054,15262.8,0.458754,0.99119,0.00677357,24251.5,-0.00220295,0.997687,12.4646,11.1044,120.21,89.7911,1.25151,12.3201,12.6521,118.316,140.55,1.89364,-50.7589 
6,43.0778,6,30746.8,-0.0628533,58.4128,12.3692,119.352,0.0922104,-65.7783,2.79431e-05,-3.19338,-3.87823,-2.4373,0.173929,-0.722257,55.7887,13967.7,104.943,18205.9,23717.9,-3.54467,-4.22952,-3.13987,-0.177357,-1.07354,0.741892,13889.5,102.045,18127.7,0.47116,0.987306,0.0102632,29479.3,-0.00164616,1.17825,12.5457,11.4985,119.975,89.3396,1.41085,12.5199,13.0034,118.131,140.068,1.84485,-50.728 
7,43.1378,7,29280.1,0.0110763,56.5849,12.215,119.507,-0.0815592,10.8281,0.00336812,-1.14295,-5.80007,1.68733,1.92721,-0.305489,93.0777,13462.2,87.2072,17348.6,22529,-1.72904,-6.38616,0.515159,1.34112,-0.891574,1.07205,13331.6,82.372,17218,0.473776,0.989303,0.00873576,28139.1,-0.00176546,1.17523,12.4145,11.2839,120.187,89.2909,1.37885,12.3309,12.8634,118.208,139.892,1.97977,-50.6012 
8,42.7078,8,26450.1,-0.266572,53.1166,12.0482,119.53,-0.815949,1080.99,3.75394e-05,-6.05603,-1.68794,-5.35332,-1.22526,-0.220128,85.3588,11854.7,65.6338,16343.3,49545.9,-6.59351,-2.22542,-6.42828,-1.76274,-0.75761,0.638201,11735,61.1996,16223.6,0.45684,0.990956,0.00690095,25687.2,-0.00212609,1.07018,12.086,11.2931,120.327,89.9869,1.38304,12.2417,12.2616,118.225,140.299,2.10242,-50.312 
9,42.6578,9,25670,-0.408587,51.7505,11.8856,119.53,-1.26058,-96.2894,151.026,-4.53673,-3.74478,-3.04749,-2.81991,-2.06613,56.1568,11575.4,61.8132,15914.7,23974.4,-4.89034,-4.09839,-3.7547,-3.17352,-2.41973,0.795236,11496.6,58.896,15835.9,0.457749,0.991115,0.00680442,25115.5,-0.0020639,1.05913,12.1054,11.0317,120.323,89.9964,1.32245,12.2791,12.4273,118.228,140.638,2.09458,-50.6414 
