cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.2978,0,25023.6,-0.00980255,52.8493,12.094,118.939,-0.0218655,-13.019,0.0413298,-1.35243,-3.02728,-0.246717,-3.81724,-1.03976,330.233,12248.6,83.6356,16774.1,20816,-3.43183,-5.10668,-4.4055,-5.89663,-3.11915,0.799383,11785.4,66.4806,16310.9,0.456572,0.990225,0.00745217,25812.8,-0.00408137,1.1021,12.4923,10.8874,119.541,88.5661,1.39381,12.3491,12.4001,117.805,138.669,1.73578,-50.1027 
1,43.4078,1,27828,-0.0494818,56.6069,12.0882,118.964,0.163702,-41.2477,1.1369e-07,-5.20902,-1.43045,-11.2764,1.47292,-2.64422,217.209,13630.4,72.7619,16932.8,22495.2,-6.57672,-2.79816,-14.0118,0.105212,-4.01193,0.486623,13325.7,61.4783,16628.1,0.482363,0.991991,0.00676466,27625.9,-0.00292555,1.22097,12.1995,11.1617,119.468,88.0268,1.3849,12.3427,12.601,117.773,138.276,1.69487,-50.2488 
2,43.0578,2,26271.6,-0.889442,54.3009,12.3667,119.328,-4.03006,3629.1,246.6,-1.85682,0.0903152,-1.71105,0.965808,0.5084,129.883,12499.3,84.8995,16334.9,497969,-2.67465,-0.727522,-3.34672,0.147971,-0.309437,0.515695,12317.2,78.1523,16152.7,0.469968,0.989018,0.00883399,26208.5,-0.0026966,1.08828,12.3721,11.2781,119.719,88.6679,1.31668,12.2855,12.8306,118.128,139.163,1.59137,-50.4948 
3,43.3378,3,28100.2,-0.93981,56.6588,12.6539,119.269,0.170748,464.063,69.9141,-4.9826,-0.475077,-2.83768,-1.11541,0.256713,137.2,13592,85.1631,17348.1,25918.7,-5.84651,-1.33899,-4.5655,-1.97933,-0.6072,0.68157,13399.6,78.0358,17155.7,0.475948,0.989911,0.00830954,28153.5,-0.00315206,1.18419,12.6502,11.1887,119.619,88.3783,1.36983,12.6219,12.7544,118.09,138.679,1.52923,-50.3007 
4,43.3178,4,29541.8,-0.872091,58.3903,12.683,119.041,1.28269,-262.048,405.304,-5.62615,-2.50439,-9.14055,-1.67428,-1.73304,146.695,14086.7,89.8502,17938.1,35049.8,-6.54985,-3.42808,-10.9879,-2.59798,-2.65674,0.580942,13880.9,82.2297,17732.4,0.476504,0.989739,0.00846997,29130.8,-0.00249644,1.18785,12.7322,11.3337,119.451,87.9453,1.40534,12.5537,12.7696,117.828,138.166,1.62365,-50.2203 
5,43.2078,5,19527.8,-0.486098,40.7514,12.5956,119.02,0.101409,344.367,499.179,-4.19185,-2.36114,0.953664,-1.33303,1.77769,134.86,9103.79,44.8362,13198.3,17846,-5.04102,-3.21031,-0.744687,-2.18221,0.928519,0.927346,8914.64,37.8305,13009.2,0.443459,0.992628,0.00532828,20102.5,-0.0031122,0.744161,13.0211,11.6161,119.493,88.6615,1.04533,12.7311,12.7716,117.827,139.128,1.66617,-50.4668 
6,43.0278,6,27927.5,-0.854004,56.6501,12.4179,119.256,0.205782,317.571,89.7445,-4.04264,-0.843705,-2.36177,-1.23223,-2.73623,181.587,13718.3,99.5533,16591.3,25027.7,-5.18605,-1.98711,-4.64858,-2.37564,-3.87964,0.742846,13463.6,90.1202,16336.6,0.489352,0.988422,0.0100597,27513,-0.00253725,1.20659,12.3719,11.188,119.651,88.8319,1.36157,12.3491,12.5172,118.072,139.033,1.57931,-50.2014 
7,43.0978,7,27279.6,-0.0201776,54.6689,12.2183,119.402,-0.0470885,-3.16804,500,-5.3817,-2.84044,-1.58296,-1.05862,-5.96928,65.5287,12883.4,87.0032,16848.9,21749.2,-5.79432,-3.25306,-2.4082,-1.47123,-6.3819,0.875279,12791.5,83.5991,16757,0.470231,0.988692,0.0091064,27202.5,-0.00264182,1.14643,12.335,11.1693,119.926,88.6394,1.338,12.4676,12.7712,118.121,138.994,1.80481,-50.3551 
8,43.1278,8,23782.6,-0.0183011,48.3623,12.2676,119.322,-0.0234671,-1.46431,500,-4.45817,-3.18162,-3.69213,0.641852,-2.4288,103.287,10870.9,63.6359,15565.1,19314.7,-5.10854,-3.83199,-4.99287,-0.00851543,-3.07917,0.706666,10726,58.2703,15420.2,0.447153,0.990582,0.00691289,23987.4,-0.00289433,0.914549,12.6188,11.5786,119.748,88.6345,1.21482,12.5337,13.0052,118.065,138.986,1.68265,-50.3519 
9,43.0878,9,24222.6,-0.0546927,48.7896,12.1311,118.982,0.0299749,1.65261,2.20771e-11,-7.48355,-5.87698,-2.11002,-1.45325,-2.59615,22.5963,11272.4,56.1463,15230,19268.9,-7.62583,-6.01927,-2.39458,-1.59553,-2.73844,0.882467,11240.7,54.9725,15198.3,0.462367,0.991514,0.00661882,24311.3,-0.00239757,0.998413,12.3878,11.0934,119.409,88.9725,1.25842,12.2983,12.4662,117.863,139.294,1.54613,-50.3218 
