cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,45.705,0,27597.2,0.0152815,42.418,14.1329,115.472,0.0347603,-25.4464,1.09418e-10,-0.881653,1.04149,4.71744,-0.383811,1.38055,36.4266,16415.4,70.6431,10259.1,19544.2,-1.11102,0.812123,4.25871,-0.613179,1.15118,0.0531606,16386.4,68.0054,10230.1,0.595063,0.99279,0.0120974,27537.2,-0.000227937,1.25443,14.602,11.455,115.042,88.8396,0.748856,13.9326,12.6081,114.822,139.337,0.220062,-50.4978 
1,45.465,1,27501.9,-0.0761752,42.8123,14.1553,115.498,-0.00834946,51.558,2.40351,-2.15466,2.27183,3.39708,1.07427,2.24498,79.1114,13931,85.7913,12634.4,19742,-2.6528,1.77368,2.4008,0.576126,1.74684,0.375547,13868,80.0626,12571.4,0.502995,0.989998,0.0115957,27570.8,-0.000193306,1.06467,14.4353,11.5569,115.276,89.0936,0.89413,14.0557,12.8986,114.757,139.589,0.519395,-50.4958 
2,45.365,2,28283.7,-0.0466774,44.6014,13.8932,115.458,0.0233376,-35.2695,99.5024,0.414618,3.20442,2.39854,-0.160742,1.14218,36.2554,14897.2,58.749,12572.2,20198.7,0.186327,2.97613,1.94196,-0.389033,0.91389,0.655025,14868.3,56.1237,12543.3,0.520954,0.993438,0.00817492,28540.5,-0.000300189,1.19142,14.1984,11.2135,115.091,88.5602,0.924564,14.0151,12.4322,114.848,138.974,0.242941,-50.4137 
3,45.535,3,26852.3,-0.0160206,41.6246,14.0563,115.255,-0.0258428,11.3166,454.932,1.02572,-0.264555,-2.32422,3.24148,2.5202,23.6412,12371.4,51.9063,13733,19056.1,0.87686,-0.413418,-2.62195,3.09262,2.37133,1.79322,12352.6,50.1944,13714.1,0.452459,0.992939,0.00669704,27301,-0.000253387,0.955756,14.3521,11.4628,115.037,88.6868,0.973324,14.2081,12.6804,114.482,139.106,0.554953,-50.4188 
4,45.325,4,26436.5,-0.0154329,42.0238,13.7296,115.214,-0.0237499,-4.60553,3.97424e-10,2.05413,1.57322,-0.791827,0.854825,4.03157,19.9667,13571.8,46.7501,12118.1,18785.9,1.9284,1.4475,-1.04328,0.7291,3.90585,1.14973,13555.9,45.3043,12102.2,0.506815,0.994185,0.00684866,26747.3,-0.000224676,1.11344,13.9816,11.0628,114.839,88.9154,0.910657,13.7884,12.3344,114.53,139.224,0.308922,-50.3086 
5,45.485,5,27005.6,-0.0212818,41.8375,14.0787,115.194,0.050785,-32.7509,5.75402,-0.204987,-0.113669,1.27248,-0.534072,1.26406,10.3309,14111.2,82.0611,11872.2,19228.5,-0.270038,-0.17872,1.14237,-0.599124,1.19901,0.116835,14102.9,81.313,11864,0.521662,0.990011,0.012468,27034.7,-0.000132027,1.1008,14.325,11.3936,114.85,88.8656,0.843096,14.192,12.7974,114.489,139.344,0.360896,-50.4781 
6,45.585,6,30671.1,-0.0365672,48.522,13.9185,115.272,-0.118548,35.2353,500,0.468912,0.491482,-0.502923,3.27177,3.49141,-55.0992,14392.4,102.876,15337.1,22120.9,0.815857,0.838428,0.190968,3.61871,3.83836,0.979471,14436.3,106.866,15381,0.462679,0.987211,0.0126371,31201.6,-0.000189698,1.12435,14.1946,11.4547,114.965,89.3437,1.09594,13.8435,12.8987,114.486,139.408,0.478225,-50.0639 
7,45.315,7,30007.2,0.0133299,48.2118,13.4968,115.523,0.00308038,7.87824,5.25535e-10,-2.56348,-0.342396,2.00639,1.79153,2.32347,-40.5388,12587.5,55.759,16615.1,21183.4,-2.30822,-0.0871335,2.51691,2.04679,2.57873,0.469797,12619.8,58.6945,16647.4,0.410194,0.991926,0.00645289,30765.4,-9.73235e-05,1.05989,13.7323,10.9573,115.359,89.311,1.27687,13.6456,12.0302,114.707,139.773,0.652103,-50.4623 
8,45.665,8,27578.1,0.0106226,42.9794,13.9097,115.362,0.0291772,-48.8951,341.47,0.630781,1.11586,1.78875,0.18758,1.71081,-23.4532,13685.9,83.454,12892.9,19507.9,0.778459,1.26354,2.08411,0.335258,1.85849,0.670228,13704.6,85.1523,12911.6,0.493357,0.989243,0.0120029,27778.2,-7.76092e-05,1.0683,14.2287,11.476,115.184,88.7915,0.941636,13.9233,12.5551,114.408,139.042,0.775849,-50.2506 
9,45.695,9,28860.2,-0.0242965,45.3212,13.8929,115.305,-0.0234197,27.516,267.537,-2.14282,-0.983846,3.80997,2.47188,3.86224,-28.6798,15126.5,63.8786,12789.8,20517.9,-1.96223,-0.803257,4.17115,2.65247,4.04283,0.485104,15149.3,65.9554,12812.7,0.520325,0.992439,0.00939348,29115.1,-9.41004e-05,1.21695,14.115,11.1524,114.98,88.479,0.923013,14.1205,12.5387,114.471,138.491,0.509464,-50.0121 
