cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.62,0,22233.6,-0.547248,43.5617,12.5111,89.6355,0.244244,253.519,458.051,-0.720412,-1.43651,1.0067,-0.92115,-0.677339,260.468,11655.4,26.7428,12874.8,19757.4,-2.36051,-3.07661,-2.27349,-2.56125,-2.31743,0.81941,11310.4,19.9774,12529.8,0.506361,0.996919,0.00292844,22336.6,13574.3,161418,187396,-0.00257133,1.07479,12.5192,10.493,90.3582,70.1848,1.09479,12.3928,11.9439,89.1632,122.357,1.195,-52.172 
1,43.64,1,21270,-0.0331077,41.6317,12.2334,89.2309,0.200709,-39.8813,4.62911e-11,1.32661,-0.762454,-1.32757,-1.50607,-0.121017,215.334,11184.1,22.7859,12417.7,16839.9,-0.0292927,-2.11836,-4.03937,-2.86197,-1.47692,0.616245,10898.9,17.1928,12132.5,0.505151,0.997247,0.00260363,21575.4,12871.9,151410,179310,-0.00257085,1.05635,12.3277,10.3465,90.0338,70.9325,1.0833,12.3888,11.6751,88.7218,123.247,1.31194,-52.3149 
2,43.38,2,23798.4,-0.0388773,45.5082,12.4418,89.0387,-0.0591631,88.9393,1.11861e-09,-1.12512,-1.43034,-1.32034,-1.14385,-1.03851,223.957,12132.6,22.8365,13996.4,18603.2,-2.53532,-2.84054,-4.14074,-2.55405,-2.44871,0.714813,11835.9,17.0195,13699.7,0.4954,0.99749,0.00228327,23891.6,15113.1,171284,217463,-0.00268034,1.09785,12.54,10.6477,89.8052,70.3967,1.16176,12.676,12.0282,88.65,122.621,1.15517,-52.2243 
3,43.7,3,23485.4,-0.014371,45.7438,12.2255,89.2965,-0.0364049,21.5766,500,-1.68917,-0.723212,1.75899,-1.55474,-0.307178,223.138,12441.1,24.3319,13415.8,18230.8,-3.09421,-2.12825,-1.05108,-2.95978,-1.71222,0.903972,12145.5,18.5361,13120.2,0.512657,0.997336,0.00259575,23691.3,15199.8,185658,205289,-0.00279357,1.15071,12.3642,10.6685,90.0381,70.2425,1.1469,12.4919,11.8274,88.8374,122.347,1.20066,-52.105 
4,43.54,4,21642.2,-0.130831,41.4437,12.7003,89.143,-0.588591,1503.64,411.397,-0.128566,-0.113961,-1.56377,-0.655051,-1.48578,227.849,11143.8,20.7298,12737.7,45944.9,-1.56327,-1.54867,-4.43319,-2.08976,-2.92049,0.646909,10841.9,14.8116,12435.9,0.497667,0.997615,0.00218921,21785.5,12515.2,143545,178030,-0.00251731,1.00025,12.5704,10.7388,89.809,69.8117,1.05147,12.6689,12.0352,88.6862,121.955,1.12279,-52.1428 
5,43.6,5,22104.1,-0.13935,42.9507,12.3128,89.1625,-0.0532058,1.84563,1.92361e-11,1.8672,-0.446582,0.293696,-0.031687,-3.14101,227.417,11802.2,23.0055,12528.7,17218.8,0.43521,-1.87857,-2.57028,-1.46367,-4.57299,0.744259,11500.9,17.0986,12227.5,0.516638,0.997405,0.00256933,22261.1,13613.3,168213,181814,-0.00260898,1.10403,12.4207,10.445,89.9898,69.9776,1.08379,12.4606,11.7642,88.6327,122.111,1.35713,-52.1335 
6,43.42,6,21127.5,-0.535423,41.7734,12.36,89.184,-0.297015,53.3955,494.854,-0.8414,0.154919,-2.54765,-0.416488,0.443544,240.991,10977.1,23.2785,12332.6,17324.2,-2.35886,-1.36254,-5.58257,-1.93395,-1.07391,0.546569,10657.9,17.019,12013.4,0.502028,0.997213,0.00260286,21229.7,12747.3,148111,179427,-0.00236224,1.04963,12.2778,10.2731,90.0324,70.8485,1.09662,12.2875,11.4873,88.7251,123.054,1.30724,-52.2054 
7,43.34,7,22495.8,-0.508182,44.0637,12.3973,89.0584,0.512057,-45.7385,18.3527,-1.09226,0.00178213,-0.99028,-0.730936,-1.59721,191.71,11218,21.2656,13495.6,18545.4,-2.29941,-1.20537,-3.40458,-1.93808,-2.80436,0.707807,10964,16.2861,13241.7,0.484775,0.997407,0.0022605,22616.7,14019.8,150438,210121,-0.00260235,1.04031,12.3395,10.5901,89.8572,71.4298,1.16382,12.4496,11.7936,88.6517,123.882,1.20546,-52.452 
8,43.5,8,20417.9,-0.47586,40.3065,12.3422,89.3182,-0.796983,374.233,0.0421294,-0.440111,0.00474144,1.39783,-1.14451,0.335811,209.906,10256.5,19.5338,12275.7,25903.6,-1.76183,-1.31698,-1.24561,-2.46623,-0.98591,0.839826,9978.47,14.0817,11997.6,0.485892,0.997536,0.00215743,20536.4,11796.3,127851,175103,-0.00234235,0.972491,12.2431,10.3603,90.208,70.4823,1.06952,12.2881,11.7858,88.8495,122.727,1.35849,-52.2449 
9,43.32,9,22859.3,-0.499773,44.1197,12.5389,89.0402,0.167802,267.212,460.695,-1.56247,-1.10646,-0.765611,-1.83915,-0.301447,216.212,11591.4,22.3345,13434.2,19468.6,-2.9239,-2.46789,-3.48847,-3.20057,-1.66288,0.746177,11305,16.7186,13147.8,0.494205,0.997419,0.00233693,22875.1,14085.9,159533,202723,-0.00245047,1.06674,12.4116,10.5965,89.8789,70.4918,1.13377,12.5582,11.881,88.5824,122.712,1.29655,-52.2206 
10,43.4,10,20968.1,-0.0122153,40.7677,12.1589,89.0897,-0.0211833,33.6582,3.27698e-11,-1.37086,-1.32636,-0.396685,0.957062,-0.713177,173.926,10855.2,30.5902,12189.8,16159.6,-2.46602,-2.42152,-2.58701,-0.138102,-1.80834,0.725399,10624.8,26.0727,11959.4,0.502378,0.995724,0.00399991,21149.1,12311.5,143794,172539,-0.00218284,1.03504,12.2255,10.3106,89.7506,70.3444,1.06808,12.3007,11.6159,88.7206,122.44,1.02999,-52.0955 
11,43.68,11,22488.4,-0.518945,43.563,12.5641,88.8884,0.287811,93.9149,466.637,-0.113757,-0.0207714,-0.187251,-0.792095,-0.605744,217.634,11816.1,21.7079,12880.8,18697.3,-1.48414,-1.39116,-2.92802,-2.16248,-1.97613,0.705488,11527.8,16.055,12592.5,0.509872,0.997569,0.00234312,22609.2,13972.8,167551,191761,-0.00260585,1.09312,12.5734,10.4806,89.5808,69.26,1.11452,12.5188,11.6628,88.5041,121.381,1.07676,-52.1209 
12,43.44,12,21972.8,-0.536449,42.6591,12.6143,89.0592,0.521591,-1504.81,43.9816,0.328691,-2.65324,3.75737,-0.0697013,-0.595957,237.55,11794.5,24.0264,12442.6,43068.4,-1.1671,-4.14903,0.765789,-1.56549,-2.09175,1.0933,11479.8,17.8563,12128,0.51822,0.997285,0.00270483,22152.5,13339.7,167170,175617,-0.00251398,1.1011,12.4355,10.4191,89.7691,69.5467,1.06024,12.6024,11.7269,88.63,121.347,1.13915,-51.8002 
13,43.48,13,20552,-0.0637038,40.0116,12.2959,88.8602,-0.103013,52.1538,500,-0.41342,-0.0507919,-2.7521,-0.997849,-0.342135,227.438,10362.7,21.4385,12378.5,16190.4,-1.84554,-1.48291,-5.61634,-2.42997,-1.77425,0.57287,10061.4,15.531,12077.2,0.486308,0.997306,0.00236331,20689.3,11921.5,129510,176623,-0.00235294,0.974241,12.3085,10.4077,89.6122,70.9038,1.0761,12.3718,11.6585,88.4676,123.224,1.14457,-52.3201 
14,43.56,14,19638.7,-0.30128,38.7247,12.3175,89.1415,-0.163314,380.474,3.42539e-05,-0.497654,-0.513273,-3.06101,-1.63991,-0.453062,189.043,9926.82,25.3335,11844.2,17550.4,-1.688,-1.70362,-5.44172,-2.83026,-1.64341,0.591064,9676.4,20.4233,11593.8,0.486767,0.99632,0.00323451,19878.9,11155.2,122042,164226,-0.00226103,0.964158,12.0966,10.181,90.064,71.5901,1.04189,12.3696,11.56,88.6025,124.045,1.46153,-52.4549 
15,43.36,15,22292.7,-0.523568,43.1724,12.5915,89.0416,0.703623,-313.638,130.13,-0.398349,-1.42789,0.645797,-0.491865,-1.69027,187.439,11196.3,18.5867,13352.8,24880.1,-1.5786,-2.60814,-1.71471,-1.67212,-2.87052,0.83582,10948,13.7182,13104.5,0.487013,0.997812,0.00192466,22480,13696.6,147960,204115,-0.00249082,1.03225,12.4894,10.4455,89.8196,71.1674,1.14682,12.5067,11.7363,88.6472,123.586,1.17246,-52.4182 
16,43.46,16,22668.5,-0.0566166,43.9363,12.278,88.997,-0.0862904,124.713,500,-0.506911,-0.62986,0.277598,-0.833927,-0.0351774,214.24,11551.5,24.623,13416.8,17911.2,-1.85592,-1.97887,-2.42042,-2.18294,-1.38419,0.75358,11267.7,19.0583,13133,0.493663,0.997049,0.0026661,22824.7,14108.9,156591,206166,-0.00262584,1.05567,12.3966,10.662,89.7876,71.3649,1.1509,12.4853,11.8091,88.5971,124.072,1.1905,-52.7071 
17,43.52,17,17038.3,-0.450697,33.5015,12.5728,89.08,-1.86103,8940.64,435.106,-0.122193,-1.26052,0.604527,-0.753134,1.21154,149.471,8011.68,14.7936,11076.2,555360,-1.06337,-2.2017,-1.27783,-1.69431,0.27036,0.785845,7813.68,10.9112,10878.2,0.449411,0.997562,0.00184429,17386.5,8113.1,72940.5,134550,-0.00232968,0.713594,12.4721,10.8185,90.0235,70.7679,0.907783,12.6942,12.1831,88.6606,123.345,1.36291,-52.5774 
18,43.3,18,24853.9,-0.539443,47.8809,12.5528,88.9572,1.69076,-869.819,165.604,-1.6053,-0.0186038,-0.612898,-0.641685,0.662065,200.109,12436.4,26.0546,14761.4,67440.4,-2.86533,-1.27863,-3.13296,-1.90172,-0.597966,0.679545,12171.4,20.857,14496.3,0.488258,0.99701,0.00264337,24928.1,16421.7,179579,242942,-0.00281587,1.12054,12.5218,10.7567,89.7355,70.7434,1.22791,12.6881,12.0248,88.565,123.103,1.17044,-52.3593 
19,43.58,19,23234.1,-0.0108996,45.6263,12.0816,88.9821,-0.0285397,13.3345,3.95498e-11,0.245202,-0.651004,-0.606435,-0.05148,-0.812305,226.461,12385.8,20.1747,13139.5,17957.1,-1.18076,-2.07697,-3.45836,-1.47744,-2.23827,0.668479,12085.8,14.2926,12839.5,0.516827,0.997935,0.00204638,23384.6,15097.7,187066,201115,-0.00285871,1.16116,12.2497,10.65,89.7127,70.4573,1.13732,12.4393,11.8361,88.4851,122.746,1.22759,-52.2892 
20,43.66,20,22477,-0.523513,44.3293,12.353,88.814,0.288147,114.307,4.83205,-0.0493363,-1.01514,-1.90957,-1.38624,-2.11359,193.533,11257.2,27.4864,13475.3,18898.4,-1.26797,-2.23377,-4.34682,-2.60487,-3.33222,0.684685,11000.8,22.4596,13218.9,0.486042,0.99644,0.00312005,22633.5,13965.7,151039,208170,-0.00259587,1.04633,12.1544,10.6694,89.7368,72.3716,1.15324,12.4333,11.9138,88.3229,125.295,1.41388,-52.9235 
21,43.51,21,18806.8,-0.0590411,37.0078,12.2148,89.2191,0.127793,15.0405,6.46434e-12,0.392289,0.452804,1.81908,-0.671908,-1.53011,220.066,9447.57,19.9087,11552.6,14778.1,-0.993408,-0.932893,-0.952312,-2.05761,-2.91581,0.878718,9156.05,14.1927,11261.1,0.480235,0.997295,0.00231629,19065.8,10036.6,105605,151721,-0.00232841,0.875948,12.2913,10.536,90.0915,70.1323,0.991083,12.3432,11.8449,88.7223,122.391,1.3692,-52.2588 
22,43.53,22,14522.2,-0.422507,28.1394,12.9127,88.9229,-6.93031,5138.76,94.4882,-0.487826,-2.22678,-1.14971,-2.16182,-0.592544,126.711,6824,18.1503,9659.58,1.17115e+06,-1.28569,-3.02464,-2.74544,-2.95969,-1.39041,0.759296,6656.15,14.8592,9491.73,0.443481,0.996109,0.00287549,15008.9,5838.06,49815.5,98788,-0.00226523,0.569238,13.0687,11.089,89.6661,70.5905,0.764546,12.9502,12.3803,88.5143,123.028,1.15185,-52.4377 
23,43.62,23,20732.3,-0.55067,41.2788,12.3299,89.1535,0.023408,91.5009,40.2201,-1.96693,0.824424,-1.61385,-0.927004,-2.10272,237.862,10854.7,20.4413,12095.7,16638.2,-3.46468,-0.673329,-4.60936,-2.42476,-3.60047,0.687979,10539.6,14.263,11780.6,0.50413,0.997637,0.00222532,20906.6,12444.6,146649,172983,-0.00245856,1.05126,12.2383,10.1817,89.9761,69.9664,1.07322,12.2103,11.637,88.7199,122.156,1.25624,-52.1893 
24,43.64,24,22176,-0.514942,43.349,12.4592,89.187,0.506809,-127.625,447.297,-2.15737,0.117807,-2.07846,0.884164,-0.441143,203.001,11062.7,23.5121,13418.8,19687.4,-3.43561,-1.16044,-4.63495,-0.394081,-1.71939,0.591435,10793.8,18.2394,13149.9,0.482606,0.997052,0.00254856,22365.7,13833.9,148299,207339,-0.00254468,1.04791,12.3624,10.2608,90.0089,70.8376,1.15881,12.4805,11.7053,88.6782,123.033,1.33073,-52.1953 
25,43.38,25,25658.1,-0.572794,49.2933,12.6242,89.1294,-2.145,1087.08,329.403,-0.886587,-1.45208,-1.39425,-1.58409,-1.2495,205.031,13435.3,25.2492,14660.4,96164.6,-2.17762,-2.74311,-3.97631,-2.87512,-2.54053,0.722183,13163.7,19.9237,14388.8,0.509711,0.997358,0.00254422,25825.9,17225.1,207709,235724,-0.0030227,1.19264,12.5965,10.9178,89.9257,70.6857,1.19718,12.7203,12.2525,88.6094,123.029,1.31634,-52.3435 
26,43.7,26,23308.7,-0.00922919,45.6961,12.0907,89.032,-0.0355919,12.1773,5.97073e-12,-0.701709,-1.58267,1.19241,-2.06299,-0.89544,192.483,12156,21.9406,13413.6,17999.7,-1.91372,-2.79468,-1.23162,-3.275,-2.10745,0.891224,11901,16.9411,13158.7,0.506843,0.997515,0.002366,23480.6,15320.7,180806,213372,-0.00269039,1.1524,12.213,10.4732,89.8245,71.3688,1.18473,12.3156,11.6812,88.5625,123.78,1.26206,-52.4112 
27,43.54,27,19561.9,-0.0626438,38.4434,12.1871,89.1786,0.265446,-232.953,500,-2.59615,-1.05342,-1.93027,-1.25393,-0.541007,186.827,9569.98,19.3409,12245.4,17264.6,-3.77255,-2.22983,-4.28308,-2.43033,-1.71741,0.703248,9322.5,14.4883,11997.9,0.468924,0.997288,0.00221953,19880.6,10966,109821,171515,-0.00246819,0.902215,12.1899,10.4114,89.985,70.7173,1.04928,12.4837,11.8147,88.6475,123.238,1.3375,-52.5206 
28,43.6,28,24107.8,-0.150372,46.3323,12.3991,88.9907,0.940448,-805.794,0.0710049,-0.163084,-0.250609,-0.952913,0.666881,-1.2721,215.66,12769.7,21.0913,13619.5,43370.3,-1.52104,-1.60856,-3.66882,-0.691074,-2.63006,0.637452,12484,15.4897,13333.9,0.515489,0.997833,0.00213537,24217.8,15425.8,188772,208112,-0.00265094,1.14753,12.5288,10.7597,89.7846,70.2866,1.14198,12.5095,12.0726,88.5479,122.524,1.23672,-52.2375 
29,43.42,29,20982.1,-0.1998,41.1123,12.3469,89.0345,0.474997,-362.915,500,-1.52586,-1.87053,-1.9085,-1.23045,0.747378,222.479,11093.2,22.6284,12190.4,22136,-2.92675,-3.27142,-4.71028,-2.63134,-0.653511,0.668133,10798.5,16.8497,11895.7,0.507766,0.997277,0.00260248,21266.7,12355.4,146304,171034,-0.00249498,1.02902,12.4072,10.4564,89.7374,70.5653,1.05438,12.3497,11.7875,88.6133,122.722,1.12404,-52.1571 
30,43.34,30,22607.5,-0.523538,44.1291,12.4734,88.8889,0.264856,143.165,170.668,-1.74909,-1.19677,-0.733446,-1.83765,-0.875774,219.42,11669.2,23.9039,13157.4,19153,-3.13072,-2.5784,-3.4967,-3.21928,-2.2574,0.761845,11378.6,18.2047,12866.7,0.50123,0.997208,0.00259956,22701.3,14204.9,164566,200734,-0.00245616,1.09755,12.3826,10.358,89.5883,70.6752,1.1467,12.4146,11.6377,88.5215,122.963,1.06673,-52.2878 
31,43.5,31,19789.6,-0.47479,38.9323,12.4266,89.1275,-0.551058,866.178,35.0544,-1.8539,-0.557903,-3.24665,0.84483,-0.566648,181.145,9875.14,17.9586,12062.5,31287.4,-2.99452,-1.69853,-5.5279,-0.295794,-1.70727,0.547784,9635.18,13.2536,11822.6,0.480821,0.997599,0.00206082,20039,10900.5,115606,164202,-0.00231674,0.91598,12.3028,10.5199,89.9257,70.5535,1.02429,12.4029,11.9402,88.7037,122.817,1.22205,-52.2634 
32,43.32,32,23362.9,-0.462215,45.7387,12.3053,89.1789,0.646464,-303.253,397.19,-0.0804379,-0.399675,-0.106126,0.436373,-1.11709,158.18,12003.9,23.4104,13511.6,24703.7,-1.07645,-1.39569,-2.09815,-0.559642,-2.1131,0.710321,11794.4,19.3018,13302.1,0.501883,0.997144,0.00266583,23500.2,14968.8,173913,211240,-0.00248423,1.12756,12.264,10.4789,90.0332,71.1712,1.16761,12.3869,11.8322,88.5931,123.547,1.44006,-52.376 
33,43.4,33,23563.3,-0.171093,45.7163,12.2903,89.2873,0.0851288,124.781,499.995,-1.8741,-0.107931,0.196743,-0.284664,1.80458,172.755,12222.8,24.5681,13625.4,18636.5,-2.96189,-1.19572,-1.97884,-1.37246,0.716789,0.708657,11994,20.0809,13396.6,0.50431,0.997079,0.00275363,23783,15217.2,178554,213009,-0.00276963,1.12887,12.4386,10.5961,90.0527,70.8641,1.16477,12.5397,11.8529,88.7983,123.155,1.25435,-52.2905 
34,43.68,34,22615.1,-0.529529,43.8727,12.5655,89.3285,0.125749,842.156,131.073,-1.10493,-0.386865,-0.774945,0.149542,0.278551,239.166,11545.2,21.4698,13367,21393.5,-2.6109,-1.89283,-3.78687,-1.35642,-1.22741,0.651764,11228.4,15.2577,13050.2,0.494369,0.997628,0.00214908,22712.6,13830,155004,200591,-0.00254565,1.04372,12.5394,10.6532,90.1365,70.5155,1.12928,12.4501,11.962,88.8745,122.797,1.26193,-52.2816 
35,43.44,35,21871.7,-0.220605,43.0477,12.1985,89.1166,0.193188,-214.678,4.20954e-12,-2.89201,-2.19521,-1.29701,-0.77609,-0.703637,200.654,11091.6,25.4075,13010.8,18444.4,-4.15548,-3.45868,-3.82394,-2.03956,-1.9671,0.752412,10825.8,20.1957,12745,0.491159,0.996746,0.0029105,22041.4,13447,150327,195295,-0.00236334,1.06196,12.1355,10.3184,89.8709,69.9961,1.13086,12.2813,11.7607,88.6917,122.144,1.17918,-52.1478 
36,43.48,36,20330.2,-0.186501,40.7647,12.021,89.3864,-0.728845,-371.091,214.429,-1.99247,-1.11594,-1.12334,-1.43537,-1.98014,199.309,10545.2,19.1601,11951.6,24756.8,-3.24746,-2.37093,-3.63333,-2.69036,-3.23514,0.760606,10281.2,13.9832,11687.6,0.499906,0.997626,0.00219907,20566.3,11933.4,136473,170061,-0.00239772,1.0109,12.1308,10.3496,89.9698,70.5827,1.0665,12.2109,11.5887,88.7814,122.685,1.1884,-52.1022 
37,43.56,37,22827.6,-0.50026,44.2682,12.4826,89.0731,0.295798,78.4939,466.407,-2.99392,-0.87412,-0.27923,-2.59704,0.0235779,185.442,11833,23.6627,13192.1,18744.2,-4.1616,-2.0418,-2.61459,-3.76472,-1.1441,0.809527,11587.4,18.8461,12946.4,0.504233,0.997162,0.00267438,22980.2,14260.1,166818,199881,-0.00251346,1.09693,12.4831,10.4366,89.886,70.5142,1.13245,12.5187,11.7739,88.5998,122.763,1.28625,-52.2488 
38,43.36,38,22351,-0.0155569,42.6611,12.4736,89.1664,-0.0910682,103.662,500,-1.59972,-2.01327,-2.70905,-0.869583,-0.671338,218.888,11588.2,22.1987,13054,17630.2,-2.978,-3.39155,-5.46561,-2.24786,-2.04962,0.661208,11298.2,16.5133,12764.1,0.501461,0.997449,0.00237753,22530.6,13699.5,160048,192116,-0.00245903,1.07688,12.5382,10.3355,89.9134,70.0028,1.10999,12.5713,11.7372,88.71,122.158,1.20339,-52.1555 
39,43.46,39,22776.7,-0.000488635,44.7013,12.096,89.2037,-0.0478054,29.7151,114.115,-1.1734,-0.740449,-1.05073,0.950406,0.206794,177.323,11641.8,23.3744,13321.9,17648.1,-2.28996,-1.857,-3.28384,-0.16615,-0.909762,0.613971,11406.9,18.7686,13087,0.497607,0.997129,0.00263486,22923.5,14472.4,165903,206322,-0.00256434,1.10678,12.1862,10.4437,90.0316,70.6366,1.15512,12.4698,11.7295,88.6928,123.036,1.33876,-52.3995 
