cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.45,0.5,0,26700.6,-0.0236763,45.8392,13.2938,119.531,-0.0299123,-27.1003,500,-9.38283,-6.47167,-15.0013,-2.82153,-6.19792,-189.662,3588.28,33.9861,23797,19863.6,-8.18858,-5.27742,-12.6128,-1.62728,-5.00367,0.614402,3739.35,47.72,23948,0.135056,0.978155,0.00365724,27687.4,-0.00149609,0.339548,12.5441,10.7198,119.609,88.5378,1.80893,13.7851,12.1241,118.777,137.418,0.831944,-48.8803 
1,0.25,0.7,1,17874.6,-0.125106,30.6138,-13.644,119.704,-0.00831476,31.0185,4.41715e-13,-7.67519,-6.03796,-11.8141,-1.78876,-6.80377,-182.664,10097.4,43.1762,8580.84,13605.7,-6.525,-4.88777,-9.51371,-0.638567,-5.65358,0.650471,10242.9,56.4034,8726.34,0.539975,0.990455,0.0117665,18969.3,-0.00144604,0.790448,14.3532,11.3571,119.296,87.3979,0.621996,13.8371,12.8132,119.224,137.456,0.072727,-50.0583 
2,0.05,0.9,2,13452.7,-0.302942,22.1453,14.8763,119.491,0.0206468,286.937,7.28354e-08,-5.64448,-2.42335,-7.3632,-3.30855,-2.70425,-237.21,13128.3,13.6657,1491.54,10917.2,-4.15083,-0.929702,-4.3759,-1.8149,-1.2106,0.649421,13317.2,30.8427,1680.49,0.88795,0.995963,0.0327033,14997.7,-0.00194355,0.926947,15.4766,11.8877,119.016,88.012,0.100299,15.6083,13.6104,119.014,139.535,0.00254258,-51.5233 
3,0.04,0.91,3,16885.6,-0.0432052,26.953,-14.5431,119.458,0.00370005,48.3085,1.43927e-12,-1.08361,0.0848359,-2.41978,-4.16515,-4.68326,-189.666,16419.9,61.5293,1309.29,12766,0.110661,1.27911,-0.0312322,-2.97087,-3.48899,0.993878,16571,75.2635,1460.37,0.919009,0.992114,0.0867055,18031.3,-0.00183574,1.19367,15.1805,11.7288,118.964,87.6444,0.0774307,16.0469,16.007,119.6,139.331,-0.636464,-51.6865 
4,0.31,0.64,4,17271,0.00704137,28.5038,14.1436,119.454,-0.0227093,4.01155,0.256359,-3.78044,-3.26383,-9.62908,0.273138,-4.95278,-135.017,14285.1,46.8821,3903.54,13126.7,-2.93027,-2.41366,-7.92874,1.12331,-4.10261,0.512137,14392.6,56.659,4011.09,0.78205,0.993158,0.0253609,18403.7,-0.0016906,1.06765,14.8033,11.5968,118.855,87.5948,0.268703,14.5152,13.2927,119.205,137.924,-0.349908,-50.3288 
5,0.32,0.63,5,13809,-0.298424,22.1203,-15.0899,119.55,0.330205,61.4172,477.519,-3.69864,-2.70892,-4.55753,0.817422,-3.16725,-204.725,14074.7,30.0033,734.396,11526.3,-2.40954,-1.41982,-1.97934,2.10652,-1.87815,0.645301,14237.7,44.8279,897.467,0.940703,0.99452,0.0842591,15135.2,-0.00191716,0.991006,15.642,11.8164,118.915,87.5929,0.043028,16.328,18.0458,120.831,141.721,-1.91646,-54.1284 
6,0.24,0.71,6,15390.6,-0.320519,25.3019,14.6493,119.601,0.224915,-28.5418,8.65968,-7.26861,-0.565469,-6.05186,-3.87122,-5.12363,-205.397,13504.3,57.5482,2875.15,12275,-5.97528,0.727861,-3.4652,-2.57789,-3.8303,0.770833,13667.9,72.4215,3038.76,0.818111,0.990813,0.0420558,16706.6,-0.00180119,0.955302,15.2981,11.9484,119.018,87.3914,0.194099,14.6383,13.7271,119.574,137.943,-0.555698,-50.5518 
7,0.49,0.46,7,17166.7,-0.324609,28.7753,14.2378,119.433,0.12238,203.658,383.264,-5.06946,-2.65127,-7.59629,-5.05426,-1.81395,-240.178,13263.4,74.1482,4796.73,14148.4,-3.55712,-1.13894,-4.57162,-3.54192,-0.301615,0.65132,13454.7,91.5401,4988.04,0.72954,0.988234,0.0327007,18442.8,-0.00162809,0.985371,14.7012,11.7619,118.931,87.6819,0.336538,14.249,13.0539,118.98,137.961,-0.049099,-50.2789 
8,0.03,0.92,8,17241.3,-0.34534,29.0141,14.2575,119.882,0.235315,193.651,80.6049,-7.4128,-5.71103,-12.126,-7.03545,-4.40313,-149.909,11122.7,54.7534,6955.51,14949.7,-6.46886,-4.76709,-10.2382,-6.09151,-3.4592,0.670001,11242.1,65.6086,7074.92,0.613752,0.98989,0.0167957,18317,-0.00163354,0.814975,14.8737,11.8417,119.435,87.5704,0.486615,14.3451,12.9547,119.252,137.546,0.183536,-49.9752 
9,0.01,0.94,9,26322.5,-0.375053,45.3076,13.5584,119.315,0.467768,587.904,243.419,-8.5732,-7.65565,-19.5545,-9.6058,-6.02255,-91.8872,2213.2,36.3929,24891.6,28949.6,-7.99461,-7.07706,-18.3973,-9.02722,-5.44396,0.616244,2286.39,43.0467,24964.8,0.0839006,0.968103,0.00316628,27251.2,-0.00164752,0.238128,11.9149,10.1957,119.655,89.0107,1.88115,13.9171,12.0905,118.464,137.04,1.19176,-48.0295 
