cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.45,0.5,0,24839.2,-0.0731451,43.2054,13.2673,118.986,-0.022759,-89.4642,500,-0.582867,-2.87614,1.29737,-5.19745,1.21363,-256.155,23401.8,39.3152,2767.7,18726.5,1.03008,-1.2632,4.52326,-3.58451,2.82657,-0.280581,23605.8,57.8641,2971.73,0.888186,0.995729,0.0346265,26577.5,-0.00210827,2.03922,13.7741,10.6019,118.461,87.5272,0.233298,13.1132,11.7303,118.759,137.486,-0.297432,-49.9587 
1,0.25,0.7,1,23734,-0.0550585,41.2413,13.2056,118.741,-0.0265577,-84.5743,499.988,-9.53058,-10.2285,-15.6778,-9.50812,-6.84835,-138.147,302.46,16.9802,24139,17802.2,-8.66071,-9.35866,-13.938,-8.63825,-5.97847,0.700735,412.5,26.9838,24249,0.0167265,0.897282,0.00204566,24661.5,4.82706e-05,-0.0174099,10.525,107.659,103,98,1.938,13.5391,11.6924,117.897,137.109,-14.8969,-39.109 
2,0.05,0.9,2,27291.9,-0.038946,47.7551,13.0791,119.132,-0.0256508,36.2273,500,-0.651498,-1.59165,-7.35281,-1.66549,-0.0355426,-200.942,24213.6,49.0133,4241.23,20362.9,0.613781,-0.326372,-4.82225,-0.400214,1.22974,-0.30144,24373.7,63.564,4401.29,0.847044,0.995457,0.0259145,28775,-0.00201469,2.13881,13.6928,10.5614,118.548,87.458,0.378562,12.2081,11.4965,119.01,137.036,-0.462225,-49.5783 
3,0.04,0.91,3,25408.4,-0.340584,43.7279,13.5047,119.06,0.398573,-1084.36,270.789,-0.407199,-2.15183,1.95064,-3.98788,-2.23245,-232.404,25624.5,8.16809,973.604,33293.2,1.05619,-0.688443,4.87742,-2.52449,-0.769059,-1.49917,25809.6,24.9971,1158.72,0.957034,0.998308,0.0382207,26968.3,-0.00219549,2.25927,13.8064,10.4858,118.576,87.1637,0.0696409,15.0951,14.0627,119.717,139.483,-1.141,-52.3189 
4,0.31,0.64,4,23729.4,-0.0348189,42.4256,12.9307,118.94,-0.0315396,-15.7457,4.3832e-10,-11.5313,-9.97459,-14.888,-3.94654,-8.33423,-175.685,3032.77,11.3045,21700.5,17874.8,-10.4251,-8.86835,-12.6755,-2.84029,-7.22798,0.69847,3172.71,24.0264,21840.5,0.126841,0.986921,0.00202237,25013.2,-0.00152487,0.334076,11.6148,10.0531,118.95,88.6989,1.81315,13.3535,11.2741,118.087,137.087,0.862069,-48.3884 
5,0.32,0.63,5,23101.9,-0.0466591,41.1328,12.9834,118.824,-0.021729,25.7592,2.52325e-11,-9.0635,-5.73009,-15.8171,-5.28369,-4.51185,-207.343,129.187,10.0613,23986,17403.1,-7.75792,-4.4245,-13.206,-3.9781,-3.20627,0.59457,294.344,25.0755,24151.2,0.0120408,0.870258,0.00190896,24445.5,-0.00116067,-0.0216452,15.438,7.19716,115.429,73.2512,1.99942,13.2554,11.381,118.079,137.2,-2.6499,-63.9486 
6,0.24,0.71,6,21962.5,0.0171525,39.2627,12.9104,118.906,-0.0452069,7.82491,500,-8.41576,-12.5513,-15.3151,-5.23319,-6.84904,-226.153,1033.6,-3.10791,21935.6,16512.7,-6.99173,-11.1273,-12.4671,-3.80917,-5.42502,0.686917,1213.74,13.2684,22115.7,0.0520263,0.981228,0.00110396,23329.4,-0.00161183,0.127707,-11.0096,-10.5088,119.339,90.1816,1.81905,13.32,11.4222,118.13,136.785,1.20935,-46.6036 
7,0.49,0.46,7,22525.7,-0.122261,41.3639,12.4778,119.13,-0.0142632,-91.7578,312.608,-3.94668,-3.41366,-13.1681,-4.28716,-2.78739,-138.683,6721.95,10.0184,16818.7,16844.3,-3.07343,-2.54041,-11.4216,-3.41391,-1.91414,0.489275,6832.42,20.0607,16929.2,0.28754,0.994888,0.0021781,23761.6,-0.00139878,0.711398,11.9681,9.94684,118.215,87.5036,1.46748,13.092,10.9714,118.513,136.369,-0.298361,-48.8653 
8,0.03,0.92,8,22545.3,-0.285414,41.6857,12.5243,118.97,-1.23467,1424.34,409.241,-5.18999,-1.47692,-4.40601,-4.3033,-3.16034,-203.373,20288.5,0.604141,3438,74243.3,-3.90941,-0.196342,-1.84484,-3.02272,-1.87976,0.830017,20450.5,15.3308,3599.99,0.850315,0.99869,0.00778368,24050.5,-0.00171606,1.9599,12.9785,10.1037,118.406,86.8601,0.326681,11.8585,11.1295,118.864,136.251,-0.45838,-49.3911 
9,0.01,0.94,9,23818.7,-0.342978,43.1023,12.9059,119.088,0.32185,-156.182,463.157,-8.31406,-7.75519,-16.9074,-6.66136,-6.25052,-164.373,3235.44,13.8447,21626,19744.9,-7.27904,-6.72017,-14.8373,-5.62634,-5.2155,0.62606,3366.36,25.7474,21757,0.133994,0.986792,0.00217522,25123.3,-0.00153616,0.364187,11.4495,9.89358,118.775,88.4469,1.80676,13.2829,11.3326,118.333,137.121,0.441693,-48.6744 
