cyc,pulse time (ms),charge time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.27,0.52,0,16394.7,-0.256373,29.92,12.874,100.512,-0.202689,-42.2541,308.994,0.703382,-1.41513,-1.93241,0.745176,1.28249,-164.676,13135.7,57.8413,4408.2,12818,1.7403,-0.378209,0.141437,1.7821,2.31941,0.974766,13366.7,74.9505,4639.18,0.776357,0.990283,0.0289009,17217.2,-0.00150893,1.20873,13.0856,10.3129,100.254,66.2632,0.393463,12.8134,11.0783,99.9858,114.892,0.267729,-48.6292 
1,0.15,0.64,1,15963,-0.167438,28.1474,12.9933,100.721,0.157672,104.552,33.4236,1.28593,-0.360713,-0.988869,-1.07247,-0.610021,-43.1354,4254.69,56.25,12177.1,12442.3,1.55754,-0.0891012,-0.445645,-0.800854,-0.338409,-2.82633,4315.19,60.7316,12237.6,0.298167,0.975963,0.009059,14472.4,-0.000411327,0.455323,12.0027,9.49491,100.542,66.9813,1.01595,12.9183,11.3268,100.39,116.867,0.151857,-49.8858 
2,0.29,0.5,2,17711.7,-0.10369,32.949,12.4487,100.692,0.136765,-74.2891,336.975,-0.279175,1.48236,-1.60605,0.236618,2.11791,-174.449,16839.2,43.4274,2098.35,13683.2,0.819283,2.58082,0.590862,1.33508,3.21637,0.930832,17083.8,61.552,2343.03,0.8978,0.993734,0.0461588,19028.6,-0.00190649,1.53898,13.0169,10.5391,100.44,66.3273,0.211795,12.2827,11.0483,100.163,114.563,0.2774,-48.2352 
3,0.21,0.58,3,20224.7,-0.287735,36.4382,12.9518,100.47,0.551497,-33.7472,479.238,0.894534,1.39609,-1.15425,0.44087,-2.50095,-181.43,21122.2,32.1393,76.2453,15969.1,2.03695,2.53851,1.13058,1.58328,-1.35853,0.809371,21376.7,50.9892,330.718,0.987322,0.995843,0.22119,21651.2,-0.00227113,1.87874,13.2277,10.6615,100.124,67.4547,0.0509598,6.1792,31.9963,109.585,98,-9.46129,-30.5453 
4,0.24,0.55,4,18351.4,-0.143339,32.2361,12.8769,100.111,0.0264559,280.958,188.114,0.279177,1.02042,4.14355,-2.90641,0.499265,-61.598,1725.46,-8.28887,16981.1,13754.9,0.667043,1.40829,4.91929,-2.51854,0.887131,0.0827706,1811.86,-1.88908,17067.5,0.113398,1.00183,-0.000203931,15977.9,-0.000571963,0.238354,10.7876,8.2399,100.15,65.6097,1.41887,12.9742,11.4377,99.5995,115.706,0.550817,-50.0966 
5,0.16,0.63,5,21950.7,-0.21173,38.1154,13.1394,100.583,0.0189581,20.9762,348.733,1.13169,0.621002,-0.558224,-0.637302,0.720003,-62.547,-71.354,-58.0483,22332.7,16316.1,1.52553,1.01484,0.229459,-0.243461,1.11384,0.936965,16.3743,-51.5499,22420.5,0.000879141,-0.22176,-0.00425345,18625.4,-0.00119893,0.0378584,9.24423,-6.02433,98.6865,63.4763,1.85661,13.1615,11.5095,100.177,116.081,-1.49096,-52.6044 
6,0.05,0.74,6,17992.2,-0.335698,33.4619,12.8172,100.442,0.87568,-866.063,427.638,-0.103842,-0.525051,-1.81003,-1.18651,-0.767405,-130.609,17826.9,57.0196,1462.47,38649.9,0.718569,0.29736,-0.165209,-0.364099,0.0550058,1.30502,18010.1,70.5893,1645.66,0.929506,0.993188,0.0732294,19376,-0.00215836,1.65238,13.0087,10.421,100.22,66.4361,0.143733,13.3783,11.6058,99.5339,114.267,0.686601,-47.8309 
7,0.07,0.72,7,19526.5,-0.161616,33.3909,13.2513,100.48,0.156492,-52.8655,443.894,1.1557,0.752375,-4.24316,-2.5764,-0.947144,-117.184,2625.7,12.2252,17305.3,14673.3,1.89358,1.49025,-2.76741,-1.83852,-0.20927,-0.933381,2790.06,24.4001,17469.6,0.16137,0.984926,0.00256629,17289.9,-0.000543066,0.31263,11.1951,9.177,100.273,66.2348,1.34055,13.3742,11.9181,100.073,116.397,0.200404,-50.162 
8,0.17,0.62,8,22486.3,-0.0569317,37.5537,13.5699,100.419,-0.0404658,27.2579,500,-0.175852,-2.43036,-1.37339,-1.48834,-2.05004,-39.4204,26.6776,-55.7869,22863.7,16625.1,0.0723677,-2.18214,-0.876945,-1.24012,-1.80182,0.854537,81.9686,-51.6913,22919,0.00429049,-9.65347,-0.00417201,19104.7,-0.00133882,0.0495523,10.36,6.61584,100.18,63.4301,1.74516,13.7363,12.022,100.024,116.064,0.155913,-52.6339 
9,0.1,0.69,9,17527,-0.180067,30.1251,13.3156,100.162,0.00598689,-152.55,99.1724,1.28932,-0.747757,-1.13491,-1.35661,-1.37583,-56.3715,4283.52,41.5837,13719.9,13087.9,1.64427,-0.392801,-0.424995,-1.00166,-1.02088,0.644669,4362.59,47.4405,13798.9,0.275839,0.981325,0.00629327,15815.7,-0.000544986,0.453358,12.0778,9.54577,99.9856,66.1852,1.07128,13.3825,11.7914,99.7688,116.066,0.216753,-49.8813 
