cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,20,0,25109.8,-0.515089,47.9041,12.6051,89.2363,-0.749968,577.719,411.818,-2.65329,-0.315653,-3.50212,-2.55487,-2.51739,30.3777,1083.47,14.7386,26700.1,33761.2,-2.84457,-0.506933,-3.88468,-2.74615,-2.70867,0.693903,1043.23,13.9495,26659.8,0.0425741,0.977135,0.000962938,24503.9,29878.2,1472.18,769697,-0.00483549,0.0454655,33.6646,16.1473,76.7683,78.7568,2.13479,13.1088,12.1809,89.298,122.218,-12.5298,-43.4616 
1,150,1,24410.2,-0.214041,46.1638,12.5454,89.1127,0.58959,-1318.68,500,-2.3417,0.525539,-2.26104,0.0697166,-2.45724,18.1767,473.777,10.9507,26534.7,44162.6,-2.45615,0.411085,-2.48994,-0.0447372,-2.57169,0.651826,449.699,10.4786,26510.6,0.0189116,0.96082,0.000727582,23779.1,29424.1,815.554,758516,-0.00448828,0.0612081,15.7704,-14.0259,60,86.7415,2.11275,13.0641,12.2932,89.2353,121.046,-29.2353,-34.3045 
2,40,2,23731.9,-0.0703089,45.1251,12.4683,89.1633,-0.972357,921.374,499.976,1.45367,1.08972,0.10052,-0.93132,-1.98098,37.2278,870.006,14.7107,25528,47480.2,1.21925,0.855308,-0.368307,-1.16573,-2.21539,0.780098,820.691,13.7437,25478.7,0.0353107,0.971528,0.000992681,23242,27800.1,1009.09,716227,-0.00421917,0.0535838,19.4178,15.1705,62.4337,86.0821,2.07691,12.9622,12.0919,89.2337,121.703,-26.8,-35.6207 
3,50,3,25185.4,-0.51366,47.9204,12.6332,89.0444,-2.13303,1626.57,348.034,-1.13491,2.11503,0.539914,1.3335,-0.240152,-2.662,667.546,14.0445,27240.6,132652,-1.11815,2.13179,0.573438,1.35026,-0.22339,0.788707,671.073,14.1136,27244.1,0.0272286,0.964501,0.000953381,24645.9,30979.7,860.668,798775,-0.00448586,0.0613317,16.248,14.3594,60,87.2687,2.16876,13.0707,12.2767,89.1306,121.43,-29.1306,-34.1616 
4,0.1,4,24578,-0.0107782,47.6504,12.1845,88.8666,0.0157553,-10.2842,1.2773e-11,-2.40896,-1.23408,-3.18317,-2.05246,-2.00812,78.0824,1980.07,13.5877,25319.8,18905.6,-2.90063,-1.72574,-4.1665,-2.54413,-2.49979,0.698882,1876.64,11.5596,25216.4,0.0779754,0.989335,0.00084374,24067.1,27718.7,4504.88,710668,-0.0034978,0.178093,11.2989,10.2408,90.7566,70.0082,2.07982,12.8093,12.1033,88.8759,121.504,1.88067,-51.4961 
5,10,5,25969.6,-0.51932,49.722,12.5233,89.2687,0.176237,749.585,201.055,-2.06996,-1.56538,-2.27535,1.2796,-1.00128,61.4581,1569.1,13.3091,27103.8,24570.9,-2.45694,-1.95237,-3.04932,0.892619,-1.38827,0.616644,1487.69,11.7128,27022.4,0.0588778,0.986409,0.000797816,25267.4,31463,2832.11,808713,-0.00362424,0.12092,11.8302,11.2255,90.8308,70.33,2.20748,12.9871,12.0536,89.3174,120.721,1.51339,-50.3913 
6,70,6,22566.9,-0.486935,43.605,12.5079,89.2174,0.603783,-206.445,330.137,-0.0211414,-2.66274,-6.0007,-1.12204,-0.368841,38.3497,537.027,14.6041,24617.4,21812.5,-0.262619,-2.90421,-6.48365,-1.36352,-0.610319,0.442234,486.226,13.608,24566.6,0.0219964,0.95331,0.00101934,22104.8,26099.3,803.949,671991,-0.0198258,0.0220615,1256.13,112.976,60.0535,56.7999,2.02077,12.8722,12.0758,89.3112,121.36,-29.2577,-64.5602 
7,15,7,23870.5,-0.127424,45.5003,12.4217,89.0601,-0.0383517,180.148,3.86156,-1.2901,-0.285154,0.0623469,0.0753419,-0.459267,29.4821,1350.46,16.8957,25080.8,18623.7,-1.47574,-0.470795,-0.308935,-0.110299,-0.644908,0.897387,1311.41,16.1299,25041.7,0.0561674,0.978929,0.00118513,23348.1,27160.5,1936.59,698239,-0.00447607,0.053052,31.7042,15.8196,81.9318,75.0784,2.06527,12.7175,12.1638,89.1954,121.486,-7.26365,-46.4072 
8,110,8,23648,-0.0112912,44.6625,12.4457,88.9698,-0.0331675,9.4919,500,-3.56795,-1.67852,-0.453358,-0.597805,-2.30756,25.2327,570.591,12.3574,25624.1,18105.2,-3.72683,-1.83741,-0.771125,-0.756689,-2.46644,0.919326,537.166,11.702,25590.7,0.0232973,0.963277,0.000841645,23056.9,27918.4,832.591,719385,-0.00334119,0.0428239,-4.00869,-33.9144,81.2309,95,2.07445,12.9377,12.0707,89.1024,121.02,-7.87153,-26.0204 
9,1,9,24623.2,-0.241961,48.4539,12.221,89.3322,0.300391,-558.656,491.282,-1.64848,0.162936,-2.68696,0.196978,0.408212,124.546,1861.25,15.9749,25495.4,24739.6,-2.43271,-0.621298,-4.25543,-0.587256,-0.376022,0.485607,1696.26,12.74,25330.4,0.0707159,0.987027,0.000925634,23987,28197.8,3969.47,723584,-0.00358974,0.162055,11.1996,10.7991,90.9669,70.5458,2.10026,12.7926,12.1002,89.3811,121.535,1.58581,-50.9888 
