cyc,HF AM,HF AM img2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,0.65,0.65,0,45539.3,0,5,101,125,0,5,135,-0.355492,2.37568,-2.55553,-2.77228,-0.0494057,16.9752,11.0991,43945.5,11.1568,16439.4,-0.421081,2.31009,-2.6867,-2.83787,-0.114995,0.283652,10.1071,43871.1,10.1648,0.453135,0.00013163,0.999874,22.3049,0.0204312,-225.898,307.513,325.934,0.241388,52005.1,9.88382e-07,0.320311,131.109,92.404,23.4393,23.9357,0.979262,499.474,530.302,0.520707 
1,0.675,0.675,1,47001,0,5,101,125,0,5,135,-0.877727,-2.81298,3.70083,5.49122,-0.448104,38.3231,-6.83007,44888.4,14.052,16439.4,-1.0258,-2.96105,3.40469,5.34315,-0.596177,0.182511,-9.06967,44720.5,11.8124,-1.77654,-0.000115904,0.999857,5.10526,0.0210869,-71.0527,396.353,393.145,0.295986,54287.9,1.00264e-06,0.393707,131.249,92.061,24.9298,24.6225,1.01248,565.017,561.173,0.56161 
2,0.7,0.7,2,42426.5,0,5,101,125,0,5,135,-1.15032,-0.359608,-4.66543,-3.72967,-5.96522,2.18374,-17.2653,41319.8,3.17026,16439.4,-1.15876,-0.368046,-4.6823,-3.73811,-5.97366,0.705902,-17.3929,41310.2,3.04264,1.2657,-0.000240648,0.99996,-13.7418,0.0190346,140.373,326.017,341.205,0.255006,49432.4,9.71807e-07,0.3432,131.502,92.0236,23.6713,24.0078,0.985985,509.411,533.502,0.536441 
3,0.725,0.725,3,45634.7,0,5,101,125,0,5,135,-0.645277,3.39906,6.97586,5.70612,-0.196964,69.7381,-4.83178,43954.1,2.42649,16439.4,-0.914731,3.1296,6.43696,5.43667,-0.466418,0.527462,-8.90728,43648.5,-1.64901,0.818226,-0.000116624,1.00002,-10.8861,0.0204739,364.286,359.188,371.892,0.275083,52746.8,9.93058e-07,0.36804,131.283,92.1541,24.2576,24.4687,0.991373,534.956,554.183,0.548291 
4,0.75,0.75,4,44119.1,0,5,101,125,0,5,135,-1.25516,0.185358,-2.90808,-2.90669,-4.35536,47.1141,15.0586,42812.2,0.541458,16439.4,-1.4372,0.00331845,-3.27216,-3.08873,-4.5374,0.734665,12.3053,42605.7,-2.21189,1.27503,0.000165011,1.00003,9.65101,0.019794,644.817,324.914,333.829,0.242156,50965.4,9.81751e-07,0.335463,131.772,92.6091,24.075,24.1908,0.995214,526.934,541.666,0.54418 
5,0.775,0.775,5,40407.4,0,5,101,125,0,5,135,-0.481841,-0.593851,-1.20658,0.0133189,2.03065,87.1819,6.64824,39466.9,2.07816,16439.4,-0.818694,-0.930705,-1.88029,-0.323535,1.6938,0.167801,1.55333,39084.8,-3.01675,-0.751575,2.27095e-05,1.00004,-2.06677,0.0181287,1004.58,327.119,354.585,0.276787,46708.8,9.5362e-07,0.357139,131.686,93.26,23.0987,23.8107,0.970099,485.066,524.78,0.52907 
6,0.8,0.8,6,40283.6,0,5,101,125,0,5,135,0.21951,0.978757,-4.70805,-0.777027,-2.64464,19.4971,-13.264,39389.1,7.38817,16439.4,0.144178,0.903424,-4.85872,-0.85236,-2.71997,0.341945,-14.4034,39303.7,6.24876,2.08598,-0.000209451,0.999914,-6.90484,0.0180732,1263.36,318.706,343.049,0.252523,47190.6,9.56888e-07,0.345551,131.449,93.0222,23.511,24.1542,0.973371,502.537,540.032,0.544418 
7,0.825,0.825,7,42819.8,0,5,101,125,0,5,135,-0.669871,-0.724871,-3.01467,0.0943743,0.0323862,82.6182,0.549351,41173.6,0.415552,16439.4,-0.989091,-1.04409,-3.65311,-0.224846,-0.286834,0.410596,-4.27886,40811.4,-4.41266,0.446923,-5.99147e-05,1.00006,-9.57404,0.0192111,1553.11,419.363,413.812,0.327721,50027.7,9.75693e-07,0.426956,131.787,92.8069,24.9076,24.5142,1.01605,564.011,556.249,0.574071 
8,0.85,0.85,8,39144.5,0,5,101,125,0,5,135,0.136586,0.668575,-1.50356,1.45992,-0.119184,78.702,-7.33293,38043.4,9.31064,16439.4,-0.167502,0.364486,-2.11174,1.15583,-0.423273,-0.786281,-11.9323,37698.4,4.7113,1.90043,-0.000180901,0.999932,-6.27871,0.0175621,1716.41,358.899,368.02,0.283239,45523.7,9.45486e-07,0.384386,131.92,93.8038,24.0348,24.1092,0.996914,525.178,538.021,0.562208 
9,0.875,0.875,9,38625.4,0,5,101,125,0,5,135,-1.92063,-0.368691,-2.11916,-0.699595,-2.1008,69.0533,-11.1511,37514.4,-4.91352,16439.4,-2.18744,-0.635499,-2.65277,-0.966403,-2.36761,0.698881,-15.1865,37211.7,-8.94899,0.58578,-0.000233261,1.00013,-25.9253,0.0173292,2043.7,376.267,384.727,0.305009,45222.2,9.43394e-07,0.403303,131.758,92.9936,24.0762,24.1042,0.998839,526.986,537.795,0.564306 
