cyc,pulse time (ms),wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.29,0.52,0,17409.2,-0.0291963,41.2493,11.5513,95.9036,0.00246552,-1.19205,0.0157772,-16.0531,-18.9837,-26.8752,-19.0245,-17.2495,-534.463,18902.5,103.003,4085.54,15511.2,-12.6878,-15.6184,-20.1444,-15.6591,-13.8841,0.741718,19652.1,158.532,4835.17,0.832119,0.986079,0.0569574,23616.9 
1,0.26,0.55,1,15885.7,-0.0782075,39.8683,11.2375,95.2835,0.234833,-232.14,499.986,-23.2251,-18.9621,-30.9285,-24.3343,-20.2802,-488.824,2465.67,35.9845,19497.2,16359.1,-20.1471,-15.8841,-24.7726,-21.2563,-17.2022,0.750433,3151.3,86.7713,20182.8,0.159954,0.954029,0.00785747,19701.2 
2,0.02,0.79,2,15742.7,-1.11371,40.7554,11.4775,95.5651,-13.7805,-9931.75,69.2032,-9.1807,-14.8795,-34.9557,-11.301,-12.7142,-494.591,9193.91,61.1674,12435.9,4.4706e+06,-6.06639,-11.7652,-28.7271,-8.18673,-9.59992,0.553548,9887.62,112.553,13129.6,0.47873,0.980468,0.015546,20653.9 
3,0.28,0.53,3,16269.3,-0.685902,39.7956,11.6034,96.0762,0.104642,151.395,500,-22.0648,-15.3678,-24.0993,-16.0654,-15.6218,-462.106,17519.6,89.9927,4100.6,15547.6,-19.1551,-12.458,-18.2798,-13.1556,-12.712,0.758716,18167.8,138.004,4748.75,0.823497,0.986881,0.0508133,22061.7 
4,0.13,0.68,4,15974.4,-0.0456633,38.1177,11.5993,95.9115,0.00226077,1.48751,500,-16.0164,-16.8,-28.5015,-6.39417,-15.7955,-464.809,19657.8,91.9655,1683.28,14393.2,-13.0897,-13.8732,-22.6479,-3.46739,-12.8687,0.656573,20309.8,140.257,2335.22,0.91384,0.988059,0.0996181,22224.6 
5,0.17,0.64,5,18627.4,-0.115475,42.1943,11.8669,94.931,-0.0402148,230.463,3.34097e-09,-21.9278,-18.3249,-22.6186,-8.57133,-16.4492,-503.722,554.688,-8.79708,23476.2,16601.6,-18.756,-15.1531,-16.2749,-5.39952,-13.2774,0.763655,1261.21,43.5377,24182.7,0.0597984,0.94303,0.0033055,21091 
6,0.19,0.62,6,14641.2,-1.05104,38.0544,11.4894,95.6162,1.34759,504.002,399.707,-17.2295,-13.4502,-36.1836,-24.766,-14.8313,-492.666,12442.2,65.1642,7802.25,36342.8,-14.1273,-10.348,-29.9793,-21.6638,-11.7291,0.658735,13133.2,116.35,8493.26,0.653469,0.984733,0.0246141,20097.7 
7,0.3,0.51,7,15911.5,-0.404208,38.6736,11.5459,95.7414,-1.01803,1147.86,0.0608517,-28.6618,-23.6577,-19.5648,-10.8461,-7.64195,-451.125,18180.3,94.3877,3115.25,52576.3,-25.8212,-20.8171,-13.8835,-8.00545,-4.80134,0.810667,18813,141.258,3748,0.859576,0.987031,0.0649197,21886.4 
8,0.16,0.65,8,19038.4,0.0195718,43.222,11.9282,94.9864,-0.0241067,38.631,500,-15.5531,-22.8509,-32.5491,-16.889,-12.5419,-486.656,1370.15,20.0137,23283.7,16813.5,-12.4888,-19.7865,-26.4204,-13.8246,-9.47756,0.677792,2052.74,70.5754,23966.2,0.0945742,0.943248,0.00539534,21705 
9,0.1,0.71,9,16856.9,-1.00137,41.6109,11.5279,95.4449,7.81922,9092.03,18.8261,-8.84411,-5.37179,-31.1957,-17.3658,-16.0165,-446.514,7886.37,61.387,14281.9,2.32992e+06,-6.03253,-2.56021,-25.5725,-14.5543,-13.205,0.587037,8512.64,107.778,14908.2,0.410498,0.978324,0.0131424,20737.4 
10,0.05,0.76,10,13300.8,-0.154953,35.3997,11.0911,95.7451,0.237486,-243.031,500,-21.6821,-17.5559,-38.3044,-24.0542,-12.8192,-468.736,16877.3,59.994,2329.14,14660,-18.7306,-14.6044,-32.4014,-21.1027,-9.86767,0.664952,17534.7,108.694,2986.59,0.87745,0.989269,0.0628293,19983.7 
