cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,-3.8,43.4227,4,0,3356.76,-0.0281,-15.4362,-7.19221,118.829,-0.0110023,-19.0246,3.69093,-2.25986,-0.167926,-3.65536,0.0110012,-3.7745,-123.817,2929.22,-5.74248,2251.78,3620.9,-1.48022,0.611716,-2.09607,0.790644,-2.99486,0.594475,3027.84,3.2234,2350.4,0.56298,0.99814,0.00251995,5378.25,-0.00165814,0.676433,7.42966,7.33562,118.511,87.5641,0.458074,7.3479,8.10841,118.007,136.286,0.504306,-48.7216 
1,-4.08,43.1427,4,1,3369.3,0.00132378,-15.2001,7.22558,118.533,-0.0184351,6.86943,499.955,-1.53423,-5.44758,-4.75723,-2.14161,1.04103,-149.09,3075.51,-16.9179,2276.45,3579.43,-0.595452,-4.5088,-2.87967,-1.20283,1.97981,0.600431,3194.26,-6.12196,2395.21,0.571479,1.00337,-0.00473055,5589.47,-0.00176413,0.651772,7.90695,7.45656,118.278,88.383,0.456573,7.32815,8.17614,117.953,137.279,0.325181,-48.8958 
2,-4.29,42.9327,4,2,3230.4,-0.390131,-15.4664,7.39779,118.689,5.30161,-2394.89,440.189,-7.86552,-3.55074,-6.81377,-0.179161,-3.66018,-148.902,2814.78,-22.7863,2328.86,417047,-6.92793,-2.61314,-4.93858,0.758435,-2.72258,0.699669,2933.39,-12.0039,2447.46,0.545153,1.00721,-0.00911724,5380.85,-0.00178251,0.618069,7.69893,-7.52984,118.552,87.7786,0.458656,7.39261,-8.40723,118.027,136.853,0.524833,-49.074 
3,-3.77,43.4527,4,3,3464.76,-0.293972,-15.7808,-7.31804,118.658,0.447986,467.941,0.00170727,-6.8139,-3.69664,-4.88372,-4.95806,-5.90013,-151.138,2991.36,-32.948,2282.26,10583.6,-5.86223,-2.74497,-2.98037,-4.00639,-4.94846,0.854916,3111.75,-22.0038,2402.65,0.564295,1.01253,-0.0171597,5514.39,-0.00172177,0.69128,7.68383,7.23546,118.406,87.4854,0.476759,7.34845,7.97301,117.99,136.078,0.41581,-48.5922 
4,-5,42.2227,0,4,3445.56,-0.0150538,-15.1218,7.20291,118.608,0.0832619,-2.44983,500,-1.68454,-6.16306,-9.44085,-5.18641,-3.80341,-127.028,2914.3,-39.1978,2307.47,3552.37,-0.884685,-5.3632,-7.84113,-4.38655,-3.00355,0.634942,3015.48,-29.9994,2408.65,0.555938,1.01772,-0.0234819,5424.13,-0.00169909,0.64791,7.75712,-7.41508,118.382,88.1134,0.479379,7.41721,-8.02882,117.862,136.584,0.519789,-48.4711 
5,-5,42.2227,0,5,3116.61,-0.0135534,-15.1684,7.07928,118.666,0.0308783,-20.6873,497.313,-4.11678,-2.02775,-4.43274,-2.34296,-4.58691,-142.516,2871.19,-20.9998,2221.94,3516.41,-3.21939,-1.13036,-2.63797,-1.44557,-3.68953,0.782397,2984.71,-10.6798,2335.46,0.561018,1.0063,-0.00849534,5320.16,-0.00186608,0.664605,7.56147,7.29066,118.489,87.4968,0.479877,7.39344,7.74079,118.067,136.307,0.422205,-48.8106 
6,-4.38,42.8427,4,6,3527.46,0.00670912,15.1698,7.30774,118.524,-0.00330256,15.7373,1.43228e-10,-5.00667,0.781677,-6.17568,-4.026,-6.03877,-184.927,3091.56,-28.4838,2180.08,3610.46,-3.84224,1.94611,-3.84681,-2.86157,-4.87433,0.714604,3238.86,-15.0928,2327.38,0.581876,1.00822,-0.0120903,5566.24,-0.00163321,0.685999,7.74924,7.3969,118.371,86.6689,0.45883,7.26896,7.97025,117.835,135.218,0.535488,-48.5489 
7,-4.23,42.9927,4,7,3154.94,-0.0369539,-14.5748,7.25274,118.554,0.1802,-282.59,7.44294e-13,-5.53481,-0.192281,-2.00563,-5.3152,-2.18287,-186.326,2831.58,-10.32,2191.77,5098.82,-4.36156,0.980965,0.340865,-4.14196,-1.00962,1.04161,2979.99,3.17233,2340.19,0.56013,0.998141,0.00249092,5320.18,-0.00168068,0.630945,7.73772,-7.34616,118.51,87.6311,0.448718,7.19429,-8.09536,117.742,136.528,0.767978,-48.8971 
8,-4.12,43.1027,4,8,2904.41,-0.014562,-14.0797,-7.04544,118.823,0.00862426,9.35838,1.88704e-12,-4.40312,-3.31867,0.290632,0.183273,-3.21551,-125.313,2674.68,-43.3858,2065.77,3231.84,-3.61405,-2.5296,1.86876,0.972337,-2.42645,1.32619,2774.49,-34.3116,2165.59,0.561629,1.02212,-0.0300638,4940.08,-0.00175353,0.627361,7.53508,-7.34366,118.596,88.2133,0.440777,-7.21126,-7.93574,118.098,136.956,0.498301,-48.7423 
9,-3.96,43.2627,4,9,2789.76,-0.102573,-13.441,7.38458,118.812,0.139149,-185.689,500,-6.31973,-1.00573,-7.97612,-2.31024,-1.94288,-128.762,2649.1,-25.616,2068.38,4072.24,-5.50895,-0.194951,-6.35457,-1.49946,-1.1321,0.567423,2751.66,-16.2921,2170.94,0.558985,1.01047,-0.0140181,4922.6,-0.00181224,0.591613,7.83923,7.30305,118.605,88.3734,0.417151,7.57809,8.05998,117.953,137.285,0.65241,-48.9116 
10,-3.62,43.6027,4,10,3514.07,-0.0117537,15.3387,7.10276,118.424,0.0273938,-6.09247,16.228,-1.82328,-1.08387,-8.51121,-1.97356,-1.77749,-163.547,3010.29,-17.8677,2253.27,3552.01,-0.793465,-0.0540514,-6.45158,-0.943744,-0.74768,0.282402,3140.56,-6.02486,2383.54,0.568519,1.00337,-0.00467806,5524.1,-0.00157961,0.689184,7.38687,7.39004,118.136,87.8384,0.478461,7.19929,-7.94694,117.748,136.816,0.388166,-48.9774 
