cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,10,11,5,0,25482,-0.0618821,47.5517,12.8923,83.3568,0.0793649,5.08162,500,1.43993,-0.77146,-0.33641,-1.5258,-1.66351,-28.4481,10371.5,99.6859,16493.1,19970,1.61906,-0.59233,0.02185,-1.34667,-1.48438,1.01226,10407.7,100.425,16529.3,0.408958,0.983395,0.011068,25449.4,0.0261012,983.9,0.0261346,-0.0161008,-1.14305,-17.4045,104.959,123.675,-688295,5.17137,11.6709,100.011,235.814,4.94874,-112.139 
1,5,6,7,1,26754,-0.181369,50.2881,12.8064,83.7803,0.004935,323.177,499.34,0.804503,0.117294,-2.96787,-2.43507,-1.99417,-23.6643,11566.1,95.8291,16958.8,21016.6,0.953511,0.266302,-2.66985,-2.28606,-1.84516,0.52164,11596.2,96.4438,16988.9,0.428598,0.985654,0.0103491,27056.1,0.0274042,917.889,0.0283458,0.0500711,-0.758037,-14.0799,104.738,129.997,-81931.6,60.3201,21.8979,95.9027,267.681,8.83502,-137.685 
2,1,2,10,2,27681.6,0.0487587,52.1812,12.7246,83.7727,0.0546651,-73.6197,495.396,0.862216,0.206452,4.34558,-0.853304,1.7667,-23.3054,11705,98.4229,17594.4,21745.9,1.00896,0.3532,4.63907,-0.706556,1.91345,0.356411,11734.7,99.0282,17624.1,0.422527,0.985447,0.0102446,27772.6,0.0283542,968.316,0.0283775,-0.00171964,-1.12934,-21.8589,105.316,123.441,-327665,5.15278,11.2536,100.018,233.617,5.29868,-110.176 
3,7,8,5.6,3,25780.5,-0.714627,50.096,12.7961,83.5215,0.48966,-52.4407,3.75558,0.401358,0.0669839,-4.67097,-3.49854,-3.83331,-13.0557,10848.3,93.1896,16548.4,21703.6,0.483566,0.149192,-4.50656,-3.41633,-3.7511,0.591843,10864.9,93.5287,16565,0.418864,0.985159,0.0102938,25939.1,0.026407,985.884,0.0264661,-0.0301344,-1.14499,-17.6674,104.948,122.595,-327729,5.16672,11.3546,100.033,233.484,4.91491,-110.889 
4,20,21,0,4,27933.1,-0.716999,53.6997,12.8131,83.6928,0.646615,-381.384,22.0497,0.306359,0.460294,-3.14116,-2.84371,-1.34102,27.7626,11979.9,101.564,17683.4,30426.5,0.131545,0.285481,-3.49078,-3.01852,-1.51584,0.541176,11944.5,100.843,17648.1,0.426525,0.985441,0.0104164,28004.3,0.0286119,962.314,0.0287934,-0.0709058,-0.784813,-17.8105,104.585,121.779,-327666,5.14769,11.4527,100.003,233.2,4.58138,-111.421 
5,20,21,3.5,5,24121.7,-0.625536,45.6875,13.021,83.6891,0.577224,168.688,191.551,-1.36057,0.667384,2.53392,-1.98326,3.41954,-34.718,10331,89.0633,15298.5,22535.6,-1.14196,0.885994,2.97114,-1.76465,3.63815,0.352506,10375.2,89.965,15342.7,0.426313,0.985052,0.0106861,24337,0.0247078,970.185,0.0247376,-0.0360363,-0.495924,-18.5187,104.455,121.966,-327673,5.15071,11.1759,100.015,233.008,4.4401,-111.042 
6,3,4,0,6,27290,-0.676927,52.3529,12.7891,83.5783,0.245033,191.102,41.3387,-1.01534,0.12545,-0.862818,-2.7657,-0.749912,-9.9185,11668.6,105.185,17186.1,23320.3,-0.952882,0.187904,-0.73791,-2.70325,-0.687458,0.849209,11681.2,105.443,17198.7,0.427381,0.984449,0.0111675,27332.1,0.0279532,988.728,0.0280286,-0.0258419,-1.65563,-18.6918,105.355,124.697,-353654,5.14813,11.2399,100.018,232.972,5.33777,-108.275 
7,3,4,9,7,27274,-0.0907872,51.7232,12.6996,83.536,0.0820426,11.8373,499.994,0.18988,1.12569,-7.1006,1.30266,-1.72788,-19.5522,11865.2,80.9416,17459.2,21414.7,0.312995,1.2488,-6.85437,1.42578,-1.60476,-0.252726,11890,81.4494,17484,0.427691,0.988154,0.00850843,27800.5,0.0279367,974.81,0.0348282,0.0152569,-0.061999,-30.7061,104.098,107.222,-81903.8,313.826,120.165,100.055,633.508,4.04299,-526.287 
8,10,11,5,8,26316.4,-0.668403,49.4857,13.0832,83.7555,1.81224,-1272.8,318.718,-1.90449,-2.68909,-3.82881,-2.25731,-2.21252,-9.69629,10681.1,90.4545,17269,96164.1,-1.84344,-2.62803,-3.7067,-2.19625,-2.15147,0.704077,10693.4,90.7064,17281.4,0.404755,0.985373,0.00957625,26419.4,0.0269559,961.475,0.0269577,-0.45513,-0.12484,-21.1283,104.536,120.335,-87029,5.09589,10.0926,100.02,228.382,4.5156,-108.047 
9,5,6,7,9,26478.6,-0.661821,50.4642,12.8845,83.7735,-0.46401,667.258,110.772,-0.982405,-0.750191,-2.26001,-2.06056,-0.525772,-21.0204,10793.5,100.324,17087.2,31245.3,-0.850045,-0.617831,-1.99529,-1.9282,-0.393412,0.65508,10820.2,100.87,17113.9,0.409951,0.983948,0.0107408,26393.9,0.027122,951.541,0.0272973,-0.0193905,-1.4107,-19.6654,105.244,125.264,-836583,5.14868,11.552,99.9953,235.361,5.24854,-110.097 
