cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,3,4,0,0,25559.6,-0.617412,47.6931,13.3488,85.3092,0.194369,-948.635,500,0.395889,3.18897,0.700906,1.06688,-1.9393,128.689,13266,37.1923,15116.5,26727.2,-0.414434,2.37865,-0.919741,0.256552,-2.74962,0.365083,13102.2,33.8497,14952.7,0.490552,0.995499,0.00415281,26709.2,0.0261807,1052.33,-0.00696421,0.56445,13.7174,-52.093,85.196,102.267,-1.16446e+07,17.5354,14.2206,89.3804,248.895,-4.18437,-146.628 
1,3,4,10,1,26903.1,-0.465513,49.1473,13.5483,84.4118,-0.0999472,450.47,2.24692e-09,0.285744,0.769033,-1.77013,-0.813098,1.07447,114.358,13268.2,34.3685,16737.3,23141.7,-0.434336,0.0489534,-3.21029,-1.53318,0.354396,0.327611,13122.6,31.3982,16591.7,0.464993,0.99583,0.00347389,28221.1,0.0275568,1032.97,-0.00724499,0.595981,-13.8436,-51.2346,84.3266,104.043,-8.70599e+06,12.1985,13.0691,92.7081,243.514,-8.38147,-139.47 
2,20,21,2.2,2,25633.5,-0.0360983,48.0361,13.0424,84.8035,0.0692313,-84.7327,500,0.163445,-3.73693,0.961912,0.967438,-1.65293,133.772,12569.8,17.8879,16217,20585.8,-0.678883,-4.57925,-0.722745,0.12511,-2.49526,0.913454,12399.5,14.4133,16046.8,0.459206,0.99797,0.00165186,27002.1,0.0262564,1076.17,0.0261662,0.032113,-1.24856,-27.4234,104.401,93.6179,-296208,5.10796,10.5382,100.011,231.955,4.39017,-138.337 
3,3,4,0,3,27041.1,-0.485479,50.2416,13.3265,84.8891,0.413789,-116.744,500,1.3994,-3.65158,-0.317638,1.37356,-1.42001,143.814,13187.1,39.3349,16766.7,23368.5,0.493837,-4.55714,-2.12876,0.467997,-2.32557,0.735546,13004.1,35.5994,16583.7,0.462857,0.995232,0.00393878,28095.3,0.0276982,1061.17,0.0274817,0.0370072,-1.18074,-29.7369,104.144,97.0105,-279401,5.14921,11.0375,99.9964,231.384,4.14779,-134.373 
4,3,4,10,4,27293.5,-0.0154163,49.6836,13.399,85.0776,-0.0174525,4.11346,3.30891,-0.708842,1.16895,-0.0968228,1.58596,0.990787,179.212,13155.2,27.7966,17336.4,21673.5,-1.83729,0.0405,-2.35373,0.457506,-0.137665,0.385559,12927.1,23.1417,17108.3,0.453652,0.996877,0.00248554,28495.7,0.0279567,983.094,-0.0075207,0.606393,-13.9436,-50.9103,84.9332,104.919,-6.21864e+06,8.63119,12.8642,98.158,242.452,-13.2248,-137.534 
5,20,21,2.2,5,26515,-0.201083,48.1706,13.3523,85.0889,0.131438,-96.4147,500,0.572071,4.7128,6.24405,-1.32727,7.53507,64.5244,13025.8,35.6925,16256.1,21350.4,0.165778,4.3065,5.43147,-1.73356,7.12878,0.644978,12943.7,34.0165,16174,0.467922,0.995422,0.00385929,27662,0.0271593,1065.45,-0.00679683,0.582579,13.8268,-51.0537,84.9589,103.468,232658,5.15768,11.6009,100.047,238.719,-15.088,-135.251 
6,3,4,0,6,27719.8,-0.810248,51.4028,13.5012,84.9443,0.399076,-129.468,337.749,1.61315,-0.869851,1.78428,0.324826,3.36105,170.21,13623,26.1282,17158.4,24273.9,0.54139,-1.94162,-0.359245,-0.746939,2.28928,-0.65453,13406.3,21.7072,16941.7,0.465121,0.997174,0.0023547,28823.3,0.0283933,965.511,0.0283562,0.038878,-0.700521,-28.7346,103.879,94.8422,-179127,5.18573,11.1323,100.032,230.66,3.84736,-135.818 
7,3,4,10,7,26357.6,-0.000212658,48.5336,13.2029,85.1656,-0.0260404,-0.146719,500,-0.449863,3.23766,-1.37655,-0.521651,1.18783,179.664,12587,25.0502,16696.9,20859.8,-1.58116,2.10636,-3.63915,-1.65295,0.0565362,0.227417,12358.4,20.3836,16468.2,0.451952,0.997122,0.00227489,27344.4,0.0269981,1066.52,-0.00686281,0.592245,-13.6966,-50.7716,85.0379,104.902,-2.37519e+07,16.3237,15.0404,86.5885,253.493,-1.55057,-148.59 
8,20,21,2.2,8,25351.5,-0.0431125,47.9082,12.8677,84.8086,0.0316124,2.43853,500,-2.85651,2.34666,1.9261,2.33865,5.67676,117.098,12435.8,26.2732,15949.6,20070.6,-3.59385,1.60933,0.451426,1.60131,4.93942,0.909852,12286.7,23.2317,15800.5,0.460778,0.996702,0.00270115,26665.2,0.0259675,1006.43,0.0257895,0.0323207,-1.64818,-29.8456,103.239,93.5348,-264835,5.62621,10.8197,100.208,231.416,3.03067,-137.881 
9,3,4,0,9,26994.2,0.0294061,49.0307,13.2292,84.6052,-0.00348495,167.949,5.00018e-12,1.44408,2.99297,5.63191,0.0785852,2.96726,132.705,13112.9,39.6126,16789.2,21134.4,0.608466,2.15736,3.96069,-0.757024,2.13165,0.511095,12944,36.1657,16620.3,0.461158,0.995134,0.00399241,28068.4,0.0276501,1003.51,0.0275264,0.12836,-0.43505,-26.8357,103.244,98.2513,-175255,5.21181,10.8475,100.01,230.138,3.23355,-131.887 
