cyc,time,timewait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,4,2,9,0,13306.9,-0.131723,25.5809,13.2129,113.166,0.0466795,86.1357,1.65451e-14,1.73305,0.269593,-0.88495,0.790614,1.18833,112.025,8403.88,86.6908,6693.84,11133.9,1.02766,-0.435797,-2.29573,0.0852247,0.482945,-1.02144,8314.65,78.5789,6604.61,0.51198,0.98373,0.0214465,16240.2,-0.00209158,0.699547,13.6017,11.1938,112.475,91.8042,0.50175,-13.4438,12.6909,112.499,142.34,-0.023295,-50.5353 
1,2.5,3.5,9,1,13587.2,-0.51306,26.0865,13.544,113.258,-0.27182,66.1632,0.0224855,0.945956,-0.525407,-2.87272,-0.0953577,0.302203,128.34,8141.27,63.2076,7181.39,12087.1,0.137833,-1.33353,-4.48897,-0.90348,-0.50592,0.367222,8039.04,53.9142,7079.16,0.486212,0.9884,0.0138352,16534,-0.00198979,0.701847,13.5592,10.7996,112.657,91.5095,0.554764,-13.3867,12.3025,112.354,141.92,0.303553,-50.4103 
2,0.1,5.9,9,2,12716.2,-0.52174,24.7004,13.578,113.317,0.185237,137.723,34.5928,0.756599,1.53052,2.12145,-1.67549,0.752872,109.975,7311.75,62.4822,7177.74,11748.2,0.0641155,0.838036,0.736488,-2.36797,0.0603895,2.10097,7224.15,54.5187,7090.14,0.459192,0.986965,0.0139668,15732.3,-0.00212856,0.619002,13.6211,11.0513,112.759,91.5511,0.541758,13.6362,-12.482,112.535,142.22,0.224926,-50.6691 
3,0.7,5.3,9,3,12587.9,-0.240769,24.7231,13.264,113.509,0.119184,52.558,500,0.0337964,0.629439,0.490502,-1.09987,-0.787374,149.085,7565.78,53.3361,6998.87,10879.1,-0.904952,-0.30931,-1.38699,-2.03861,-1.72612,0.782124,7447.03,42.5405,6880.12,0.474237,0.990102,0.0112616,15703.2,-0.00227929,0.667022,13.4729,10.6586,113.015,91.7251,0.535563,13.6518,12.3265,112.518,142.274,0.497508,-50.5488 
4,3,3,9,4,12283.9,-0.530056,24.4954,13.3472,113.129,0.40249,-131.766,500,1.67671,-0.329128,1.91134,-0.447836,1.75688,125.789,7637.43,54.1155,6563.98,12369.6,0.884655,-1.12118,0.32723,-1.23989,0.964822,2.77485,7537.24,45.0068,6463.78,0.49283,0.989658,0.012664,15293.8,-0.0021425,0.677089,13.1678,10.8079,112.608,91.7242,0.513029,13.5214,-12.0983,112.3,142.081,0.307656,-50.3568 
5,1,5,9,5,13506.6,-0.508419,25.8231,13.594,113.283,0.251818,783.112,240.334,1.66167,-0.63684,1.28015,0.109253,-0.35422,122.235,7778.37,64.3957,7387.09,17847.1,0.891995,-1.40652,-0.259205,-0.660427,-1.1239,0.898671,7681.01,55.5443,7289.72,0.467537,0.987503,0.0138417,16428.7,-0.00197904,0.676545,13.3408,-10.8452,112.681,91.7009,0.549033,13.8906,-12.4719,112.465,142.137,0.216379,-50.4362 
6,0.06,5.94,9,6,13660.9,-0.524771,25.9393,13.7338,113.265,-0.0463727,358.331,472.76,0.0305347,-0.255972,2.48689,0.574452,-0.807827,94.904,7848.75,64.6296,7525.97,12137.9,-0.567051,-0.853557,1.29172,-0.0231332,-1.40541,1.82939,7773.16,57.7574,7450.38,0.46508,0.987164,0.0140794,16713.6,-0.00210633,0.649473,13.7058,11.2214,112.692,91.9619,0.562037,13.684,12.5825,112.452,142.668,0.239327,-50.7064 
7,5.5,0.5,9,7,13243,-0.0542971,25.8767,13.0087,113.389,0.0326963,7.08155,500,0.152906,-1.20221,1.69561,1.67136,1.418,139.56,8449.43,75.9122,6734.04,10965.7,-0.725866,-2.08098,-0.0619361,0.792589,0.539228,0.959702,8338.26,65.8063,6622.88,0.511998,0.986377,0.0179745,16285.7,-0.00217228,0.75538,13.2018,10.6778,112.798,90.9467,0.530648,13.4157,12.0762,112.51,141.306,0.28831,-50.3591 
8,1.6,4.4,9,8,12663.7,-0.0177111,24.5116,12.9198,113.383,-0.164916,114.027,0.881392,1.01105,0.788273,3.21295,1.46611,1.30527,100.72,7660.47,47.7905,6771.03,10921.3,0.376846,0.154068,1.94454,0.8319,0.671067,0.511228,7580.25,40.4971,6690.81,0.485626,0.990737,0.0110267,15609.2,-0.00199071,0.693867,13.2204,-10.5304,112.806,91.3751,0.52923,13.3407,-12.214,112.545,141.611,0.260983,-50.2361 
9,0.4,5.6,9,9,12248.5,-0.528578,24.2466,13.4451,113.46,-0.376218,3547.04,9.49669,1.61754,0.438242,-2.85849,-0.443311,-1.73011,112.587,7306.86,57.5716,6801.1,54053.3,0.908613,-0.270686,-4.27634,-1.15224,-2.43904,0.408503,7217.18,49.4189,6711.42,0.47261,0.988159,0.0133827,15270.9,-0.00207664,0.636183,13.4252,10.7725,112.941,91.0805,0.516271,13.5898,12.3904,112.564,141.415,0.377357,-50.3348 
