,filename,EF,pulsetype,trf,Delta_cutoff,c9_bg,sum_rule,a,e_a,contact
0,2024-06-12_K_e,0.016,KaiserOffset,0.0002,,,,,,
1,2024-06-18_G_e,0.016,KaiserOffset,0.0002,-1.5,12700.1,-0.9623325143579362,2.3807674311377338e-15,0.022844090062255414,3.32301051856667e-14
2,2024-06-20_C_e,0.016,KaiserOffset,0.0002,,,,,,
3,2024-06-20_D_e,0.016,KaiserOffset,0.0002,-1.5,13069.475,-0.028032598835020236,2.2377188077696542e-17,0.0033611803905987964,3.123347135280447e-16
4,2024-06-21_F_e,0.016,BlackmanOffset,0.0004,-1.5,14146.425,-2.3650744834501025,3.9393462725695685e-12,0.05473283420090605,5.498432534323325e-11
5,2024-07-02_I_e,0.017,Blackman,0.0004,,,,,,
6,2024-07-03_D_e,0.017,Blackman,0.0004,-1.5,13702.65,0.2506379884389651,0.006585320432492546,0.0038038205527135016,0.0919161140189453
7,2024-07-03_E_e,0.017,Blackman,0.0004,,,,,,
8,2024-07-03_F_e,0.017,Blackman,0.0004,-1.5,13576.455555555556,0.14395064366542104,0.006000163212350002,0.004832236146443043,0.0837486484693193
9,2024-07-04_K_e,0.017,Blackman,0.0004,,,,,,
10,2024-07-04_L_e,0.017,square,0.0002,-1.5,14165.342857142856,-1.0929826143323973,2.466453687679943e-13,0.024155404727293113,3.44260906820337e-12
11,2024-07-04_M_e,0.017,Blackman,0.0002,,,,,,
12,2024-07-05_C_e,0.0129,Blackman,0.0004,,,,,,
13,2024-07-05_D_e,0.0129,Blackman,0.0002,-1.5,5400.6900000000005,-1.7244494880890044,7.13959630107941e-16,0.014573105328588841,9.965254605095453e-15
14,2024-07-17_E_e,0.0127,Blackman,0.0002,,,,,,
15,2024-07-03_D_e_smallerbox,0.017,Blackman,0.0004,-1.5,13508.779999999999,0.3274241647324449,0.0068911394286042755,0.0031306433385657885,0.0961846525060126
16,2024-07-17_E_e_blanks,0.0127,Blackman,0.0002,,,,,,
17,2024-07-17_H_e,0.0133,Blackman,0.0004,,,,,,
18,2024-07-03_D_e_evenbiggerbox,0.017,Blackman,0.0004,-1.5,14039.609999999997,0.2671002679497559,0.005052800981308598,0.0036965618190946455,0.07052562375270954
