filename,EF,pulsetype,trf,Delta_cutoff,c9_bg,sum_rule,a,e_a,contact
2024-06-12_K_e,0.016,KaiserOffset,0.0002,,,,,,
2024-06-18_G_e,0.016,KaiserOffset,0.0002,-1.5,12700.1,-0.9623325143579362,4.48484440652308e-17,0.014529643144874116,6.25982401392692e-16
2024-06-20_D_e,0.016,KaiserOffset,0.0002,-1.5,13069.475,-0.028032598835020236,4.0977904495572515e-13,0.0022715081224847266,5.7195846132074426e-12
2024-06-21_F_e,0.016,BlackmanOffset,0.0004,-1.5,14146.425,-2.3650744834501025,3.764205975771297e-11,0.04325775324512914,5.253976464875407e-10
2024-07-03_D_e,0.017,Blackman,0.0004,-1.5,13702.65,0.2506379884389651,0.00697511726429789,0.0035900236560694205,0.09735679232818327
2024-07-03_F_e,0.017,Blackman,0.0004,-1.5,13576.455555555556,0.14395064366542104,0.00634365127297458,0.004105090217210898,0.0885429615279118
2024-07-04_L_e,0.017,square,0.0002,-1.5,14165.342857142856,-1.0929826143323973,4.312971611771923e-12,0.021181121509996122,6.019928635090773e-11
2024-07-05_D_e,0.0129,Blackman,0.0002,-1.5,5400.6900000000005,-1.7244494880890044,7.13959630107941e-16,0.014573105328588841,9.965254605095453e-15
2024-07-03_D_e_smallerbox,0.017,Blackman,0.0004,-1.5,13508.779999999999,0.3274241647324449,0.007282121088511829,0.0030147573452040393,0.10164186832410102
2024-07-03_D_e_evenbiggerbox,0.017,Blackman,0.0004,-1.5,14039.609999999997,0.2671002679497559,0.0054850921657200735,0.003538637279886937,0.07655942669412702
