cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,46.919,0,17650,0.0851988,30.1803,12.383,122.532,-0.0602784,34.063,138.263,2.3952,-2.08652,-1.43778,-0.193849,0.630517,-75.4973,114.705,29.7544,16664.9,12232.7,2.87058,-1.61113,-0.487004,0.281537,1.1059,1.22548,196.234,33.0821,16746.4,0.0121844,0.772187,0.00362584,16105.3 
1,47.269,1,14762.6,-0.0267547,27.3745,11.3898,122.939,0.0147426,-21.5212,2.17403e-12,-2.33934,-2.68412,-5.92329,-1.50475,-0.152396,-57.3325,4926.97,33.0043,9118.22,10160.1,-1.97834,-2.32311,-5.20128,-1.14374,0.208611,0.501691,4988.88,35.5313,9180.13,0.363886,0.98769,0.00707932,13710 
2,47.019,2,15316.4,-0.0274642,27.9403,12.0188,122.517,-0.0172064,-3.86713,410.737,5.1229,-0.593283,-6.11785,2.40812,1.68924,-105.519,647.474,25.4724,14333.6,10933.9,5.78733,0.0711452,-4.78899,3.07255,2.35367,1.73726,761.423,30.1234,14447.6,0.0525604,0.935249,0.00382612,14486.6 
3,47.379,3,16364.9,0.0403535,29.4256,11.8334,122.73,-0.0709475,-23.5547,4.90744e-11,-2.60973,2.77552,6.55797,2.61299,-1.79699,-73.5523,1824.39,26.1578,13936,11389.6,-2.14659,3.23866,7.48425,3.07612,-1.33386,0.274683,1903.82,29.3997,14015.4,0.125099,0.973687,0.00384926,15218.5 
4,47.469,4,15722.5,-0.0165501,27.9493,11.9349,122.542,-0.0276669,65.7784,6.92158e-11,0.100481,-2.31767,-1.76055,-3.05438,-0.418802,-96.8884,376.837,24.9691,14709.6,10918.1,0.710562,-1.70759,-0.540392,-2.4443,0.191278,0.857433,481.466,29.2396,14814.2,0.0330791,0.903932,0.00362269,14555 
5,47.369,5,13868.6,0.0794224,25.3755,11.4976,122.846,-0.00357236,-59.966,3.02792e-10,-2.32318,-1.68812,4.96859,-2.83242,1.89295,-40.0081,1753.72,20.9502,11373.4,9504.65,-2.07126,-1.4362,5.47243,-2.5805,2.14487,-2.57827,1796.92,22.7136,11416.6,0.142131,0.978358,0.00365154,12642.7 
6,47.229,6,12967.8,0.109232,23.9351,11.2495,123.176,-0.0393589,76.9275,91.535,3.3428,-4.13933,-3.2867,-2.64562,-4.13421,-77.6076,4744.45,29.4484,7533.61,8863.79,3.83147,-3.65066,-2.30935,-2.15694,-3.64553,0.70882,4828.26,32.8691,7617.42,0.400193,0.988227,0.00788599,12064.8 
7,47.509,7,16333,0.0302189,28.9426,12.1395,122.697,-0.1176,-22.139,438.181,0.663891,1.32052,4.50686,0.119117,2.54276,-48.009,109.102,21.981,15605.6,11522.4,0.96619,1.62282,5.11146,0.421417,2.84506,0.533921,160.946,24.0971,15657.5,0.0107044,0.792385,0.00282701,15035.5 
8,47.349,8,16255.7,-0.0720266,29.0444,12.0115,122.747,0.0269433,19.8652,2.20187e-12,-3.49135,0.819979,2.18719,1.89856,-1.81297,-56.0511,2750.69,20.1409,12710.2,11374.2,-3.13841,1.17292,2.89307,2.2515,-1.46004,-0.682956,2811.21,22.6115,12770.7,0.188124,0.98612,0.00325097,14943.4 
9,47.339,9,14511.4,0.0249778,25.8278,11.9499,123.243,-0.0315999,-36.9854,5.20723e-11,-0.815835,1.50533,6.09083,-0.0120343,-2.03932,-30.8661,2711.47,13.3004,11085.6,10085.3,-0.62148,1.69969,6.47954,0.182321,-1.84496,-0.0991389,2744.81,14.6609,11118.9,0.206255,0.990739,0.00242303,13307.8 
