cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.1409,1.33,0,15754.2,-0.0188048,31.4654,10.9433,121.601,0.0142559,-19.2553,11.5994,2.18022,-0.709312,-4.83096,0.0178791,-2.83585,-8.92077,-15.6347,2117.72,5463.57,11218.2,2.23639,-0.653141,-4.71861,0.0740508,-2.77968,0.192155,-15.0449,2119.59,5464.16,-0.00412648,-0.00407254,0.416762,3645.94,0.000174003,-0.0253865,1.24977,5.44108,120.822,80.5999,1.56625,11.192,10.8859,121.279,136,-0.457315,-55.4001 
1,47.1709,1.33,1,15152.2,0.0281043,30.2713,10.7673,121.571,-0.0717164,21.4379,333.874,-2.02517,2.67487,0.704003,4.71477,3.21117,40.9438,-34.2766,2241.12,5187.46,10660.5,-2.28298,2.41706,0.188379,4.45695,2.95336,0.975639,-36.9836,2232.55,5184.75,-0.0107611,-0.00955655,0.44234,3436.8,0.000330853,-0.0132418,7.07773,-12.7207,122.378,75.0001,1.48488,11.0961,11.0637,121.24,135.832,1.13714,-60.8316 
2,47.1959,1.33,2,15900.7,0.013492,31.6167,-10.8758,121.743,0.00852283,-16.5576,495.756,6.02493,2.6815,8.7795,3.26549,-5.67209,13.7786,-15.8544,2110.31,5482.37,11198.3,5.93817,2.59474,8.60598,3.17873,-5.75885,0.40888,-16.7654,2107.42,5481.46,-0.00458595,-0.00456669,0.414596,3655.81,0.0415456,-0.0415316,940.473,-1134.6,116.362,85.6848,1.57585,11.0375,10.9429,121.414,135.959,-5.05125,-50.2739 
3,47.4609,3,3,15557.9,0.0250539,28.7316,11.6631,121.832,-0.0174887,-26.857,26.4016,-0.786556,6.33709,-5.43267,7.3393,-2.69285,34.7785,20.0018,2031.52,4860.17,10923.9,-1.00555,6.1181,-5.87065,7.12031,-2.91184,2.70146,17.7024,2024.24,4857.87,0.00540947,0.00497241,0.434258,3272.48,0.000671509,-2.54671,12.0798,0.00773382,121.407,81.6703,1.37262,11.833,11.1647,121.432,136,-0.0251819,-54.3297 
4,47.3709,3,4,13259.6,-0.00221413,23.3659,12.3371,121.801,-0.00158055,-13.4975,44.3318,-1.67144,2.19602,0.0740567,-1.62061,-2.2815,90.7361,179.655,1673.31,3636.14,9384.79,-2.24278,1.62468,-1.06863,-2.19195,-2.85285,0.84125,173.656,1654.31,3630.14,0.0666408,0.0565895,0.456366,2605.85,6.59854e-06,0.0439218,20.8402,18.547,124.272,86,1.01554,12.3065,11.6363,121.353,136,2.91929,-50 
5,47.1459,1.33,5,13916.1,0.00883548,27.8655,10.8824,121.641,-0.0115149,4.29396,1.39263e-10,-3.4099,1.14489,3.55627,2.91457,-1.9372,8.01501,-6.80702,2042.09,4806.56,9873.16,-3.46037,1.09442,3.45533,2.8641,-1.98767,-0.757711,-7.33694,2040.41,4806.03,-0.00228373,-0.00205898,0.438855,3212.7,0.000314014,-0.0160581,4.01808,10.3801,120.582,75,1.38252,11.0439,10.928,121.251,135.914,-0.669592,-60.9144 
6,47.4059,3,6,15115,0.00862789,26.886,12.1752,121.785,-0.0153717,-6.11606,223.141,-2.26899,0.217842,0.950081,3.76339,2.86317,75.837,103.381,2021.94,4419.75,10659.1,-2.74651,-0.259683,-0.00496976,3.28587,2.38564,1.00187,98.3665,2006.06,4414.73,0.0321855,0.0272561,0.45565,3056.24,-2.25493e-05,0.0282525,16.859,32.2329,127,86,1.23483,12.1429,11.3507,121.379,135.845,5.6213,-49.845 
7,47.2559,1.5,7,15112.3,-0.0296572,30.1178,11.0109,121.492,-0.0154756,21.0031,76.7728,3.21973,4.11665,-1.73082,-1.3467,3.64561,28.1469,56.8789,2159.21,5087.1,10806.1,3.0425,3.93942,-2.08529,-1.52393,3.46838,1.30482,55.0179,2153.32,5085.23,0.0158914,0.0143901,0.438212,3462.13,-0.000215371,0.0198971,12.1788,35.0733,127,86,1.45076,11.2255,11.0341,121.165,136,5.83542,-50 
8,47.4159,3,8,14566.6,0.00636219,26.2707,12.0594,121.909,-0.0228263,5.08188,2.29596e-10,0.619182,-2.17372,-0.465929,-1.6389,-1.427,92.7445,93.2053,1949.5,4308.66,10317,0.0351946,-2.75771,-1.6339,-2.22289,-2.01098,0.809797,87.0734,1930.08,4302.53,0.0293199,0.0251315,0.452461,2969.77,-1.20581e-05,0.0278379,17.1899,31.4773,127,86,1.20427,12.0158,11.3072,121.446,136,5.55414,-50 
9,47.1659,1.33,9,15401.2,-0.00959532,31.0245,10.8181,121.648,0.0147849,-39.388,196.761,2.20756,-2.52292,-2.22404,0.372522,1.03462,-63.6268,-24.8468,2116.1,5340.52,10944.7,2.60821,-2.12228,-1.42276,0.773163,1.43526,2.11888,-20.6401,2129.42,5344.72,-0.00579724,-0.0055696,0.423273,3560.33,0.000231854,-0.0216684,-0.0631619,19.4185,121.277,80.5949,1.53531,11.0096,10.9757,121.337,136,-0.0602947,-55.4051 
10,47.2959,1.8,10,15705.5,0.0762832,29.3833,11.3158,121.679,-0.0555525,-15.3325,364.074,-1.00412,-2.27906,1.31138,-3.44598,-3.09225,2.01575,124.73,2247.24,4990.46,10851.6,-1.01681,-2.29175,1.286,-3.45867,-3.10494,1.14978,124.596,2246.82,4990.33,0.0359262,0.030715,0.453367,3468.12,9.75813e-05,0.0335478,15.014,25.007,126.534,86,1.42256,11.4443,10.9655,121.321,135.746,5.21282,-49.746 
11,47.4259,3,11,14349.1,0.111847,25.7906,11.5933,121.502,-0.183513,-0.849471,0.0872024,-1.50516,-0.123312,1.29396,-1.46239,-0.135824,-25.4188,68.77,2075.27,4309.54,9738.5,-1.34511,0.036743,1.61407,-1.30233,0.0242311,2.65989,70.4506,2080.59,4311.22,0.0238092,0.0189818,0.470619,2958.97,0.00041959,0.0233295,14.8607,32.0485,127,86,1.21347,11.7074,11.1858,121.06,135.331,5.94034,-49.3306 
12,47.2859,1.8,12,13943.3,-0.000875681,26.8112,11.2117,121.668,-0.0108565,6.71065,500,-3.6944,-3.22471,1.53562,0.783969,-1.82592,-12.6069,141.963,1990.7,4515.91,9787.88,-3.61502,-3.14533,1.69439,0.863352,-1.74654,1.28481,142.797,1993.34,4516.75,0.0450603,0.0393257,0.448416,3169.02,-4.99083e-05,0.0314969,15.0722,24.866,126.057,86,1.28626,11.3503,10.9431,121.167,135.723,4.88926,-49.7232 
13,47.3259,2.34,13,14473.5,0.000662153,26.0555,11.8135,121.737,-0.0121278,-3.46363,499.999,0.683216,-1.2718,3.02694,1.47411,-0.406525,21.1092,198.498,1940.39,4212.77,10021.4,0.550296,-1.40471,2.7611,1.34119,-0.539445,-0.0194473,197.102,1935.97,4211.37,0.0652932,0.054979,0.458527,3018.72,0.000198751,0.0465959,17.4198,20.5838,124.912,86,1.18692,11.8587,11.2187,121.279,135.952,3.6334,-49.9524 
14,47.3909,3,14,13506.3,0.0806976,23.493,12.0355,121.717,0.0450965,-53.8013,500,-3.0731,-0.689923,4.85319,-4.44356,0.0846181,9.87663,125.535,1771.18,3826.43,9283.4,-3.13529,-0.752114,4.72881,-4.50575,0.0224276,2.29844,124.882,1769.11,3825.78,0.0464563,0.0387732,0.459992,2688.15,0.000344128,0.0304809,19.9983,23.1307,125.282,86,1.07155,12.046,11.3607,121.209,135.87,4.07314,-49.8704 
15,47.1909,1.33,15,16469.5,0.0157055,32.4409,10.9586,121.672,-0.0379398,8.22735,3.95785e-10,1.21004,-0.444506,4.27291,-0.537441,4.21063,-15.5559,-30.6921,2271.89,5518.32,11583.1,1.30799,-0.346554,4.46881,-0.439489,4.30858,0.519448,-29.6636,2275.15,5519.35,-0.00808648,-0.00750628,0.431605,3668.3,0.000588751,-0.0145924,5.21405,-13.2847,123.635,75,1.58302,11.1374,11.0416,121.396,136,2.23903,-61 
16,47.3659,3,16,14263.8,0.0631881,24.3687,12.4202,121.782,-0.0711319,11.3815,47.3537,2.62314,4.97018,2.16693,0.156198,0.0786059,49.0155,236.949,1832.65,3867.51,9879.09,2.31451,4.66154,1.54966,-0.15244,-0.230032,0.8097,233.708,1822.39,3864.27,0.0827939,0.0682779,0.46488,2822.77,0.000382606,0.0547645,19.2952,17.288,124.138,86,1.0784,12.2202,11.4752,121.312,135.789,2.82589,-49.7893 
17,47.2259,1.33,17,15236.4,0.0636002,30.2177,-10.8288,121.335,-0.0228953,-56.3883,0.0178557,7.61908,4.06842,1.66586,-0.74916,-2.28112,3.87483,123.515,2223.95,5090.44,10694.2,7.59468,4.04402,1.61707,-0.773559,-2.30551,0.841101,123.259,2223.14,5090.19,0.0348811,0.0307092,0.445842,3533.68,-1.15099e-05,0.0280117,11.4392,37.31,124.834,86,1.46419,11.0681,10.7946,121.063,135.985,3.77056,-49.9847 
18,47.3959,3,18,13386.7,0.044219,23.5159,12.152,121.681,-0.00564622,-5.44896,21.4281,5.57283,0.711715,-2.11174,-2.28762,0.650036,63.2034,122.774,1861.22,3834.25,9303.61,5.17486,0.31374,-2.90769,-2.68559,0.252061,20.7297,118.596,1847.99,3830.08,0.0441739,0.0353745,0.470565,2684.75,0.000124905,0.0323385,17.9668,26.2611,127,86,1.0726,12.1029,11.3285,121.183,135.657,5.81706,-49.6566 
19,47.3809,3,19,13483.4,0.00421826,23.8265,12.0785,121.664,-0.0219165,3.94661,500,1.93933,-3.13197,-0.327797,0.69566,2.77544,8.82727,160.704,1707.12,3874.71,9371.27,1.88375,-3.18756,-0.438963,0.640077,2.71986,1.27144,160.12,1705.27,3874.13,0.0581033,0.0509232,0.44777,2755.78,0.000132028,0.0390726,18.1429,22.2748,127,86,1.08267,12.0966,11.2714,121.094,136,5.90552,-50 
