cyc,detuning,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,60,47.2759,5,0,18431.8,-0.0628278,33.9586,-12.3458,115.401,0.015055,3.86823,500,3.34781,-0.016002,-2.69947,2.50695,1.51681,-1.41039,2717.83,121.793,16459.9,13649.7,3.35669,-0.00712113,-2.68171,2.51583,1.52569,1.56944,2719.81,121.866,16461.9,0.125621,0.927289,0.0134535,21651,-0.00114464,0.153843,13.2258,18.5611,117.143,90.8238,1.0899,12.7185,14.7173,114.821,137.795,2.32155,-46.971 
1,50,47.2659,5,1,18897,-0.0924448,34.874,12.6566,115.614,-0.0427489,6.97354,1.35287e-07,0.790999,2.34719,-2.48439,-1.55209,-3.34522,-134.782,3206.4,142.663,16743.7,14378.3,1.63968,3.19587,-0.787018,-0.703409,-2.49653,1.92744,3395.45,149.665,16932.7,0.14848,0.928387,0.0160212,22868.1,-0.00167197,0.17749,13.1603,19.9884,117.353,91.9022,1.07337,13.1257,14.7712,114.948,138.561,2.40443,-46.659 
2,35,47.2509,5,2,17354.8,-0.0678542,31.8881,-12.5867,115.654,0.00306424,17.9584,500,-1.2582,-0.442713,2.30648,1.96007,-1.51029,-40.6084,4613.01,107.926,13613.7,13067.6,-1.0025,-0.187012,2.81788,2.21577,-1.25459,-0.0881716,4669.97,110.036,13670.6,0.229019,0.960399,0.0146106,20391.2,-0.0011818,0.320331,12.7423,14.2619,116.698,88.5702,0.882121,13.0941,14.7939,114.968,138.215,1.72942,-49.6443 
3,130,47.3459,10,3,16048.8,-0.158223,30.4242,12.3062,115.665,0.0118306,111.093,279.918,1.16576,2.29875,-0.223421,-2.6549,0.106379,-82.9826,2267.53,77.0439,14826.7,12230.9,1.68828,2.82127,0.821618,-2.13238,0.628898,0.785349,2383.92,81.3547,14943.1,0.121824,0.943644,0.00992937,19568.5,-0.00141208,0.116896,13.5289,20.5942,117.681,91.3286,1.00011,12.7796,14.374,115.107,138.694,2.57393,-47.3656 
4,60,47.2759,5,4,17379.5,-0.182742,32.3997,12.5503,115.626,0.0492928,69.0569,500,-1.76951,3.89656,0.114139,0.10229,2.27594,-84.4422,2483.38,98.3262,15933.3,13347.8,-1.2378,4.42827,1.17756,0.634,2.80765,0.849218,2601.82,102.713,16051.8,0.123535,0.935379,0.01165,21061.4,-0.00154365,0.137069,13.2773,19.9945,117.57,92.697,1.06174,12.9075,14.4502,115.047,139.155,2.52323,-46.4584 
5,3,47.2189,2,5,16480.5,-0.208024,31.7982,11.9998,116.094,0.106701,3.59676,288.365,0.573234,0.809507,2.72081,0.400999,-2.1375,-38.0818,7314.12,87.9561,9923.68,12433.9,0.813025,1.0493,3.20039,0.64079,-1.89771,0.159073,7367.53,89.9344,9977.1,0.391033,0.979085,0.0163337,18841.2,-0.00082365,0.591533,12.228,12.5489,116.614,87.6771,0.741973,12.1048,13.6543,115.43,137.815,1.18402,-50.1381 
6,190,47.4059,10,6,16889.1,-0.243911,31.8491,12.387,115.519,0.581535,1856.75,458.454,-3.79649,3.70624,0.707653,-1.65028,1.15434,-39.5227,1435.16,111.351,16347,47992.8,-3.54762,3.9551,1.20538,-1.40142,1.4032,0.25347,1490.59,113.404,16402.4,0.0732356,0.882504,0.0125759,20353.4,-0.00140012,0.0751501,13.995,35.0149,116.695,108,1.08338,12.6611,13.8216,115.049,138.449,1.64652,-30.4493 
7,10,47.2259,2,7,15042.6,-0.181612,29.6961,11.8689,115.455,0.00388017,4.48198,0.000133361,-1.90314,-0.554193,-6.50711,1.64738,-2.56097,-140.74,2590.67,92.3598,13473.9,11474.2,-1.01693,0.332011,-4.7347,2.53358,-1.67477,-0.0381258,2788.07,99.671,13671.3,0.150625,0.941123,0.013252,18510,-0.0012978,0.173947,12.0755,17.0516,116.973,90.822,0.987699,12.2309,13.7867,114.93,138.536,2.04232,-47.7145 
8,35,47.2509,5,8,15545.3,-0.259608,30.2412,12.1393,115.61,-0.203297,182.444,441.817,-1.04709,1.07642,-3.47681,-1.18047,3.10101,-32.7986,4074.42,98.5721,12457,13158,-0.840562,1.28295,-3.06376,-0.97395,3.30753,-9.64557,4120.43,100.276,12503.1,0.222739,0.959151,0.0145588,18498.9,-0.00121872,0.303207,12.2189,14.061,116.517,88.6681,0.861336,12.5263,14.397,115.072,138.468,1.44426,-49.8002 
9,130,47.3459,10,9,15586.7,-0.254515,29.3792,12.5061,115.707,-0.256055,95.2641,477.536,-0.620635,2.54685,-2.38778,-0.348502,-0.610391,-41.9006,2319.09,116.403,14147.2,12754.8,-0.356798,2.81068,-1.8601,-0.084665,-0.346554,12.4424,2377.86,118.58,14205.9,0.127058,0.919735,0.0151436,18714.7,-0.00129247,0.113271,13.8724,23.053,117.5,93.5739,0.960172,12.7026,14.1625,115.183,139.032,2.31635,-45.4584 
