cyc,detuning,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,100,47.3159,10,0,17321.2,-0.260981,30.3061,13.3913,121.28,0.0456669,120.719,483.805,0.609885,-3.0115,-15.4628,-9.74502,-4.26824,-546.558,2099.3,185.011,16706,13390.8,4.05142,0.430034,-8.57971,-6.30349,-0.82671,0.235896,2865.9,213.403,17472.6,0.189836,0.884713,0.0220037,15096.7,-0.00193817,0.145323,13.1655,31.6017,121.619,103,1.00569,14.1971,12.5259,120.689,129.207,0.930254,-26.2069 
1,-5,47.2109,2,1,15838.5,-0.280312,29.705,12.6519,121.491,0.305019,45.5938,445.724,-2.72269,-3.4408,-13.3682,-3.45859,2.89529,-596.177,2494.77,180.817,14871.4,12687,1.03127,0.313165,-5.86028,0.295371,6.64925,3.41285,3330.96,211.787,15707.6,0.232507,0.899873,0.0242354,14326.3,-0.00197648,0.161394,13.1999,30.2327,121.529,98.4823,0.996287,13.3036,11.8555,121.07,129.12,0.458446,-30.6378 
2,60,47.2759,5,2,15893.6,-0.0669641,29.4545,-12.656,121.33,-0.259988,-70.8615,374.833,-6.53371,-2.37382,-0.958903,-5.76138,-5.33702,-561.377,1359.48,125.438,16293.1,12734.9,-2.99886,1.16102,6.11078,-2.22654,-1.80218,-24.022,2146.87,154.601,17080.4,0.152226,0.888083,0.0164,14103.2,-0.00222571,0.126882,12.7082,27.6663,121.381,103,1.06166,13.7717,12.3842,121.129,128.982,0.252628,-25.9815 
3,50,47.2659,5,3,17080.2,-0.300403,30.9487,13.0886,121.623,0.320333,228.004,205.085,-0.521125,-1.16782,-8.07324,3.79858,-3.54276,-603.089,1629.78,174.391,17008.3,15564.1,3.27637,2.62967,-0.478257,7.59607,0.254727,1.03602,2475.67,205.721,17854.2,0.165335,0.873042,0.020784,14973.6,-0.00205176,0.142968,13.1265,27.9148,121.762,103,1.11853,13.7606,12.0466,121.11,128.408,0.652776,-25.408 
4,190,47.4059,10,4,17455.9,-0.291195,31.1097,13.24,121.664,-0.317985,90.5538,417.264,-4.31249,-7.91376,-4.29144,-0.921888,-6.17029,-504.21,1166.82,179.483,17783,14345.9,-1.13762,-4.73889,2.05831,2.25299,-2.99541,1.45132,1874.02,205.676,18490.2,0.126476,0.838881,0.0200792,14817.2,-0.00169448,0.155512,13.1871,16.6739,121.436,103,1.18381,13.8667,12.3818,121.132,128.708,0.3039,-25.7081 
5,-40,47.1759,5,5,17285.2,-0.356878,32.0147,12.9885,121.425,0.362874,-168.525,244.295,-1.78723,-3.10015,-12.3821,-0.885498,-4.34958,-607.656,633.408,177.89,18353,15527.2,2.03901,0.726093,-4.72965,2.94075,-0.523334,11.4438,1485.7,209.456,19205.3,0.0995154,0.802107,0.0196947,14929.4,-0.000872483,-0.0148567,-16.2963,6.36791,98.4157,72.7329,1.2474,13.362,13.5292,121.025,127.779,-22.6095,-55.0465 
6,-5,47.2109,2,6,14999.9,-0.315989,28.8893,12.5186,121.744,0.185012,11.427,0.496062,-0.376037,-3.94293,-1.95992,-0.688718,-6.55725,-559.749,2716.66,134.336,13946.5,11841.8,3.14855,-0.418342,5.08927,2.83587,-3.03266,0.332354,3501.76,163.414,14731.6,0.253496,0.9245,0.0200248,13813.9,-0.00220093,0.180623,13.0907,20.8179,122.36,87.4731,1.02908,13.0013,12.3442,121.29,128.366,1.0702,-40.8928 
7,200,47.4159,10,7,16233.9,-0.198308,30.5035,12.8008,121.452,0.744921,329.243,500,-5.23301,2.11523,-11.049,-6.82424,-1.46869,-658.98,1053.62,177.196,17044.5,20695.1,-1.08359,6.26466,-2.75011,-2.67482,2.68073,2.12854,1977.9,211.429,17968.8,0.135882,0.842412,0.0212152,14556,-0.00211728,0.173285,12.7634,15.3375,121.444,103,1.19081,13.5229,12.0734,121.055,128.294,0.389266,-25.2944 
8,100,47.3159,10,8,16450.2,-0.311393,29.6192,13.2561,121.69,0.0407577,-131.555,337.509,-5.07382,-2.32683,-5.28155,-5.78257,-4.3,-547.211,2167.17,137.463,15908.5,12956.1,-1.62818,1.11882,1.60973,-2.33693,-0.854361,1.76986,2934.69,165.889,16676,0.200898,0.909982,0.0179951,14607.9,-0.00222371,0.130263,13.9733,26.247,122.398,93.1148,1.07566,13.8641,12.3849,121.237,128.976,1.16128,-35.8608 
9,50,47.2659,5,9,16532.7,-0.349751,31.3889,12.7044,121.404,-0.285302,425.988,497.34,-1.19255,-7.05413,-7.81369,-1.12567,-6.77658,-559.062,1814.26,172.142,16445.1,16937.9,2.32772,-3.53386,-0.773157,2.3946,-3.25632,0.727859,2598.4,201.184,17229.2,0.177258,0.880673,0.0210572,14658.9,-0.00237167,0.158319,12.7209,29.6349,121.849,103,1.1064,13.3936,11.8588,120.822,128.228,1.02644,-25.2286 
