cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,47.019,0,14654.9,0.0133427,25.5212,12.4138,124.221,-0.0134919,14.2864,11.4482,0.253207,1.46304,1.68372,-0.77336,-3.19122,-132.722,7.2775,27.6229,14320,10319.6,1.08892,2.29875,3.35515,0.0623553,-2.35551,0.245978,150.603,33.4729,14463.3,0.0108419,0.719966,0.00424514,13890.8 
1,47.509,1,16475.9,0.0463056,28.7418,-12.2862,124.29,0.0425995,-41.0173,4.61355e-11,-3.26853,-2.08374,4.9876,-6.77982,-4.1221,-14.3233,112.349,17.6968,15821.8,11552.4,-3.17834,-1.99355,5.16798,-6.68963,-4.03191,1.48184,127.817,18.3281,15837.2,0.00842386,0.7994,0.0021273,15173.2 
2,47.399,2,15616.6,0.0343713,26.5886,-12.3916,124.314,-0.00710078,-23.8554,499.991,-1.89433,-1.23287,6.6218,-3.56531,-1.96835,-73.7648,93.7586,-0.232296,14685.1,10731,-1.42985,-0.768391,7.55076,-3.10083,-1.50387,-9.09707,173.417,3.01905,14764.7,0.0122125,0.970435,0.000376526,14199.9 
3,47.269,3,16394.8,0.00992584,28.2229,12.2524,124.392,0.00124348,-11.256,500,2.82389,4.51763,5.03292,1.58852,7.29555,-66.9338,730.024,35.4801,14874.4,11257.3,3.24535,4.9391,5.87584,2.00998,7.71701,0.752984,802.305,38.4304,14946.7,0.053481,0.922658,0.00471402,15001.7 
4,47.449,4,13807.8,-0.0700283,25.199,12.2175,124.24,0.0282889,12.714,4.14627,5.3544,5.42989,1.59472,1.27983,3.24373,-6.63282,123.399,17.6666,13637,10033.8,5.39616,5.47166,1.67825,1.32159,3.2855,0.902161,130.562,17.9589,13644.2,0.00997223,0.805987,0.00241877,13092.6 
5,47.219,5,12886.4,0.0689102,24.0942,11.2931,125.159,-0.0155968,58.0203,170.929,10.2696,3.45052,-0.496728,-2.15062,3.35855,-78.638,6113.93,21.1439,6279.48,8887.14,10.7647,3.94568,0.493597,-1.65545,3.85371,0.971636,6198.86,24.61,6364.4,0.506234,0.9931,0.00707272,12245 
6,47.239,6,13477.7,0.0131886,23.8667,12.2037,124.599,0.000999226,4.02524,5.34292,8.32928,0.974155,0.277086,-0.755665,2.42133,-35.8041,1780.4,16.7732,11345.3,9481.63,8.55473,1.1996,0.727984,-0.530216,2.64678,0.942218,1819.06,18.3513,11383.9,0.143984,0.982652,0.00296075,12633.8 
7,47.359,7,13990.6,-0.00317895,25.1917,12.0875,124.09,0.0318735,-18.3717,9.90684e-10,1.79904,-1.65801,6.0218,-2.52492,3.85533,-39.7569,52.9739,6.39108,13559.3,9931.66,2.04938,-1.40767,6.52248,-2.27458,4.10567,0.2749,95.9071,8.14345,13602.2,0.00736726,0.870631,0.00110163,13018 
8,47.369,8,15620.3,0.132441,26.2587,12.34,124.298,-0.0043191,-76.7517,167.587,4.59358,-0.208453,3.33443,-0.0921845,-2.7183,-39.6573,206.54,29.4751,14467.4,10559.1,4.84329,0.0412585,3.83385,0.157527,-2.46859,0.401647,249.365,31.2231,14510.3,0.0177685,0.820265,0.00394817,14034.1 
9,47.379,9,15499.2,0.0239324,27.0908,12.3271,124.29,-0.00718168,0.198759,3.25498,-2.92834,4.2646,-2.95239,0.0985557,1.17204,-84.4106,133.786,27.8549,14876.4,10871.3,-2.39683,4.79611,-1.88937,0.630066,1.70355,1.66444,224.94,31.5755,14967.5,0.0155732,0.802792,0.00387106,14444.1 
10,47.119,10,15074.4,0.0074093,26.0742,12.2226,124.295,-0.00385952,-25.5654,488.258,-2.3203,-3.12515,-3.34902,1.18303,-0.359552,-26.4714,83.2545,14.3944,14232.1,10377.8,-2.15361,-2.95847,-3.01565,1.34971,-0.192869,0.567394,111.841,15.5611,14260.7,0.00818778,0.804189,0.00200606,13659.5 
11,47.459,11,16216.6,0.0553995,27.8602,12.4082,124.444,0.00371115,-22.1772,5.40546,-3.08783,-3.86069,-1.10732,-0.542808,1.4058,-31.519,91.9517,12.7971,15301.4,11256.2,-2.88936,-3.66223,-0.71039,-0.344341,1.60427,0.881642,125.989,14.1864,15335.4,0.00857381,0.835387,0.00170119,14694.6 
12,47.229,12,14882.8,0.0320735,27.0523,11.8156,124.912,-0.00675103,10.191,100.303,2.46959,-0.264898,-0.280209,-4.81831,1.1367,-54.2503,4259.88,27.2359,10138.8,10407.6,2.81119,0.0767019,0.402991,-4.47671,1.4783,-0.37784,4318.46,29.6271,10197.4,0.308329,0.988136,0.00532348,14006 
