cyc,time,chargetime,decoherencetime,VVA,PhaseOGain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.3,0.6,1.1,2.2,-9,0,8416.25,-0.0602083,16.8769,11.2367,121.813,-0.1826,82.3488,330.737,-0.695087,3.99091,2.53972,-0.131618,3.32036,13.5552,754.804,34.254,7637.46,6662.95,-0.780441,3.90555,2.36901,-0.216971,3.235,0.721691,740.165,33.6565,7622.82,0.102522,0.92629,0.0080677,7219.56 
1,0.17,0.73,0.97,2.8,-9,1,8228.94,-0.0164291,16.5614,11.0333,121.643,-0.00905862,-11.7615,500,3.3403,3.23899,3.45596,0.678075,-0.139274,-7.3621,597.639,28.8797,7593.58,5951.83,3.38666,3.28535,3.54868,0.724432,-0.0929165,0.672999,605.589,29.2042,7601.53,0.0856939,0.922175,0.00702743,7066.89 
2,0.4,0.5,1.2,2.001,-9,2,8834.52,-0.00728645,17.9994,11.2288,121.475,0.00734463,3.5125,3.33205e-08,0.0502919,2.95475,-0.543376,0.896093,0.178625,14.3469,873.823,40.54,8024.73,6580.23,-0.0400468,2.86441,-0.724053,0.805755,0.0882863,1.24181,858.33,39.9077,8009.24,0.111963,0.924757,0.00909518,7666.18 
3,0.11,0.79,0.91,3,-9,3,9898.01,-0.0169782,19.177,11.5397,121.641,-0.00481674,-4.71184,500,3.23212,0.545663,1.21429,-1.12106,-0.277047,28.3017,508.652,27.1932,9398.36,7204.65,3.05391,0.367454,0.857873,-1.29927,-0.455256,0.66021,478.089,25.9457,9367.79,0.0566408,0.913266,0.00507613,8440.71 
4,0.5,0.4,1.3,1.7,-9,4,8952.32,-0.0846415,18.2823,11.199,121.599,-0.0675264,277.336,499.533,2.06869,-1.79442,1.16952,0.60058,1.57443,20.1749,404.726,37.2899,8733.35,7274.75,1.94166,-1.92145,0.915447,0.473544,1.4474,0.679532,382.94,36.4007,8711.56,0.0491719,0.857377,0.00763832,7787.77 
5,0.2,0.7,1,2.5,-9,5,9244.91,-0.00641713,18.3757,-11.2717,121.755,-0.024994,-9.00903,500,1.1009,1.33278,-4.79977,0.258576,-1.15554,13.1997,566.99,40.1139,8679.62,6749.96,1.01779,1.24967,-4.96601,0.175461,-1.23865,-0.320134,552.736,39.5321,8665.36,0.0698049,0.888761,0.0083338,7918.29 
6,0.05,0.85,0.85,1.85,-6,6,7421.82,-0.016528,14.9671,11.3123,121.298,-0.000223922,-10.5484,500,-0.725448,2.90876,2.77404,1.58712,-0.975955,23.5723,630.789,18.721,6954.28,5511.78,-0.873876,2.76033,2.47718,1.43869,-1.12438,0.470455,605.334,17.682,6928.83,0.0932023,0.951368,0.00467896,6494.84 
7,0.1,0.8,0.9,3.6,-9,7,7891.4,-0.00219584,15.8875,11.2837,121.751,-0.0210856,-20.4899,500,1.25388,2.92195,0.93294,-4.08452,-0.617999,14.4978,515.804,16.1613,7400.14,5849.89,1.16259,2.83066,0.750362,-4.17581,-0.709288,6.30347,500.148,15.5223,7384.48,0.0738013,0.948486,0.0038572,6776.96 
8,0.09,0.81,0.89,4.3,-9,8,10122.6,-0.0111578,20.8672,11.1438,121.582,0.002622,8.00255,500,-1.13841,0.0381446,3.23174,-1.16254,1.46815,31.3719,857.278,33.5286,9486.28,7570.64,-1.33595,-0.159396,2.83666,-1.36008,1.27061,-1.266,823.4,32.1458,9452.4,0.0929561,0.936049,0.00622565,8857.94 
9,0.01,0.89,0.81,5,-6,9,8049.58,-0.00297505,16.298,11.2481,121.539,-0.00864289,-11.3932,500,-1.01178,0.344968,1.58291,-0.887923,-0.856923,16.3333,664.264,25.7945,7445.33,5970.93,-1.11463,0.242122,1.37722,-0.990769,-0.95977,1.95255,646.626,25.0746,7427.7,0.0929038,0.936452,0.00618019,6960.17 
10,0.04,0.86,0.84,2,-6,10,9061.42,-0.0195347,18.395,11.2485,121.635,-0.00209241,6.80993,499.719,1.04299,1.756,1.12414,-2.71766,-2.13788,34.9824,763.436,39,8378.52,6736.29,0.822715,1.53572,0.683594,-2.93794,-2.35815,1.30327,725.658,37.458,8340.75,0.0928511,0.91715,0.00820496,7815.29 
11,0.3,0.6,1.1,2.2,-9,11,7274.78,-0.100991,15.4328,10.9812,121.66,0.125521,261.706,42.9527,1.95056,2.61779,-1.97194,-3.19727,-0.0744743,12.1171,724.004,20.63,6744.01,6586.23,1.87427,2.54149,-2.12454,-3.27357,-0.150772,-0.874932,710.919,20.0959,6730.93,0.110525,0.952864,0.00546971,6432.21 
12,0.17,0.73,0.97,2.8,-9,12,9520.67,-0.0257714,19.1486,11.3272,121.4,-0.0027665,-26.7581,500,0.595263,4.79735,4.19475,-1.46245,-0.515251,46.2328,860.96,28.6523,8776.45,7063.23,0.304148,4.50623,3.61252,-1.75356,-0.806367,0.383841,811.033,26.6145,8726.52,0.098563,0.945692,0.00558674,8228.57 
