cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
1,0.11,3.89,1,16322.9,-0.105025,28.5799,12.8226,121.681,0.11866,7.3949,152.744,0.599314,-1.92295,-0.391223,-0.344488,6.37838,92.096,1469.67,645.437,13945.5,11958.3,0.0194104,-2.50286,-1.55103,-0.924392,5.79847,2.84734,1366.16,621.081,13842,0.159524,0.556922,0.076344,8563.98 
2,0.07,3.93,2,15380.2,-0.0825814,26.3341,13.0419,121.678,0.0644823,-30.6025,0.971859,2.35544,0.872465,-4.9682,-1.46589,-3.97621,100.749,1479.87,468.225,13122,11244.6,1.72105,0.238078,-6.23698,-2.10028,-4.6106,0.432421,1366.63,441.58,13008.7,0.168073,0.638792,0.0588503,8131.16 
3,0.13,3.87,3,16339.2,-0.0868152,28.3681,12.858,121.729,0.0455546,26.7233,343.729,3.47269,-1.18563,-1.94102,1.51615,0.721281,17.0034,1384.5,535.346,14134.5,11913.7,3.36563,-1.2927,-2.15515,1.40909,0.614215,2.11028,1365.38,530.849,14115.3,0.156844,0.595102,0.0647894,8705.36 
4,0.09,3.91,4,16831.6,0.000884878,28.5308,-12.9959,121.844,-0.0117911,-10.2474,8.83918e-11,2.40576,-2.39627,-6.3152,2.56642,-1.06024,21.6417,1628.44,642.463,14159,12074.2,2.26948,-2.53254,-6.58774,2.43015,-1.19651,-0.17279,1604.12,636.74,14134.7,0.179148,0.590094,0.0766245,8954.18 
5,0.17,3.83,5,17748.7,0.00655323,30.3598,12.8648,121.716,-0.0161782,32.6864,500,-1.61268,0.874884,-3.07887,-5.5337,0.390828,-27.8456,1655.56,661.144,15014.7,12731.6,-1.43734,1.05022,-2.7282,-5.35837,0.566164,0.654987,1686.85,668.508,15046,0.177362,0.590481,0.0756543,9510.78 
6,0.41,3.59,6,16401,-0.00462902,28.1655,12.9799,121.619,-0.0248999,-7.93619,5.34176e-12,-1.27142,-4.06382,0.785035,0.542058,2.41705,17.067,1489.06,605.339,14050.4,11907.4,-1.37889,-4.17129,0.570103,0.434591,2.30958,1.25498,1469.88,600.825,14031.3,0.167677,0.582979,0.0731127,8766.13 
7,0.23,3.77,7,16846.6,-0.112864,29.0123,13.0542,121.795,-0.357447,38.8959,266.934,2.07808,1.21078,-5.00447,-0.315005,-3.02374,35.8105,1376.45,618.054,14663.6,12781.6,1.85259,0.98529,-5.45544,-0.540494,-3.24923,0.148556,1336.2,608.584,14623.3,0.149457,0.556466,0.0712047,8940.32 
8,0.15,3.85,8,16279.3,-0.0734474,28.1899,12.8394,121.849,0.0167469,-4.50249,162.894,-4.13575,-1.72252,-0.265409,-3.1792,1.23741,-18.2542,1258.23,440.601,14172.4,11784.8,-4.02081,-1.60758,-0.0355247,-3.06425,1.35235,0.995184,1278.75,445.429,14192.9,0.147678,0.62128,0.0546528,8659.07 
9,0.21,3.79,9,14815.1,-0.0540856,25.7335,12.7438,121.811,0.0162916,-38.144,321.164,4.39797,4.52021,-2.549,3.84624,4.07919,-1.45392,1260.59,458.421,12692.6,10695.8,4.40712,4.52936,-2.53069,3.8554,4.08834,1.17636,1262.23,458.805,12694.3,0.160522,0.611208,0.0624226,7863.25 
10,0.03,3.97,10,16126.8,0.0132847,27.9585,12.6443,121.619,-0.0474089,-18.1451,500,2.13459,4.66959,-6.50806,-1.39051,0.271963,-10.4584,1330.47,504.57,13874.2,11536.1,2.20044,4.73545,-6.37636,-1.32465,0.337817,-13.9225,1342.22,507.336,13885.9,0.156749,0.601877,0.0630591,8562.9 
