cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
509,7,8,8,509,20195.8,-0.296634,38.148,12.3842,118.2,0.487317,-203.822,256.313,-6.75864,-5.54603,-4.2886,-5.04785,-2.30769,-206.102,11366.2,31.6325,9910.71,18612.6,-5.46088,-4.24826,-1.69307,-3.75008,-1.00993,0.895245,11530.4,46.5569,10074.9,0.533684,0.992984,0.00844067,21605.3,-0.00142878,1.10121,12.6356,10.3203,117.559,87.9814,0.893042,12.3758,11.1957,117.592,137.418,-0.033642,-49.4368 
510,2,3,8,510,20782.2,-0.103932,38.9259,12.3615,118.254,0.249888,-65.9161,500,-5.75232,-4.64028,-17.0996,-4.57004,-2.06754,-228.989,11553.3,18.9554,10357.7,16200.3,-4.31044,-3.1984,-14.2159,-3.12816,-0.625655,0.442045,11735.7,35.5371,10540.1,0.526837,0.994729,0.00617252,22275.8,-0.00143277,1.13447,12.5401,10.2256,117.752,87.628,0.92687,12.5058,11.1383,117.465,136.926,0.287476,-49.2977 
511,1,2,8,511,20255.6,-0.0778751,38.0138,12.4217,118.397,0.00227134,14.2136,500,-3.27462,-3.58788,-14.1264,-4.19993,-5.81233,-205.269,11302.2,17.6221,10201.8,15372.5,-1.9821,-2.29535,-11.5414,-2.90741,-4.51981,0.503512,11465.7,32.4861,10365.3,0.525202,0.995066,0.00574024,21830.9,-0.00148488,1.08628,12.7495,10.2395,117.781,88.3866,0.907226,12.3134,11.3719,117.75,137.879,0.0310566,-49.4925 
512,9,10,8,512,18358.3,-0.112836,34.7628,12.3401,118.383,0.439714,-345.139,499.882,-3.86164,-3.45842,-9.47083,-8.25337,-6.50997,-228.11,10095.9,6.1431,9524.49,18905,-2.42529,-2.02207,-6.59814,-6.81702,-5.07362,0.712326,10277.6,22.6611,9706.18,0.514298,0.996156,0.00428236,19983.8,-0.00147404,0.986354,12.6102,10.196,117.833,88.0732,0.847596,12.3842,11.3014,117.742,137.354,0.090608,-49.2808 
513,30,31,8,513,14437.2,-0.234073,27.0198,12.9646,118.105,-0.0745588,37.0098,482.648,-6.61627,-3.69344,-5.81915,-4.80176,-4.97294,-227.216,7919.2,1.016,7905.12,11493.2,-5.18555,-2.26272,-2.95771,-3.37104,-3.54222,0.829224,8100.18,17.4693,8086.1,0.500435,0.99624,0.00396393,16186.3,-0.00173447,0.728137,13.0862,10.561,117.667,87.6636,0.652845,13.0647,11.7686,117.605,137.289,0.0621588,-49.6254 
514,25,26,8,514,15325.2,-0.357181,28.6402,13.0373,118.298,0.372363,-31.8761,400.265,-4.8015,-0.908646,-5.02774,-4.23737,-3.01198,-190.791,8205.9,1.84425,8437.1,12541.5,-3.60014,0.292714,-2.62502,-3.03601,-1.81062,0.756471,8357.87,15.6599,8589.07,0.493179,0.996732,0.00334734,16946.9,-0.00163769,0.74913,13.0729,10.6441,117.878,88.1477,0.691562,13.1935,11.6513,117.493,137.759,0.384604,-49.6112 
515,20,21,8,515,15870.4,-0.368319,29.7371,12.9971,118.215,0.355042,-26.727,261.413,-5.32162,-5.62101,-11.1285,-6.95961,-2.16311,-189.47,8622.85,17.6457,8583.42,12890.7,-4.12858,-4.42797,-8.74242,-5.76657,-0.97007,0.636272,8773.77,31.3657,8734.34,0.501126,0.993783,0.00657167,17508.1,-0.00169839,0.778082,13.1669,10.7019,117.659,88.1964,0.701696,13.002,11.8851,117.525,137.792,0.133863,-49.5958 
516,6,7,8,516,19252.1,-0.0280643,37.2904,12.1514,118.019,0.0088165,4.349,500,-2.74629,-5.15639,-11.4797,-6.60072,-5.48018,-242.667,10729.4,37.7952,9967.5,14752.2,-1.21829,-3.62839,-8.42369,-5.07271,-3.95217,0.622175,10922.7,55.3672,10160.8,0.518068,0.991207,0.00993807,21083.4,-0.0016148,1.07391,12.4221,10.0982,117.613,88.2996,0.90274,12.2105,11.2168,117.316,137.573,0.297473,-49.2736 
517,8,9,8,517,18040.9,-0.0378413,34.4223,12.2137,118.225,0.0104577,22.6439,499.182,-5.02468,-3.48618,-6.75428,-3.9606,-4.54897,-229.086,9639.3,2.80881,9624.55,13693.8,-3.58219,-2.04369,-3.86929,-2.51811,-3.10647,0.74409,9821.78,19.3975,9807.03,0.500376,0.996556,0.0036303,19628.8,-0.00144685,0.944516,12.5206,10.2681,117.728,88.3134,0.855799,12.2893,11.3862,117.601,137.592,0.126827,-49.279 
518,10,11,8,518,19314.6,-0.0274712,36.1232,12.3797,118.192,-0.0589853,129.909,0.0793461,-6.20252,-7.37558,-11.8537,-4.1786,-4.963,-250.932,10484.6,12.2488,9961.1,14807,-4.62246,-5.79552,-8.69361,-2.59854,-3.38295,0.653546,10684.5,30.4194,10161,0.512558,0.995042,0.00548456,20845.5,-0.00140561,1.03364,12.5524,10.1614,117.697,87.6412,0.87092,12.491,11.4329,117.526,136.868,0.171442,-49.2271 
