cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
63,-5,47.2177,1.43,63,13593.7,-0.607087,26.3369,13.8255,113.585,0.713355,12.7951,421.139,-1.17649,0.108891,1.66994,1.52198,-0.260726,141.248,1185.17,111.789,14129.7,12150.5,-2.06589,-0.780512,-0.108861,0.632582,-1.15013,0.968653,1072.66,101.561,14017.2,0.0724304,0.857859,0.0131712,14809.5,-0.00203552,0.0910862,12.4599,13.6045,113.165,86.5977,1.01473,13.7786,12.8321,112.811,136.706,0.354414,-50.1082 
64,-5,47.2177,1.53,64,11619.7,-0.604254,23.7576,13.5081,113.316,0.203991,89.2033,473.581,2.76614,0.609411,-0.631545,-1.61046,0.132353,195.516,2517.95,83.6837,11122.9,11039.4,1.53502,-0.621703,-3.09377,-2.84158,-1.09876,0.494547,2362.21,69.5259,10967.2,0.180183,0.951016,0.0115431,13110.1,-0.00223928,0.224785,12.3808,11.5567,112.807,87.5816,0.825821,13.6739,12.5155,112.585,136.921,0.222345,-49.3394 
65,-5,47.2177,1.3,65,13454.2,-0.0218325,25.9814,13.2802,113.391,0.00800875,7.0151,500,1.37835,3.72415,1.73937,1.93955,-0.362972,197.896,268.581,92.2248,14893.3,11233.9,0.132252,2.47805,-0.752832,0.693448,-1.60907,1.79931,110.949,77.8947,14735.7,0.00762438,0.448706,0.0096437,14551.9,-0.00293331,0.0232606,10.0612,121.524,119.671,98,1.09239,13.6414,12.2903,112.33,136.175,7.34033,-38.1755 
66,-5,47.2177,1.45,66,12403,-0.528403,23.9072,13.7755,113.491,0.323945,-174.366,89.6968,2.21984,-0.170842,2.97491,2.08097,0.717784,97.3055,1722.36,90.6254,12067.1,12559.7,1.60713,-0.783549,1.7495,1.46826,0.105077,0.57807,1644.85,83.5793,11989.6,0.122799,0.918339,0.0126785,13394.7,-0.00164789,0.141438,12.3686,12.6116,113.264,87.3407,0.87395,13.7518,12.7151,112.586,136.304,0.677847,-48.9634 
67,-5,47.2177,1.48,67,11299.9,-0.250165,22.5056,13.6493,113.419,0.0735945,59.6681,1.96993e-10,1.49733,-0.720412,2.55824,-1.18227,-0.317,166.843,1780.65,74.706,11410.9,10142.8,0.446766,-1.77098,0.457107,-2.23283,-1.36757,1.10232,1647.75,62.6245,11278,0.129742,0.937637,0.0101253,12700.2,-0.00221046,0.151951,12.9498,11.6562,112.661,86.0036,0.809497,14.0161,12.8886,112.642,135.69,0.0185695,-49.6862 
68,-5,47.2177,1.7,68,13456.9,-0.602551,26.7168,13.5068,113.194,-0.0262133,383.313,406.599,1.91205,2.37361,-1.33162,1.7761,3.32702,151.554,2915.75,129.839,12459.8,12074.2,0.957757,1.41931,-3.24021,0.821807,2.37273,2.38981,2795.04,118.864,12339.1,0.187746,0.930733,0.0174359,14887.3,-0.00211777,0.248908,12.4231,11.7566,112.944,87.6475,0.910854,13.6226,12.7306,112.49,137.053,0.453387,-49.4057 
69,-5,47.2177,0,69,12902.8,-0.677161,25.5557,14.0484,113.26,0.257513,510.584,500,0.0778131,0.723507,-0.196251,-1.31134,0.746144,150.946,57.8087,95.5205,14765.8,15967.3,-0.872653,-0.22696,-2.09718,-2.26181,-0.204322,0.629664,-62.4253,84.5901,14645.6,-0.00436838,-0.729205,0.0105276,14290.3,-0.00230484,0.0171004,12.9464,7.29547,107.123,76.7077,1.05109,13.9223,12.8818,112.45,136.82,-5.32711,-60.1122 
70,-5,47.2177,1.38,70,14544.9,0.0149786,27.1108,13.4568,113.429,-0.0126604,-9.05334,6.37036e-10,-2.1879,-1.73552,-1.60947,1.40991,-0.451906,121.27,678.867,112.121,15391.2,11880,-2.95151,-2.49912,-3.13667,0.646307,-1.21551,0.657438,582.271,103.34,15294.6,0.0373947,0.763018,0.0122934,15571,-0.00194557,0.0489746,12.2592,16.1424,113.995,85.5868,1.09857,13.8976,12.8094,112.613,135.614,1.38141,-50.0274 
71,-5,47.2177,1.58,71,12510,-0.640836,24.7948,13.8903,113.438,-0.223702,778.998,420.506,0.541847,-2.09625,-3.45511,2.00654,1.75427,182.886,1866.49,112.13,12528.6,16884.5,-0.609736,-3.24783,-5.75827,0.85496,0.602691,0.294173,1720.81,98.8865,12383,0.124192,0.908625,0.0144972,13856.1,-0.00226424,0.155414,12.7206,12.0817,112.75,87.2785,0.870436,14.0054,13.1954,112.562,136.806,0.187686,-49.5272 
72,-5,47.2177,1.5,72,11239.5,-0.0373598,22.5579,13.1712,113.304,0.0115724,-14.7011,500,0.321217,0.602472,0.163735,-0.300976,0.559376,115.654,2962.39,89.7997,10207.4,9677.6,-0.407025,-0.125771,-1.29275,-1.02922,-0.168866,0.572451,2870.27,81.4249,10115.3,0.224534,0.952703,0.0146117,12783.2,-0.00220914,0.237729,12.8371,12.3738,112.655,86.9204,0.731047,13.7008,13.0442,112.493,135.975,0.162484,-49.0545 
73,-5,47.2177,1.55,73,10669.9,-0.640937,22.1874,13.7215,113.204,-0.666882,3218.87,293.086,0.037482,-1.42098,1.15595,0.438578,1.00481,144.582,1662.95,96.3308,10778.6,79789.8,-0.872914,-2.33138,-0.66484,-0.471818,0.0944126,0.84344,1547.79,85.8612,10663.4,0.129004,0.911512,0.0146157,11997.9,-0.000402301,-0.0123665,13.5065,0.0118152,113.351,87.461,0.769364,13.6399,12.9926,112.467,136.424,0.883725,-48.9631 
74,-5,47.2177,1.68,74,12235.3,-0.0415592,24.3095,13.1132,113.241,0.00914311,23.2757,0.00572241,0.371025,0.89703,3.2145,1.84853,0.395989,135.517,2885.15,88.9724,11307.2,10384.1,-0.482287,0.0437174,1.50788,0.995215,-0.457324,0.0617979,2777.2,79.1593,11199.3,0.201942,0.952489,0.0128531,13752.5,-0.00212007,0.257385,12.5416,11.242,112.829,86.3364,0.838872,13.5779,12.5625,112.297,135.409,0.531908,-49.0729 
75,-5,47.2177,1.33,75,14418.7,-0.660894,27.2919,14.2219,113.388,-0.182539,860.24,69.3459,-0.0869636,-0.440936,-1.74715,-2.10519,-1.8257,102.598,423.257,126.834,15692.2,17747.1,-0.732994,-1.08697,-3.03921,-2.75122,-2.47173,0.698554,341.534,119.405,15610.5,0.0218374,0.620415,0.0138945,15639.8,-0.00313871,0.0264004,11.6263,103.59,119.371,98,1.09538,14.0643,12.5297,112.373,137.027,6.99789,-39.0268 
76,-5,47.2177,1.35,76,12304.7,-0.283213,23.9581,13.7785,113.146,1.1268,-541.109,500,0.325685,-1.13522,-0.242608,-0.991488,1.12705,150,697.035,93.6797,13336.9,30594.6,-0.618823,-2.07972,-2.13162,-1.936,0.18254,0.676223,577.555,82.8179,13217.5,0.0426848,0.799399,0.0114105,13530.7,-0.00219522,0.0518108,12.2074,16.2519,112.266,84.9111,0.920709,14.1358,13.1382,112.343,136.398,-0.0778921,-51.487 
77,-5,47.2177,0,77,13784.4,-0.0276556,25.3972,13.9236,113.298,-0.163186,201.939,500,1.42162,-1.09403,0.670202,3.17172,3.22135,173.137,192.294,115.016,15152.3,12584.3,0.331422,-2.18423,-1.51019,2.08152,2.13115,2.77738,54.3844,102.479,15014.4,0.00368245,0.232688,0.0124169,14768.5,-0.00200321,0.0201461,14.1489,7.81878,106.542,76.5609,1.03447,14.2651,13.1811,112.524,136.361,-5.98147,-59.8005 
78,-5,47.2177,0,78,14259.7,-0.0678702,27.6063,13.3634,113.198,-0.0637803,101.341,500,-1.46866,0.86989,-0.493002,-0.686372,3.93181,112.286,110.618,118.206,15780.5,12219.8,-2.1757,0.162855,-1.90707,-1.39341,3.22477,0.0868922,21.1781,110.075,15691.1,0.00137534,0.0990514,0.0127577,15398.4,-0.00203407,0.0175569,15.4226,8.00282,109.431,75.5776,1.13137,13.7444,12.9148,112.395,136.581,-2.9647,-61.0039 
79,-5,47.2177,1.4,79,13150.2,-0.687829,25.588,14.2115,113.369,0.72748,116.206,442.711,2.82156,-0.090445,-2.277,0.460533,0.886874,156.443,1010.37,114.308,13976.1,14589.8,1.83649,-1.07552,-4.24716,-0.524543,-0.0982031,-0.0336381,885.756,102.98,13851.5,0.0612548,0.830938,0.0135102,14460.2,-0.0022677,0.0744553,12.9926,14.1268,113.284,86.8912,0.95794,14.0654,13.2831,112.535,137.267,0.748759,-50.3759 
80,-5,47.2177,1.65,80,11412.4,-0.614054,23.8681,13.3035,113.504,2.2583,-1677.8,0.000691554,-0.142322,1.40183,0.0047558,-1.36097,1.2471,145.672,2725.67,89.0154,10773.8,133680,-1.05958,0.484578,-1.82976,-2.27823,0.329846,0.57967,2609.63,78.467,10657.8,0.199907,0.950011,0.0133809,13054.3,-0.00224136,0.235709,12.7484,11.5323,113.123,86.5531,0.810249,13.3793,12.5754,112.607,136.208,0.516623,-49.6553 
81,-5,47.2177,1.6,81,11486.6,-0.088288,23.5096,13.0708,113.456,0.0246666,-32.2145,499.999,1.67799,-0.502155,0.314361,0.725113,0.53983,242.625,3989.57,84.3901,9785.57,10029.2,0.150242,-2.0299,-2.74113,-0.802631,-0.987913,0.572456,3796.31,66.821,9592.31,0.28767,0.970118,0.0126697,13196.8,-0.00246568,0.33601,13.1952,11.4676,112.795,87.4002,0.723283,13.5677,12.6519,112.697,136.928,0.0971727,-49.5276 
82,-5,47.2177,0,82,13383.5,-0.0221163,25.2922,13.8255,113.33,0.0255567,-11.0206,499.995,3.19971,-1.12567,-0.904037,0.63191,-0.11599,182.224,102.847,87.3708,15039.7,11392.3,2.0523,-2.27308,-3.19887,-0.515505,-1.2634,0.384663,-42.3008,74.1755,14894.5,-0.00290641,-0.483403,0.00909039,14554.3,-0.00222572,0.0155346,13.7356,8.6479,110.996,75.4635,1.03497,14.2348,13.105,112.563,136.514,-1.56666,-61.0501 
83,-5,47.2177,1.63,83,12329.6,-0.437216,24.4732,13.7827,113.286,0.429688,-199.261,500,-0.168862,1.71461,-2.11246,-0.694234,0.926955,173.403,2764.18,95.8275,11600.1,13767.6,-1.26073,0.622737,-4.29621,-1.78611,-0.164916,0.376025,2626.05,83.271,11461.9,0.189487,0.947426,0.0132062,13858.8,-0.00241751,0.222345,13.3022,11.9303,112.949,86.7771,0.800902,14.0547,13.2704,112.577,136.547,0.371634,-49.7696 
