cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,-5,47.2177,1.275,0,7611.28,-0.331454,20.2192,13.0406,112.302,0.691465,-254.267,2.00182e-07,-4.55435,-3.12602,-7.573,-1.81503,1.10892,57.8902,368.22,226.375,11111.9,14306.8,-4.91887,-3.49054,-8.30204,-2.17955,0.744401,0.542501,322.108,222.183,11065.8,0.0288457,0.453082,0.0356672,11166.6,-7.42843,7.43298,3772.43,2157.92,103.793,97.9901,0.859385,13.4928,12.4183,111.4,139.677,-7.60671,-41.6873 
1,-5,47.2177,1.6,1,7530.89,-0.0226318,20.5729,12.1148,112.366,0.0821788,-22.4371,500,-1.21768,-1.24085,-1.13361,1.08593,-5.68448,56.2141,1883.79,78.5362,9932.55,8173.48,-1.57164,-1.59481,-1.84154,0.731967,-6.03844,0.821461,1839.01,74.4656,9887.78,0.159511,0.933828,0.0136832,11529,-0.0041773,0.188678,11.9341,10.9818,111.989,89.6084,0.786662,13.0505,12.2303,111.304,139.331,0.684635,-49.7224 
2,-5,47.2177,1.3,2,8728.16,-0.0315122,21.6166,12.4965,112.159,0.000672098,46.6945,500,-4.46911,1.46401,-7.96967,0.776821,-0.105106,-13.4846,562.486,52.9585,11878.6,8794.71,-4.3842,1.54892,-7.79985,0.86173,-0.020197,0.203577,573.227,53.9349,11889.3,0.0468906,0.858622,0.0082873,12224.8,-0.00470561,0.0294886,12.8774,78.8625,117.646,98,0.915489,13.1151,11.996,110.939,139.569,6.70679,-41.5687 
3,-5,47.2177,1.125,3,9816.79,-0.244046,23.3087,13.0117,112.02,-0.195819,-114.979,1.13693e-09,-2.03037,-2.16879,-1.49514,-1.67076,-4.11274,27.75,33.3093,90.4396,13835.7,10605.9,-2.2051,-2.34353,-1.84461,-1.84549,-4.28747,0.85274,11.2054,88.4302,13813.6,0.000827052,0.0675192,0.0116551,13548.6,-0.00488171,0.0067875,17.9391,5300.05,123.105,66.4975,1.06907,13.4656,12.0401,111.037,139.337,12.0679,-72.8392 
4,-5,47.2177,1.175,4,9414.32,-0.18604,21.8252,13.0048,112.206,0.130211,120.08,500,0.759933,-2.30392,2.81274,-1.13735,-3.10316,52.2489,168.459,250.149,12949.1,9748.69,0.430936,-2.63291,2.15475,-1.46635,-3.43216,1.43568,126.841,246.365,12907.5,0.00992794,0.227322,0.033966,12776.2,-10.625,10.6267,6775.52,-3167.41,114.213,97.8961,0.997045,13.425,12.1828,111.205,139.605,3.00771,-41.7094 
5,-5,47.2177,1.25,5,8580.34,0.0312858,21.405,12.6093,112.175,-0.0051564,23.5256,0.00107981,-0.69199,-2.34131,-1.89213,-1.76245,-7.0519,83.1763,295.36,310.266,12297.9,8790.17,-1.21573,-2.86505,-2.93961,-2.28619,-7.57563,0.825875,229.107,304.243,12231.6,0.0187545,0.30085,0.0438121,12216.1,-9.10076,9.10396,4934.69,-2601.2,109.098,97.8579,0.94001,13.2617,12.3654,111.305,138.492,-2.2069,-40.634 
6,-5,47.2177,1.2,6,9631.43,-0.110732,22.8738,13.0785,112.201,0.0297222,-12.0354,500,0.135262,-2.88137,-6.78043,-2.18098,-5.40072,38.9743,225.829,289.347,13354.6,9750.17,-0.110149,-3.12678,-7.27125,-2.42639,-5.64613,0.608667,194.785,286.525,13323.6,0.0146986,0.279781,0.0381051,13251.9,-2.24028,2.2416,2522.32,1559.34,110.195,97.168,0.977309,13.5405,12.7355,111.31,139.326,-1.11547,-42.1578 
7,-5,47.2177,1.225,7,8432.01,-0.527305,20.8851,13.3841,112.214,-1.30388,5446.63,1.04786e-08,-3.45554,-4.28093,0.881661,-3.44334,-0.222296,40.1571,265.344,264.865,11955.3,240286,-3.7084,-4.53378,0.375944,-3.6962,-0.475154,1.03123,233.357,261.957,11923.4,0.0195798,0.337328,0.038897,11918.2,-10.0411,10.0443,5097.92,-2785.36,108.93,97.9102,0.882262,13.4971,12.6594,111.247,139.536,-2.31705,-41.6254 
8,-5,47.2177,1.1,8,9213.66,-0.213651,21.8241,12.4811,111.954,0.248312,-264.521,204.43,-1.9619,-1.71816,-2.35897,1.6989,1.73961,9.80555,208.934,314.533,12657.2,11005.4,-2.02364,-1.7799,-2.48245,1.63716,1.67786,0.164431,201.124,313.823,12649.4,0.0159654,0.268053,0.0437041,12597.5,-6.99556,6.99842,4352.56,-2375.83,105.766,97.7152,1.03318,13.0108,11.9244,111.186,138.243,-5.41981,-40.5274 
9,-5,47.2177,1.325,9,8670.76,-0.298413,22.1705,12.9018,112.364,-0.0410026,-210.474,4.55706e-05,-2.05076,-3.94402,-8.13226,-1.6281,-2.59304,105.643,531.625,81.6268,12349.4,9592.44,-2.71596,-4.60923,-9.46268,-2.29331,-3.25825,0.576414,447.477,73.977,12265.3,0.0358915,0.775608,0.0109884,12467.5,-0.0051966,0.0282302,13.2302,77.357,117.682,98,0.921307,13.3734,12.2565,111.236,140.638,6.44589,-42.6378 
10,-5,47.2177,1.65,10,8019.81,-0.0280251,20.7111,12.565,112.318,-0.0224136,44.8353,500,-2.14141,-3.17542,-4.14626,-0.723532,-3.38983,47.5048,2290.02,99.2868,9731,8504.22,-2.44053,-3.47454,-4.74451,-1.02266,-3.68896,0.691338,2252.18,95.8469,9693.16,0.191651,0.930687,0.0178891,11751.5,-0.00400393,0.21551,12.4613,11.0385,111.689,89.5362,0.730526,13.4055,12.6853,111.345,139.055,0.343802,-49.5189 
11,-5,47.2177,0,11,8680.74,-0.243479,21.4502,12.9756,112.177,-1.28335,2285.76,500,-0.200269,-3.02674,-1.90298,0.933724,-2.03929,35.7437,186.503,243.464,12158,104553,-0.425338,-3.25181,-2.35312,0.708656,-2.26436,0.689807,158.032,240.876,12129.5,0.0131202,0.272673,0.0352908,12044.9,-7.43903,7.44171,4357.24,2480.06,104.409,97.6898,0.943352,13.2962,12.4098,111.296,139.686,-6.88714,-41.9966 
12,-5,47.2177,1.35,12,9081.76,-0.376371,21.7902,13.1007,112.295,0.234766,491.015,2.14252e-05,1.44734,-6.31838,-6.98565,-1.58752,-1.16758,119.574,762.787,62.7783,12023.5,13045.4,0.694418,-7.07131,-8.4915,-2.34044,-1.9205,0.556101,667.542,54.1197,11928.2,0.0540205,0.87575,0.00828856,12357.2,-0.0038533,0.0672477,12.9426,13.4397,111.97,89.6604,0.903926,13.5368,12.5118,111.417,139.97,0.552569,-50.3093 
13,-5,47.2177,1.4,13,8801.18,-0.0683691,21.4215,12.9045,112.167,0.13941,149.965,8.34752e-09,-1.019,-4.45062,-1.14581,-0.798847,-2.58435,56.3575,1491.72,73.5263,11311.3,9679.43,-1.37386,-4.80549,-1.85555,-1.15371,-2.93922,0.847001,1446.83,69.4453,11266.4,0.115858,0.922512,0.0112271,12487.9,-0.00418168,0.130568,12.809,12.3027,111.845,88.3938,0.82533,13.8041,12.7571,111.369,138.838,0.475711,-50.4442 
14,-5,47.2177,1.5,14,6265.46,-0.249933,17.857,12.5541,112.332,0.343573,-615.133,500,-0.578109,-1.39587,-5.28784,-1.86846,-4.82428,-6.75447,1743.39,71.9758,8424.47,14177.7,-0.535578,-1.35334,-5.20278,-1.82593,-4.78174,0.620218,1748.77,72.4649,8429.85,0.174702,0.932387,0.0155883,10010,-0.00391711,0.175774,12.3214,10.7576,111.558,88.381,0.631456,13.4666,12.6851,111.437,138.654,0.121186,-50.2734 
15,-5,47.2177,1.45,15,7065.4,-0.792771,19.7249,13.0139,112.282,-545.55,482955,0.113952,-3.7432,-5.3243,-3.77651,-3.22562,-1.64656,117.649,1704.87,73.1088,9261.84,8.57703e+09,-4.48401,-6.06511,-5.25812,-3.96642,-2.38736,0.762731,1611.16,64.5895,9168.13,0.152054,0.934444,0.0128114,10595.9,-0.00395353,0.162502,12.3514,11.2922,111.702,88.5914,0.687596,13.4732,12.8249,111.343,139.065,0.359263,-50.474 
