cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
201,20,47.2427,1.275,201,8038.1,-0.0179476,19.1046,12.7089,112.409,0.0256296,-14.7231,500,-0.923277,-1.35785,-1.42035,-1.57543,-0.348129,104.277,231.239,217.205,10765.8,7916.2,-1.57988,-2.01445,-2.73356,-2.23204,-1.00473,0.714203,148.178,209.654,10682.8,0.0139563,0.287684,0.0348907,10617.3,-4.02441,4.02686,3183.32,2042.73,104.837,97.7084,0.853622,13.1689,12.225,111.441,139.449,-6.60365,-41.741 
202,20,47.2427,1.6,202,6530.75,-0.15481,16.4645,12.9349,112.392,-0.30225,325.902,500,-4.42363,-1.57407,0.543408,-0.863309,-2.09046,94.6983,3185.29,58.9746,6655.03,10139.4,-5.01992,-2.17036,-0.649172,-1.4596,-2.68675,0.945838,3109.86,52.1172,6579.6,0.325372,0.971508,0.0143815,9557.87,-0.00348632,0.2774,13.4247,11.105,111.898,88.774,0.465569,14.0209,13.3405,111.362,138.66,0.535111,-49.8856 
203,20,47.2427,1.3,203,7783.34,-0.0138028,18.3563,12.8639,112.438,0.0203414,-13.8565,500,-0.127809,-1.68477,1.02679,-1.98688,-2.85693,67.651,274.853,194.005,10801.1,7696.11,-0.553789,-2.11075,0.174834,-2.41286,-3.28291,1.02136,220.966,189.107,10747.2,0.0205488,0.400372,0.0313959,10753.2,-1.3095,1.31364,1723.65,988.566,110.052,98,0.806221,13.4865,12.3378,111.581,139.623,-1.52824,-41.6234 
204,20,47.2427,1.25,204,8010.78,-0.373165,19.1745,13.164,112.471,-0.109553,1692.11,5.06162,-2.58887,-3.75484,-3.08776,-1.23989,-2.19432,24.1833,212.312,229.463,10641.5,14251.5,-2.74115,-3.90711,-3.39231,-1.39216,-2.3466,0.753812,193.049,227.711,10622.2,0.0182073,0.326348,0.0379895,10602.8,-4.41006,4.41305,3652.62,-1934.31,103.312,97.8742,0.843384,13.4186,-12.2256,111.541,139.354,-8.22889,-41.4802 
205,20,47.2427,1.2,205,8061.5,-0.10195,18.7018,12.934,112.469,-0.210797,376.979,0.000682319,-2.85178,-0.283273,1.93844,1.67817,-3.10138,32.1742,150.961,252.11,10747.5,10461.2,-3.05437,-0.485866,1.53325,1.47557,-3.30397,1.39977,125.333,249.78,10721.8,0.0117874,0.222835,0.0411485,10632.7,-4.27836,4.27997,4031.27,2190.34,104.141,97.505,0.851515,13.4957,12.0932,111.575,138.454,-7.43457,-40.9486 
206,20,47.2427,1.225,206,6703.29,-0.354661,16.719,-13.5448,112.352,2.77027,-1543.38,500,-4.12895,1.1034,-6.98022,0.972039,2.11663,49.7469,291.347,314.063,9592.61,146557,-4.4422,0.790162,-7.60671,0.658796,1.80339,0.135263,251.722,310.461,9552.99,0.0261838,0.31662,0.0564848,9613.65,-8.50472,8.50645,5140.38,3045.87,105.362,97.6879,0.726365,13.7626,12.4891,111.42,137.504,-6.05832,-39.8158 
207,20,47.2427,1.325,207,8380.66,-0.457583,19.6508,13.2176,112.264,0.160012,447.452,2.1299e-09,0.427262,-3.63081,-2.46693,2.17421,-3.28508,12.6852,351.88,55.5059,11253.2,10786,0.347386,-3.71069,-2.62668,2.09433,-3.36496,0.638229,341.776,54.5873,11243.1,0.0300859,0.781553,0.00886449,11360,-0.151414,0.156147,567.973,324.111,104.482,98,0.854311,13.3697,12.1896,111.417,138.364,-6.93451,-40.3637 
208,20,47.2427,1.65,208,5120.62,-0.0144623,14.1199,12.5769,112.452,-0.00509367,40.9996,0.00240957,-1.76454,-3.49824,-3.01914,-2.3992,-0.110033,38.694,3060.66,43.4094,5422.55,5787.75,-2.00819,-3.74189,-3.50643,-2.64285,-0.353679,0.713831,3029.84,40.6074,5391.73,0.364438,0.977083,0.0136838,8313.73,-0.0034438,0.27842,12.9508,11.0129,112.182,89.137,0.381302,13.9176,13.352,111.738,138.733,0.443267,-49.5959 
209,20,47.2427,0,209,7359.96,-0.813109,18.2936,13.7796,112.632,1.28152,1289.17,201.407,1.23819,0.386776,-3.77919,1.37293,2.00389,36.4975,159.377,240.413,10551.1,61987.2,1.00838,0.156961,-4.23882,1.14312,1.77408,-26.1217,130.305,237.77,10522.1,0.012479,0.238478,0.039963,10441.9,-2.34567,2.3461,3303.64,-1847.58,111.449,97.5754,0.783189,13.6832,12.4322,111.667,138.747,-0.218009,-41.1712 
210,20,47.2427,1.35,210,7815.85,-0.0320486,18.4488,12.5752,112.443,0.0294496,23.4284,498.773,-2.02707,-1.23466,-1.2609,0.974422,-1.96267,52.5421,473.727,59.8587,10443.1,7574.77,-2.35791,-1.5655,-1.92259,0.643578,-2.29351,0.743516,431.875,56.054,10401.3,0.0406466,0.814906,0.00982979,10625.1,-0.00323891,0.0365621,12.8689,18.0281,113.411,88.6925,0.788717,13.4026,12.5126,111.448,138.493,1.96312,-49.8007 
211,20,47.2427,1.4,211,7658.25,-0.0941834,18.7073,12.7307,112.558,0.0626763,151.525,8.43916e-07,0.37905,-2.19871,-4.67187,-2.71277,1.04784,26.0324,972.533,52.5518,10072.1,8061.97,0.215131,-2.36263,-4.99971,-2.87669,0.883925,0.452984,951.797,50.6668,10051.4,0.0881118,0.914781,0.00920021,10802.1,-0.00349956,0.0852813,12.4847,13.2585,112.658,88.6121,0.762753,13.4538,12.5048,111.628,138.924,1.02996,-50.3123 
212,20,47.2427,1.5,212,7156.77,-0.837583,18.3068,13.6801,112.293,0.925023,57.2356,211.542,-1.2947,-1.02031,1.27873,1.51541,-0.921462,63.7567,2017.33,59.701,8578.03,9876.14,-1.69616,-1.42177,0.475811,1.11395,-1.32292,1.16689,1966.55,55.0842,8527.25,0.190497,0.953272,0.0117597,10323.3,-0.00357704,0.181148,12.5212,-11.7181,111.884,89.5057,0.614602,13.9172,12.9525,111.392,139.55,0.491399,-50.0438 
213,20,47.2427,1.45,213,7011.22,-0.366846,18.1112,13.0263,112.422,0.494333,-212.537,500,-0.373296,-1.72166,-2.09868,0.755084,-2.02565,63.4784,1581,64.1312,9075.07,11100.2,-0.773002,-2.12137,-2.89809,0.355378,-2.42536,0.631401,1530.44,59.5346,9024.51,0.14752,0.936263,0.0120064,10374.5,-0.00365666,0.151848,12.21,11.4778,112.177,89.317,0.703211,13.6407,12.0316,111.397,138.78,0.779771,-49.4629 
214,20,47.2427,1.375,214,7580.16,-0.0166144,18.8013,12.5366,112.297,0.0320331,14.8607,500,-0.776451,-3.96163,-0.415196,-2.72481,-1.99958,37.7909,746.372,53.4744,10336.6,7688.45,-1.01441,-4.19958,-0.891115,-2.96277,-2.23754,0.921178,716.27,50.7379,10306.4,0.0662196,0.889709,0.00898705,10816.6,-0.00356095,0.0789221,11.8055,11.6807,112.137,88.1045,0.790997,13.2623,12.5306,111.455,138.643,0.682097,-50.538 
215,20,47.2427,1.8,215,5705.42,-0.0764113,15.6228,12.5103,112.699,-0.0942368,45.2504,500,-4.04222,-2.57323,-1.45919,-0.853851,-1.22739,38.8242,4871.47,64.1002,4356.68,6501.23,-4.28669,-2.81769,-1.94813,-1.09832,-1.47186,0.832386,4840.55,61.2888,4325.76,0.533112,0.978323,0.0254357,9079.79,-0.00365179,0.444835,12.9504,10.8391,112.247,89.1968,0.306357,13.9776,-13.5865,111.704,138.607,0.542949,-49.4098 
216,20,47.2427,2,216,5283.55,-0.0414115,15.3019,-12.7932,112.776,0.0441184,73.2233,53.1536,-1.52036,-4.05475,0.184363,0.867824,-0.629694,125.04,5366.82,41.3716,3763.48,6477.83,-2.30771,-4.84209,-1.39033,0.0804796,-1.41704,0.859232,5267.22,32.3171,3663.88,0.594641,0.989377,0.0159885,8857.82,-0.00399338,0.470167,13.3125,11.1069,112.155,89.128,0.263207,14.124,13.6311,111.722,138.496,0.432213,-49.3678 
217,20,47.2427,1.275,217,6760.25,-0.193659,17.5901,12.7504,112.129,0.050684,-130.226,500,-1.43997,-2.04602,-1.07188,-1.04643,-3.18177,26.1769,279.145,258.995,10020.7,7515.92,-1.6048,-2.21085,-1.40154,-1.21126,-3.3466,0.856621,258.295,257.099,9999.83,0.0256802,0.36471,0.0452196,10058.1,-7.41084,7.4136,5155.19,-2453.81,106.631,97.946,0.787737,13.3106,12.0925,111.328,138.117,-4.69716,-40.1713 
218,20,47.2427,1.6,218,5989.35,-0.315399,17.0689,-12.2505,112.376,0.741325,133.83,499.957,-0.704255,-0.00348607,-3.1234,1.09043,-1.51604,90.1703,3528.02,51.4606,6024.57,10036.6,-1.27203,-0.571264,-4.25896,0.522653,-2.08381,0.444248,3456.2,44.9312,5952.75,0.372039,0.977756,0.0137135,9289.89,-0.00361942,0.340026,12.4346,10.8093,112.093,89.408,0.451662,13.3369,12.9401,111.288,138.945,0.805184,-49.5369 
219,20,47.2427,1.3,219,8545.35,-0.351816,20.0448,13.2121,112.419,-0.526569,909.408,1.25737e-08,1.66974,-2.60947,-2.60904,-2.27634,-1.50046,64.0312,387.621,298.115,11415.7,24209.9,1.26656,-3.01265,-3.41542,-2.67953,-1.90365,0.64951,336.618,293.478,11364.7,0.0293375,0.395926,0.0454098,11474,-7.85601,7.85963,4559.21,2476.73,107.729,97.9852,0.887924,13.4057,12.1175,111.498,138.435,-3.76815,-40.4497 
220,20,47.2427,1.25,220,8255.48,-0.411018,19.8425,13.0741,112.367,0.521871,-110.942,5.59499e-12,-0.670505,-0.274967,1.49856,-2.03467,-2.52921,18.8953,199.942,258.191,11282.8,10329.9,-0.789484,-0.393945,1.2606,-2.15365,-2.64819,1.26681,184.892,256.823,11267.7,0.0164681,0.291474,0.0402948,11227.3,-4.63626,4.63832,4056.47,2149.67,106.356,97.6728,0.892351,13.1509,12.129,111.395,138.944,-5.03817,-41.2713 
221,20,47.2427,1.2,221,8697.4,-0.0643805,20.2778,12.6775,112.436,0.00276313,-35.6897,5.05539e-06,0.5077,-0.810371,0.291517,0.897539,0.935711,49.403,219.179,264.67,11703.1,8371.75,0.196623,-1.12145,-0.330637,0.586462,0.624633,-6.45239,179.828,261.093,11663.8,0.0154886,0.28242,0.0396023,11610.4,-7.78533,7.7867,5554.28,3029.03,108.805,97.701,0.899613,13.1276,12.4821,111.527,139.43,-2.72136,-41.7289 
222,20,47.2427,1.225,222,7774.57,-0.18948,18.8211,12.9955,112.382,-1.56234,1127.22,2.86072e-07,-3.48094,-1.58474,0.0361836,-6.17027,-0.0431443,42.1752,199.919,259.39,10867.8,65291.8,-3.74651,-1.8503,-0.494949,-6.43583,-0.30871,0.961441,166.325,256.336,10834.2,0.0154235,0.270485,0.0417638,10783.8,-7.57315,7.57509,5333.63,-2708.46,105.796,97.7146,0.863674,13.3693,12.0353,111.459,138.587,-5.66375,-40.8724 
223,20,47.2427,1.325,223,7244.68,-0.787599,18.375,13.4248,112.601,1.49862,-298.103,287.151,0.90744,-5.50615,-2.14541,-4.79385,-2.48009,49.1265,319.731,53.1835,10215.4,22573.2,0.598104,-5.81549,-2.76408,-5.10318,-2.78942,0.825875,280.6,49.6261,10176.2,0.0273667,0.76365,0.00890334,10253.3,-0.133875,0.13831,545.3,308.147,104.217,98,0.774708,13.3208,12.2635,111.694,138.657,-7.47732,-40.6574 
224,20,47.2427,1.65,224,6629.4,-0.799234,17.9627,13.0618,112.409,1.00652,1880.96,255.448,-2.10782,-1.61163,1.63136,-1.80303,-1.91521,70.4909,4283.71,50.5337,5962.32,69268.8,-2.55168,-2.05549,0.743635,-2.24689,-2.35907,1.0878,4227.56,45.4293,5906.17,0.422097,0.981542,0.0139712,10015.6,-0.00368788,0.404619,12.3619,10.9069,111.96,89.8834,0.429819,13.8993,13.0379,111.695,139.376,0.265144,-49.493 
225,20,47.2427,0,225,7375.3,-0.766766,18.3904,13.4394,112.265,1.15562,249.754,484.191,0.209157,-0.331952,-0.32853,0.74772,0.0679814,59.2174,191.642,259.377,10316.7,17441.3,-0.163719,-0.704828,-1.07428,0.374844,-0.304895,0.426401,144.473,255.089,10269.6,0.0141521,0.244506,0.0437546,10208.6,-7.74482,7.7468,5629.48,-2748.68,105.058,97.9031,0.815505,13.3523,12.1135,111.432,138.407,-6.37361,-40.504 
226,20,47.2427,1.35,226,7517.66,-0.0316933,18.6732,12.3951,112.352,-0.081536,85.9447,499.99,-3.21686,-1.77576,-2.46681,-3.71918,-0.649241,6.21957,581.823,55.1197,10251.4,7762.77,-3.25602,-1.81493,-2.54513,-3.75834,-0.688404,0.78901,576.869,54.6693,10246.4,0.0543275,0.857746,0.00973282,10618.4,-0.00340916,0.049547,12.1466,16.2948,113.327,88.5799,0.806031,13.1245,12.2561,111.447,138.563,1.88019,-49.9827 
227,20,47.2427,1.4,227,6524.36,-0.01315,16.8975,12.4541,112.385,0.211602,-359.04,500,1.01024,-0.285603,-6.63105,0.423382,-2.66169,56.0495,917.944,67.7944,9087.96,9323.81,0.657312,-0.638532,-7.33691,0.0704526,-3.01462,0.285062,873.299,63.7358,9043.31,0.0897003,0.886745,0.0128165,9735.74,-0.00352947,0.0821206,12.381,13.1561,111.917,88.7684,0.69627,13.4146,12.3747,111.689,139.084,0.227989,-50.3159 
