cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,4,0,4422.05,-0.0614648,8.7065,11.833,98.8233,0.103499,-108.679,16.191,0.69228,0.976729,0.704288,1.94364,-0.341703,-19.1694,1718.01,13.5284,2981.54,3719.93,0.812984,1.09743,0.945696,2.06434,-0.220998,0.798765,1744.89,15.52,3008.42,0.397261,0.984673,0.0094137,4392.31,725.298,4205.09,11097.6,-0.000146546,0.170464,11.9887,10.1371,98.5063,70.4954,0.281473,11.0077,11.3701,98.639,121.099,-0.132668,-50.6033 
1,0,1,3903.47,-0.0135495,9.63462,9.54083,98.8517,0.0566288,-32.6749,500,0.38174,-0.770615,1.51953,-0.291965,1.68031,-8.30074,-75.1729,-0.337489,4309.88,3052.61,0.434007,-0.718348,1.62407,-0.239697,1.73258,0.426654,-63.5303,0.524926,4321.52,-0.0169894,1.01467,0.000223707,3739.41,1352.96,480.487,30778,-0.000279695,0.00552386,14.7467,10.0392,120.309,55.7641,0.561163,9.31214,9.63814,98.5708,121.07,21.7379,-65.3062 
2,0,2,4123.51,-0.0635877,9.86049,9.81462,98.5683,0.152961,-555.494,103.841,1.79807,0.878996,2.12031,-0.0496126,0.669061,4.0315,-140.602,8.00528,4505.54,5916.43,1.77269,0.853611,2.06953,-0.0749979,0.643676,0.606889,-146.257,7.58643,4499.89,-0.0383509,1.09984,0.00309602,3813.64,1395.79,475.191,32204.7,-0.000241072,0.00573661,16.4228,-9.40462,124.839,50.6988,0.563731,9.45574,9.85501,98.4164,121.086,26.423,-70.387 
3,9,3,3929.1,-0.0161284,6.61694,14.4406,98.6167,0.110613,77.7509,499.638,-0.407496,-1.10486,2.10612,0.804445,-1.89755,-5.75687,3257.55,40.6614,1086.29,3390.51,-0.371247,-1.06861,2.17862,0.840695,-1.8613,8.72975,3265.63,41.2596,1094.36,0.772259,0.978368,0.0649406,4228.67,574.062,9656.55,1693.3,-0.000588991,0.21691,15.1654,12.1443,98.8412,70.5936,0.0776828,13.9357,14.0861,97.5325,119.857,1.30871,-49.2632 
4,5,4,4208.42,-0.0596204,8.07342,12.5891,98.841,0.0334114,24.5642,0.000253602,0.269182,2.19125,3.09116,-0.534546,-1.21364,-27.4953,2290.88,37.9456,2257.89,3335.33,0.442313,2.36438,3.43742,-0.361415,-1.04051,0.29011,2329.45,40.8023,2296.46,0.535464,0.970259,0.0316923,4350.33,633.99,6454.92,6345.87,-0.000343516,0.19887,13.2513,10.7923,98.6927,69.8865,0.201607,11.7328,11.5174,98.3453,119.834,0.347391,-49.9479 
5,3.5,5,4014.17,-0.00949026,8.45662,-10.8883,98.7982,0.00523129,-17.5432,499.988,0.432357,-0.113107,1.18901,-0.848842,-0.341674,-8.29588,1257.1,10.9282,3024.1,3000.43,0.484594,-0.0608701,1.29348,-0.796605,-0.289437,-1.04935,1268.73,11.7901,3035.73,0.321999,0.983998,0.00710351,3940.18,700.173,2649.04,12197.7,-6.56092e-05,0.14031,11.014,9.62717,98.8594,70.767,0.312024,10.3973,10.8197,98.4733,121.201,0.386148,-50.4338 
6,8,6,4061.54,-0.110889,6.96779,14.4663,98.4493,0.00539191,58.8025,0.669378,-0.0491017,1.22915,-1.22509,1.80452,-2.19868,-25.857,3223.9,25.1356,1159.96,3291.63,0.113713,1.39196,-0.899464,1.96733,-2.03586,2.67286,3260.17,27.8221,1196.23,0.75592,0.985285,0.0410838,4312.85,598.58,10047.4,1831.06,-0.000470206,0.225565,15.097,11.7493,98.3605,69.8931,0.0850136,13.4781,13.431,98.1593,120.202,0.201183,-50.3086 
7,0,7,4146.45,-0.00215558,9.7443,9.97749,98.6404,-8.90216e-05,5.13313,7.23166e-12,0.490016,1.22585,-5.65695,-0.766175,-0.249858,-24.8449,-97.2386,-7.48173,4529.88,3164.96,0.646457,1.38229,-5.34407,-0.609734,-0.0934168,-0.329877,-62.3912,-4.90045,4564.73,-0.015777,0.879158,-0.0019815,3954.57,1404.64,425.898,32596.9,-0.000202538,-0.0325528,0.112944,-135.01,119.463,72.8672,0.562628,9.6436,9.81202,98.3289,119.421,21.1344,-46.554 
8,0,8,4063.96,-0.0152668,9.41921,9.55565,98.8862,-0.00129646,14.433,1.54687,1.14935,0.307656,2.92849,-3.63905,0.311273,-0.862991,-57.3496,-3.45948,4221.73,2930.62,1.15478,0.31309,2.93936,-3.63361,0.316707,-1.69586,-56.1391,-3.36982,4222.94,-0.0153383,0.90494,-0.00147212,3660.05,1300.62,453.79,29744.1,-0.000309751,0.00192839,-25.253,-4753.5,106.339,44.4705,0.558575,9.15188,9.46304,98.5748,120.023,7.7637,-75.5528 
9,3,9,4564.54,-0.00339559,9.22979,11.2876,98.3742,-0.00886854,-3.91307,500,2.67441,-0.210159,1.81148,-0.184993,-1.96748,-13.2091,976.785,18.9442,3701.8,3392.61,2.75758,-0.126985,1.97783,-0.101819,-1.8843,0.245765,995.312,20.3165,3720.33,0.233138,0.965511,0.00995946,4269.2,959.02,2028.3,19151.7,3.70891e-05,0.122438,11.1044,8.93214,97.9731,69.2494,0.399505,10.5284,10.3065,98.0007,118.731,-0.0276444,-49.4815 
