cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0,47.5376,1.12,0,15319.5,0.238718,24.5379,12.4509,95.5494,0.289062,-220.615,500,1.60342,1.37306,-1.34981,-0.679647,-3.78911,-105.632,749.357,75.8941,13220.5,12021.6,2.26856,2.0382,-0.0195364,-0.0145096,-3.12397,1.01701,897.517,86.8689,13368.7,0.0748334,0.855155,0.0118283,11993.5,0.00195348,0.0976966,9.9281,8.55153,95.6677,76.1487,1.12631,12.0746,11.4763,95.2182,128.729,0.449525,-52.58 
1,0,47.5376,1.18,1,14135.6,0.249227,22.8782,12.1856,95.7058,-0.107777,460.151,454.164,2.30985,-0.222485,-1.98758,-1.33746,-2.99024,-143.449,1596.47,78.1249,11236.9,10689.8,3.21311,0.680777,-0.18106,-0.434196,-2.08698,1.15194,1797.67,93.0287,11438.1,0.159208,0.916958,0.0147611,11291.3,0.00198874,0.207541,9.99213,8.57771,96.3474,76.6019,0.992919,11.8753,11.1652,95.2443,128.664,1.10308,-52.0625 
2,0,47.5376,1.24,2,14981.8,0.306449,23.7155,12.2568,95.7595,1.51471,90.9231,213.477,-2.76018,1.76511,1.22741,-8.10176,1.1121,-207.944,3986.89,86.4573,9491.11,13945.8,-1.45081,3.07448,3.84615,-6.79239,2.42147,-2.49997,4278.55,108.062,9782.78,0.345093,0.957672,0.0199424,12398.3,0.00217939,0.43639,11.3298,9.51702,96.226,76.7901,0.79966,12.0209,11.4926,95.1884,128.839,1.03767,-52.0487 
3,0,47.5376,1.16,3,13965.1,0.212593,23.0707,11.8924,95.6182,-0.138884,-122.494,3.36994e-06,0.507088,1.17446,1.77482,0.612824,-2.43255,-176.406,1754.95,71.6243,10858.3,9485.32,1.61787,2.28524,3.99637,1.7236,-1.32177,0.518585,2002.38,89.9522,11105.7,0.178463,0.927115,0.0147011,11220.1,0.00193856,0.230128,9.86863,8.77795,96.1769,76.5097,0.973319,11.7163,11.2256,95.1615,128.579,1.01543,-52.0697 
4,0,47.5376,1.4,4,13056.7,0.03587,21.2855,11.8854,95.7675,-0.0224141,239.969,9.52965e-07,0.196936,-0.873752,8.4251,2.62863,-3.77564,-187.658,4380.45,83.9188,7196.62,8410.65,1.37857,0.307879,10.7884,3.81027,-2.59401,0.212014,4643.65,103.416,7459.83,0.428567,0.962489,0.0249012,10835.3,0.00219585,0.529147,10.6304,9.14688,96.2615,76.591,0.628391,11.619,11.2703,95.1107,128.121,1.15084,-51.5304 
5,0,47.5376,0,5,16795.9,0.319888,26.4047,12.4431,95.8465,0.201743,-93.6117,67.8273,-0.281356,3.03758,-0.578979,1.94111,-0.797148,-248.384,175.079,69.1587,14946,11310.4,1.28265,4.60159,2.54903,3.50511,0.76686,0.799371,523.461,94.9648,15294.4,0.0396027,0.759025,0.0113085,13217.8,0.00228212,0.0187201,9.20108,7.85559,121.318,58.1352,1.29796,12.0972,11.284,95.5478,129.887,25.77,-71.7517 
6,0,47.5376,1.3,6,13762.3,0.275952,22.7572,11.6805,95.8368,-0.547392,616.313,119.959,-4.33389,1.44417,-1.2879,-0.0156095,-4.37395,-224.527,4058.2,66.032,8311.11,19635.5,-2.9201,2.85796,1.53968,1.39818,-2.96016,19.2324,4373.12,89.3596,8626.03,0.379192,0.965475,0.0187256,11532.7,0.00204166,0.473523,10.9647,9.25844,96.3026,77.1318,0.738423,11.6608,11.1677,95.1106,129.118,1.192,-51.9865 
7,0,47.5376,1.1,7,16459.8,0.126505,26.1188,12.5977,95.6677,-0.105243,-119.384,499.996,0.538852,-0.229249,-0.395508,-0.827557,-0.448644,-207.205,266.329,48.3053,14558.9,11120.2,1.84357,1.07547,2.21393,0.47716,0.856073,0.657615,556.955,69.8331,14849.5,0.0432351,0.820061,0.00858852,12882,0.00224791,0.0345474,10.0332,7.22687,95.9648,74.9226,1.27052,12.1381,11.1735,95.3439,128.779,0.620851,-53.8568 
8,0,47.5376,1.14,8,14701.1,0.000162113,23.6194,12.5376,95.652,0.00161565,3.0429,5.03007e-12,-1.646,-0.175055,-1.57082,-0.645006,-2.98455,-194.136,1339.03,60.4427,12014.4,9640.19,-0.423581,1.04737,0.874027,0.577415,-1.76213,-1.79156,1611.32,80.6127,12286.7,0.136446,0.919497,0.0119417,11809.3,0.00201135,0.165047,9.88006,8.79565,96.391,76.9941,1.03164,12.1156,11.3413,95.1627,129.424,1.2283,-52.4304 
9,0,47.5376,0,9,15817.2,0.118249,24.8933,12.8037,95.7915,0.309376,-563.927,0.366199,-0.971491,-1.32831,-2.79487,-0.724378,-0.505487,-205.884,203.865,37.5113,14121.9,16055.1,0.324903,-0.0319117,-0.202079,0.572017,0.790908,1.139,492.637,58.9018,14410.6,0.0395582,0.826967,0.00747312,12453.5,0.00196733,0.0258085,8.94294,7.68246,96.5354,74.8059,1.16166,12.2836,11.8105,95.4863,127.955,1.04916,-53.1494 
