cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,4,47.5416,1.14,0,18279.2,0.282947,28.0146,13.0277,95.5904,1.66247,2421.16,461.43,-4.91839,-2.07396,-5.9616,-3.33601,2.84486,-226.705,370.237,69.1476,16297.3,142911,-3.49089,-0.646457,-3.1066,-1.90851,4.27236,0.363416,688.212,92.7013,16615.3,0.047532,0.809243,0.010173,14478.9,0.00236341,0.0358397,9.68466,8.44023,94.6767,76.8368,1.30619,12.5787,11.7349,95.4092,128.722,-0.732539,-51.8856 
1,4,47.5416,0,1,14967,0.215539,24.4935,12.2752,95.5939,-0.363341,-120.565,429.439,-2.93037,1.21293,1.67536,-2.48345,1.36633,-156.072,95.775,45.4078,13615,11213.6,-1.94763,2.19568,3.64085,-1.5007,2.34907,0.231445,314.681,61.6231,13833.9,0.0266751,0.744769,0.00813887,11796.8,0.00158849,0.0183332,11.3606,8.45149,118.844,60.3778,1.17791,11.9616,11.5443,95.2943,127.467,23.5498,-67.0897 
2,4,47.5416,1.1,2,14712.3,0.0840175,24.2123,12.1853,95.8453,-0.0222276,514.495,500,-2.81771,-1.81719,2.71621,-0.918894,0.380664,-229.188,48.3737,31.6847,13338.1,9976.62,-1.37458,-0.374051,5.60249,0.524243,1.8238,0.0966506,369.833,55.4964,13659.6,0.03159,0.792015,0.00742856,11707.3,0.00173275,0.0160114,10.9438,8.70839,118.223,59.6355,1.1971,11.7267,11.2582,95.5433,127.564,22.6801,-67.9287 
3,4,47.5416,1.3,3,13585.5,0.260156,22.1665,11.9818,95.8901,-0.109759,-209.051,80.3004,-5.64217,2.35667,-4.85172,-0.649415,1.59888,-239.722,3493.93,83.3357,8858.24,9392.93,-4.13271,3.86613,-1.83279,0.860049,3.10835,1.98061,3830.17,108.242,9194.47,0.334174,0.952875,0.0212259,11461.6,0.00196499,0.410406,10.8035,9.19183,96.2845,76.0026,0.751357,11.7971,11.5329,95.353,127.855,0.931453,-51.8525 
4,4,47.5416,0,4,16121.5,0.0644162,25.9512,12.5912,95.8085,-0.101073,10.5399,500,-2.97909,3.93042,-0.744931,1.90327,-0.815421,-220.271,41.1466,62.9751,14673.8,10671.7,-1.5921,5.31741,2.02904,3.29025,0.571564,0.788997,350.098,85.8603,14982.8,0.0273817,0.699701,0.0104461,12785.8,0.0017557,0.0167868,12.0862,7.58455,117.276,59.2735,1.26139,12.1586,11.4121,95.5088,127.701,21.7671,-68.4272 
5,4,47.5416,0,5,16941.2,0.25859,26.6766,12.6952,95.6136,-1.20016,-42.3922,19.9441,-2.87435,0.369663,-1.35155,0.834739,1.43755,-243.028,19.1034,49.5166,15463.5,12680.9,-1.34407,1.89995,1.70902,2.36502,2.96784,0.775062,359.974,74.7663,15804.3,0.0267092,0.733421,0.00863925,13477.6,0.00176296,0.0197956,11.5087,6.63841,122.454,60.8015,1.23139,12.5038,12.016,95.4056,128.559,27.0487,-67.7571 
6,4,47.5416,1.22,6,14966,-0.00728611,24.523,12.2508,95.691,0.00149937,-9.74013,3.25641e-12,-1.56648,-1.26461,6.80566,3.33387,-2.47192,-220.419,785.954,75.1961,12750.9,9780.37,-0.178557,0.123311,9.5815,4.72179,-1.084,0.272146,1095.11,98.0967,13060.1,0.0917566,0.864484,0.0136476,11935,0.00206636,0.0955907,9.65812,8.61822,96.1977,75.177,1.145,11.785,11.1702,95.3229,127.172,0.874815,-51.995 
7,4,47.5416,1.26,7,14942.5,0.273973,24.0646,12.1965,95.8105,1.13619,-310.293,1.28987,-2.62621,0.370636,7.28421,2.58547,-1.65076,-279.421,3593.3,79.8115,10065.1,21031.2,-0.866769,2.13008,10.8031,4.34491,0.108679,0.346059,3985.22,108.842,10457,0.314675,0.954385,0.0188129,12664.5,0.00190048,0.395997,11.1722,9.59163,96.084,75.7039,0.822236,12.1679,11.7891,95.2873,127.118,0.796779,-51.4141 
8,4,47.5416,1.5,8,12650.9,0.0228192,20.842,12.0908,96.4854,-0.0481602,-58.0339,497.161,-4.05908,0.704551,6.94989,-1.45946,-1.12465,-233.185,5850.53,67.4583,5728.4,8294.28,-2.59077,2.17286,9.8865,0.00884961,0.343656,-0.00666037,6177.6,91.6853,6055.47,0.551392,0.974685,0.0271344,11203.6,0.00184028,0.644822,11.3008,9.26811,96.9323,75.8658,0.494112,11.5882,11.4364,95.7126,127.062,1.21973,-51.1964 
9,4,47.5416,1.34,9,12410.7,0.205617,20.58,11.6119,95.9667,-0.261243,217.865,500,-2.14167,1.35321,-2.10852,-5.67661,-0.786982,-186.467,4613.45,89.629,6541.81,9632.11,-0.967532,2.52735,0.239748,-4.50248,0.387152,1.10353,4874.99,109.002,6803.35,0.463324,0.962344,0.0286678,10521.8,0.00190776,0.544323,10.9491,9.15569,96.3447,75.9443,0.577331,11.5701,11.1834,95.2952,127.297,1.0495,-51.3526 
10,4,47.5416,1.18,10,17447,0.119059,27.0036,13.0906,95.5675,-0.107585,-135.341,500,-1.0971,-1.09112,-2.57478,1.21436,2.87505,-207.839,807.923,49.8592,15118.6,11981.4,0.211608,0.217589,0.0426363,2.52307,4.18376,0.994061,1099.44,71.4529,15410.1,0.0791541,0.897881,0.00846904,13889.8,0.00197304,0.0987521,11.3249,8.37876,96.7939,75.67,1.16782,12.7205,12.1732,95.3091,127.596,1.48478,-51.9258 
11,4,47.5416,1.7,11,13148.1,0.0129021,21.2701,12.4166,96.0207,0.10217,-97.3146,208.507,-1.30943,-0.293028,-1.33738,1.32351,-2.2835,-196.386,6133.78,51.0489,5884.75,8921.04,-0.072839,0.943561,1.13579,2.5601,-1.04691,0.677304,6409.23,71.4527,6160.2,0.556251,0.980864,0.0209198,11522.2,0.0017028,0.652954,11.5322,9.63255,96.4676,76.4443,0.490003,12.0203,11.5831,95.0362,127.726,1.43144,-51.2819 
12,4,47.5416,1.38,12,14196.1,0.269132,23.0821,12.0371,96.0589,-0.236645,134.539,0.665484,-0.457237,0.933983,-2.87506,-0.515467,-1.45562,-192.649,5415.03,69.8416,7453.67,10081.1,0.755821,2.14704,-0.448942,0.697592,-0.242562,1.15433,5685.24,89.8571,7723.88,0.470007,0.973085,0.0209808,12096.1,0.00186401,0.593946,11.2644,9.64433,96.289,76.158,0.612324,12.1174,11.7453,95.3888,127.682,0.900178,-51.5238 
13,4,47.5416,1.14,13,17252.1,0.0425462,27.2219,12.9266,95.601,-0.440072,420.386,499.993,-2.02897,0.0602798,7.00545,5.65991,0.538483,-213.334,159.489,53.5504,15594.2,17477.4,-0.685666,1.40359,9.69206,7.00321,1.88179,0.49769,458.71,75.7149,15893.5,0.0336045,0.775882,0.00869927,13650.3,0.00193342,0.0174385,13.1194,8.46056,118.504,60.9536,1.28378,12.5121,11.6019,95.2649,127.87,23.2396,-66.9164 
14,4,47.5416,0,14,16223.6,0.25436,25.7754,12.5529,95.4754,0.0217554,-525.815,489.998,-1.39871,1.25546,3.97955,2.18442,-2.32938,-177.753,71.4878,29.4769,14669.9,10905.2,-0.279447,2.37473,6.21808,3.30368,-1.21012,0.402505,320.804,47.9448,14919.2,0.0252527,0.792681,0.00588501,12703.7,0.00184439,0.0167256,10.527,7.7863,121.345,59.9272,1.24031,12.2196,11.5717,95.1975,127.407,26.148,-67.4802 
15,4,47.5416,1.1,15,15226.1,0.0887772,25.0692,12.264,95.6576,1.16679,400.601,499.999,-2.45777,2.16585,-8.01696,-0.940767,2.53771,-212.583,129.911,14.451,13805.8,25224.5,-1.11919,3.50442,-5.3398,0.397812,3.87629,5.04669,428.079,36.5375,14103.9,0.0352783,0.870044,0.00474948,12134.3,0.00168825,0.0163102,14.2647,7.70882,116.335,60.1329,1.2306,11.8176,11.3186,95.338,126.695,20.9974,-66.5617 
16,4,47.5416,1.3,16,12084.9,0.248382,19.7078,11.7194,96.0246,-0.0922361,-311.041,0.0238418,-1.23524,-0.821992,6.35534,1.45013,-0.723755,-221.098,3717.71,68.95,7020.46,8452.52,0.156963,0.570206,9.13974,2.84232,0.668443,0.316792,4027.82,91.9213,7330.57,0.398313,0.961596,0.0225775,10112.2,0.0018609,0.449195,10.8831,9.1462,96.376,76.3509,0.623954,11.652,11.1583,95.2981,127.692,1.07793,-51.3415 
17,4,47.5416,0,17,17940.7,0.269125,27.8801,12.883,95.8322,0.0162773,-245.909,499.376,1.18364,-2.3817,-9.91674,2.66202,-4.21435,-231.909,121.31,74.7472,16218.2,11822.8,2.64391,-0.921434,-6.9962,4.12229,-2.75408,-0.791361,446.585,98.8417,16543.5,0.0314991,0.720812,0.0108861,14177.7,0.00211117,0.0186315,11.8205,6.36918,116.829,60.0841,1.32209,12.5104,11.681,95.4905,127.586,21.3386,-67.5017 
18,4,47.5416,0,18,16372.6,0.256433,25.6082,12.752,95.4597,-0.532856,-852.463,469.672,4.89262,1.38853,-4.61274,1.06373,1.22968,-234.964,31.1551,38.3742,14865.1,25417.5,6.37213,2.86803,-1.65372,2.54324,2.70919,1.12881,360.715,62.7861,15194.7,0.0278066,0.766516,0.00755429,12972.3,0.00178787,0.0172705,8.18415,8.19921,118.055,58.6117,1.2537,12.4318,11.4257,95.1619,126.319,22.8933,-67.7078 
19,4,47.5416,1.22,19,16313.3,0.289189,25.8879,12.421,95.777,-0.434174,-223.398,185.48,-1.52679,2.86789,-1.1559,-0.213607,1.34299,-248.279,1488.84,77.8655,13237.5,13625.1,0.0365584,4.43124,1.9708,1.34974,2.90633,0.815721,1837.08,103.661,13585.8,0.140093,0.910127,0.0138606,13113.3,0.00225443,0.178343,10.4535,8.86371,96.2567,74.6039,1.14432,12.1624,11.2391,95.4116,125.605,0.845036,-51.0012 
20,4,47.5416,1.26,20,16236.7,0.260865,25.804,12.4162,95.827,-0.621418,2020.08,500,-0.38547,-1.09874,1.21647,0.594682,1.69166,-245.516,3035.37,85.3396,11633.9,51294.3,1.16048,0.447208,4.30837,2.14063,3.23761,0.618536,3379.73,110.848,11978.3,0.253701,0.945719,0.0167612,13321.7,0.00220729,0.34684,11.0001,9.36851,96.457,75.9644,0.941622,12.1998,11.911,95.3526,127.686,1.10441,-51.7211 
21,4,47.5416,1.5,21,13588.9,0.311518,22.0482,11.7853,96.2611,0.0163971,-162.885,98.4702,0.943646,0.0884729,-3.49263,-0.027179,-3.37388,-235.639,5865.04,72.8675,6404.63,8545.75,2.4274,1.57223,-0.525114,1.45658,-1.89013,1.17268,6195.54,97.3495,6735.14,0.525683,0.973238,0.0259352,11785.7,0.00190009,0.641645,11.3542,9.49875,96.4183,75.3543,0.540243,11.9945,11.5121,95.5837,126.553,0.834599,-51.1986 
22,4,47.5416,1.34,22,12996.8,0.145349,21.5695,11.655,96.154,0.217281,-573.762,0.000212183,0.0176487,-1.45076,0.533043,-2.04558,-2.90488,-224.271,4328.71,59.8741,7256.92,12242,1.42982,-0.0385911,3.35739,-0.633404,-1.49271,-0.280219,4643.27,83.175,7571.48,0.424912,0.969605,0.0198347,10927.6,0.00200783,0.520225,10.7646,9.21738,96.4337,76.1293,0.63699,11.6415,11.2786,95.5354,127.631,0.898328,-51.5021 
