cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
84,-4,47.5336,0,84,16404.1,0.113274,26.5605,12.8992,96.0548,0.671352,147.856,305.705,4.36776,4.18734,6.02626,-1.81896,2.39383,-126.129,-83.3997,-0.373116,15437.8,14384.4,5.16196,4.98154,7.61466,-1.02476,3.18803,0.617765,93.5085,12.7312,15614.7,0.00675912,0.807583,0.00149968,13834.4,9843.33,925.771,247674,0.0010126,0.0198824,9.35563,8.91269,121.102,58.9157,1.22973,12.6698,12.0189,95.8172,124.124,25.285,-65.2086 
85,-4,47.5336,0,85,16099,0.127966,25.6171,13.0844,96.2867,-0.157972,-72.7274,85.5544,3.27332,3.73808,6.49706,-2.73242,3.15625,-116.859,-128.409,2.6812,15125.2,11285.3,4.00915,4.47391,7.96872,-1.99659,3.89208,0.565673,35.4966,14.8224,15289.1,0.00263134,0.577784,0.00178268,13489.9,9224.53,854.735,231757,0.00611947,-0.00756851,-268.813,-102.848,135,45.4531,1.17547,12.7959,12.1522,96.0155,121.961,38.9842,-76.5075 
86,-4,47.5336,2.5,86,13254.1,0.156777,22.3743,12.0784,96.2313,-0.455817,-54.9308,241.504,4.94125,5.28101,4.07966,2.20551,0.191033,-131.504,2845.73,45.9961,9433.96,9612.48,5.7693,6.10906,5.73576,3.03356,1.01908,0.735274,3030.17,59.6589,9618.41,0.263622,0.966693,0.0112967,11494.4,4532.19,13591.9,97378.8,0.00130801,0.343564,10.825,9.21735,96.3612,71.8346,0.797687,12.0488,11.705,95.7664,122.047,0.594797,-50.2126 
87,-4,47.5336,2,87,14239,0.150987,24.1005,12.123,96.1374,-0.289797,-192.67,377.933,1.8916,1.53053,-0.306985,-1.55457,-1.76048,-134.236,2988.06,23.972,10317.2,11328.7,2.73685,2.37578,1.38352,-0.709321,-0.915233,0.716003,3176.34,37.9187,10505.5,0.25572,0.979536,0.00660499,12421.2,5337.83,15031.6,116590,0.00124991,0.357881,10.888,9.39644,96.6121,72.3424,0.875499,12.0329,11.669,95.5879,123.031,1.02417,-50.6881 
88,-4,47.5336,3.5,88,13510.2,0.0679956,22.9907,12.235,96.2608,-0.41735,-140.188,497.219,1.0219,1.57656,-2.05006,2.30362,0.315312,-110.383,2350.53,25.299,10286.4,11061.6,1.71695,2.27162,-0.659959,2.99867,1.01036,1.08994,2505.35,36.7674,10441.2,0.214249,0.974961,0.00644492,11693.6,5226.33,9785.89,118999,0.00120315,0.294868,10.5658,8.98038,96.6596,72.9239,0.892558,12.0459,11.4582,95.842,123.443,0.817633,-50.519 
89,-4,47.5336,3,89,12672.1,0.0129656,22.3625,11.8118,96.2691,0.0091991,-93.2363,7.14324,-0.0616119,-3.28398,0.279333,-4.51751,-0.651524,-108.877,2535.14,43.7675,9309.76,8626.63,0.623956,-2.59841,1.65047,-3.83194,0.034043,1.40042,2687.85,55.0793,9462.47,0.244021,0.965381,0.0106088,11014.8,4584.72,12050.6,100435,0.000977736,0.330092,10.6142,8.97829,96.5422,72.0298,0.826108,11.7406,11.5623,95.8719,122.571,0.670275,-50.5409 
90,-4,47.5336,5,90,13099.7,0.12526,21.2405,12.7276,96.0983,-0.261703,-170.212,437.002,3.63457,3.56151,0.152959,1.09384,2.64224,-89.4595,2279.19,29.8061,9946.31,10250.6,4.19787,4.12481,1.27956,1.65714,3.20555,0.91154,2404.67,39.1006,10071.8,0.21341,0.972332,0.00710062,11267.8,4470.83,8379.06,101330,0.00109202,0.251197,11.4553,9.55275,96.6008,72.1699,0.779786,12.5954,12.2162,95.6311,122.796,0.969758,-50.6259 
91,-4,47.5336,4.5,91,14757.7,0.118564,24.1884,12.6967,96.5475,-0.174067,267.232,368.699,0.96886,3.42214,2.53348,0.505184,0.962701,-123.648,2901.66,46.1567,10909.9,11511.8,1.74744,4.20072,4.09064,1.28376,1.74128,0.686873,3075.09,59.0032,11083.3,0.23971,0.967513,0.00971143,12828.4,5516.53,13162.8,123536,0.00128915,0.328402,11.3224,9.35046,96.7909,72.1435,0.873379,12.4988,11.9698,96.1559,122.842,0.635024,-50.6984 
92,-4,47.5336,1.5,92,12539.7,0.119267,20.9363,12.364,96.1905,0.195466,126.182,329.976,3.42912,1.74409,1.8463,0.513467,2.41317,-143.023,3301.43,70.3394,8414.6,9229.5,4.32969,2.64467,3.64745,1.41404,3.31375,0.762375,3502.04,85.1989,8615.2,0.315971,0.959164,0.0178913,11083.4,3812.44,17123.4,75344.9,0.00117234,0.378907,11.1414,9.45137,96.5332,71.918,0.694456,12.2648,11.7112,95.719,122.303,0.814227,-50.3849 
93,-4,47.5336,4,93,13527.9,0.104763,22.3396,12.6218,96.0984,-0.175787,377.173,446.733,3.49712,-1.61052,-1.96988,1.80498,-1.926,-132.047,3020.63,69.5236,9711.8,11337.3,4.32859,-0.779057,-0.306956,2.63645,-1.09454,1.06416,3205.84,83.2428,9897.01,0.269055,0.956535,0.0152574,11915.2,4623.04,14460,99122.2,0.00115284,0.347509,11.1741,9.30249,96.7072,73.0141,0.788783,12.43,11.8179,95.5722,123.867,1.13501,-50.8531 
