cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
269,-0.5,48.3754,1.16,269,16815.6,0.166489,27.9731,12.3826,96.136,0.152876,-191.452,127.117,2.83282,2.33223,-0.000345285,1.14304,0.361088,-196.536,414.236,12.3059,15240.2,12228.6,4.07036,3.56976,2.47473,2.38057,1.59862,0.824413,689.897,32.7252,15515.9,0.0480969,0.923352,0.00387022,14343.9,10046.2,1396.76,250735,0.00132703,0.0619837,9.40248,8.16522,95.1441,72.9883,1.25411,12.2254,12.0949,95.7162,124.439,-0.572075,-51.4509 
270,-0.5,48.3754,1.1,270,16287.4,0.0818329,27.0243,12.4831,96.0651,-0.354768,332.595,499.999,1.99205,2.32093,5.24863,3.51843,0.724657,-94.3982,-40.7696,-14.8381,15187.9,14822.9,2.58645,2.91533,6.43743,4.11283,1.31906,0.629417,91.633,-5.03048,15320.3,0.00675086,1.10628,-0.000605227,13573.5,9843.1,1104.69,245116,0.000986308,0.0269069,10.8364,6.53981,120.071,58.2252,1.22454,12.4049,12.2378,95.6152,124.195,24.4558,-65.97 
271,-0.5,48.3754,1.6,271,11694.4,0.195737,19.332,11.9917,96.4282,0.366224,2465.13,21.0659,-2.26096,2.75801,-3.10512,-1.54885,0.462501,-109.853,4172.37,64.6727,6431.17,36935.5,-1.56925,3.44973,-1.72169,-0.857138,1.15422,4.77673,4326.45,76.086,6585.25,0.427453,0.970143,0.0208401,10121.5,3159.48,26660.5,45933.7,0.00135882,0.465056,11.2912,9.69713,96.551,74.6786,0.542356,12.0513,11.649,95.5698,125.368,0.981156,-50.6889 
272,-0.5,48.3754,1.18,272,14100.7,0.172154,22.6404,12.6661,96.07,-0.153318,71.3105,181.164,0.434787,1.44176,-0.600292,2.61354,2.34259,-164.616,2071.19,25.8142,10876.5,9691.07,1.47133,2.4783,1.47279,3.65008,3.37913,0.881719,2302.08,42.9171,11107.4,0.190624,0.968406,0.00706729,12076.6,5304.34,7360.12,121170,0.0012813,0.226499,11.5044,9.77396,96.997,73.6426,0.845235,12.6233,12.3721,95.4236,124.388,1.57335,-50.7453 
273,-0.5,48.3754,1.22,273,12852.6,0.18785,21.3227,12.0939,96.1977,-0.442051,15.0429,379.781,-1.14719,6.15385,4.09548,3.46776,0.916309,-176.024,1180.46,34.1595,10501.3,8611.16,-0.0388194,7.26223,6.31223,4.57614,2.02468,0.686528,1427.35,52.4477,10748.2,0.131121,0.939582,0.00890883,10885.7,5288.71,3672.27,124655,0.00136561,0.159363,10.3901,8.88465,96.4551,73.4084,0.907789,12.0257,11.5839,95.5326,124.466,0.922488,-51.0576 
274,-0.5,48.3754,1.3,274,12093.1,0.198002,19.1382,12.5522,96.5567,-0.265687,49.2985,7.75923,3.13005,-0.810523,-1.64648,4.44835,2.96016,-181.959,4169.9,57.6446,6862.24,8246.54,4.27579,0.335222,0.645005,5.59409,4.1059,0.956873,4425.12,76.5493,7117.45,0.414008,0.970617,0.0194272,10688.5,3103.63,24256.7,47879.3,0.0013048,0.427558,11.6233,10.1544,96.6601,74.3268,0.527717,12.7836,12.1739,95.8171,125.015,0.843015,-50.6877 
275,-0.5,48.3754,1.2,275,12376.7,0.209558,19.7481,12.4102,96.1852,0.101468,705.747,358.156,-0.765417,3.28369,2.50464,1.11129,3.26243,-174.824,4449.87,46.3456,6760.01,10309.2,0.335401,4.38451,4.70628,2.21211,4.36325,0.705886,4695.08,64.5091,7005.22,0.432341,0.97652,0.0166805,10859.7,3368.98,29714.5,48920.2,0.00145261,0.493941,11.3058,9.60132,96.4461,73.2423,0.548359,12.5244,11.7475,95.3626,123.771,1.08345,-50.5291 
276,-0.5,48.3754,0,276,16011.6,0.181355,26.9647,12.1355,96.1557,-2.01262,2398.99,273.551,-1.81051,0.387081,5.55362,1.47111,1.64296,-165.254,11.3316,-4.85666,14757.7,167828,-0.769944,1.42764,7.63474,2.51167,2.68352,0.433945,243.117,12.3126,14989.5,0.0180973,0.918587,0.00151085,13433.8,9726.54,1155.03,242486,0.0012118,0.0248822,12.294,8.0464,118.958,58.2875,1.25487,11.9633,11.941,95.6685,124.85,23.2893,-66.5623 
277,-0.5,48.3754,1.4,277,12100.6,0.235918,19.2425,12.3141,96.3776,-0.856263,870.517,25.051,-2.64823,6.93751,-1.79133,1.5122,-0.163472,-173.918,4250.42,52.2244,6652.43,31978.6,-1.55312,8.03262,0.398897,2.60731,0.93164,0.961708,4494.35,70.2937,6896.37,0.425474,0.973358,0.0184303,10563.2,3204.34,26688.8,47776,0.00155077,0.467148,11.4001,9.51809,96.5022,73.8496,0.544872,12.3942,11.7056,95.4903,124.484,1.01189,-50.6342 
278,-0.5,48.3754,1.24,278,13081.1,0.0127166,21.3551,12.4883,96.2006,-0.0225096,27.0786,0.284006,-1.03842,1.71575,2.90693,-0.628017,3.95156,-158.697,2439.79,48.1139,9516.71,8701.47,-0.0391447,2.71503,4.90548,0.371257,4.95083,0.619832,2662.37,64.6019,9739.3,0.237014,0.959266,0.0120714,11233,4523.69,9809.38,98905,0.00147087,0.278559,11.1114,9.27057,96.7492,73.7383,0.797085,12.1994,11.7254,95.4163,124.478,1.33288,-50.7394 
