cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
84,-4,48.3719,0,84,16196.9,0.130545,26.5659,12.6861,96.1061,-0.239889,445.319,229.414,-0.415857,4.68412,4.69622,4.71763,1.16069,-138.474,-101.565,0.838455,15262,14448.6,0.456074,5.55605,6.44008,5.58956,2.03263,0.679189,92.6576,15.2253,15456.2,0.00676624,0.776665,0.0018113,13694.1,9688.65,870.201,244130,0.000902536,0.0172189,11.7059,9.81514,119.171,56.0772,1.22334,12.4326,12.2108,95.8358,123.598,23.3355,-67.5204 
85,-4,48.3719,0,85,16331,0.114841,27.1566,12.583,95.9847,-0.300826,-46.8968,181.23,-1.45907,0.274552,1.11344,-0.113999,1.38452,-117.835,-119.067,5.12684,15425.9,11583.1,-0.717089,1.01653,2.59739,0.627979,2.1265,0.540391,46.2086,17.3695,15591.2,0.00335661,0.603205,0.00204801,13766.5,9952.78,862.372,251302,0.000865977,0.0180556,9.88822,9.73016,118.281,56.4989,1.24354,12.3376,12.256,95.6817,123.615,22.5992,-67.1159 
86,-4,48.3719,2.5,86,12573.4,0.0317767,20.8496,12.5537,96.1334,-0.0744495,12.2377,500,-1.65221,-1.02994,-1.65685,2.50515,1.72094,-81.0456,1852.34,14.2108,9934.19,8550.14,-1.14189,-0.519613,-0.636207,3.01547,2.23126,1.21573,1966.01,22.6312,10047.9,0.181901,0.980253,0.00413189,10808.1,4429.34,6219.65,102625,0.000994905,0.220609,10.9279,9.46312,96.5433,72.9769,0.794354,12.4797,12.0415,95.7429,124.331,0.800427,-51.3543 
87,-4,48.3719,2,87,12929.9,0.121884,21.8297,12.2326,95.9706,-0.0523784,4.38218,116.803,-0.767783,4.48617,-0.0366613,-2.8224,0.513453,-123.242,1585.75,-5.09249,10489.5,8700.32,0.00824114,5.26219,1.51539,-2.04638,1.28948,0.748647,1758.61,7.71191,10662.4,0.157843,0.992384,0.00133059,11141.5,5079.95,5084.5,120803,0.00103706,0.199628,10.9995,8.96172,96.2864,73.3059,0.884629,12.0981,11.8078,95.5551,124.143,0.731339,-50.8376 
88,-4,48.3719,3.5,88,13270.2,0.15445,21.5705,12.5494,96.0147,-0.0404817,-379.247,425.279,-1.59583,2.74604,0.78614,3.54515,2.05288,-121.099,1390.87,17.6941,10884.5,9311.89,-0.833307,3.50857,2.31119,4.30768,2.81541,0.809143,1560.72,30.2758,11054.4,0.138257,0.967167,0.00501984,11288.6,5178.58,3780.99,124520,0.00123498,0.161932,10.9069,9.47314,96.4823,73.3427,0.879293,12.4098,12.0162,95.6351,124.689,0.847197,-51.3466 
89,-4,48.3719,3,89,13909,0.109,22.5051,12.8755,95.9618,-0.0617772,-62.8966,17.4548,0.355142,0.0297848,-2.98,-2.02454,-1.68922,-118.342,1415.24,15.2608,11558.2,9559.24,1.10031,0.774954,-1.48966,-1.27937,-0.944051,0.189439,1581.22,27.5561,11724.2,0.132892,0.970405,0.00431094,11898.5,5532.48,4147.15,133460,0.00101074,0.177778,10.551,9.21891,96.8891,72.957,0.876898,12.9087,12.4624,95.5466,124.222,1.34253,-51.2646 
90,-4,48.3719,5,90,13975.8,0.133252,22.0337,13.092,96.3178,-0.123901,26.0255,490.787,4.60741,1.40893,6.37891,0.619503,0.459725,-95.4285,1002.49,26.6353,11959.7,9495.47,5.2083,2.00982,7.58068,1.22039,1.06061,0.556161,1136.34,36.55,12093.5,0.0964746,0.946711,0.00553653,11778.6,5747.86,2352.43,140926,0.00126653,0.118541,10.6943,9.49482,97.103,72.9909,0.905809,12.7912,12.4357,95.8454,124.83,1.25758,-51.8388 
91,-4,48.3719,4.5,91,15365.9,0.107525,25.3135,12.7038,95.6666,-0.233678,6.82232,16.6006,1.40066,-0.13972,5.63584,1.72081,0.459879,-134.726,1023.75,13.045,13394.2,10520.3,2.24899,0.708612,7.3325,2.56914,1.30821,0.48244,1212.72,27.0425,13583.1,0.0921104,0.962442,0.00365402,13165.9,7416.84,2609.71,183561,0.00112548,0.132243,10.1739,9.18379,96.1545,72.4176,1.04775,12.6086,12.2997,95.3525,123.556,0.801976,-51.1383 
92,-4,48.3719,1.5,92,12833.5,0.135806,21.6054,12.1896,96.0177,-0.056723,-319.372,219.315,1.81778,-1.34955,-2.81453,2.39783,0.511763,-128.386,2125.78,20.5815,9793.38,9163.02,2.6262,-0.541137,-1.1977,3.20624,1.32018,1.22123,2305.86,33.9203,9973.45,0.208063,0.974903,0.0062261,11082.5,4627.29,8462.83,105439,0.0011173,0.26656,10.8525,9.14521,96.8796,74.2594,0.830065,12.0205,11.7713,95.4693,125.626,1.41033,-51.3671 
93,-4,48.3719,4,93,14233.7,0.11184,23.365,12.5487,95.8717,0.297107,118.651,500,2.71401,-0.8417,3.9994,0.927885,4.06722,-136.327,1144.38,31.1078,12162.5,10692.2,3.57242,0.0167152,5.71623,1.7863,4.92564,0.643122,1335.59,45.2716,12353.7,0.109414,0.944003,0.00670536,12206.8,6337,3129.52,155011,0.00117661,0.150529,9.93529,9.17078,96.3952,72.6936,0.980011,12.498,11.9726,95.4477,124.12,0.947512,-51.4269 
94,-4,48.3719,0,94,16117.3,0.104367,26.1749,12.923,95.9925,0.254605,-163.231,166.109,0.964832,4.83718,1.48095,4.80187,5.61024,-101.905,-109.95,4.91833,15258.4,12364.3,1.6065,5.47885,2.76429,5.44353,6.25191,0.871697,32.9819,15.5059,15401.3,0.00242761,0.548627,0.00185117,13586.1,9445.84,892.65,238017,0.00135482,-0.0229678,-9.15219,25.8235,113.987,92.9999,1.18845,12.7509,12.3228,95.7251,124.541,18.2618,-31.5414 
