cyc,VVA,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
332,0,49.0227,332,11346.4,-0.0333464,22.5754,12.2552,88.6965,0.0113897,-22.5104,500,-1.45417,-1.21446,-2.70525,-1.39023,1.30628,-4.80711,501.699,29.555,12688.3,9014.78,-1.4239,-1.18419,-2.64471,-1.35997,1.33655,0.498748,508.066,29.6799,12694.6,0.0435013,0.907251,0.00428835,11679.3,6479.8,505.739,164786,-0.111746,0.114455,768.265,328.983,99.3003,69.4874,0.985,12.7037,12.5598,88.6438,120.53,10.6566,-51.0428 
333,10,49.0227,333,9539.42,-0.0681311,18.8841,12.6041,88.7667,-0.0865423,83.8294,500,-3.55846,0.668623,1.44226,0.163163,-1.57214,-6.34801,449.925,20.9161,10829.9,7984.4,-3.51849,0.708595,1.5222,0.203135,-1.53217,1.58172,458.334,21.0809,10838.4,0.0458514,0.925505,0.00357016,9996.09,4705.62,431.18,119004,-0.00244528,0.0266465,-27.5501,-15.4691,70.5546,88.4573,0.835371,12.9326,12.4782,88.7564,122.213,-18.2018,-33.7554 
334,0,49.0227,334,10998.4,-0.0411084,21.5488,12.4534,88.643,0.0378473,-45.6745,500,-2.91109,-1.12945,-1.25345,0.0354132,-1.96913,11.1056,482.209,32.0756,12336.1,8792.15,-2.98102,-1.19938,-1.39331,-0.0345158,-2.03906,0.817803,467.498,31.7872,12321.4,0.0413338,0.893663,0.00472987,11310.3,6228.95,449.052,158397,-0.00152358,0.0226137,0.0116725,2.98775,89.3486,60.6945,0.977844,12.7836,12.2408,88.6133,121.081,0.735333,-60.3861 
335,10,49.0227,335,10346.3,-0.0906287,19.9219,12.7825,89.0533,0.12608,30.2476,8.55969,-1.10831,-2.39972,-3.3891,-1.04565,-1.83817,-3.80032,533.135,28.9748,11404.7,8413.9,-1.08438,-2.37579,-3.34124,-1.02172,-1.81424,0.653304,538.169,29.0736,11409.7,0.0508727,0.913625,0.00467201,10578.7,5039.79,488.454,127509,-0.00228213,0.0295785,30.1978,-14.9058,72.4533,88.3512,0.856622,12.9906,12.6518,89.0376,121.905,-16.5843,-33.5543 
336,0,49.0227,336,11266.3,-0.334371,21.9393,12.9082,89.0788,1.46307,-379.467,500,-0.647268,-1.82888,-4.75843,-2.0887,-1.5974,-7.33757,473.824,28.4312,12588.3,27292.2,-0.601066,-1.78268,-4.66602,-2.0425,-1.5512,0.561607,483.544,28.6218,12598,0.0417936,0.906137,0.00416768,11569.8,6311.9,487.867,160516,-0.00159226,-0.00163486,10.5595,-0.0187017,99.0191,67.0679,0.965639,13.0727,12.4466,89.0483,121.399,9.97084,-54.3311 
337,10,49.0227,337,10303.7,-0.258733,20.3702,12.7248,88.9061,0.0703784,88.2888,1.61768e-09,-1.40248,-2.7361,-2.21406,-1.52123,-2.10787,-12.8029,461.718,30.2751,11689.1,8640.33,-1.32186,-2.65548,-2.05282,-1.44061,-2.02726,0.783869,478.678,30.6076,11706.1,0.044404,0.899363,0.00479341,10780.1,5391.28,449.438,136722,-0.00160844,0.00256546,50.1798,-0.237705,95.5821,66.3932,0.889713,12.9963,12.5788,88.8455,122.58,6.73658,-56.187 
338,0,49.0227,338,10892.6,-0.347261,21.5852,12.7859,88.5631,-0.230528,-481.997,212.511,-1.24181,-0.79703,-2.26193,-0.633356,-0.895233,-17.9071,536.783,29.9874,12168.9,12601.3,-1.12905,-0.684274,-2.03642,-0.520599,-0.782477,0.604795,560.505,30.4526,12192.6,0.049646,0.913176,0.0045798,11290,6019.02,526.373,152870,-0.0220646,0.0251018,307.462,-140.748,102.202,69.2495,0.953012,12.787,12.3729,88.5437,121.759,13.658,-52.5096 
339,10,49.0227,339,10987.1,-0.337465,21.6608,12.7846,88.4985,-6.03897,-2176.42,6.27744,-1.65271,-1.98836,-2.82453,-1.47412,1.88814,-18.2521,442.636,25.5067,12377.6,436874,-1.53779,-1.87343,-2.59467,-1.35919,2.00307,0.5161,466.814,25.9808,12401.8,0.0410191,0.911247,0.00384423,11380.4,5958.51,518.173,151193,-0.00165735,-0.00349353,0.342873,2.74459,103.874,62.2338,0.92511,13.0942,12.746,88.4928,121.62,15.381,-59.386 
340,0,49.0227,340,10914.1,-0.0376746,21.0091,12.6552,88.8238,0.0461912,73.4032,499.985,-0.791912,-1.11464,-6.03885,-2.48306,-2.22683,-13.4702,582.676,32.5163,12116.3,8765.44,-0.707094,-1.02982,-5.86921,-2.39824,-2.14201,0.516793,600.52,32.8662,12134.2,0.0532442,0.912595,0.00496468,11278.6,5819.67,509.058,147779,-0.00128636,0.0263065,19.7367,-0.161706,91.4724,68.8231,0.93581,12.8371,12.4077,88.7801,120.465,2.69223,-51.6417 
341,10,49.0227,341,10129.3,-0.318183,19.6361,13.0426,88.5916,0.31888,-33.515,16.7086,-2.07062,-1.01412,-3.20942,-1.37106,-1.26292,2.66592,513.243,22.5077,11331.8,8684.99,-2.08741,-1.0309,-3.24299,-1.38785,-1.27971,0.64082,509.712,22.4384,11328.3,0.0486431,0.928472,0.00363547,10478.6,4976.86,451.037,126033,-0.0634417,0.066283,526.494,256.421,99.2142,69.2419,0.848932,13.0555,12.5804,88.5412,122.093,10.673,-52.8512 
