cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,7,8,10,0,21388.3,-0.288026,38.9181,12.7768,118.441,0.341647,-292.859,219.801,-4.98393,-3.05851,-6.11747,-2.35105,0.0701707,-204.118,11099.8,25.2764,11127.5,19444.2,-3.69865,-1.77323,-3.54692,-1.06578,1.35545,0.593669,11262.4,40.0571,11290.1,0.499386,0.993814,0.00649331,22552.5,-0.00127254,1.05689,12.97,10.2283,117.957,87.6534,0.969792,12.6993,11.333,117.752,137.123,0.205053,-49.4695 
1,2,3,10,1,23738.6,-0.040285,43.6063,12.458,118.592,-0.045051,-108.197,500,-6.26248,-5.19954,-8.72127,-4.70806,-2.66665,-150.986,12258,37.548,12294.2,17843.2,-5.31176,-4.24882,-6.81983,-3.75734,-1.71594,0.687932,12378.3,48.4813,12414.5,0.49927,0.993193,0.00714243,24792.8,-0.00126783,1.19592,12.7108,10.1728,118.014,87.8448,1.09118,12.5177,11.2659,117.98,137.029,0.0340251,-49.1839 
2,1,2,10,2,22778.2,0.037421,42.1718,12.2161,118.643,0.0345867,127.209,3.2062e-12,-4.83423,-4.36111,-7.22149,-6.25901,-3.83137,-137.651,12377.2,31.26,11245.1,16913.9,-3.96748,-3.49435,-5.48798,-5.39225,-2.96461,0.742429,12486.9,41.2277,11354.7,0.523743,0.994255,0.00664403,23841.6,-0.00114219,1.22142,12.4844,10.1985,118.159,87.3124,1.01461,12.3456,11.1362,118.061,136.65,0.0976522,-49.3374 
3,9,10,10,3,20585.8,-0.0860158,37.1883,-12.6521,118.419,-0.0121118,60.5416,498.407,-7.93361,-2.28934,-4.05076,-4.54916,-4.9705,-155.787,10194.8,2.43544,11133,15340.5,-6.95267,-1.3084,-2.08886,-3.56821,-3.98955,0.883354,10318.9,13.7163,11257.1,0.478258,0.997679,0.00223951,21576,-0.00114852,0.965472,12.903,10.3452,117.963,87.4937,0.961845,12.6742,11.4309,117.779,136.918,0.183936,-49.4239 
4,30,31,10,4,16859.6,-0.268599,30.343,13.0731,118.478,0.263905,-232.186,50.6994,-6.62908,-3.81116,-6.71706,-4.32516,-6.89652,-154.497,8361.37,9.18153,9359.76,14907.8,-5.65625,-2.83833,-4.7714,-3.35233,-5.92369,0.788333,8484.43,20.369,9482.82,0.472216,0.995816,0.00394123,17967.3,-0.00123778,0.766811,13.2773,10.4297,118.005,87.6515,0.783955,12.9805,11.5579,117.755,137.205,0.249564,-49.5531 
5,25,26,10,5,16335.9,-0.0253131,29.6199,12.7564,118.697,-0.00118383,11.67,500,-6.90719,-4.22029,-7.90735,-4.94224,-6.3995,-178.923,7826.07,11.2407,9504.14,12300.5,-5.78056,-3.09366,-5.6541,-3.81561,-5.27287,0.76059,7968.59,24.1969,9646.66,0.452369,0.994714,0.00459934,17615.2,-0.00138089,0.721007,13.1486,10.5005,118.168,87.4805,0.790995,13.1003,11.5632,118.092,136.688,0.076001,-49.2074 
6,20,21,10,6,16116.7,-0.0444157,28.8932,12.9263,118.582,-0.0173062,-1.79381,500,-5.75424,-2.85172,-3.47505,-2.65438,-1.19449,-172.128,7970.22,19.4985,9054.78,12159,-4.6704,-1.76788,-1.30736,-1.57054,-0.110653,0.861315,8107.33,31.9627,9191.89,0.468653,0.993148,0.00636473,17299.2,-0.00130607,0.719247,13.303,10.5743,118.096,87.5905,0.731039,13.1201,11.9344,117.956,137.084,0.140915,-49.493 
7,6,7,10,7,22315.9,-0.284812,40.6134,12.7306,118.577,0.210103,72.8622,129.577,-5.07886,-5.95473,-7.30593,-4.79545,-4.26787,-113.298,11660,39.6103,11504.2,17329.5,-4.36545,-5.24132,-5.87911,-4.08204,-3.55446,0.745739,11750.2,47.8145,11594.4,0.503337,0.992929,0.00753945,23344.6,-0.00124164,1.10259,12.8885,10.3528,118.159,87.8423,0.998985,12.5785,11.4279,117.878,137.314,0.281529,-49.4716 
8,8,9,10,8,19923,-0.0105843,36.6017,12.4158,118.394,0.0684341,-18.5073,500,-5.06272,-6.03821,-10.1859,-7.76433,-4.29938,-164.993,10380.3,20.3718,10419.6,14834.8,-4.0238,-4.99929,-8.10801,-6.72541,-3.26046,0.700999,10511.7,32.3194,10551.1,0.499065,0.994648,0.00561096,21062.7,-0.00116879,1.01131,12.5778,10.229,117.849,87.2137,0.908598,12.6301,11.3519,117.769,136.461,0.0805604,-49.247 
9,10,11,10,9,19787.2,-0.301373,36.4506,12.7291,118.565,0.446379,-38.0059,218.452,-8.1563,-4.7203,-5.38327,-3.12013,-3.68576,-166.35,10070.5,9.46585,10720,15656.5,-7.10884,-3.67284,-3.28835,-2.07267,-2.6383,0.824911,10203,21.5117,10852.5,0.484576,0.996324,0.00363811,21055.4,-0.00135924,0.974138,12.8095,10.1711,117.976,87.5536,0.947005,12.817,11.0767,117.86,137.068,0.115257,-49.5143 
10,18,19,10,10,13903.7,-0.0572307,26.3349,12.4873,118.519,0.363566,-237.994,4.20985e-05,-6.18233,-5.1413,-9.0434,-5.50024,-6.70428,-186.719,7197.2,-6.33075,7849.82,13522,-5.00662,-3.96558,-6.69196,-4.32452,-5.52856,0.737747,7345.93,7.19001,7998.55,0.478734,0.99829,0.00165316,15344.5,-0.00147161,0.708999,12.7282,10.1385,117.818,87.2107,0.695534,12.8279,11.1328,117.932,136.398,-0.113895,-49.1877 
11,12,13,10,11,17795,-0.20022,32.8432,12.665,118.511,-0.0501894,-31.4618,0.00225452,-7.23837,-4.8651,-5.32336,-5.00507,-4.75125,-175.285,9041.62,9.54445,9656.8,13592.3,-6.13465,-3.76138,-3.11592,-3.90135,-3.64753,0.848454,9181.24,22.2372,9796.42,0.483792,0.995779,0.00416405,18977.7,-0.00127224,0.859845,12.8605,10.318,117.965,86.8321,0.841583,12.7213,11.3623,118.024,136.257,-0.0593417,-49.4254 
12,40,41,10,12,17699,-0.0561069,32.8426,12.4608,118.624,-0.0107653,-11.2624,0.00502661,-5.99087,-5.13692,-9.00008,-5.88605,-3.2743,-162.623,9087.61,20.9882,9617.92,13326.2,-4.96687,-4.11292,-6.95209,-4.86205,-2.25031,0.699619,9217.14,32.7642,9747.46,0.486018,0.993818,0.00615378,18964.6,-0.00130916,0.869794,12.8473,10.2667,118.132,87.0918,0.843939,12.5856,11.3311,117.966,136.494,0.165375,-49.4018 
13,60,61,10,13,17850.8,-0.268515,32.5826,12.835,118.455,0.430322,120.07,297.607,-5.93605,-2.09346,-7.01657,-5.25907,-1.21958,-185.614,9175.86,-0.350513,9560.5,15295.7,-4.76729,-0.924701,-4.67905,-4.09031,-0.0508198,0.677578,9323.71,13.0902,9708.35,0.489895,0.997549,0.00247765,19032.1,-0.00129261,0.867798,12.986,10.3143,117.849,87.5484,0.812482,12.8987,11.4956,117.95,137.091,-0.101249,-49.5429 
