cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
144,25,47.2477,2.2,144,13837.1,-0.540905,26.3538,13.7234,113.544,-1.17537,903.962,499.966,-0.716912,-0.554933,2.73592,1.93381,1.38827,67.7033,3417.3,99.8311,11957.7,46360.9,-1.14322,-0.981243,1.8833,1.5075,0.961957,0.154822,3363.37,94.9286,11903.8,0.223791,0.952932,0.0144775,15029.1,-0.00184059,0.293202,12.9112,11.2043,113.219,88.2074,0.851824,13.851,12.9434,112.714,138.399,0.505953,-50.1917 
145,25,47.2477,6,145,11578.8,-0.524034,22.0865,14.0845,113.327,0.0881904,467.517,406.315,0.398718,1.24042,1.00414,-1.09056,-0.701117,100.469,5950.35,84.5306,7329.07,11468.8,-0.233906,0.607798,-0.261103,-1.72318,-1.33374,0.911314,5870.32,77.2555,7249.04,0.452455,0.977488,0.0192539,12974.4,-0.00208754,0.472953,14.0148,11.3813,112.721,89.0038,0.490631,14.2359,-13.6649,112.519,138.651,0.201919,-49.6469 
146,25,47.2477,2,146,15677.3,-0.0533203,28.4192,13.7127,113.453,0.0056734,-22.9794,500,-2.66601,0.0555243,1.64672,-1.36211,-0.938987,67.2449,2568.79,146.148,14444.1,12690.4,-3.08944,-0.367899,0.79987,-1.78553,-1.36241,1.13778,2515.23,141.278,14390.5,0.151356,0.910501,0.0177636,16617.9,-0.00171971,0.213722,13.0026,11.4438,113.086,88.9883,1.00546,13.9753,13.1088,112.672,139.198,0.413241,-50.2098 
147,25,47.2477,3,147,13089.6,-0.511721,24.4917,13.9784,113.642,0.0655131,-50.2392,449.748,2.05891,1.22775,-0.294959,0.947702,1.46296,69.7346,4852.48,104.432,9639.38,11251.9,1.61981,0.788646,-1.17316,0.508602,1.02386,1.42387,4796.93,99.3828,9583.83,0.338072,0.965012,0.0187443,14189.1,-0.00183396,0.402635,13.5018,11.218,113.204,89.0064,0.650749,14.1364,13.5763,112.794,138.985,0.40925,-49.9786 
148,25,47.2477,10,148,12210,-0.541359,22.6741,14.4046,113.426,0.504,132.494,30.5976,1.72929,-0.293581,1.17971,-1.517,-2.37066,94.2852,6625.07,107.476,6991.44,12806.1,1.1356,-0.887269,-0.00766608,-2.11069,-2.96435,0.998414,6549.96,100.648,6916.34,0.491445,0.973813,0.0261069,13328,-0.00203142,0.497066,14.0656,12.0297,112.82,89.2455,0.434385,14.6262,-14.753,112.705,138.951,0.114351,-49.7053 
149,25,47.2477,2.5,149,13459,-0.491713,25.5045,13.649,113.358,0.15315,227.42,385.988,-0.318935,0.428583,4.35221,-0.494696,0.934208,89.9192,4213.57,79.2,10659.2,12466,-0.885132,-0.137615,3.21982,-1.06089,0.368011,-1.14057,4141.94,72.6887,10587.5,0.285302,0.970204,0.012489,14517.7,-0.00174775,0.380727,12.7029,10.8889,113.075,89.2762,0.75475,13.9043,13.0113,112.465,138.989,0.609757,-49.7126 
150,25,47.2477,5,150,12779.4,-0.499504,23.4492,14.2535,113.565,0.0576989,246.399,82.8381,2.97681,0.0219273,2.1448,0.512836,0.0322464,61.2624,6562.67,97.9839,7630,11343.2,2.59106,-0.363826,1.3733,0.127083,-0.353507,0.592989,6513.88,93.5478,7581.2,0.467164,0.975484,0.0222254,13943.5,-0.00199887,0.512737,14.041,11.6629,113.061,89.2873,0.495372,14.5517,-13.9278,112.758,139.039,0.303242,-49.7516 
151,25,47.2477,8,151,13289.3,-0.62843,24.5911,14.6366,113.523,0.770086,-71.997,324.126,-0.128742,1.0943,4.65366,-2.71625,-0.687011,76.9468,7338.13,118.985,7599.24,13521.8,-0.613255,0.609782,3.68463,-3.20076,-1.17152,6.33133,7276.84,113.413,7537.94,0.496238,0.97345,0.0269681,14664,-0.00237236,0.537302,14.5042,12.0688,113.141,89.0482,0.469608,14.6751,-14.7637,112.722,139.15,0.419179,-50.1023 
152,25,47.2477,4,152,12076.7,-0.0463206,22.5189,13.7038,113.381,0.0779174,49.1396,500,1.37644,0.805732,-0.786131,-2.01077,1.20106,87.7722,5540.06,92.3331,8076.21,10170.4,0.823763,0.253054,-1.89149,-2.56345,0.648378,0.307083,5470.14,85.9773,8006.29,0.410785,0.973231,0.0193981,13316.3,-0.00194043,0.455597,13.5461,11.2849,112.969,89.1082,0.536288,14.4364,-13.6004,112.577,138.823,0.392496,-49.7151 
153,25,47.2477,1.5,153,16007.1,-0.46931,29.0079,13.821,113.173,0.30607,-86.1668,85.5063,-0.221491,-1.16247,2.14024,-0.0465666,1.10196,61.8231,421.818,120.171,16677.5,13909.8,-0.610775,-1.55176,1.36167,-0.43585,0.712676,3.59845,372.574,115.694,16628.2,0.0223523,0.647911,0.0126546,16668.3,-0.00155194,0.0284147,10.909,22.1344,115.096,88.3014,1.22546,13.8486,12.4244,112.379,138.413,2.71732,-50.1114 
