cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0,47.2227,1.275,0,8047.82,-0.951834,21.187,13.3454,112.252,0.72497,160.509,435.419,-6.52539,-0.987698,-3.66406,0.400762,-3.5905,100.098,2114.31,94.3045,10094.3,12992.5,-7.15568,-1.61799,-4.92464,-0.229528,-4.22079,0.728649,2034.58,87.0562,10014.6,0.171711,0.930337,0.0157609,11848.9,-0.00428149,0.18578,-12.8294,11.8355,112.077,90.8681,0.74246,13.6529,-12.8109,111.363,141.207,0.714379,-50.3391 
1,0,47.2227,1.15,1,9835.9,-0.0261453,22.9483,12.805,112.387,0.000282472,4.49649,7.10532e-12,-1.6883,-2.2907,-3.51374,1.39948,0.669457,92.9392,360.374,240.992,13462.9,9565.93,-2.27351,-2.87591,-4.68416,0.814271,0.0842431,0.475756,286.344,234.262,13388.8,0.0213572,0.411236,0.0312245,13407.4,-7.48016,7.48133,5741.98,2802.44,112.081,97.6302,1.03612,13.3058,12.2508,111.441,139.812,0.640183,-42.1823 
2,0,47.2227,1.3,2,9083.2,-0.0394916,22.0176,12.4221,112.452,0.0135122,4.24927,500,-2.66049,1.99599,0.164659,-3.839,-1.15518,131.348,2469.43,108.171,10519.6,8905.34,-3.48755,1.16893,-1.48946,-4.66606,-1.98224,0.857555,2364.81,98.6594,10415,0.188108,0.931958,0.0171506,12571.5,-0.00391982,0.232372,12.1524,11.3261,111.977,90.4983,0.803558,13.3263,12.4904,111.633,140.455,0.343545,-49.957 
3,0,47.2227,1.125,3,11285.3,-0.915032,25.2645,13.8099,112.158,0.864022,-967.944,1.82355,-4.1546,2.15641,-11.663,-3.17715,-2.04154,120.375,283.502,114.768,14804,38583,-4.91256,1.39845,-13.179,-3.93512,-2.7995,0.437463,187.619,106.052,14708.1,0.0128493,0.502719,0.0131082,14601.6,-0.658068,0.663641,1139.31,-605.046,103.412,97.9999,1.08923,13.624,12.4876,111.449,140.434,-8.03793,-42.4338 
4,0,47.2227,1.175,4,11170,-0.946253,25.1971,13.8879,112.184,-2.24969,5458.78,18.0392,-4.00138,2.55899,-4.13098,-5.97539,-1.62202,80.1984,464.695,102.901,14663.3,411165,-4.50637,2.054,-5.14095,-6.48037,-2.12701,0.682671,400.814,97.0934,14599.4,0.027251,0.702286,0.0121026,14708.2,-0.351507,0.357311,862.664,431.733,103,98,1.07142,13.6551,12.5596,111.469,140.683,-8.46926,-42.6834 
5,0,47.2227,1.25,5,8867.79,-0.868856,21.4172,13.593,112.405,2.9421,2311.55,431.723,-3.15427,3.55616,-0.209853,-1.10243,-3.61132,116.336,2434.29,83.9724,10323,230866,-3.88681,2.82362,-1.67493,-1.83497,-4.34386,0.812163,2341.62,75.5482,10230.3,0.189339,0.946557,0.0134209,12367.3,-0.00402726,0.207858,12.7025,12.185,112.542,90.6936,0.75548,13.7151,12.7797,111.585,140.413,0.957179,-49.7196 
6,0,47.2227,1.2,6,9699.77,-0.234462,22.2942,13.1594,112.342,0.0615352,-235.935,500,-1.86413,0.673862,-3.28079,-0.350239,1.00159,114.439,605.447,82.0719,12826.5,10023.1,-2.58472,-0.0467314,-4.72198,-1.07083,0.281,0.420137,514.292,73.7851,12735.3,0.0395764,0.799315,0.01056,12994.9,-0.00460958,0.0299408,11.8666,73.2205,117.666,98,0.943856,13.7743,12.1454,111.165,140.125,6.50172,-42.1253 
7,0,47.2227,1.225,7,8253.56,-0.914433,21.1228,13.3969,112.363,-1.63583,1142.37,498.038,1.49203,-1.94526,-7.38135,2.01148,0.0870602,64.0301,1038.21,77.3216,11122.3,70044.8,1.08885,-2.34844,-8.18772,1.6083,-0.31612,-0.00399644,987.213,72.685,11071.3,0.0833998,0.88586,0.0119492,11837.1,-0.00407773,0.0799234,12.4381,15.9809,112.337,88.8278,0.836132,13.4433,12.6219,111.444,139.832,0.893308,-51.0042 
8,0,47.2227,1.1,8,10064.6,-0.227989,23.3101,13.2226,112.142,0.045982,-576.239,500,-2.74529,0.308344,-7.80838,0.78751,-3.61031,35.0084,342.99,313.611,13160.6,10896.1,-2.96573,0.0879056,-8.24926,0.567072,-3.83075,0.426767,315.105,311.076,13132.7,0.0238984,0.366619,0.0418098,13185.2,-10.7474,10.7515,4745.18,-2679.13,103.621,97.8849,1.00582,13.5639,12.6162,111.333,139.281,-7.71245,-41.3957 
9,0,47.2227,1.325,9,8676.96,-0.29668,21.7002,12.9204,112.264,-0.552325,428.136,3.00713e-10,-4.31634,-1.51455,-4.94025,-2.81789,-4.36909,132.284,3676.47,77.2091,9244.47,16825,-5.1493,-2.34751,-6.60617,-3.65085,-5.20205,0.712223,3571.1,67.6301,9139.11,0.285062,0.967921,0.0134484,12527.4,-0.00426578,0.337734,12.7299,11.0093,111.911,90.5523,0.695404,13.4318,12.6576,111.475,140.242,0.435714,-49.6899 
