cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,1.575,0,11943.5,-0.0347905,20.2965,12.9764,98.3457,-0.00200002,-1.54912,212.492,-0.109328,1.09425,-1.24888,-2.28214,-0.818937,-80.3963,2930.42,54.6324,8887.96,8573.89,0.396906,1.60048,-0.236416,-1.7759,-0.312702,0.278414,3043.19,62.9853,9000.72,0.289447,0.965046,0.0127266,10513.8,0.000234097,0.303702,11.7252,10.0709,98.2261,71.2481,0.655584,13.0445,12.5945,97.9425,121.898,0.283507,-50.65 
1,1.4,1,11338.2,-0.0240427,19.2517,12.9344,98.2581,0.00514483,0.120824,444.218,0.602723,0.268141,-0.067709,-0.763546,-2.49552,-104.483,3180.67,54.0946,8044.24,8106.11,1.26062,0.926041,1.24809,-0.105646,-1.83762,0.163192,3327.21,64.95,8190.79,0.328595,0.966967,0.0143969,10125.6,0.000220848,0.345097,11.472,9.88938,98.3938,71.7196,0.603376,13.1041,12.2878,97.7093,121.97,0.68444,-50.2499 
2,1.375,2,11407,-0.0586261,19.4357,13.0906,97.7672,0.0601685,-42.1823,15.3898,1.39254,1.93344,-5.23773,2.4538,0.507937,-55.1781,2463.9,23.0185,8921.13,8365.02,1.73998,2.28088,-4.54285,2.80124,0.855379,2.44925,2541.3,28.7513,8998.53,0.253874,0.980586,0.00585128,10010.1,5.32208e-05,0.265485,11.6548,9.98133,97.9672,70.5562,0.669294,13.1926,12.2623,97.2748,120.666,0.692419,-50.1103 
3,1.6,3,11062.5,-0.020155,18.9059,12.8308,98.0212,0.0228361,-16.2343,358.808,-0.00215043,1.54183,-0.0129702,-2.3034,-0.834271,-110.053,3101.43,41.5933,7902.06,7908.81,0.690821,2.2348,1.37297,-1.61043,-0.1413,0.460917,3255.79,53.0274,8056.42,0.327458,0.972287,0.0119795,9942.62,0.000245523,0.322563,11.8187,9.82359,97.9408,71.1592,0.608042,12.7852,12.2439,97.4832,121.519,0.457574,-50.3595 
4,1.125,4,12989.5,-0.0315513,20.8676,13.6924,98.2541,-0.0390102,635.247,38.3199,0.680333,-0.422708,-0.509039,-0.914575,0.34896,-47.1051,-44.4753,12.7708,12728.4,10108.1,0.976941,-0.1261,0.0841772,-0.617966,0.645568,0.912554,21.5942,17.6649,12794.5,0.00202933,0.411257,0.00253687,10641,0.000235699,0.0112305,18.1139,-9.05002,120.619,58.1685,0.936906,13.3403,12.3634,97.9602,121.896,22.6593,-63.7277 
5,1.2,5,12206.8,0.00671255,19.8271,13.5682,98.2071,-0.0116356,3.20442,0.234446,-1.40452,1.46766,0.440007,-2.88858,1.34305,-55.3915,-30.1366,23.5946,12062.6,8758.65,-1.05574,1.81645,1.13758,-2.53979,1.69184,-0.0830598,47.5553,29.3496,12140.3,0.0046973,0.48076,0.00443361,10124,0.000107032,0.00889472,-17.0836,10.5512,118.036,54.6809,0.908604,13.3389,12.1051,97.8396,120.901,20.1969,-66.2205 
6,1.65,6,10444.7,-0.0164197,17.9868,12.7856,98.4262,0.00720359,-15.8477,500,0.234557,3.31833,-2.76478,1.55958,2.84536,-106.46,2839.79,31.8659,7589.43,7490.08,0.904906,3.98868,-1.42408,2.22993,3.51571,1.15454,2989.11,42.9266,7738.75,0.317576,0.975484,0.0101148,9412.27,0.00012982,0.313555,11.4509,9.69922,98.6008,71.6904,0.588529,12.9439,12.0272,97.883,122.01,0.717731,-50.3195 
7,1.5,7,11867.8,-0.0585399,20.2329,13.0959,98.0668,0.255839,-260.765,500,0.378508,2.14873,2.52098,-1.70553,-2.18628,-60.0954,2628.07,30.5061,9203.42,10797.3,0.756912,2.52713,3.27779,-1.32712,-1.80788,0.0434926,2712.36,36.7498,9287.71,0.260275,0.976838,0.00723614,10421.2,8.77466e-05,0.274352,11.9727,10.0643,98.1589,71.7908,0.696219,13.0184,12.2834,97.6184,122.352,0.54052,-50.561 
8,1.175,8,13403.2,-0.0223876,21.8929,13.416,98.3508,0.0147311,-4.48978,2.25415,-0.138284,-1.72019,0.961279,-0.0551569,-0.626208,-68.9991,49.6337,21.6845,13178,9563.57,0.296185,-1.28572,1.83022,0.379312,-0.191739,-0.779933,146.412,28.8533,13274.8,0.0131141,0.743566,0.00398793,11164.5,0.000261409,0.0255846,7.19661,7.10612,98.2511,68.5113,0.974172,13.2853,12.3489,97.9479,121.18,0.303142,-52.6687 
9,1.15,9,12677.6,-0.00734117,20.7146,13.4891,98.286,0.00679506,5.34989,4.80333e-11,-1.34926,-0.131163,-0.888316,-3.98469,1.19304,-56.0065,-166.675,2.17317,12674.3,9097.27,-0.996598,0.221495,-0.182999,-3.63203,1.54569,0.939891,-88.1203,7.99203,12752.8,-0.00839502,1.18866,0.00115309,10496.7,-0.000128262,0.0109992,16.7562,-10.436,124.469,56.4875,0.926148,13.374,12.5118,97.9224,122.349,26.5469,-65.861 
