cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
42,-2,47.5356,0,42,15865.9,0.130007,25.6558,12.8582,96.4293,0.0164243,-120.253,432.882,4.01676,3.73437,3.48958,3.19534,0.956327,-124.145,-53.0968,-7.94114,14892.7,10803.2,4.79847,4.51608,5.053,3.97705,1.73804,0.74839,121.029,4.95707,15066.9,0.0090456,0.933118,0.000605694,13379.9,9334.97,872.165,234845,0.00107079,0.0223719,-8.4499,7.29609,121.547,56.7358,1.2115,12.6174,11.7916,96.1092,123.488,25.4381,-66.7523 
43,-2,47.5356,1.3,43,14537.5,0.0685497,24.4717,12.4338,97.0215,0.0996255,-206.509,489.185,2.6229,-0.983313,1.38823,1.11488,1.21075,-178.046,4160.98,65.5885,9568.53,10574.9,3.744,0.137792,3.63044,2.23598,2.33186,0.699469,4410.7,84.0868,9818.25,0.337965,0.967715,0.0155314,13050.8,4999.19,26102.5,97249.6,0.00110264,0.464978,11.4476,9.49122,97.454,72.3645,0.784196,12.3626,11.8049,96.4907,122.858,0.963318,-50.4933 
44,-2,47.5356,1.16,44,14454,0.128226,24.1213,12.4132,96.3224,0.0243814,-80.0279,5.7108,0.743348,-0.467384,1.43262,3.97275,-3.3631,-153.537,447.756,-1.3098,13112.1,9810.69,1.71013,0.499398,3.36618,4.93953,-2.39632,0.585391,663.106,14.6421,13327.5,0.0535139,0.962796,0.00201972,12391.3,7592.29,1325.34,189239,0.00106614,0.069914,9.66599,8.81201,96.3395,71.7671,1.10864,12.2793,11.6374,96.0119,123.31,0.327588,-51.5427 
45,-2,47.5356,1.6,45,13123,0.11869,22.8162,11.9035,96.6595,-0.322511,148.269,148.909,-2.54872,-1.10093,0.497542,3.90351,0.25979,-188.269,4222.58,27.8849,8171.16,10397.9,-1.36324,0.0845495,2.8685,5.08899,1.44527,0.646913,4486.65,47.4453,8435.23,0.376724,0.98183,0.010255,11909.6,4236.79,28636.6,74797.4,0.000912641,0.502864,10.8626,9.41604,97.1809,71.8401,0.697611,12.0986,11.6669,96.105,122.06,1.07589,-50.2196 
46,-2,47.5356,0,46,14741.1,0.0269779,24.1815,12.874,96.2994,0.119068,-97.761,493.008,0.109986,0.943112,4.01607,-2.0035,-3.50376,-89.5186,-3.13774,-11.2249,13907.3,10513.2,0.67366,1.50679,5.14342,-1.43982,-2.94009,-0.747114,122.421,-1.92424,14032.8,0.00981621,1.02828,-0.000252661,12471.3,8305.99,958.483,207945,0.000878452,0.0250915,11.1246,7.02744,119.241,57.3109,1.14906,12.4751,11.7326,96.003,122.884,23.2378,-65.5734 
47,-2,47.5356,1.24,47,13396.3,0.118125,22.6927,12.2326,96.7007,-0.0201145,-69.3074,28.6981,-1.67833,-0.0905164,1.65432,1.70576,0.745058,-126.604,4048.82,58.2805,8572.58,9081.9,-0.881132,0.706678,3.24871,2.50296,1.54225,0.543686,4226.4,71.4342,8750.16,0.354369,0.971271,0.0148157,11926.5,4244.08,25467.6,78454.3,0.00105082,0.467233,11.2569,9.32838,97.0114,73.3027,0.703796,12.2811,11.8629,96.1651,124.178,0.846233,-50.8753 
48,-2,47.5356,1.18,48,15429.6,0.140868,25.5232,12.5054,96.4495,0.197546,-895.546,17.9073,2.83626,2.67887,2.42964,0.275075,0.633002,-125.347,161.175,22.2549,14286.9,16149.4,3.62554,3.46815,4.0082,1.06435,1.42228,0.705031,336.987,35.278,14462.7,0.0257948,0.845165,0.00447323,13064.2,8846.55,1023.65,222156,0.00107057,0.0438044,9.39394,7.49187,96.6872,70.0255,1.19137,12.366,11.7563,96.0886,122.747,0.59861,-52.7215 
49,-2,47.5356,2,49,13923.3,0.147715,22.8232,12.5173,96.6857,-1.52021,1238.6,445.623,5.11228,5.14549,0.129356,1.12017,-3.45925,-130.851,3800.15,49.1304,9247.78,70596,5.93621,5.96943,1.77722,1.9441,-2.63531,0.863203,3983.68,62.7253,9431.32,0.324318,0.973184,0.0121031,12283.2,4424.74,21063.7,87281.2,0.00130991,0.411682,11.4515,9.64631,96.8761,72.5798,0.734159,12.4368,11.9907,96.1861,123.338,0.690004,-50.7586 
50,-2,47.5356,1.4,50,13872.1,0.138959,23.0984,12.363,96.7733,0.225047,-169.504,453.875,-0.00531467,-0.542309,4.38033,2.23145,1.48742,-152.598,4646.97,60.8743,8413.02,10537.9,0.955555,0.418561,6.30207,3.19232,2.44829,0.526758,4861,76.7287,8627.05,0.390354,0.97312,0.0161195,12452.8,4348.53,31412.3,74920,0.00110982,0.501195,11.6491,9.71723,97.2789,72.1871,0.688508,12.3015,11.8057,96.1333,122.796,1.14568,-50.6085 
51,-2,47.5356,1.8,51,12708.8,0.139859,21.4998,12.1021,96.7158,-0.703337,177.12,442.057,-0.371143,1.31396,0.376343,0.196147,-0.757111,-154.175,4521.39,62.7181,7358.12,12525.5,0.599658,2.28476,2.31794,1.16695,0.21369,0.64789,4737.64,78.7363,7574.37,0.41547,0.971738,0.0187891,11403.1,3753.95,32061.8,58841.2,0.00119144,0.531196,11.1432,9.17736,97.0007,72.2466,0.617971,12.1274,11.6313,96.0203,122.6,0.98038,-50.3533 
