cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,-1,48.3749,1.16,0,11990.6,0.105958,20.3655,12.1989,96.4153,0.0230419,-15.0214,499.959,2.16134,-0.130334,1.43834,-0.384822,1.82054,-116.001,2966.79,39.8357,8346.1,8098.71,2.89176,0.600091,2.89919,0.345603,2.55096,0.687843,3129.49,51.8877,8508.81,0.294756,0.971803,0.0111086,10617.2,3696.83,14492,75305.2,0.000850565,0.349406,10.8664,9.59696,96.3934,72.6818,0.690523,12.3009,11.8119,96.0136,123.468,0.379803,-50.7866 
1,-1,48.3749,1.1,1,13739.4,0.135241,23.4374,12.0791,96.1448,0.287334,-486.052,396.753,-0.0537985,0.284143,2.00685,-2.45298,3.53588,-134.21,1317.62,28.9446,11573.3,13762.3,0.791284,1.12923,3.69702,-1.6079,4.38096,0.559385,1505.87,42.8884,11761.5,0.127013,0.952525,0.00667244,11856,6140.98,3932.25,149032,0.000979005,0.17569,10.2604,8.9976,96.7676,72.8987,0.983156,12.1048,11.8011,95.6647,123.834,1.10285,-50.9355 
2,-1,48.3749,1.6,2,11985.7,0.148084,19.8569,12.2655,96.2956,-0.0535576,-76.0762,480.584,0.782076,-0.648209,2.50418,-1.34898,-0.853532,-106.258,4297.64,56.1084,6875.91,8061.12,1.45116,0.0208714,3.84234,-0.679899,-0.184452,0.136556,4446.68,67.1483,7024.95,0.418368,0.974254,0.0173032,10628.6,3187.75,27202.9,49422.1,0.000987323,0.461677,11.7516,9.78544,96.3626,73.0306,0.550961,12.3822,12.0171,95.6559,123.626,0.706736,-50.5951 
3,-1,48.3749,1.18,3,12249.5,0.0344115,20.9021,12.1567,96.5497,-0.031111,55.1078,1.53623e-08,0.225494,1.29143,0.0579642,1.21066,-0.641628,-160.253,3457.89,44.5203,8045.92,8327.65,1.23456,2.3005,2.0761,2.21973,0.367442,0.746765,3682.66,61.17,8270.69,0.335982,0.971753,0.0134411,10960.9,3715.05,19065.4,70923,0.00106334,0.401108,11.2553,9.33995,96.8111,72.9481,0.684889,12.0902,11.5006,95.9959,123.246,0.815192,-50.2983 
4,-1,48.3749,1.22,4,11898.7,0.126708,19.8492,12.2972,96.4012,-0.0272018,-62.7114,498.001,-0.215769,-0.559935,1.57497,2.27599,-1.34983,-113.097,4491.73,57.827,6652.19,8001.46,0.49637,0.152204,2.99925,2.98813,-0.63769,0.49998,4650.36,69.5773,6810.82,0.436904,0.974485,0.0184708,10643.9,3195.41,30796.1,45907.9,0.000882265,0.498435,11.5356,9.68293,96.4602,72.377,0.525,12.6149,12.0175,95.602,122.882,0.858126,-50.5048 
5,-1,48.3749,1.3,5,11863.8,0.124613,20.0998,12.1179,96.5477,-0.154214,-55.9913,482.231,-2.97459,-0.66506,2.76973,-3.26492,0.5843,-122.882,4453.34,52.5392,6679.05,8210.03,-2.20084,0.108693,4.31723,-2.49117,1.35805,-2.95362,4625.69,65.3062,6851.4,0.434136,0.975889,0.0172556,10654.9,3181.29,29256.1,47368.3,0.000948768,0.484738,11.4001,9.89422,96.8938,72.9245,0.545923,12.1106,12.004,96.0025,123.483,0.891253,-50.5582 
6,-1,48.3749,1.2,6,12676.6,0.0543985,21.1247,12.3577,95.9974,0.0997907,-104.838,500,-0.154936,3.21805,2.73817,2.79219,2.217,-130.862,4059.42,49.7455,7833.9,8838.69,0.669066,4.04205,4.38617,3.61619,3.04101,0.721592,4242.97,63.3415,8017.45,0.37554,0.97454,0.0143447,11298.3,3565.98,23891.5,62574,0.000963933,0.433001,11.5796,9.89233,96.2473,72.8701,0.609836,12.5076,12.3525,95.6168,123.554,0.630468,-50.6844 
7,-1,48.3749,0,7,16217.3,0.0313163,26.5801,12.934,96.1023,0.0271929,-71.136,500,2.25658,0.878724,5.14234,-0.569542,0.194004,-87.1113,130.874,-7.08546,15218.6,11254.4,2.8051,1.42724,6.23938,-0.0210257,0.742521,0.442575,253.056,1.96506,15340.8,0.0184002,0.986593,0.000235908,13752.9,9428.14,995.233,237398,0.000794293,0.0378647,10.0608,8.09614,96.7816,71.0352,1.1858,12.7773,12.2865,95.7487,124.001,1.03283,-52.9659 
8,-1,48.3749,1.4,8,11862.5,0.152026,19.3954,12.3963,96.1811,-0.0291826,-19.4007,32.6949,1.8945,0.784739,4.50731,0.612049,-0.386426,-163.977,4432.33,42.6559,6679.63,7845.29,2.92702,1.81726,6.57235,1.64457,0.646096,0.516998,4662.32,59.6925,6909.62,0.433996,0.978085,0.0156647,10742.8,3079.28,27937.1,45693.2,0.00105874,0.470181,11.6473,9.79699,96.5657,72.7871,0.526167,12.5905,11.9337,95.5064,123.137,1.05926,-50.3498 
9,-1,48.3749,1.24,9,11523.3,0.127836,19.0483,12.3794,96.0373,-0.104142,-153.944,469.212,-0.356669,-0.998533,-2.59671,2.81694,1.09,-140.912,3796.42,61.2513,6977.22,8198.2,0.530614,-0.11125,-0.822142,3.70422,1.97728,1.15575,3994.06,75.8914,7174.86,0.387474,0.967818,0.0191123,10307.9,3047.16,21661.9,51275.8,0.00101006,0.421494,11.4065,9.56873,96.1021,72.3346,0.564024,12.4037,11.8825,95.5157,122.703,0.586378,-50.3688 
