cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0,0,11446.2,0.045294,15.093,16.1327,94.8776,-0.0387123,18.4507,54.4638,1.47466,2.19244,2.49441,0.507956,0.644453,-75.4178,447.073,76.973,9734.21,7949.72,1.94955,2.66732,3.44418,0.982842,1.11934,0.661113,552.854,84.8086,9839.99,0.0600143,0.788362,0.0156286,9212.05,2632.7,331.958,65302.8,0.00172457,0.0143244,12.9744,14.1094,97.7988,64.6389,0.514603,15.2669,14.8946,94.6244,125.046,3.17446,-60.4076 
1,2,1,12763.3,0.0405119,16.7888,16.2396,95.1706,-0.0445425,-29.5177,0.441547,0.508779,-0.582474,1.77918,-1.19485,-0.0580848,-77.7822,578.425,67.9836,10891.5,8918.25,0.998553,-0.0927002,2.75872,-0.705072,0.431689,0.186503,687.522,76.0649,11000.6,0.0663114,0.837792,0.0125772,10368.1,3224.27,375.497,80617,0.00175601,0.019487,14.1276,15.4715,97.3506,68.8609,0.567872,15.4111,14.9854,94.9483,126.466,2.40232,-57.6052 
2,4,2,11513,0.0440802,15.0003,16.3384,94.8279,0.0772688,20.5253,40.6954,0.684307,2.01698,5.99283,1.63892,1.91673,-70.3598,949.918,89.2438,9277.64,8029.83,1.12734,2.46002,6.8789,2.08196,2.35977,0.538576,1048.6,96.5539,9376.32,0.112756,0.861225,0.0186162,9299.77,2321.99,711.57,57005.4,0.00167618,0.0406445,14.0935,15.9475,95.4164,71.9881,0.468575,15.5419,15.3659,94.6849,125.376,0.731502,-53.3882 
3,6,3,11550.9,0.0459668,14.7139,16.6978,95.0975,-0.0735157,-55.4925,197.947,2.0959,0.40065,0.97827,0.506622,-1.18135,-94.5212,1377.56,84.858,8892.09,8130.81,2.69108,0.995825,2.16862,1.1018,-0.586179,0.659618,1510.13,94.6784,9024.67,0.159771,0.901131,0.0189593,9451.84,2061.11,1347.62,49589.4,0.00151963,0.0653968,14.937,14.5031,96.407,72.3692,0.419219,16.2022,16.0783,94.8403,125.846,1.56673,-53.4772 
4,7,4,10454.2,0.0377207,13.0262,17.1043,94.8624,-0.0132728,-19.2476,21.0059,-0.791131,2.37869,3.58684,-1.08744,0.542173,-80.8245,1478.28,90.3786,7763.45,7261.32,-0.282201,2.88762,4.6047,-0.578505,1.0511,0.400642,1591.64,98.7759,7876.81,0.186741,0.902036,0.0225786,8523.24,1586.19,1404.27,37403.3,0.00153884,0.0636563,15.9747,15.1093,95.5728,72.8283,0.363533,16.1378,16.081,94.5984,126.126,0.974453,-53.298 
5,8,5,10111,0.0267443,12.7507,16.987,94.9913,-0.024499,-23.1134,7.69988,0.729439,2.00681,3.74345,-0.830391,2.59101,-85.4573,1515.14,83.5883,7473.77,7069.35,1.26754,2.54491,4.81966,-0.292289,3.12911,0.579764,1635,92.467,7593.63,0.196576,0.909943,0.021939,8317.4,1491.73,1516.81,34874.6,0.00138167,0.0673324,16.3235,14.7005,96.2803,73.0942,0.350714,16.2334,16.0229,94.6715,126.454,1.60876,-53.3599 
6,9,6,10995.1,0.0128182,13.8674,17.1176,95.1238,-0.0695651,-125.299,9.25507,0.302102,-0.429372,2.24195,0.782384,-0.709775,-84.2986,1673.74,96.284,8176.47,8011.14,0.832907,0.101434,3.30356,1.31319,-0.17897,0.385055,1791.98,105.042,8294.71,0.197109,0.906962,0.0227962,9091.32,1745.43,1835.59,41034.1,0.00141298,0.0773303,15.9427,14.3577,96.08,73.3306,0.377206,16.4462,16.1422,94.8503,126.141,1.2297,-52.8108 
7,10,7,11478.4,0.0232109,14.6884,16.7952,94.7594,-0.0372321,13.9665,19.9865,1.38882,-0.946952,3.23371,0.665308,-0.500504,-88.6448,1796.31,101.989,8426.04,8047.67,1.94699,-0.38878,4.35006,1.22348,0.057669,0.394936,1920.65,111.198,8550.38,0.203351,0.908002,0.0233963,9444.98,1838.63,2008.01,43221.7,0.00138219,0.0785576,16.2312,15.2728,95.5345,72.2004,0.381193,16.2953,16.8485,94.4622,125.745,1.07227,-53.5446 
8,0,8,12078.5,-0.000273225,16.0738,15.9892,95.2528,0.00301235,-22.5522,500,2.53336,1.37349,6.21419,1.85268,0.336993,-75.036,443.485,72.4824,10266.8,8368.68,3.00584,1.84597,7.15915,2.32516,0.809475,0.527311,548.731,80.2784,10372.1,0.0567095,0.796164,0.0140572,9676.17,2939.68,313.357,73384.6,0.0017928,0.0113028,13.7007,19.2819,95.5016,67.1875,0.548238,15.1646,14.8652,95.1029,125.786,0.398658,-58.5987 
9,2,9,11295,0.0605531,14.7586,16.1586,94.6121,0.00304269,-17.4847,499.176,-0.774874,-0.477206,4.50483,1.44738,1.06302,-98.9468,494.948,69.19,9574.71,7764.96,-0.151833,0.145835,5.75092,2.07042,1.68606,0.39473,633.731,79.4702,9713.49,0.0690218,0.820041,0.0148473,9181.61,2546.81,353.197,63149.7,0.00164672,0.0145725,13.7749,18.3237,96.1202,69.409,0.506145,15.4323,14.728,94.4242,126.436,1.69603,-57.0272 
