cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-200,47.0159,10,0,20641.9,-0.0157459,36.6464,12.2518,122.335,-0.0209978,60.2075,500,0.832385,1.1023,5.79481,0.759632,0.454513,-64.1781,182.915,69.0106,19924.3,14657.1,1.2365,1.50641,6.60304,1.16374,0.858626,0.419172,252.22,71.8394,19993.6,0.013105,0.667357,0.00657539,19246.1 
1,-50,47.1659,2.5,1,21205,-0.0208168,38.2476,12.055,122.601,-0.0393732,92.3024,4.56613e-10,-4.96406,-3.00881,-0.513317,-0.0200235,-0.501472,-11.9388,781.163,74.1237,19921.1,15127.8,-4.88888,-2.93363,-0.362966,0.0551521,-0.426297,0.957581,794.055,74.65,19934,0.0402434,0.858723,0.00685117,19731.3 
2,15,47.2309,2.1,2,17761.6,-0.0498009,32.7042,-11.8276,122.33,0.0326369,30.1597,3.98299,2.96795,0.462133,-0.969287,1.1319,0.250939,-99.4473,954.172,45.3601,16375.9,12624,3.59414,1.08833,0.283099,1.75809,0.877132,0.962754,1061.56,49.7435,16483.3,0.0634879,0.924212,0.00552838,16720.7 
3,35,47.2509,2.3,3,19504.8,-0.0618521,35.689,12.0678,122.689,0.0221465,-44.4539,0.079604,4.77543,1.01724,1.64789,-1.82583,-3.58504,-43.1524,1104.71,68.662,18148,14052.4,5.04715,1.28896,2.19133,-1.55411,-3.31332,0.401276,1151.31,70.5641,18194.6,0.0624483,0.903132,0.00709355,18436.2 
4,-20,47.1959,2.3,4,19613.9,0.0371966,35.6869,-11.8162,122.576,-0.00649818,-65.0052,2.47652e-09,1.40931,-0.0892791,-3.29442,0.443039,-1.37596,-56.899,1169.07,71.1972,17793.6,13740.9,1.76759,0.268998,-2.57787,0.801317,-1.01768,-2.40248,1230.51,73.7051,17855,0.0676374,0.905124,0.00754677,18192.8 
5,-100,47.1159,7,5,19153.9,0.00468814,34.1471,12.1304,122.148,0.0026474,-67.8031,500,3.04814,1.79391,-0.142742,1.93031,-2.07861,-59.1897,149.011,55.4344,18474,13490,3.42084,2.16661,0.602662,2.30301,-1.70591,0.911206,212.929,58.0433,18537.9,0.0119462,0.67703,0.00573466,17824 
6,-25,47.1909,2.3,6,20210.1,-0.0119389,36.3514,11.9162,122.607,0.00360698,-40.5042,2.30484e-11,0.667331,-2.16624,3.50206,0.424906,2.91491,-39.334,1137.47,69.078,18362.7,14105.9,0.915007,-1.91857,3.99741,0.672582,3.16259,0.414643,1179.95,70.8118,18405.2,0.0632175,0.904959,0.00703741,18664.9 
7,140,47.3559,10,7,19444.9,-0.0177467,34.0171,12.3154,122.365,0.00651329,-42.0462,5.27837e-11,1.5853,-3.35832,-1.86082,-0.406522,0.756385,-59.2954,652.962,54.0378,18191.2,13646.6,1.95867,-2.98496,-1.11408,-0.0331552,1.12975,-0.0673597,716.994,56.6514,18255.2,0.0397018,0.878525,0.0056841,18059.5 
8,70,47.2859,2.7,8,19127.6,0.00011723,34.8177,12.0489,122.374,0.00277417,-47.7691,5.01125e-10,1.69858,0.148025,1.83119,1.45517,1.21109,42.4604,781.424,45.4133,18096,13660.9,1.43121,-0.119336,1.29647,1.18781,0.943727,0.726477,735.572,43.5417,18050.1,0.0411321,0.906133,0.004424,17883.2 
9,160,47.3759,10,9,18487.2,-0.0246589,33.337,12.0923,122.442,-0.0178062,17.5842,500,3.21506,2.94225,4.6881,3.12621,4.58782,-6.01106,549.4,48.6887,17670.8,13133.1,3.25291,2.9801,4.7638,3.16406,4.62567,0.746425,555.891,48.9537,17677.3,0.0320412,0.866468,0.00507546,17349.3 
10,180,47.3959,10,10,18485.4,0.00146971,33.8043,11.9942,122.387,0.00314916,-32.4138,2.1033e-11,-1.96987,-1.15702,2.07737,1.71521,-1.03497,20.8402,417.826,35.373,17884,13202.3,-2.1011,-1.28824,1.81492,1.58398,-1.16619,2.56915,395.321,34.4544,17861.5,0.0227671,0.867662,0.0035408,17363.7 
11,0,47.2159,2.1,11,19509.5,-0.060995,36.4449,11.9236,122.313,0.0549834,13.1061,4.90031e-11,-1.59375,-0.460038,4.00942,-0.0572524,2.39998,14.8103,1121,53.4786,18312.6,14169.7,-1.68701,-0.553295,3.8229,-0.150509,2.30673,-0.0224892,1105.01,52.8258,18296.6,0.0597731,0.922799,0.00529037,18486.8 
12,60,47.2759,2.7,12,17255.3,-0.0318158,32.2029,-11.8603,122.237,0.0171441,-11.7041,500,1.15487,1.89161,2.75668,1.88121,1.61505,34.4263,839.078,34.6258,16298.1,12439.8,0.938099,1.67484,2.32314,1.66444,1.39828,0.709564,801.902,33.1084,16260.9,0.0493485,0.932616,0.00373664,16249.8 
13,30,47.2459,2.3,13,17746.6,-0.051081,33.3213,11.7425,122.485,-0.00794034,17.1274,239.307,3.2664,1.91899,3.37039,0.226448,2.45068,4.95513,1198.08,47.5534,16365.6,12741.8,3.2352,1.88779,3.30799,0.195247,2.41948,0.700518,1192.73,47.335,16360.3,0.0712714,0.935059,0.00530149,16735 
14,200,47.4159,10,14,17940.3,-0.0355521,32.6695,-12.0517,122.299,-0.00810401,-33.9879,120.29,2.64611,0.424838,-0.260312,2.41882,1.28,0.680822,228.35,34.0594,17485.6,12825.9,2.64182,0.420551,-0.268886,2.41453,1.27571,1.04147,227.615,34.0294,17484.9,0.0135177,0.792624,0.00357233,16838.3 
15,25,47.2409,2.3,15,17767.2,-0.0633565,32.9489,11.931,122.299,0.0624938,-14.2054,441.095,3.01984,0.881219,1.44042,4.05656,1.56619,20.477,1241.1,36.9012,16317.2,12826.1,2.8909,0.752281,1.18254,3.92762,1.43725,0.883958,1218.98,35.9986,16295.1,0.0729959,0.950859,0.00405302,16699.4 
16,5,47.2209,2.1,16,17341.8,0.0162288,32.4153,11.7522,122.551,-0.0216811,21.9329,1.81872e-10,2.39691,2.01544,5.59032,2.26874,-2.16321,-0.776194,1075.53,34.2413,16070.2,12416.7,2.4018,2.02033,5.6001,2.27363,-2.15833,0.447588,1076.37,34.2755,16071.1,0.0658575,0.947215,0.00391337,16343.9 
17,-150,47.0659,10,17,16086.7,0.00918618,29.3906,11.9455,122.18,-0.058385,4.336,500,-2.20771,0.125646,-0.265479,-1.36647,3.06783,-39.2539,146.977,29.8094,15719.7,11437.2,-1.96053,0.372818,0.228863,-1.11929,3.315,0.72652,189.367,31.5396,15762.1,0.0124885,0.774313,0.00367249,15163.3 
18,-5,47.2109,2.1,18,17342.6,0.0130721,31.9408,11.7475,122.45,0.00349974,-47.5315,87.8135,-0.0656634,1.53437,0.624798,-0.786784,3.96946,-37.1911,890.251,33.6065,16031.9,12220.3,0.168519,1.76856,1.09316,-0.552601,4.20364,0.836384,930.414,35.2457,16072.1,0.0574369,0.937828,0.00402345,16198.9 
