cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.3009,8,0,20110.7,-2.07208e-05,37.6169,-11.536,122.191,-0.0200632,25.0406,9.7225e-12,-3.01361,-0.495257,-0.476222,-0.453088,-0.954168,11.2839,57.5605,3169.13,6212.43,14142.8,-3.08466,-0.566308,-0.618324,-0.52414,-1.02522,0.893734,56.8145,3166.77,6211.68,0.0134675,0.0101479,0.484302,4218.64,8.48981e-05,0.039124,12.7746,28.8619,126.251,86,1.74579,11.666,11.3351,121.746,130.389,4.50452,-44.3891 
1,47.1909,2.5,1,20375.9,0.0497096,38.7213,-11.2847,122.21,-0.0291008,-60.9777,253.019,0.970522,1.77283,-0.717427,-0.0912112,1.20024,16.4803,-18.509,3319.47,6487.98,14282.2,0.86675,1.66906,-0.92497,-0.194983,1.09646,1.36817,-19.5986,3316.01,6486.89,-0.00452977,-0.00338875,0.484977,4326.62,0.000784787,-0.0208296,5.57746,-2.87209,116.621,83.0563,1.83054,11.5446,11.3163,121.865,130.183,-5.24458,-47.1267 
2,47.3359,10,2,18023.9,-0.0810991,34.3107,11.3919,122.377,0.0463601,5.00286,8.76657e-11,-2.72342,-2.61599,2.59315,1.36147,3.20229,-18.3424,13.0166,2725.33,5641.43,12731.4,-2.60792,-2.50049,2.82414,1.47697,3.31779,-0.124941,14.2293,2729.17,5642.65,0.00374969,0.00297046,0.47117,3794.8,-4.58614e-05,0.034064,-12.6324,-33.0139,126.517,86,1.59586,11.571,11.227,121.979,130.949,4.53863,-44.9494 
3,47.3909,10,3,20743.6,0.0554191,38.5936,11.5122,122.189,0.0899757,-329.352,160.407,-4.08292,1.93825,5.98691,1.50224,0.452324,22.3562,-19.7848,3366.97,6412.7,15428,-4.22369,1.79748,5.70537,1.36146,0.311553,-0.152094,-21.2629,3362.29,6411.22,-0.00497465,-0.00362678,0.491371,4274.26,0.00100213,-0.0179525,6.20276,-4.39563,116.783,82.227,1.79846,11.6928,11.4504,121.788,131.141,-5.00556,-48.9142 
4,47.3459,10,4,19547.4,-0.0116155,36.7254,11.5308,122.219,0.00615992,-52.0428,17.6869,3.89675,2.80751,-2.56165,4.58897,-0.568931,-31.368,4.02152,2786.61,6163.22,13795.9,4.09426,3.00503,-2.16662,4.78648,-0.371415,1.23178,6.09544,2793.17,6165.29,0.00147345,0.00124545,0.454911,4136.84,2.9563e-05,0.0252962,-13.7591,29.1134,127,86,1.74352,11.6618,11.2632,121.899,130.906,5.1007,-44.9059 
5,47.3609,10,5,19054.6,0.0183354,36.2365,11.3647,122.325,-0.0548587,-17.069,244.643,4.01036,-3.52233,-5.50935,-1.44343,2.06697,-71.5,-3.54669,3072.68,5922.53,13436.4,4.46057,-3.07212,-4.60892,-0.993217,2.51718,-1.71673,1.18058,3087.65,5927.25,0.000297193,0.000218441,0.489691,3972.44,-7.50681e-05,0.036435,12.4764,-34.8634,126.258,86,1.65892,11.5242,11.4403,121.924,130.631,4.33399,-44.6314 
6,47.4209,10,6,19733.3,-0.040627,37.2377,11.3279,122.295,-0.0442505,-53.2559,4.13452e-09,1.4242,-4.6386,0.229168,0.674881,1.98261,-36.1483,-42.9664,3177.7,6174.89,13808.5,1.65181,-4.41098,0.684401,0.902498,2.21023,0.340629,-40.5764,3185.27,6177.28,-0.00990104,-0.00733267,0.487145,4098.2,0.00017417,0.0314596,-11.8085,34.0647,126.386,86,1.73579,11.4957,11.3642,121.903,130.589,4.4829,-44.5891 
7,47.3859,10,7,19426.4,0.0322633,36.4826,11.3944,122.279,-0.28904,200.695,499.99,0.977104,-0.399627,-0.119839,2.61874,7.42028,-49.66,-13.5249,2889.9,6105.92,15420.8,1.2898,-0.0869307,0.505552,2.93144,7.73297,0.95914,-10.2416,2900.3,6109.2,-0.0025084,-0.00202192,0.466532,4082.92,0.448782,-0.448756,-1489.41,-6231.35,116.959,76.8206,1.72543,11.6283,11.3024,121.934,131.704,-4.97508,-54.8837 
8,47.3809,10,8,18745.8,-0.00519364,35.8127,11.3604,122.435,-0.0295172,-33.9206,1.69355e-09,-1.17389,1.51707,2.11663,-5.46217,2.62907,-25.4102,-5.6409,2932.34,5985.25,13276.8,-1.01389,1.67707,2.43663,-5.30217,2.78907,-3.15305,-3.96088,2937.66,5986.93,-0.000988422,-0.000771057,0.474758,4007.28,0.000650701,-0.0156382,-3.39111,-6.22303,121.968,77.5065,1.68654,11.537,11.3594,122.066,131.469,-0.0975122,-53.9629 
9,47.2459,5,9,18291.6,0.0109401,35.2868,11.2102,122.445,0.0661974,-66.7936,185.268,0.402224,-2.12977,3.15816,3.65843,1.3454,-47.2338,149.469,3021.97,5768.91,13021.1,0.699643,-1.83235,3.753,3.95585,1.64281,0.543373,152.592,3031.86,5772.04,0.0379595,0.0279556,0.491766,4019.86,-0.000189258,0.0500459,12.1542,28.412,126.08,86,1.63077,11.4735,11.1974,122.036,131.313,4.04338,-45.3128 
