cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,44.84,0,26047.6,0.056809,55.5941,11.6776,121.162,-0.129178,-0.767968,2.45639e-11,-7.87487,2.72689,3.07222,-4.60378,-6.16716,232.51,3842.66,20.7396,24937.8,21137,-9.33892,1.26284,0.144118,-6.06783,-7.63121,1.00666,3516.54,8.66117,24611.7,0.14247,0.995708,0.00064784,24682.6,-0.00363034,0.354403,11.435,10.7897,121.665,87.9024,2.3651,12.1426,11.3478,120.602,136.484,1.06293,-48.5816 
1,44.79,1,25523.2,0.0266419,54.7645,11.5335,120.656,-0.0773234,-10.1375,1.0818e-11,-3.52528,-4.82483,-12.1506,-5.48282,-3.74947,195.683,3018.41,5.6863,25009.6,20587,-4.75745,-6.057,-14.6149,-6.71499,-4.98164,0.606342,2743.94,-4.47908,24735.2,0.114254,1.00286,-0.000333682,24016.2,-0.00339795,0.261745,11.7114,10.9033,121.352,88.7482,2.40965,11.9762,11.3153,120.151,137.473,1.20019,-48.7244 
2,44.77,2,23225.4,-0.295948,51.8786,11.465,120.651,0.329654,5.45416,500,-7.16012,-2.9834,-9.67156,-4.25946,-7.06996,191.52,1618.8,-14.0434,24453.9,19420.9,-8.36607,-4.18935,-12.0835,-5.46541,-8.27591,0.685164,1350.18,-23.9925,24185.3,0.0609574,1.0321,-0.00183077,22149.5,-0.00426209,0.0882051,14.9146,15.9541,124.641,90.9868,2.48223,11.7794,11.0404,120.107,137.046,4.53362,-46.0587 
3,44.85,3,23529.9,-0.0347216,52.305,-11.3555,121.105,0.0148404,27.772,4.11839e-12,-5.83941,-3.10925,-12.5943,-6.98248,-0.294503,148.82,3015.14,6.9316,23184.9,19348.5,-6.77649,-4.04633,-14.4684,-7.91956,-1.23158,0.579924,2806.41,-0.799308,22976.2,0.124365,1.0005,-6.40883e-05,22565.9,-0.00351979,0.269749,11.3469,10.7489,121.551,88.3432,2.28985,11.8413,11.2236,120.545,136.944,1.00633,-48.6011 
4,44.765,4,24511.8,-0.927113,54.0163,-11.8033,120.561,0.772535,286.725,444.041,-6.23665,-4.73585,-13.2091,-1.36771,-1.49833,204.524,1560.08,-18.5961,25717,27965.7,-7.52448,-6.02369,-15.7847,-2.65554,-2.78617,0.546084,1273.21,-29.2208,25430.2,0.0550147,1.04184,-0.00212118,23143.2,-0.00534693,0.0451514,42.0094,18.7272,126.038,86.5059,2.52428,11.9602,11.2386,120.024,137.093,6.01449,-50.587 
5,44.855,5,22419.9,-0.21207,49.2655,11.5913,120.886,-0.482606,486.5,380.488,-6.72786,-3.48935,-7.08156,-5.1245,-6.24701,195.819,2705.35,-2.55446,22433.5,26232.8,-7.96088,-4.72237,-9.5476,-6.35752,-7.48003,0.735292,2430.7,-12.7269,22158.9,0.113122,1.00925,-0.00105913,21487.3,-0.00360498,0.252673,10.6984,10.6827,121.663,88.79,2.32759,11.8158,10.7602,120.398,137.254,1.26454,-48.4638 
6,44.815,6,23769.1,-0.983664,53.9528,11.637,120.856,0.846991,-1094.86,14.5541,-7.71315,-4.58815,-7.90304,-2.14125,-9.56086,196.841,3522.38,5.6275,23169.4,50626.5,-8.95261,-5.8276,-10.382,-3.38071,-10.8003,0.736118,3246.3,-4.59801,22893.3,0.141546,1.00248,-0.000370115,22934.5,-0.00386113,0.35219,10.9215,10.3212,121.346,88.9332,2.29253,11.9102,11.1776,120.266,137.815,1.07932,-48.8819 
7,44.795,7,22810,-0.47315,51.2223,11.5482,120.887,0.648801,9.55084,500,-7.77979,-1.27424,-9.35988,-6.02681,-3.56399,241.424,2824.25,-2.2182,22818.8,19457.8,-9.29997,-2.79443,-12.4002,-7.54699,-5.08418,0.665994,2485.63,-14.7597,22480.2,0.113923,1.0105,-0.00121093,21818.6,-0.00375143,0.263371,11.2057,10.5002,121.334,88.8865,2.29317,11.8775,11.0376,120.357,137.228,0.977268,-48.3419 
8,44.83,8,23927.6,-0.398977,54.5251,11.3235,121.258,0.313757,-263.937,4.38166e-11,-2.07955,-7.00279,-8.51442,-4.62023,-7.66915,242.529,3734.4,10.6998,23089.8,22794.7,-3.60669,-8.52993,-11.5687,-6.14737,-9.19629,0.703739,3394.23,-1.89915,22749.6,0.147839,1.00098,-0.000153804,22958.9,-0.00378634,0.384051,10.8933,10.1041,121.825,88.6021,2.3597,11.6987,10.9953,120.738,137.662,1.08691,-49.0596 
9,44.81,9,22490.3,-0.0857846,51.6321,11.2155,120.627,-0.12178,-355.152,0.0233176,-8.96592,-3.04109,-3.16294,-0.156425,2.04992,188.914,3298.92,3.31939,21812.5,20259,-10.1555,-4.23064,-5.54203,-1.34597,0.860379,0.728514,3033.95,-6.49434,21547.5,0.14069,1.00376,-0.000555512,21564.8,-0.00350013,0.336013,10.8015,10.4347,121.227,88.921,2.22357,11.5777,11.1228,120.266,137.722,0.961431,-48.8007 
10,44.775,10,20297.7,-0.0851344,47.0237,11.1137,120.7,0.0768912,38.6768,0.127734,-2.48003,-4.18579,-2.55654,-7.42155,-4.97806,189.258,1696.71,-24.4488,21282.3,17109.5,-3.67174,-5.3775,-4.93996,-8.61326,-6.16977,0.828308,1431.26,-34.2804,21016.8,0.0733765,1.04375,-0.0030137,19505.7,-0.00395931,0.112024,13.4431,13.3761,123.143,89.6543,2.26121,11.5693,10.8398,120.113,136.996,3.03054,-47.342 
11,44.86,11,23400.2,-0.923016,53.2375,11.5137,120.747,-0.459525,301.45,488.509,-2.63614,-5.60497,-19.514,-6.77095,-3.74237,187.203,2334.86,-12.4282,23810.8,24463.2,-3.81491,-6.78373,-21.8716,-7.94972,-4.92114,0.517621,2072.29,-22.1531,23548.2,0.0928289,1.01906,-0.00173598,22323.7,-0.00380066,0.219808,10.9987,10.6865,121.988,88.5944,2.42346,11.7446,11.0216,120.15,136.827,1.83796,-48.2324 
12,44.76,12,21700.4,-0.507689,49.0601,11.3495,120.665,0.291221,116.854,500,-7.83713,-5.01445,-8.5391,-5.20966,-5.06836,119.732,1197.9,-12.2242,23077.3,19233.7,-8.59105,-5.76837,-10.0469,-5.96358,-5.82228,0.722401,1029.96,-18.444,22909.4,0.0496798,1.03235,-0.00148526,20732.1,-0.00513185,0.0330214,50.0553,20.3371,128.439,85.8251,2.39309,11.6192,10.9414,120.145,136.931,8.29388,-51.106 
13,44.785,13,21379,-0.824295,49.2734,-11.3217,120.69,1.48098,-693.274,189.968,-1.94456,-7.40104,-5.8146,-5.45431,-2.78839,175.103,2414.8,-3.51616,21563.7,51583.6,-3.04713,-8.50362,-8.01975,-6.55688,-3.89096,0.732838,2169.21,-12.6124,21318.1,0.1058,1.01028,-0.00109103,20502.8,-0.00345258,0.209671,11.161,10.7404,121.357,88.4364,2.27126,11.5391,10.8668,120.18,136.937,1.17733,-48.5009 
14,44.835,14,23325.1,-0.385885,52.7705,11.2441,120.696,0.318206,57.613,500,-7.88289,-6.99152,-4.89375,-12.7624,-10.3181,216.696,3529.23,7.23146,22362.4,19912.6,-9.24736,-8.356,-7.6227,-14.1269,-11.6826,0.850639,3225.29,-4.02545,22058.5,0.145312,1.00219,-0.000336279,22195.6,-0.00338596,0.366998,10.8659,10.1032,121.071,88.3438,2.24104,11.6549,11.2014,120.053,137.155,1.01739,-48.8113 
