cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
63,44.84,0.17,63,28973,-0.0671472,60.5172,11.7085,120.132,-0.0377012,24.3525,0.000524082,-1.84284,3.68899,-1.94654,-6.06237,0.489497,176.286,2875.3,-47.5019,28393.3,23096,-2.95286,2.57897,-4.16659,-7.17239,-0.620526,0.66217,2628.05,-56.6596,28146.1,0.0979384,1.03921,-0.00372207,26833.7,-0.00394459,0.361169,10.529,9.72479,121.096,88.2256,2.66532,12.34,11.3362,119.535,137.6,1.56122,-49.3747 
64,44.79,0.17,64,28741.1,0.0438691,59.2906,-11.7743,120.233,-0.101276,-17.3286,0.00523124,-1.89027,3.12156,-5.60937,-3.06975,-9.10109,154.725,2401.49,-50.6598,28513,22782.7,-2.86453,2.1473,-7.5579,-4.04402,-10.0753,0.662511,2184.47,-58.6975,28296,0.0823737,1.04934,-0.00383594,26519,-0.00387382,0.305004,10.392,10.0351,121.322,87.8279,2.64073,12.4438,11.3874,119.602,137.205,1.71971,-49.3774 
65,44.77,0.17,65,30490.3,-0.217574,62.0574,12.1168,120.037,-0.50874,664.522,0.00201558,-0.0981289,-1.275,3.14565,-6.09552,-0.197179,154.55,953.509,-73.7731,31964,35483.4,-1.07129,-2.24816,1.19933,-7.06868,-1.17034,1.11578,736.738,-81.8017,31747.3,0.0262751,1.24117,-0.0047691,28039.4,-0.00451358,0.170065,9.26275,10.0108,121.853,89.4098,2.78121,12.7779,11.8339,119.452,138.544,2.40142,-49.1344 
66,44.85,0.17,66,28800.2,-0.57761,61.0598,12.0055,120.5,-4.76607,6377.06,496.97,-3.70391,3.34358,-2.27324,-0.627511,-3.84479,207.522,2424.69,-47.8292,29225.5,1.01327e+06,-5.01062,2.03687,-4.88666,-1.93422,-5.1515,0.673048,2133.63,-58.6096,28934.5,0.0789727,1.0505,-0.00374534,27017.3,-0.00454746,0.312945,9.91057,10.2054,121.715,88.9484,2.6644,12.5702,11.4783,119.94,138.185,1.77483,-49.2363 
67,44.765,0.17,67,28179.8,-0.042622,59.8037,11.7123,120.335,0.0083439,-24.701,2.35818e-11,-5.99827,-4.34809,-12.59,-1.53519,5.11683,233.548,763.47,-77.4712,29963.5,22808.4,-7.46887,-5.81868,-15.5311,-3.00578,3.64624,0.448825,435.896,-89.6036,29635.9,0.0168152,1.56185,-0.00560076,25922.8,-0.00461902,0.145133,9.14331,9.83692,122.423,89.4233,2.82627,12.3605,11.3477,119.789,138.079,2.63401,-48.6554 
68,44.855,0.17,68,32045.3,-0.252831,65.012,12.087,120.009,0.5341,-425.329,492.317,-5.26077,-2.56869,5.03759,-3.79558,-4.27475,150.501,2027.12,-51.8688,32388.9,32975.4,-6.20843,-3.51635,3.14227,-4.74324,-5.22241,1.18989,1816.03,-59.687,32177.8,0.0615835,1.06103,-0.00342866,29488.9,-0.00436355,0.295493,9.77849,9.69285,121.307,88.7821,2.84564,12.797,11.6788,119.352,138.414,1.95507,-49.6318 
69,44.815,0.17,69,31451.6,-0.0491235,63.8219,12.1044,120.298,-0.107952,59.942,500,-1.71755,1.53506,-1.97445,-1.26335,1.73696,127.418,3568.92,-41.4816,30390.2,25359,-2.51986,0.73275,-3.57908,-2.06567,0.934648,0.449136,3390.2,-48.1007,30211.5,0.115423,1.02546,-0.0029415,29372.1,-0.0044091,0.434435,10.8478,10.17,121.496,88.1678,2.64432,12.8191,11.7627,119.583,137.916,1.91263,-49.748 
70,44.795,0.17,70,34656.4,0.00121477,68.5174,12.2953,120.229,-0.0366851,-44.2531,500,-2.89409,1.47541,-0.455388,-0.829151,1.74153,199.794,3412.08,-35.4515,33788.7,27477,-4.15214,0.217359,-2.97148,-2.0872,0.483483,0.650824,3131.85,-45.8304,33508.5,0.098026,1.02628,-0.00252586,31949.1,-0.00438218,0.402742,10.7937,10.1727,121.402,88.5744,2.80917,13.0293,12.0578,119.58,138.108,1.82236,-49.5334 
71,44.83,0.17,71,29772.6,0.0293038,62.8323,11.7342,120.57,-0.0912256,-1.89514,500,-1.50598,1.14016,-3.64586,4.09271,-2.87759,128.667,3005.78,-48.4269,29403.3,24006.7,-2.31616,0.32998,-5.26623,3.28253,-3.68777,0.312292,2825.31,-55.111,29222.8,0.101059,1.03534,-0.00348611,27956.9,-0.00458715,0.43397,10.0253,9.62156,121.435,88.3574,2.68581,12.4974,11.5205,119.923,138.075,1.51225,-49.7179 
72,44.81,0.17,72,28505.3,-0.0316271,59.7574,11.7304,120.286,-0.0524436,13.4105,500,-3.33003,-3.61207,0.864022,-0.437423,-2.12532,186.233,3251.06,-41.9832,27686.8,22842,-4.50268,-4.78473,-1.4813,-1.61008,-3.29798,0.90551,2989.85,-51.6576,27425.6,0.112502,1.03118,-0.00348178,26575.9,-0.0040607,0.415414,10.2814,10.037,121.184,88.3962,2.52701,12.4499,11.5331,119.564,138.127,1.62035,-49.7312 
73,44.775,0.17,73,31456.8,-0.0415859,63.4562,12.11,120.368,-0.0158416,-19.171,500,1.624,1.98061,-7.67057,-2.49397,-1.83764,129.042,1570.41,-58.2125,32192.6,25025.7,0.811457,1.16807,-9.29566,-3.30651,-2.65019,0.299648,1389.41,-64.916,32011.7,0.0480442,1.08904,-0.00374959,28919.4,-0.00432843,0.228454,9.7337,10.1651,121.687,89.2646,2.78696,12.8071,11.8509,119.802,138.099,1.88527,-48.8343 
74,44.86,0.17,74,31814.8,0.0725251,63.4434,12.1478,120.446,-0.0433976,-114.714,1.78413e-11,-3.68284,-0.947312,-2.60309,-1.54418,-0.778946,155.489,1688.24,-46.2423,32489.3,25250.9,-4.66191,-1.92639,-4.56123,-2.52325,-1.75802,0.704407,1470.15,-54.3197,32271.2,0.0503075,1.06913,-0.00311033,29223.4,-0.00428991,0.234349,10.1333,9.90201,121.672,89.0598,2.83296,12.8595,11.6918,119.865,138.285,1.80724,-49.2252 
75,44.76,0.17,75,29977,0.0182884,61.6168,11.8914,120.254,-0.124065,36.7592,500,-0.564134,2.6219,-8.43926,-1.21571,-1.94294,146.445,641.446,-47.7172,31680.2,24000.6,-1.48626,1.69978,-10.2835,-2.13783,-2.86507,0.317748,436.043,-55.3247,31474.7,0.0158536,1.28541,-0.00324848,27504.3,-0.00365421,-0.0773962,19.8255,0.0642959,125.569,88.4626,2.92641,12.4697,11.4576,119.767,138.453,5.80211,-49.99 
76,44.785,0.17,76,30191.1,-0.112705,62.7217,11.6896,120.229,0.355701,-7.64743,3.92943,-4.55054,0.146205,0.539996,-5.51133,-7.00565,285.506,2287.42,-32.8861,30153.3,23956.3,-6.34829,-1.65155,-3.05552,-7.30909,-8.80341,0.887532,1886.97,-47.7176,29752.8,0.068681,1.0463,-0.00296313,27474.4,-0.00408468,0.317632,9.81874,9.71553,121.448,89.176,2.80711,12.3901,11.3974,119.811,138.218,1.63786,-49.0417 
77,44.835,0.17,77,32715,0.182585,64.8201,12.1177,120.623,-0.367502,84.7981,7.0144e-12,-3.3775,-0.552978,-9.51766,-4.3921,0.958799,104.698,3443.85,-26.6306,31362.7,26584.1,-4.03676,-1.21223,-10.8362,-5.05136,0.299542,0.479955,3297,-32.0695,31215.9,0.10938,1.01732,-0.00189607,30142.7,-0.00397729,0.421501,10.6868,10.1125,121.695,89.0566,2.70938,12.832,11.8099,119.961,138.836,1.7344,-49.7798 
78,44.8,0.17,78,35538.5,-0.832535,69.8757,12.5628,120.48,2.10769,709.326,0.292331,-2.05687,-5.18659,-3.93089,-0.966196,1.54844,176.199,3678.49,-30.8481,34196.3,77244.8,-3.16635,-6.29607,-6.14985,-2.07568,0.438959,0.643466,3431.36,-40.0013,33949.1,0.105167,1.02083,-0.00217522,32627.6,-0.00426886,0.420267,11.1896,10.2051,121.338,89.0894,2.76595,13.1421,12.2916,119.856,138.968,1.48193,-49.8783 
