cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
29,43.248,0.05,29,14398.4,0,5,101,125,0,5,135,-11.5956,-7.22519,-21.6871,-8.70215,-14.9335,334.027,-36.3856,27347.3,-29.9717,16439.4,-12.8862,-8.5158,-24.2683,-9.99277,-16.2241,0.662411,-55.9062,25883.2,-49.4922,0.484889,-0.00123578,1.00104,-115.297,484.436,545.599,0.588638,36366.6,8.80068e-07,0.584169,113.12,87.3417,24.0753,25.3021,0.951514,526.877,592.825,0.635041 
30,43.288,0.05,30,16364,0,5,101,125,0,5,135,-6.06496,-9.92385,-28.2765,-8.60373,-11.2334,319.209,-38.0032,28852,-53.2725,16439.4,-7.29833,-11.1572,-30.7433,-9.83709,-12.4667,0.57004,-56.6578,27453,-71.9271,0.396291,-0.00118072,1.00142,-142.97,503.932,573.979,1.85221,38169,8.94373e-07,0.601333,112.993,87.7387,23.5825,24.9355,0.945741,505.527,575.767,0.603222 
31,43.268,0.05,31,13167.1,0,5,101,125,0,5,135,-6.8109,-10.4804,-25.6127,-16.6558,-9.53824,393.086,-38.0658,26223.9,-44.619,16439.4,-8.3297,-11.9992,-28.6503,-18.1746,-11.057,0.633679,-61.0378,24501,-67.591,0.429399,-0.00142559,1.0015,-142.147,470.222,562.247,2.88108e+07,35118.7,8.69884e-07,0.59109,112.841,87.5377,22.7442,24.641,0.923021,470.226,562.251,0.591095 
32,43.158,0.05,32,15521.5,0,5,101,125,0,5,135,-0.864745,-5.30889,-19.176,-12.2877,-7.13992,312.565,-42.4563,28621.8,-58.4835,16439.4,-2.07243,-6.51658,-21.5914,-13.4954,-8.34761,0.584968,-60.7225,27251.8,-76.7498,0.397341,-0.00127488,1.00153,-152.822,514.414,594.948,1.58991e+06,38227.7,8.94831e-07,0.618236,113.025,86.6768,23.789,25.3475,0.938514,514.42,594.953,0.618243 
33,43.258,0.05,33,12831.4,0,5,101,125,0,5,135,-6.74654,-4.35369,-18.0538,-10.9296,-14.0785,348.393,-44.6317,26299.1,-55.7377,16439.4,-8.09266,-5.69981,-20.7461,-12.2757,-15.4246,0.66667,-64.9918,24772.1,-76.0978,0.41579,-0.00150145,1.00167,-156.309,495.333,560.412,1.43484,35440.8,8.72535e-07,0.603836,112.923,87.0667,23.4224,24.6821,0.948963,498.686,564.125,0.607881 
34,43.238,0.05,34,5677.25,0,5,101,125,0,5,135,-5.58213,-4.24026,-17.37,-14.7472,-9.38301,351.571,-55.7453,19474.7,-50.3927,16439.4,-6.94053,-5.59866,-20.0868,-16.1056,-10.7414,0.662253,-76.2911,17933.8,-70.9385,0.472633,-0.00243681,1.00215,-161.417,443.568,535.294,0.714965,27740.8,8.04121e-07,0.605975,113.788,87.198,22.6453,24.6372,0.91915,466.145,562.077,0.636556 
35,43.193,0.05,35,8056.41,0,5,101,125,0,5,135,-6.16662,-4.74403,-17.9967,-8.30021,-7.10402,302.062,-31.5839,21470.9,-54.5874,16439.4,-7.33372,-5.91113,-20.3309,-9.46732,-8.27113,0.603796,-49.2364,20147,-72.2399,0.362234,-0.00139844,1.00195,-135.924,483.813,589.865,0.996417,29998.6,8.2537e-07,0.647241,113.28,87.3474,23.2984,25.4851,0.914196,493.421,601.43,0.660013 
36,43.148,0.05,36,12425.8,0,5,101,125,0,5,135,-5.74877,-6.16833,-13.5364,-8.63014,-10.6925,408.16,-36.5172,26104.2,-63.2497,16439.4,-7.32582,-7.74538,-16.6905,-10.2072,-12.2696,0.692276,-60.3701,24315.3,-87.1025,0.366116,-0.00142076,1.00195,-164.893,462.5,531.857,0.641828,34843.2,8.67603e-07,0.571652,113.279,86.9146,23.3186,24.7647,0.941605,494.277,567.91,0.610666 
37,43.178,0.05,37,7442.51,0,5,101,125,0,5,135,-1.40235,-9.07198,-16.6502,-9.68755,-15.645,324.275,-42.7547,21183.6,-58.4557,16439.4,-2.65529,-10.3249,-19.1561,-10.9405,-16.8979,0.680597,-61.7053,19762.3,-77.4064,0.399147,-0.0017874,1.00213,-154.593,420.178,513.636,528.307,28050.8,8.07105e-07,0.575591,113.802,87.8266,22.9026,24.2435,0.94469,476.797,544.254,0.631157 
38,43.228,0.05,38,12616,0,5,101,125,0,5,135,-8.45593,-12.6987,-16.6985,-5.6021,-13.8406,334.611,-50.1437,25928.8,-51.9261,16439.4,-9.7488,-13.9916,-19.2843,-6.89497,-15.1335,0.703561,-69.6983,24462.2,-71.4808,0.448292,-0.00163078,1.00159,-155.475,512.819,574.529,0.54693,35211.9,8.70653e-07,0.623437,112.787,87.0491,24.9847,26.1736,0.954575,567.43,634.365,0.689097 
