cyc,delay from wiggle start,start of charge column,wait between wiggle 1st period and pulse,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,465,0.51,0.06,44.74,17,27098.5,-1.74372,63.0982,12.4625,116.083,1.82283,338.077,292.979,-11.3681,-3.21022,-22.7352,-6.35808,-13.842,-1388.33,481.024,84.8038,33506.1,45659.9,-2.6261,5.53175,-5.25129,2.38388,-5.10006,-0.0374313,2428.3,156.925,35453.3,0.0641022,0.898399,0.00808766,37881.6 
18,465,0.51,0.06,44.85,18,27362.6,-1.20372,62.6301,12.2096,115.552,0.924884,186.377,0.461509,-7.44439,-3.30084,-6.02069,-7.4104,1.15238,-1348.9,4736.5,135.843,29525.8,30504.7,1.04926,5.19281,10.9666,1.08325,9.64603,0.607466,6628.46,205.916,31417.8,0.174221,0.948439,0.0119293,38046.3 
19,465,0.51,0.06,44.76,19,29838.5,0.0133446,66.1336,12.2627,115.969,0.0260545,-42.6578,7.00437e-13,-7.866,-5.3591,-15.6916,-11.7365,-3.25125,-1502.74,1949.95,81.1803,35000.1,26436.2,1.59635,4.10325,3.23307,-2.2742,6.2111,0.748782,4057.69,159.245,37107.9,0.0985699,0.935735,0.00784321,41165.6 
20,465,0.51,0.06,44.88,20,22418.6,-0.697795,54.1204,11.8146,115.774,-0.499348,-495.216,6.25898e-07,-8.64762,-4.65814,-15.893,2.36381,-11.2333,-1372.57,1534.73,95.6642,27476.9,28864.9,-0.00490669,3.98457,1.39241,11.0065,-2.59057,0.899013,3459.89,166.967,29402.1,0.105286,0.922126,0.0103525,32862 
21,465,0.51,0.06,44.9,21,25026.4,-1.68034,58.7888,12.4882,115.892,2.70485,-1731.82,0.735903,-9.45167,-9.8725,-15.5145,-13.2707,-10.8289,-1459.37,391.592,69.3426,31445.6,176389,-0.262395,-0.683224,2.86405,-4.08144,-1.63964,1.75317,2438.5,145.154,33492.5,0.0678663,0.905657,0.00792032,35931 
22,465,0.51,0.06,44.75,22,26197.1,-0.023825,59.0376,12.1898,116.008,-0.015881,-111.322,500,-12.5066,2.62808,-11.6472,-11.0763,-8.13625,-1430.31,997.665,78.7617,31918.6,23484.7,-3.50029,11.6344,6.36534,-2.07,0.870027,0.521382,3003.81,153.064,33924.7,0.0813412,0.918127,0.00824281,36928.5 
23,465,0.51,0.06,44.8,23,28403.1,-0.585017,62.8154,12.2303,116.207,-0.030942,-308.207,500,-10.8734,-9.87143,-15.4763,-10.7163,-4.75849,-1222.84,5743.55,125.354,29102.7,25319.6,-3.17351,-2.17156,-0.0765796,-3.01639,2.94138,0.986068,7458.7,188.878,30817.8,0.194864,0.957565,0.0111639,38276.5 
24,465,0.51,0.06,44.81,24,27675,-0.0484493,62.3073,11.8968,115.817,-0.230278,35.878,500,-10.6423,-8.83825,-5.62141,-8.16231,-12.363,-1374.14,6198.62,130.853,27993.3,24399.4,-1.98969,-0.18565,11.6838,0.490288,-3.71043,-0.858018,8125.99,202.237,29920.7,0.213579,0.958264,0.0122979,38046.7 
25,465,0.51,0.06,44.89,25,25361.1,-0.305022,58.2846,11.9804,115.854,0.511922,357.205,1.88268e-05,-11.5435,-11.7371,-4.7599,-4.54042,-7.02453,-1395.53,843.154,62.351,31064.6,28683.9,-2.7562,-2.94977,12.8147,4.24686,1.76275,0.0231451,2800.52,134.846,33021.9,0.0781778,0.922285,0.00746613,35822.5 
26,465,0.51,0.06,44.82,26,23777.7,-0.0736745,54.8392,11.798,116.011,0.0438041,-34.6416,500,-16.6454,-3.11528,-14.2011,-7.97531,-15.3069,-1241.54,5398.64,123.794,24526.9,21111.2,-8.82771,4.70236,1.43415,-0.157666,-7.48925,1.13872,7140.02,188.29,26268.2,0.21372,0.955886,0.0130321,33408.3 
